"ABBREVIATE_CHART_LABELS";"Forkort diagrampunkter"
"SHOW_STATS";"Vis statistik"
"SOURCE_ID_PREFIX";"Kilde-ID præfiks"
"SPLIT_PLACES";"Adskil steder i redigeringstilstand"
"SUPPORT_METHOD";"Supportkontaktform"
"TBLPREFIX";"Databasetabel-præfiks"
"THEME_DIR";"Temamappe"
"UNDERLINE_NAME_QUOTES";"Understreg navne i anførselstegn"
"USE_QUICK_UPDATE";"Brug #gm_lang[quick_update_title]# formularen"
"USE_REGISTRATION_MODULE";"Tillad gæster at anmode om brugerkonto"
"USE_RELATIONSHIP_PRIVACY";"Anvend slægtskabs-fortrolighed"
"USE_RIN";"Use RIN# i stedet for Gedcom-ID"
"USE_RTL_FUNCTIONS";"Brug RTL processing"
"USE_THUMBS_MAIN";"Brug billedikon på personsiden"
"WEBMASTER_EMAIL";"Supportkontakt"
"WELCOME_TEXT_AUTH_MODE";"Velkomsttekst på login-siden i verifikationsmodus"
"WELCOME_TEXT_AUTH_MODE_CUST";"Velkomsttekst i verifikationsmodus"
"WELCOME_TEXT_AUTH_MODE_CUST_HEAD";"Standardheader for tilpasset velkomsttekst"
"WELCOME_TEXT_AUTH_MODE_OPT1";"Forudindstillet tekst som siger at alle kan anmode om en brugerkonto"
"WELCOME_TEXT_AUTH_MODE_OPT2";"Forudindstillet tekst som siger at administrator tager stilling til anmodninger om en brugerkonto"
"WELCOME_TEXT_AUTH_MODE_OPT3";"Forudindstillet tekst som siger kun familiemedlemmer kan anmode om en brugerkonto"
"WELCOME_TEXT_AUTH_MODE_OPT4";"Vælg tilpasset velkomsstekst nedenfor"
"WORD_WRAPPED_NOTES";"Tilføj mellemrum hvor noter ombrydes"
"ZOOM_BOXES";"Diagramlup"
"about_user";"Du skal først oprette en standardadministrator. Standardadministrator har mulighed for at ændre alle indstillinger, se alle fortrolige data og oprette andre brugere."
"abt";"ca."
"accept";"godkend"
"accept_all";"Godkend alle ændringer"
"accept_changes";"godkend/Afvis ændringer"
"accept_gedcom";"Fortryd en ændring ved at klikke på fortryd link ud for ændring. godkend alle ændringer i Gedcom, ved at genimportere Gedcom-filen."
"accept_successful";"Ændringerne blev godkendt i databasen"
"access";"Adgang"
"access_denied";"<b>Adgang nægtet</b><br />Du har ikke adgang til denne del."
"accessible_by";"Vis til?"
"accpriv_conf";"Adgang og fortrolighed"
"active";"Aktiv"
"add";"Tilføj"
"add_another";"Tilføj en person til skemaet:<br />Person-ID:"
"add_asso";"Tilføj ny tilknyttet person"
"add_child";"Tilføj barn"
"add_child_to_family";"Tilføj et barn til denne familie"
"add_directory";"Tilføj mappe"
"add_fact";"Tillføj data"
"add_father";"Tilføj en ny far"
"add_from_clipboard";"Tilføj fra udklipsmappe"
"add_gedcom";"Tilføj en Gedcom-fil"
"add_gedcom_instructions";"Enter a fil = "
"add_husb";"Tilføj ægtemand"
"add_husb_to_family";"Tilføj en ægtemand til denne familie"
"add_journal";"Tilføj et nyt notat"
"add_media";"Tilføj nyt medie"
"add_media_button";"Tilføj medie"
"add_media_descr";"Dette redskab tilføjer medie OBJE tags til din Gedcom-fil. Luk dette vindue når du er færdig med at tilføje medie."
"add_media_lbl";"Tilføj medie"
"add_media_records";"Tilføj Medie"
"add_media_tool";"Tilføj medie redskab"
"add_mother";"Tilføj en ny mor"
"add_name";"Tilføj nyt navn"
"add_new_chil";"Tilføj et nyt barn"
"add_new_gedcom";"Opret ny Gedcom-fil"
"add_new_gf_setting";"Tilføj ny Almen fortrolighedsindstilling"
"add_new_husb";"Tilføj en ny ægtemand"
"add_new_lang_button";"Tilføj nyt sprog"
"add_new_language";"Tilføj filer og indstillinger for et nyt sprog"
"add_new_pf_setting";"Tilføj ny Persondata-fortrolighedsindstilling"
"add_new_pf_setting_indi";"Tilføj ny fortrolighedsindstilling for personoplysninger personer"
"add_new_pf_setting_source";"Tilføj ny fortrolighedsindstilling for personoplysninger kilder"
"add_new_pp_setting";"Tilføj ny Person-fortrolighedsindstilling"
"add_new_up_setting";"Tilføj ny Bruger-fortrolighedsindstilling"
"add_new_wife";"Tilføj en ny hustru"
"add_news";"Tilføj en nyhed"
"add_note";"Tilføj ny note"
"add_note_lbl";"Tilføj note"
"add_obje";"Tilføj et nyt multimedieobjekt"
"add_sibling";"Tilføj en bror eller en søster"
"add_son_daughter";"Tilføj en søn eller en datter"
"add_source";"Tilføj ny kildehenvisning"
"add_source_lbl";"Tilføj kildehenvisning"
"add_to_cart";"Tilføj til udklipsmappen"
"add_to_my_favorites";"Føj til <b>Mine Favoritter<b>"
"add_unlinked_person";"Tilføj en ny person (uden tilknytninger)"
"add_user";"Opret ny bruger"
"add_wife";"Tilføj kone"
"add_wife_to_family";"Tilføj en hustru til denne familie"
"adding";"Tilføjer"
"additions";"Tilføjelser"
"addmedia";"Tilføj medieredskab"
"address";"Adresse:"
"adds_completed";"Det lykkedes at tilføje medier til Gedcom-fil"
"admin";"Administration"
"admin_approved";"Din konto hos #SERVER_NAME# er blevet godkendt"
"admin_gedcom";"Administrer Gedcom-filer"
"admin_gedcoms";"Klik her for at arbejde med GedcomS."
"admin_geds";"Data og Gedcom-administration"
"admin_info";"Information"
"admin_site";"Websted-administration"
"admin_verification_waiting";"Brugerkonti som afventer godkendelse af administrator"
"administration";"Administration"
"adopted";"Adopteret"
"advanced_conf";"Advancerede indstillinger"
"aft";"efter"
"age";"Alder"
"ahnentafel_report";"Ahnentafel-rapport"
"aka";"Aliaser"
"alive";"Lever"
"alive_in_year";"Lever i året"
"all";"ALLE"
"all_people";"Alle personer"
"alphabet_lower";"Rækkefølge af små bogstaver"
"alphabet_upper";"Rækkefølge af store bogstaver"
"ancestors";"Aner i lige linje med familier"
"ancestry_chart";"Stamtræ"
"and";"og"
"anniversary_calendar";"Mærkedage"
"ansi_encoding_detected";"Der er konstateret ANSI kodning. Genmod virker bedst med UTF-8 kodede filer."
"ansi_to_utf8";"Konverter denne ANSI (ISO-8859-1) kodede Gedcom til UTF-8?"
"append";"Føj til post"
"apr";"april"
"apx";"omtrent"
"arabic_cal";"Arabisk"
"article_text";"Artikeltekst:"
"as_child";"Familie med forældre"
"as_spouse";"Familie med ægtefælle"
"attendant";"Deltagere"
"attending";"Deltager"
"aug";"august"
"author";"Forfatter:"
"back";"Tilbage"
"bad_database_name";"Genmod oprettede forbindelse til din databasevært, men kunne ikke bruge databasen med det navn du indtastede. Kontroller at databasen eksisterer og at dit brugernavn har tiladelse til at anvende den."
"bad_host_user_pass";"Genmod kunne ikke skabe forbindelse til din databasevært. Kontroller værtsnavn, brugernavn og adgangskode og vær sikker på de er korrekte."
"bef";"før"
"bet";"mellem"
"birth";"Fødsel:"
"birth_report";"Fødselsdatarapport"
"birthdate1";"Fødseldatointerval-start"
"birthdate2";"Fødseldatointerval-slut"
"birthplace";"Fødested indeholder"
"block_top10";"Top 10 for efternavnes hyppighed"
"block_top10_descr";"Denne blok viser en tabel med de 10 oftest forekommende efternavne i databasen. Antallet af efternavne i denne boks kan indstilles. Du kan indstille databasen til at fjerne navne fra denne liste."
"block_top10_title";"Hyppigste efternavne"
"bom_check";"BOM-kontrol af sprogfiler"
"bom_found";"Der blev fundet BOM's i"
"bom_not_found";"Ingen BOM's befundet"
"box_width";"Boksvidde"
"broadcast_all";"Til alle brugere"
"brother";"Bror"
"build_error";"En ny Gedcom-fil blev fundet."
"build_title";"Opbygger indeksfiler"
"building_index";"Opbygger indekslister"
"building_indi";"Opbygger person og familie indeks"
"bytes_read";"Bytes læst:"
"cal";"beregnet"
"calc_marr_names";"Tilføj giftenavne"
"call_number";"Arkivnummer:"
"can_admin";"Har Admin rettigheder"
"can_edit";"Har Edit rettigheder"
"cancel";"Annuller"
"cancel_preview";"Tilbage til normal visning"
"cancel_upload";"Afbryd upload"
"cart_is_empty";"Din udklipsmappe er tom."
"challenged";"Anfægtet"
"change_id";"Ændre person-ID til:"
"change_lang";"Skift sprog"
"change_theme";"Skift tema"
"changed_mac";"Der blev konstateret Macintosh-linjetegn. Linjetegn ændret til DOS-type med både CR vognretur og LF linjeskift."
"changed_message";"Indhold ændret"
"changed_places";"Ugyldige stednavnsformateringer. Stednavns poster blev nu tilpasset GEDCOM 5.5's specifikationer. Et eksempel fra din Gedcom-fil er:"
"changelog";"Ændringer i version #VERSION#"
"changes_exist";"Der er lavet ændringer i denne Gedcom-fil."
"changes_occurred";"Følgende ændringer er sket for denne person:"
"changes_present";"Denne Gedcom-fil er blevet ændret og ændringerne afventer godkendelse. Hvis du fortsætter denne import vil ændringerne blive tilføjet databasen uden videre. Du bør vurdere ændringerne inden du fortsætter med at importere."
"chart_style";"Diagramstil"
"charts";"Diagrammer"
"chat";"Chat"
"check";"Kontroller"
"check_delete";"Er du sikker på at du vil slette disse Gedcom data?"
"child";"Barn"
"child-family";"Forældre og søskende"
"children";"Børn"
"children_timeline";"Vis børn på en tidslinje"
"choice";"Valg"
"choose_gedcom";"Vælg et Gedcom datasæt"
"choose_relatives";"Vælg slægtninge"
"choose_report";"Vælg en rapport"
"cir";"cirka"
"circumciser";"Omskærer"
"citation";"Kildehenvisning:"
"civil_registrar";"Registerfører"
"cleanup";"Ryd op"
"cleanup_places";"Opryd stednavne"
"click";"Når musen klikkes"
"click_here_to_continue";"Klik her for at fortsætte."
"click_here_to_go_to_pedigree_tree";"Klik her for at komme til anetræet."
"click_to_add_media";"Klik her for at tilføje medielisten ovenfor til Gedcom-filen #Gedcom#"
"clicking_ok";"Ved klik på OK, åbnes et nyt vindue, hvor du kan kontakte #user[fullname]#"
"clip_cart";"Udklipsmappe"
"clip_explaination";"Familietræets udklipsmappe gør det muligt for dig at tage &quot;udklip&quot; fra dette familietræ og samle disse i en enkelt Gedcom-fil, som kan downloades.<br /><br />"
"clippings_cart";"Familietræ udklipsmappe"
"close_window";"Luk vindue"
"close_window_without_refresh";"Luk vindue uden skærmopdatering"
"comments";"Kommentarer"
"common_surnames";"Hyppigste efternavne"
"common_upload_errors";"Denne fejl betyder formentligt at den fil du prøver at uploade er større end din internetudbyder har tilladt. Standardgrænsen i PHP er 2 Mb. Du kan prøve at få din udbyder til at forhøje denne eller du kan uploade din fil med FTP. Brug <a href="uploadGedcom.php?action=add_form"><b>Tilføj Gedcom</b></a> for at tilføje en Gedcom-fil som du har uploaded med FTP."
"compare";"Sammenlign"
"compare_lang_utility";"Sprogfil sammenligningsredskab"
"comparing";"Sprogfiler, der er sammenlignet"
"confidential";"Fortroligt"
"config_block";"Indstil blok"
"config_file_read";"Indstil fil-læsning."
"config_french";"Fransk"
"config_hebrew";"Hebraisk"
"config_lang_utility";"Indstilling af understøttede sprog"
"config_still_writable";"Din <i>config.php</i> fil er ikke blevet skrivebeskyttet igen. Af sikkerhedshensyn bør du ændre adgangsrettighederne for filen tilbage til read-only når du har færdiggjort indstillingerne for dit websted."
"configuration";"Indstillinger"
"configure";"Indstil Genmod"
"configure_head";"Genmod-indstillinger"
"confirm";"Bekræft adgangskode"
"confirm_delete_person";"Er du sikker på, at du vil slette denne person fra Gedcom-filen?"
"confirm_delete_repo";"Er du sikker på at du vil slette dette arkivsted fra databasen?"
"confirm_delete_source";"Er du sikker på, at du vil slette denne kilde fra Gedcom-filen?"
"confirm_fav_remove";"Er du sikker på at du vil fjerne dette fra <b>Dine Favoritter</b>?"
"confirm_gedcom_delete";"Er du sikker på at du ønsker at slette denne Gedcom"
"confirm_journal_delete";"Vil du virkelig slette dette notat?"
"confirm_message_delete";"Er du sikker på at du vil slette denne besked? Når først den er slettet, kan den ikke gendannes igen."
"confirm_news_delete";"Ønsker du at slette denne nyhedsartikel?"
"confirm_password";"Du skal bekræfte adgangskoden."
"confirm_user_delete";"Er du sikker på, at du vil slette brugeren"
"connections";"Stednavnsforbindelser fundet"
"contact_conf";"Kontaktoplysninger"
"contents";"Indhold"
"continue";"Fortsæt med at tilføje"
"continue_import";"Fortsæt import af steder"
"copy";"Kopier"
"create_repository";"Opret nyt arkivsted"
"create_source";"Opret en ny kilde"
"create_user";"Opret bruger"
"created_fams";"Oprettelse af <i>Familier</i> tabel lykkedes."
"created_fams_fail";"Oprettelse af <i>Personer</i> tabel mislykkedes."
"created_indis";"Oprettelse af <i>Personer</i> tabel lykkedes."
"created_indis_fail";"Oprettelse af <i>Personer</i> tabel mislykkedes."
"created_other";"Oprettelse af <i>Andet</i> tabel lykkedes."
"created_other_fail";"Oprettelse af <i>Kilder</i> tabel mislykkedes."
"created_places";"Oprettelse af <i>Stednavne</i> tabel lykkedes."
"created_places_fail";"Oprettelse af <i>Stednavne</i> tabel mislykkedes."
"created_sources";"Oprettelse af <i>Kilder</i> tabel lykkedes."
"created_sources_fail";"Oprettelse af <i>kilder</i> tabel mislykkedes."
"current_gedcoms";"Nuværende Gedcoms"
"current_users";"Nuværende brugere"
"custom_event";"Selvdefineret begivenhed"
"customize_gedcom_page";"Tilpas velkomstsiden for denne Gedcom-fil"
"customize_page";"Tilpas <b>Min Portal</b>"
"cut";"Klip"
"daily";"Daglig"
"data_incorrect";"Data var ukorrekte!<br />Prøv venligst igen!"
"datachanged";"Brugerdata blev ændret!"
"datachanged_name";"Det vil måske være nødvendigt at logge ind med dit nye brugernavn."
"dataset_exists";"Der er allerede importeret en Gedcom-fil til databasen med dette navn."
"date";"Dato"
"date_created";"Afsendt dato:"
"date_format";"Datoformat"
"date_registered";"Dato for tilmelding"
"dateconvert";"Datokonverteringsredskab"
"daughter";"Datter"
"day";"Dag:"
"day_before_month";"Dag før måned (DD MM ÅÅÅÅ)"
"day_not_set";"Dag er ikke angivet"
"days_to_show";"Antal dage som skal vises"
"db";"Database"
"db_setup_bad";"Dine databaseindstiller er forkerte. Kontrolloer venligst disse og prøv igen."
"dead";"Død"
"death";"Død:"
"dec";"december"
"default_form";"By, Amt, Provins, Land"
"default_form_info";"(Standard)"
"default_news_text";"Slægtsoplysningerne på dette websted fremvises med <a href="http://www.Genmod.net/" target="_blank">Genmod #VERSION#</a>. Denne velkomstside indeholder en introduktion og et overblik af siderne.<br /><br /> For at bruge databasens slægtsdata, kan du enten vælge en af slægtsdiagrammerne på Diagram-menuen, åbne Personlisten eller søge på et personnavn eller et stednavn.<br /><br />Hvis du har problemer med brug af siderne, kan du finde oplysninger via hjælpemenuen, om betjeningen af den side du befinder dig på.<br /><br />Tak for din interesse i dette websted."
"default_news_title";"Velkommen på denne slægtsside"
"default_user";"Opret standardadministrator"
"definitions";"Definitioner"
"delete";"Slet"
"delete_name";"Slet navn"
"delete_person";"Slet denne person"
"delete_repo";"Slet arkivsted"
"delete_selected_messages";"Slet valgte beskeder"
"delete_source";"Slet denne kilde"
"descend_chart";"Efterkommerdiagram"
"descendants";"Efterkommere"
"detected_change";"Genmod har opdaget en ændring i Gedcom-fil #GEDCOM#. Indeks filer skal genopbygges før der kan fortsættes."
"direct-ancestors";"Aner i lige linje"
"disabled";"Slået fra"
"displ_comsurn_conf";"Almindelige efternavne"
"displ_conf";"Visning og udseende"
"displ_hide_conf";"Skjul og vis"
"displ_layout_conf";"Udseende"
"displ_names_conf";"Navne"
"disproved";"Modbevist"
"do_not_change";"Ingen ændringer"
"does_not_exist";"findes ikke"
"download";"Højreklik (control-click på Mac) på link herunder og vælg &quot;Gem som&quot; for at downloade filerne."
"download_file";"Download Fil"
"download_gedcom";"Download Gedcom"
"download_gedconf";"Download Gedcom indstillinger."
"download_here";"Klik her for at downloade fil"
"download_note";"BEMÆRK: Procestiden for store Gedcom-filer kan være lang før download. Hvis PHP får timeout før download er tilendebragt, vil resultatet være en ukomplet downloaded fil. Du kan tjekke den downloadede Gedcom-fil for forekomsten af 0 TRLR linjen i filens slutning, for at se om filen er downloaded korrekt. Generelt vil det tage lige så lang tid at downloade som det tog at importere din Gedcom."
"download_now";"Download nu"
"download_report";"Download rapport"
"drop_tables";"Fjerne de  nuværende tabeller"
"duplicate_username";"Dette brugernavn er allerede i brug. Vælg venligst et andet brugernavn."
"dynasty_list";"Oversigt over familier"
"edit";"Rediger"
"edit_exist_global_facts_settings";"Rediger  fortrolighedsindstillinger for almene oplysninger"
"edit_exist_person_facts_settings";"Rediger eksisterende Persondata-fortrolighedsindstillinger"
"edit_exist_person_privacy_settings";"Rediger fortrolighedsindstillinger for personer"
"edit_exist_user_privacy_settings";"Rediger fortrolighedsindstillinger for brugere"
"edit_fam";"Rediger familie"
"edit_indi";"Rediger person"
"edit_lang_utility";"Sprogfil retteredskab"
"edit_langdiff";"Rediger og indstil sprogfiler"
"edit_name";"Rediger navn"
"edit_news";"Tilføj/Rediger Journal/Nyhedsartikel"
"edit_privacy";"Indstil fortrolighed"
"edit_privacy_title";"Rediger Gedcom fortrolighedssindstillinger"
"edit_raw";"Rediger den rå Gedcom post"
"edit_settings";"Rediger indstillinger"
"editaccount";"Tillad denne bruger at redigere sine kontoinformationer"
"editlang";"Rediger"
"editowndata";"Min konto"
"emailadress";"E-mail adresse:"
"empty_cart";"Tøm udklipsmappen"
"empty_dataset";"Vil du tømme datasættet og indlæse de nye data?"
"empty_lines_detected";"Der blev konstateret tomme linjer i din Gedcom-fil. Ved oprydningen fjernes disse tomme linjer."
"enter_body";"Indtast venligst en beskedinden afsendelse."
"enter_comments";"Skriv venligst din eventuelle tilknytning i kommentar feltet"
"enter_db_pass";"Af sikkerhedshensyn skal du angive #gm_lang[DBUSER]# og #gm_lang[DBPASS]# før du kan ændre indstillingerne."
"enter_email";"Du skal indtaste en e-mail adresse."
"enter_famid";"Indtast familienummer-ID"
"enter_filename";"Du skal indtaste et Gedcom-filnavn."
"enter_fullname";"Du skal indtaste det fulde navn."
"enter_gedcomid";"Du skal indtaste et Gedcom-ID."
"enter_password";"Du skal indtaste en adgangskode."
"enter_pid";"Indtast personnummer-ID"
"enter_report_values";"Indtast rapportparametre"
"enter_subject";"Indtast venligst en tekst i emnelinjen."
"enter_terms";"Indtast søgeord:"
"enter_text";"Indtast venligst teksten i denne nyheds eller journalartikel."
"enter_title";"Indtast en titel."
"enter_username";"Du skal indtaste et brugernavn."
"error_already";"findes i forvejen i din udklipsmappe."
"error_header";"Gedcom-filen, $GEDCOM, findes ikke på det specificerede sted."
"error_header_write";"Der kan ikke skrives til [#Gedcom#] Gedcom-filen. Kontroller venligst filens attributter og adgangsrettigheder."
"error_title";"FEJL: kan ikke åbne Gedcom-filen"
"est";"anslået"
"example_date";"Eksempel på ugyldig dato fra din Gedcom-fil:"
"excel_create";"vil blive gemt på fil:"
"excel_list";"Gem følgende filer i EXCEL (slk-format) (brug først anelisten):"
"excel_tab";"Faneblad"
"exec_time";"Procestid:"
"explain_options";"Hvis du vælger at fjerne tabellerne vil alle data blive udskiftet med denne Gedcom.<br />Hvis du vælger at importere og arbejde med flere samtidige Gedcom-filer, vil Genmod slette alle data, der blev importeret fra Gedcom-fil(er) med samme navn. Denne feature gør det muligt at gemme flere samtidige Gedcom datasæt i de samme tabeller og nemt skifte frem og tilbage mellem disse."
"export";"Eksport"
"export_filename";"Resultatfil"
"export_lang_utility";"Sprogfil eksportredskab"
"export_ok";"Hjælpetekst blev eksporteret"
"extension";"Filtype"
"fact_details";"Vis detailinformation"
"fact_show";"Vis information"
"fam_spouse";"Familie med ægtefælle:"
"families";"Familier"
"family";"Familie"
"family_complete";"Opdatering af familieindeksfil er færdig."
"family_downloaded_from";"Denne familie blev downloaded fra:"
"family_group_info";"Familiegruppeinformation"
"family_group_report";"Familierapport"
"family_info";"Familieinformation"
"family_list";"Familieliste"
"family_private";"Detaljerede oplysninger om denne familie er private. Detaljerede familieoplysninger bliver ikke medtaget."
"family_timeline";"Vis familien på en tidslinje"
"family_with";"Familie med"
"fams_charts";"Indstillinger for familie"
"fams_with_surname";"Familie med efternavnet #surname#"
"fan_chart";"Anehjul"
"fan_width";"Hjulbredde"
"fanchart_IE";"Dette anehjul kan ikke udskrives fra din browser. Højreklik og gem for at printe."
"father";"Far"
"fathers_family_with";"Fars familie med"
"feb";"februar"
"female";"Kvinde"
"file_does_not_exist";"FEJL! Filen findes ikke ..."
"file_exists";"Der findes i forvejen en Gedcom-fil med det navn. Vælg venligst et andet navn, eller slet den gamle fil."
"file_missing";"Der blev ikke modtaget nogen fil. Upload venligst igen."
"file_not_exists";"Det indtastede filnavn kan ikke findes."
"file_not_found";"Fil ikke fundet."
"file_partial";"Filen blev kun delvist uploaded, prøv venligst igen."
"file_read_error";"F E J L  !!! Kunne ikke læse fortrolighedsfil!"
"file_success";"Fil uploaded uden problemer"
"file_to_edit";"Sprogfiltype som skal redigeres"
"file_too_big";"Uploaded fil overskrider tilladt størrelse"
"filter";"Filter"
"find_fam_list";"Find familieliste"
"find_family";"Find familie"
"find_familyid";"Find familie-ID"
"find_id";"Find ID"
"find_individual";"Find person-ID"
"find_media";"Find medie"
"find_place";"Find stednavn"
"find_repository";"Find Arkivsted"
"find_source";"Find kilde"
"find_sourceid";"Find kilde-ID"
"find_specialchar";"Find specialtegn"
"first_letter_fname";"Vælg et bogstav for at vise personer hvis fornavn begynder med dette."
"firstname_search";"Fornavne"
"flagsfile";"Flagfil"
"flushing";"Fjerner indhold"
"follow_spouse";"Find forbindelse via giftemål."
"fontfile_error";"Font fil blev ikke fundet på PHP server"
"for_all_contact";"For teknisk hjælp eller slægtsspørgsmål, kontakt"
"for_contact";"For hjælp med slægtsspørgsmål kontakt"
"for_support";"For hjælp og information kontakt"
"form";"Stednavne vises som:"
"foster";"Foster"
"found_record";"Fandt post"
"friday";"fredag"
"friend";"Ven"
"from";"fra"
"full_name";"Fulde navn"
