"ABBR";"Abréviation"
"_FA5";"Evènement 5"
"_FA6";"Evènement 6"
"_FA7";"Evènement 7"
"_FA8";"Evènement 8"
"_FA9";"Evènement 9"
"_FNRL";"Funérailles"
"_FREL";"Lien avec le père"
"_GEDF";"Fichier GEDCOM"
"_GMU";"Dernière modification par"
"_HAIR";"Couleur des cheveux"
"_HEB";"Hébreu"
"_HEIG";"Taille"
"_HNM";"Nom hébreu"
"_HOL";"Holocauste"
"_INTE";"Inhumation"
"_MARI";"Promesse de mariage"
"_MARNM";"Nom de mariage"
"_MARR_CHIL";"Mariage d'un enfant"
"_MARR_COUS";"Mariage cousin(e) germain(e)"
"_MARR_FATH";"Mariage du père"
"_MARR_FSIB";"Mariage frère/sœur du père"
"_MARR_GCHI";"Mariage d'un petit-enfant"
"_MARR_HSIB";"Mariage demi-frère/sœur"
"_MARR_MOTH";"Mariage de la mère"
"_MARR_MSIB";"Mariage frère/sœur de la mère"
"_MARR_SIBL";"Mariage frère/sœur"
"_MBON";"Lien par mariage"
"_MDCL";"Médical"
"_MEDC";"Condition médicale"
"_MEND";"Fin Mariage (LDS)"
"_MILI";"Militaire"
"_MILT";"Service Militaire"
"_MREL";"Lien avec la mère"
"_MSTAT";"Début Mariage (LDS)"
"_NAME";"Adresse Mailing"
"_NLIV";"Non vivant(e)"
"_NMAR";"Jamais marié(e)"
"_NMR";"Non marié(e)"
"_PRIM";"Image principale"
"_PRMN";"Numéro permanent"
"_SCBK";"Album"
"_SEPR";"Séparé"
"_SSHOW";"Diaporama"
"_STAT";"Statut Mariage"
"_SUBQ";"Version courte"
"_THUM";"Vignette"
"_TODO";"Note"
"_TYPE";"Type MultiMedia"
"_UID";"Identificateur universel (UID)"
"_WEIG";"Poids"
"_YART";"Yartzeit"
