"ABBREVIATE_CHART_LABELS";"Abbreviate chart labels"
"JEWISH_ASHKENAZ_PRONUNCIATION";"Jewish Ashkenaz pronunciation"
"KEEP_ACTIONS";"Retain old ToDo's during re-import"
"LANGUAGE";"Language"
"LANG_SELECTION";"Supported languages"
"LINK_ICONS";"PopUp links on charts"
"LINK_PRIVACY";"Privacy by linked records"
"LISTS_ALL";"Show "ALL" option on person and family list"
"LOCKOUT_TIME";"Minutes to block intruding IP's"
"LOGFILE_CREATE";"Archive log files"
"LOGIN_URL";"Login URL"
"MAX_ALIVE_AGE";"Age at which to assume a person is dead"
"MAX_DESCENDANCY_GENERATIONS";"Maximum Descendancy generations"
"MAX_PEDIGREE_GENERATIONS";"Maximum Pedigree generations"
"MAX_RELATION_PATH_LENGTH";"Max. relation path length"
"MAX_VIEW_RATE";"Maximum page view rate"
"MEDIA_DIRECTORY";"MultiMedia directory"
"MEDIA_DIRECTORY_LEVELS";"Multi-Media directory levels to keep"
"MEDIA_DIRECTORY_HIDE";"MultiMedia directories to hide from directory lists, at any level"
"MEDIA_EXTERNAL";"Keep links"
"MEDIA_FACTS_ADD";"Multimedia Object Add Facts"
"MEDIA_FACTS_UNIQUE";"Unique Multimedia Object Facts"
"MEDIA_ID_PREFIX";"Media ID prefix"
"MEDIA_IN_DB";"Store Multimedia files in the database"
"MEDIA_QUICK_ADDFACTS";"Quick Links for Multimedia Object Facts"
"MERGE_DOUBLE_MEDIA";"Merge embedded media items"
"META_AUDIENCE";"Audience META tag"
"META_AUTHOR";"Author META tag"
"META_AUTHOR_descr";"Leave this field empty to use the full name of the #gm_lang[CONTACT_EMAIL]#."
"META_COPYRIGHT";"Copyright META tag"
"META_COPYRIGHT_descr";"Leave this field empty to use the full name of the  #gm_lang[CONTACT_EMAIL]#."
"META_DESCRIPTION";"Description META tag"
"META_DESCRIPTION_descr";"Leave this field empty to use the title of the currently active database."
"META_KEYWORDS";"Keywords META tag"
"META_PAGE_TOPIC";"Page-topic META tag"
"META_PAGE_TOPIC_descr";"Leave this field empty to use the title of the currently active database."
"META_PAGE_TYPE";"Page-type META tag"
"META_PUBLISHER";"Publisher META tag"
"META_PUBLISHER_descr";"Leave this field empty to use the full name of the  #gm_lang[CONTACT_EMAIL]#."
"META_REVISIT";"How often should crawlers revisit META tag"
"META_ROBOTS";"Robots META tag"
"META_ROBOTS_DENY";"Robots META tag (access denied)"
"META_SURNAME_KEYWORDS";"Add Most Common Surnames to Keywords META field"
"META_TITLE";"Add to TITLE header tag"
"NEWS_TYPE";"Type of Genmod News to display on Admin page"
"GM_NEWS_SERVER";"Server URL of Genmod news server"
"NICK_DELIM";"Show nickname between:"
"NN";"(unknown)"
"NOTE_FACTS_ADD";"General Note Add Facts"
"NOTE_FACTS_UNIQUE";"Unique General Note Facts"
"NOTE_ID_PREFIX";"Note ID prefix"
"NOTE_QUICK_ADDFACTS";"Quick Links for General Note Facts"
"PEDIGREE_FULL_DETAILS";"Show Birth and Death details on Pedigree and Descendancy charts"
"PEDIGREE_LAYOUT";"Default Pedigree chart layout"
"PEDIGREE_ROOT_ID";"Default person for Pedigree and Descendancy charts"
"PHP_TIME_LIMIT";"PHP time limit"
"PN";"(unknown)"
"POSTAL_CODE";"Postal Code position"
"PRIVACY_BY_RESN";"Use GEDCOM (RESN) Privacy restriction"
"PRIVACY_BY_YEAR";"Limit Privacy by age of event"
"PRIV_HIDE";"Hide even from admin users"
"PRIV_NONE";"Show only to admin users"
"PRIV_PUBLIC";"Show to public"
"PRIV_USER";"Show only to authenticated users"
"PROXY_ADDRESS";"Proxy Server Address"
"PROXY_PASSWORD";"Proxy Authentication Password"
"PROXY_PORT";"Proxy Server Port"
"PROXY_USER";"Proxy Authentication Username"
"PinYin_translation";"PinYin:"
"QS_search_click";"Click HERE for search tips!"
"QS_search_tips";"Quick Start Search Tips"
"QUICK_ADD_FACTS";"Facts to show on Quick Update"
"QUICK_ADD_FAMFACTS";"Facts for families to show on Quick Update"
"QUICK_REQUIRED_FACTS";"Facts to always show on Quick Update"
"QUICK_REQUIRED_FAMFACTS";"Facts for families to always show on Quick Update"
"REPO_FACTS_ADD";"Repository Add Facts"
"REPO_FACTS_UNIQUE";"Unique Repository Facts"
"REPO_ID_PREFIX";"Repository ID prefix"
"REPO_QUICK_ADDFACTS";"Quick Links for Repository Facts"
"REQUIRE_ADMIN_AUTH_REGISTRATION";"Require an administrator to approve new user registrations"
"REQUIRE_AUTHENTICATION";"Require visitor authentication"
"RSS_FORMAT";"RSS Format"
"RSS_block_select";"Select blocks to show in RSS feed"
"SEARCHLOG_CREATE";"Archive SearchLog files"
"SERVER_URL";"Genmod URL"
"SHOW_CONTEXT_HELP";"Show contextual <b>?</b> Help links"
"SHOW_COUNTER";"Show hit counters"
"SHOW_DEAD_PEOPLE";"Show dead people"
"SHOW_EMPTY_BOXES";"Show empty boxes on Pedigree charts"
"SHOW_EXTERNAL_SEARCH";"External search tab on indipage (overrides module settings)"
"SHOW_FAM_ID_NUMBERS";"Show ID numbers next to families"
"SHOW_GEDCOM_RECORD";"Allow users to see raw GEDCOM records"
"SHOW_HIGHLIGHT_IMAGES";"Show highlight images in people boxes"
"SHOW_ID_NUMBERS";"Show ID numbers next to names"
"SHOW_LDS_AT_GLANCE";"Show LDS ordinance codes in chart boxes"
"SHOW_LIVING_NAMES";"Show living names"
"SHOW_MARRIED_NAMES";"Show married names on Individual list"
"SHOW_NICK";"Show nicknames in person names"
"SHOW_PARENTS_AGE";"Show age of parents next to child's birthdate"
"SHOW_PEDIGREE_PLACES";"Place levels to show in person boxes"
"SHOW_QUICK_RESN";"Show privacy fields on #gm_lang[quick_update_title]# form"
"SHOW_RELATIVES_EVENTS";"Show events of close relatives on Individual page"
"SHOW_RESEARCH_LOG";"Show ToDo's"
"SHOW_SOURCES";"Show sources"
"SHOW_STATS";"Show execution statistics"
"SITE_ALIAS";"Alternative site URL's"
"SOURCE_ID_PREFIX";"Source ID prefix"
"SOUR_FACTS_ADD";"Source Add Facts"
"SOUR_FACTS_UNIQUE";"Unique Source Facts"
"SOUR_QUICK_ADDFACTS";"Quick Links for Source Facts"
"SPLIT_PLACES";"Split places in Edit mode"
"SUPPORT_METHOD";"Support method"
"TBLPREFIX";"Database Table Prefix"
"THEME_DIR";"Theme directory"
"THUMBNAIL_WIDTH";"Width of generated thumbnails"
"UNDERLINE_NAME_QUOTES";"Underline names in quotes"
"USE_QUICK_UPDATE";"Use #gm_lang[quick_update_title]# form"
"USE_REGISTRATION_MODULE";"Allow visitors to request account registration"
"USE_RELATIONSHIP_PRIVACY";"Use relationship privacy"
"USE_RIN";"Use RIN number instead of GEDCOM ID"
"USE_RTL_FUNCTIONS";"Use RTL processing"
"USE_THUMBS_MAIN";"Use thumbnail for main picture on Individual page"
"VISITOR_LANG";"Initial visitor language"
"WEBMASTER_EMAIL";"Support contact"
"WELCOME_TEXT_AUTH_MODE";"Welcome text on Login page in Authentication mode"
"WELCOME_TEXT_AUTH_MODE_CUST";"Custom Welcome text for Authentication mode"
"WELCOME_TEXT_AUTH_MODE_CUST_HEAD";"Standard header for custom Welcome text"
"WELCOME_TEXT_AUTH_MODE_OPT1";"Predefined text that states all users can request a user account"
"WELCOME_TEXT_AUTH_MODE_OPT2";"Predefined text that states admin will decide on each request for a user account"
"WELCOME_TEXT_AUTH_MODE_OPT3";"Predefined text that states only family members can request a user account"
"WELCOME_TEXT_AUTH_MODE_OPT4";"Choose user defined welcome text typed below"
"WORD_WRAPPED_NOTES";"Add spaces where notes were wrapped"
"ZOOM_BOXES";"Zoom boxes on charts"
"about_user";"You must first create your main administrative user.  This user will have privileges to update the configuration files, view private data, and create other users."
"abt";"about"
"accept";"Accept"
"accept_all";"Accept all changes"
"accept_all_confirm";"Are you sure you want to accept all of the changes for this file?"
"accept_changes";"Accept / Reject Changes"
"accept_gedcom";"Decide for each change to either accept or reject it.<br /><br />To accept all changes at once, click <b>"Accept all changes"</b> in the box below.<br />To get more information about a change,<br />click <b>"View change diff"</b> to see the differences,<br />or click <b>"View GEDCOM record"</b> to see the new data in GEDCOM format."
"accept_successful";"Changes successfully accepted into database"
"access";"Access"
"access_denied";"<b>Access Denied</b><br />You do not have access to this resource."
"accessible_by";"Show to?"
"accesskey_contact";"4"
"accesskey_family_children_timeline";"D"
"accesskey_family_gedcom";"G"
"accesskey_family_parents_timeline";"P"
"accesskey_family_timeline";"T"
"accesskey_help_content";"2"
"accesskey_help_current_page";"3"
"accesskey_home_page";"1"
"accesskey_individual_descendancy";"D"
"accesskey_individual_details";"I"
"accesskey_individual_gedcom";"G"
"accesskey_individual_media";"A"
"accesskey_individual_notes";"N"
"accesskey_individual_pedigree";"P"
"accesskey_individual_relation_to_me";"M"
"accesskey_individual_relations";"E"
"accesskey_individual_relatives";"R"
"accesskey_individual_research_log";"L"
"accesskey_individual_sources";"O"
"accesskey_individual_timeline";"T"
"accesskey_search";"S"
"accesskey_skip_to_content";"C"
"accesskey_skip_to_content_desc";"Skip to Content"
"accesskey_viewing_advice";"0"
"accesskey_viewing_advice_desc";"Viewing advice"
"accesskeys";"Keyboard Shortcuts"
"account_information";"Account Information"
"accpriv_conf";"Access"
"action";"Action"
"action0";"Open"
"action1";"Closed"
"action_for_id";"ToDo relates to"
"action_linking";"Links from ToDo's"
"actionlist";"ToDo List"
"active";"Active"
"add";"Add"
"add_action";"Add actions to the various record types"
"add_another";"Add another person to chart:<br />Person ID:"
"add_asso";"Add a new Associate"
"add_child";"Add child"
"add_child_to_family";"Add a child to this family"
"add_directory";"Add directory"
"add_fact";"Add new fact"
"add_faq_body";"FAQ Body"
"add_faq_header";"FAQ Header"
"add_faq_item";"Add FAQ item"
"add_father";"Add a new father"
"add_fav_enter_id";"Enter a Person, Family, or Source ID"
"add_fav_enter_note";"Enter an optional note about this favorite"
"add_fav_or_enter_url";"OR<br />Enter a URL and a title"
"add_favorite";"Add a new favorite"
"add_from_clipboard";"Add from Clipboard: "
"add_gedcom";"Add file"
"add_gedcom_instructions";"Enter a file name for this new GEDCOM.  The new GEDCOM file will be created in the Index directory: #INDEX_DIRECTORY#"
"add_gender";"Add gender"
"add_gnote";"Add a (link to) a General Note"
"add_gnote_lbl";"Link General Note"
"add_husb";"Add husband"
"add_husb_to_family";"Add a husband to this family"
"add_info_links";"Additional info & links"
"add_journal";"Add a new Journal entry"
"add_lockout";"Enter IP address or username to lockout"
"add_media";"Add a new Media item"
"add_media_button";"Add Media"
"add_media_descr";"This tool will add media OBJE tags to the database.  Close this window when you have finished adding media."
"add_media_lbl";"Add Media"
"add_media_link";"Click to add a link"
"add_media_link_lbl";"Add link to this item"
"add_media_records";"Add Media records"
"add_media_tool";"Add Media Tool"
"add_mother";"Add a new mother"
"add_name";"Add new Name"
"add_new_chil";"Add a new child"
"add_new_gedcom";"Create a new file"
"add_new_gf_setting";"Add new setting for Global Fact Level Privacy"
"add_new_husb";"Add a new husband"
"add_new_lang_button";"Add new language"
"add_new_language";"Add files and settings for a new language"
"add_new_language_desc";"This routine lets you add a new, previously unavailable and completely unsupported language to Genmod.<br /><br />You can set up the standard settings of the new language.  These include language detection code, language direction, start of the week for this language, time settings, alphabet, etc.<br /><br />You will get more help on the settings of languages supported by Genmod after selecting the language and clicking the <b>#gm_lang[add_new_lang_button]#</b> button.<br /><br />More help is available on the Configuration page for the language.<br />"
"add_new_pf_setting";"Add new setting for Specific Fact Level Privacy"
"add_new_pf_setting_indi";"Add new setting for Specific Fact Level Privacy for individuals"
"add_new_pf_setting_source";"Add new setting for Specific Fact Level Privacy for sources"
"add_new_pp_setting";"Add new setting for Record Level Privacy"
"add_new_up_setting";"Add new setting for User Related Privacy"
"add_new_wife";"Add a new wife"
"add_news";"Add a News article"
"add_note";"Add a new Note"
"add_note_lbl";"Add Note"
"add_obje";"Add a new Multimedia object"
"add_sibling";"Add a brother or sister"
"add_site_to_favs";"Add this website to your favorites"
"add_son_daughter";"Add a son or daughter"
"add_source";"Add a new Source Citation"
"add_source_citation_to_fact";"Add full source citation to facts"
"add_source_citation_to_person";"Add source citation to person only"
"add_source_lbl";"Add Source Citation"
"add_source_reference_to_fact";"Add source reference to facts (no citation text)"
"add_to_cart";"Add to Clippings Cart"
"add_to_my_favorites";"Add to My Favorites"
"add_todo";"Create new ToDo item"
"add_unlinked_person";"Add an unlinked person"
"add_user";"Add a new user"
"add_wife";"Add wife"
"add_wife_to_family";"Add a wife to this family"
"adding";"Adding"
"additions";"Additions"
"addmedia";"Add Media tool"
"address";"Address:"
"address_labels";"Address Labels"
"address_list";"Address List"
"adds_completed";"Media successfully added to GEDCOM file."
"admin";"Admin"
"admin_approved";"Your account at #SERVER_NAME# has been approved"
"admin_gedcom";"Admin GEDCOM"
"admin_gedcoms";"Click here to administer files"
"admin_geds";"Data and GEDCOM administration"
"admin_info";"Informational"
"admin_site";"Site administration"
"admin_user_warnings";"One or more user accounts have warnings"
"admin_verification_waiting";"User accounts awaiting verification by admin"
"administration";"Administration"
"administration_maintenance";"Administration - Maintenance"
"administrator";"Administrator"
"adopted";"Adopted"
"adopted_brother";"Adoptive brother"
"adopted_child";"Adopted child"
"adopted_daughter";"Adopted daughter"
"adopted_father";"Adoptive father"
"adopted_mother";"Adoptive mother"
"adopted_parents";"with adoptive parents"
"adopted_sister";"Adoptive sister"
"adopted_son";"Adopted son"
"advanced_conf";"Advanced Configuration Options"
"aft";"after"
"after";"after"
"age";"Age"
"age_privacy";"Age related Privacy settings"
"ahnentafel_born_f";"was born"
"ahnentafel_born_m";"was born"
"ahnentafel_buried_f";"was buried"
"ahnentafel_buried_m";"was buried"
"ahnentafel_christened_f";"was christened"
"ahnentafel_christened_m";"was christened"
"ahnentafel_died_f";"died"
"ahnentafel_died_m";"died"
"ahnentafel_generation";"Generation "
"ahnentafel_header";"Ahnentafel Report for "
"ahnentafel_married_f";"married"
"ahnentafel_married_m";"married"
"ahnentafel_no_details";"but the details are unknown"
"ahnentafel_place";"in "
"ahnentafel_pronoun_f";"She "
"ahnentafel_pronoun_m";"He "
"ahnentafel_report";"Ahnentafel Report"
"aiy_narrowyears";"Use highest possible birthyear and lowest possible death year"
"aiy_trueyears";"Only use true birth/death dates"
"aiy_usemaa";"If no birth or death date present, assume the maximum alive age (generally 120 years) between them"
"aiy_wideyears";"Use lowest possible birthyear and highest possible death year"
"aka";"AKAs"
"aliaslogin";"You cannot use aliases and login URL's at the same time. Leave either empty."
"alive";"Alive "
"alive_in_year";"Alive in Year"
"all";"ALL"
"all_loaded";"All language files have been loaded successfully"
"all_not_loaded";"Not all language files have been loaded successfully"
"all_people";"All People"
"all_sections";"All Sections"
"all_users";"All users"
"alpha_index";"Alphabetical Index"
"alphabet_lower";"Alphabet lower case"
"alphabet_upper";"Alphabet upper case"
"ancestors";"Direct line ancestors and their families"
"ancestry_chart";"Ancestry Chart"
"and";"and"
"anniversary_calendar";"Calendar"
"anon_user";"1 anonymous logged-in user"
"anon_users";"#gm_lang[global_num1]# anonymous logged-in users"
"ansi_encoding_detected";"ANSI file encoding detected.	Genmod works best with files encoded in UTF-8."
"ansi_to_utf8";"Convert this ANSI encoded GEDCOM to UTF-8?"
"append";"Append record"
"apply_privacy";"Apply privacy settings?"
"approve_first";"Please approve pending changes for this record first."
"apr";"April"
"apx";"approx."
"arabic_cal";"Arabic"
"article_text";"Entry Text:"
"as_adoptedchild";"Family with adoptive parents"
"as_child";"Family with Parents"
"as_fosterchild";"Family with fosterparents"
"as_sealingchild";"Family with sealed parents"
"as_spouse";"Family with Spouse"
"asso_alia";"Associate/Alias"
"associate";"associate"
"associate_of";"Associate of"
"associate_with";"Associate with"
"attempt_auto_acc";"Attempt to accept this change immediately"
"attendant";"Attendant"
"attending";"Attending"
"aug";"August"
"aunt";"Aunt"
"author";"Author:"
"auto_accept_options";"Auto Accept options"
"auto_continue";"Automatically press the "Continue" button"
"auto_thumbs";"Auto-generate"
"autocomplete";"Autocomplete"
"available_blocks";"Available Blocks"
"back";"Back"
"back_useradmin";"Back to User Administration"
"bad_database_name";"Genmod made a connection to your database host, but was unable to use the database with the name you entered.  Check that the database exists and that the username you entered has the appropriate permissions on that database."
"bad_host_user_pass";"Genmod was unable to make a connection to your database host.  Check the host, username, and password to make sure they are correct."
"basic_or_all";"Show only Births, Deaths, and Marriages?"
"bdm";"Births, Marriages, Deaths"
"bef";"before"
"before";"before"
"before_or_after";"Place counts before or after name?"
"bet";"between"
"biological";"Biological"
"birth";"Birth:"
"birth_report";"Birth Date and Place Report"
"birthdate1";"Birth Date range start"
"birthdate2";"Birth Date range end"
"birthplac";"Birth place"
"birthplace";"Birth Place contains"
"birthyear";"Birth year"
"block_default_index";"~Default blocks on #gm_lang[welcome]# page~<br /><br />When you remove all entries from the #gm_lang[main_section]# and #gm_lang[right_section]# lists, or when you click the <b>#gm_lang[reset_default_blocks]#</b> button, the block list will be set as follows:<br /><br /><center><table border="1"><tr><td class="list_value"><b>#gm_lang[main_section]#</b></td><td class="list_value"><b>#gm_lang[right_section]#</b></td></tr><td>#gm_lang[gedcom_stats_block]#<br />#gm_lang[gedcom_news_block]#<br />#gm_lang[gedcom_favorites_block]#<br />#gm_lang[review_changes_block]#</td><td>#gm_lang[gedcom_block]#<br />#gm_lang[random_media_block]#<br />#gm_lang[todays_events_block]#<br />#gm_lang[logged_in_users_block]#</td></tr></table></center><br />"
"block_default_portal";"~Default blocks on #gm_lang[mygenmod]# page~<br /><br />When you remove all entries from the #gm_lang[main_section]# and #gm_lang[right_section]# lists, or when you click the <b>#gm_lang[reset_default_blocks]#</b> button, the block list will be set as follows:<br /><br /><center><table border="1"><tr><td class="list_value"><b>#gm_lang[main_section]#</b></td><td class="list_value"><b>#gm_lang[right_section]#</b></td></tr><td>#gm_lang[todays_events_block]#<br />#gm_lang[user_messages_block]#<br />#gm_lang[user_favorites_block]#<br />&nbsp;</td><td>#gm_lang[welcome_block]#<br />#gm_lang[random_media_block]#<br />#gm_lang[upcoming_events_block]#<br />#gm_lang[logged_in_users_block]#</td></tr></table></center><br />"
"block_desc";"Block Descriptions"
"block_not_configure";"This block cannot be configured."
"block_summaries";"<table class='NavBlockTable AdminNavBlockTable'><tr><td class='NavBlockHeader AdminNavBlockHeader' colspan='2'><span class='AdminNavBlockTitle'>~#gm_lang[block_desc]#~</span><br />Here is a short description of each of the blocks you can place on the #gm_lang[welcome]# or #gm_lang[mygenmod]# page.</td></tr><tr><td class='NavBlockColumnHeader'>#gm_lang[name]#</td><td class='NavBlockColumnHeader'>#gm_lang[description]#</td></tr>#gm_lang[block_summary_table]#</table>"
"block_top10";"Top 10 Surnames"
"block_top10_descr";"This block shows a table of the 10 most frequently occurring surnames in the database.  The actual number of surnames shown in this block is configurable.  You can configure the GEDCOM to remove names from this list."
"block_top10_title";"Top 10 Surnames"
"bom_check";"Byte Order Mark (BOM) check"
"bom_check_desc";"This check will analyze all the language files for the BOM (Byte Order Mark). If found, it will remove the BOM from the affected file. These special codes can cause malfunctions in some parts of Genmod."
"bom_found";"BOM has been found in "
"bom_not_found";"No BOM has been found."
"bottom";"Bottom"
"box_width";"Box width"
"broadcast_all";"Broadcast to all users"
"broadcast_never_logged_in";"Send message to users who have never logged in"
"broadcast_not_logged_6mo";"Send message to users who have not logged in for 6 months"
"brother";"Brother"
"brother-in-law";"Brother-in-law"
"build_error";"GEDCOM file has been updated."
"build_isdead";"Build unknown isdead statusses for individuals"
"build_title";"Building Index Files"
"building_index";"Building Index lists"
"building_indi";"Building Individual and Family Index"
"bytes_read";"Bytes read:"
"cal";"calculated"
"calc_marr_names";"Calculating Married Names"
"call_number";"Call Number:"
"can_admin";"User can administer"
"can_edit";"Access level"
"cancel";"Cancel"
"cancel_preview";"Back to normal view"
"cancel_upload";"Cancel Upload"
"cannot_create_file";"The file cannot be created. Check path name, acces rights etc."
"cart_is_empty";"Your Clippings Cart is empty."
"center";"Center"
"challenged";"Challenged"
"change";"Change"
"change_family_instr";"Use this page to change or remove family members.<br /><br />For each member in the family, you can use the Change link to choose a different person to fill that role in the family.  You can also use the Remove link to remove that person from the family.<br /><br />When you have finished changing the family members, click the Save button to save the changes.<br />"
"change_family_members";"Change Family Members"
"change_id";"Change Individual ID to:"
"change_lang";"Change Language"
"change_theme";"Change Theme"
"change_type";"Change type"
"changed_mac";"Macintosh line endings detected. All lines ending with only CR (Ctrl M) were changed to end with a CR (Ctrl M) followed by LF (Ctrl J).  This changed the internal file format from Macintosh to DOS as required by Genmod."
"changed_message";"Changed content"
"changed_places";"Invalid Place encodings detected. Cleaned up place records to match proper GEDCOM 5.5 specifications.  An example from your input GEDCOM is:"
"changedate1";"Ending range of change dates"
"changedate2";"Starting range of change dates"
"changelog";"Version #VERSION# changes"
"changes_accepted_tot";"Total accepted changes: "
"changes_exist";"Changes have been made to this file."
"changes_occurred";"The following changes were made to this individual:"
"changes_pending_tot";"Total pending changes: "
"changes_present";"The current GEDCOM has changes pending review.  If you continue this Import, these pending changes will be posted to the database immediately.  You should review the pending changes before continuing the Import."
"changes_report";"Changes Report"
"chart_booklet";"Booklet"
"chart_list";"List"
"chart_style";"Chart style"
"charts";"Charts"
"chat";"Chat"
"check";"Check"
"check_delete";"Are you sure you want to delete this fact?"
"check_md5";"Check file versions of this installation"
"child";"Child"
"child-family";"Parents and siblings"
"child_present";"This person is already a member of this family."
"children";"Children"
"children_timeline";"Show children on timeline chart"
"choice";"Choice"
"choose";"Choose: "
"choose_gedcom";"Choose a GEDCOM dataset"
"choose_priv";"Choose privacy level:"
"choose_relatives";"Choose relatives"
"choose_report";"Choose a report to run"
"cir";"circa"
"circumciser";"Circumciser"
"citation";"Citation:"
"civil_registrar";"Civil Registrar"
"cleanup";"Cleanup"
"cleanup_failed";"Cleanup failed"
"cleanup_messages";"View/cleanup user messages"
"cleanup_older";"Cleanup older than"
"cleanup_places";"Cleanup Places"
"cleanup_success";"Cleanup successful"
"cleanup_users";"Cleanup users"
"clear_clipboard";"Clear facts on clipboard"
"click";"On Mouse Click"
"click_details";"Click to show file details"
"click_for";"Click for:"
"click_here";"Click here to continue"
"click_here_to_continue";"Click here to continue."
"click_here_to_go_to_pedigree_tree";"Click here to go to the Pedigree tree."
"click_mm_links";"Click to show Multimedia links"
"click_to_add_media";"Click here to add the Media listed above to GEDCOM #GEDCOM#"
"clicking_ok";"When you click OK, another window will open and you may contact #user[fullname]#"
"clip_cart";"Clippings Cart"
"clip_explaination";"The Family Tree Clippings Cart allows you to taking &quot;clippings&quot; from this family tree and bundle them up into a single file for downloading in GEDCOM format.<br /><br />"
"clippings_cart";"Clippings Cart"
"clippings_download";"Download clippings"
"close_window";"Close Window"
"close_window_without_refresh";"Close Window Without Reloading"
"comment";"Admin comments on user"
"comment_exp";"Admin warning at date"
"comments";"Comments"
"common_surnames";"Most Common Surnames"
"common_upload_errors";"This error probably means that the file you tried to upload exceeded the limit set by your host.  The default limit in PHP is 2MB.  You can contact your host's Support group to have them increase the limit in the php.ini file, or you can upload the file using FTP.  Use the <a href="uploadgedcom.php?action=add_form"><b>Add GEDCOM</b></a> page to add a GEDCOM file you have uploaded using FTP."
"compare";"Compare"
"compare_lang_utility";"Language File Comparison Utility"
"compare_lang_utility_desc";"This utility will compare two sets of language files to produce a list of the additions and subtractions between them.<br /><br />Read also the file <a href="languages/LANG_CHANGELOG.txt" target="_blank">LANG_CHANGELOG.txt</a> for changes to the English version.  The English files should be used as the reference from which all others are produced."
"comparing";"Language files that are compared"
"comparing_facts";"Facts"
"comparing_helptext";"Help texts"
"comparing_main";"Main texts"
"confidential";"Confidential"
"config_block";"Configure"
"config_file_read";"Config file read."
"config_french";"French"
"config_hebrew";"Hebrew"
"config_lang_utility";"Configuration of supported languages"
"config_maint";"Enterprise mode site configurations"
"config_still_writable";"Your <i>config.php</i> file is still writable.  For security, you should set the permissions of this file back to read-only when you have finished configuring your site."
"config_update_ok";"Configuration succesfully updated"
"configuration";"Configuration"
"configure";"Configure Genmod"
"configure_head";"Genmod Configuration"
"configured_languages";"Languages used"
"confirm";"Confirm Password"
"confirm_count_delete";"Delete Hit Counters for"
"confirm_delete_file";"Are you sure you want to delete this file?"
