"Genmod_message";"Genmod viesti"
"change_family_instr";"Tällä sivulla voi muuttaa tai poistaa perheenjäseniä. <br /><br />Jokaselle perheenjäsenelle voit käyttää "Muuta"-linkkiä valitsemaan eri  henkilön kyseiseen asemaan perheessä. Henkilön voi myös poistaa perheestä käyttämällä "Poista"-linkkiä.<br /><br />Muutosten jälkeen näpäytä "Tallenna"-painiketta muutosten tallentamiseksi.<br />"
"change_family_members";"Muuta perheenjäseniä"
"change_id";"Muuta henkilö-ID:"
"change_lang";"Vaihda kieli"
"change_theme";"Vaihda teema"
"changed_mac";"Havaittu Macintosh rivinpäätös. Muutettiin rivin päätös pelkällä palautuksella palautuksella ja rivinvaihdolla."
"changed_places";"Havaittiin virheellinen paikkakoodi. Korjattu paikkatietueet  vastaamaan GEDCOM 5.5 määrittelyä. Esimerkki GEDCOM-tiedostostasi: "
"changelog";"Version #VERSION# muutoksia"
"changes_exist";"Tämä GEDCOM on muutettu."
"changes_occurred";"Seuraavat muutokset on tehty henkilölle:"
"changes_present";"Tässä GEDCOM-tiedostossa on vielä hyväksymättömiä muutoksia jotka menetetään tuotaessa uusi tiedosto."
"chart_booklet";"Kirjanen"
"chart_list";"Luettelo"
"chart_style";"Kaavion tyyli"
"charts";"Kaaviot"
"chat";"Rupattelu"
"check_delete";"Haluatko varmasti poistaa tämän GEDCOM tiedon?"
"child";"Lapsi"
"child-family";"Vanhemmat ja sisarukset"
"children";"Lapset"
"children_timeline";"Näytä lapset aikajanalla"
"choose_gedcom";"Valitse GEDCOM sukutiedosto"
"choose_priv";"Valitse yksityisyystaso:"
"choose_relatives";"Valitse sukulaiset"
"choose_report";"Valitse ajettava raportti"
"cir";"noin"
"circumciser";"Ympärileikkaaja"
"citation";"Lainaus:"
"civil_registrar";"Siviilirekisteriviranomainen"
"cleanup";"Siivoa"
"cleanup_places";"Siivoa paikkatiedot"
"click_here";"Näpäytä tästä jatkaaksesi"
"click_here_to_go_to_pedigree_tree";"Näpäytä tästä mennäksesi sukupuuhun."
"click_to_add_media";"Näpäytä tästä lisätäksesi yllä luetellut mediat GEDCOM-tiedostoon #GEDCOM#"
"clicking_ok";"Klikkaa OK ja uusi ikkuna avautuu, josta voit ottaa yhteyttä henkilöön #user[fullname]#"
"clip_cart";"Leikekori"
"clip_explaination";"Sukupuun leikekori mahdollistaa &quot;leikkeiden&quot; ottamisen tästä sukupuusta ja niiden ryhmittelyn yhteen GEDCOM-tiedostoon ladattavaksi omalle koneelle.<br /><br />"
"clippings_cart";"Sukupuun leikekori"
"close_window";"Sulje ikkuna"
"close_window_without_refresh";"Sulje ikkuna lataamatta sitä uudelleen"
"comment";"Ylläpitäjän kommentit käyttäjästä"
"comment_exp";"Ylläpitäjän varoitus päivämäärällä "
"comments";"Kommentteja"
"common_surnames";"Yleisimmät sukunimet"
"common_upload_errors";"Tämä virhe tarkoittaa luultavasti, että yritit ladata suurempaa tiedotoa kuin mitä palvelin sallii. Oletusraja on 2 MB. Ota yhteyttä ylläpitäjään saadaksesi suuremman raja-arvon php.ini-tiedostossa tai yritä ladata tiedosto käyttämällä FTP-tiedostonsiirtoa. Käytä sivua <a href="uploadgedcom.php?action=add_form">Lisää GEDCOM</a> ladataksesi palvelimelle GEDCOM-tiedoston käyttämällä FTP:tä."
"confidential";"Luottamuksellinen"
"config_block";"Konfiguroi alue"
"configuration";"Konfigurointi"
"confirm";"Vahvista salasana"
"confirm_delete_person";"Haluatko varmasti poistaa henkilön GEDCOM tiedostosta?"
"confirm_delete_repo";"Oletko varma, että haluat poistaa tämän tietovaraston GEDCOM-tiedostosta?"
"confirm_delete_source";"Haluatko varmasti poistaa lähteen GEDCOM tiedostosta?"
"confirm_faq_delete";"Haluatko varmasti poistaa FAQ-kysymyksen?"
"confirm_fav_remove";"Haluatko varmasti poistaa tämän tietueen suosikeistasi?"
"confirm_journal_delete";"Haluatko varmasti poistaa tämän päiväkirja merkinnän?"
"confirm_message_delete";"Haluatko varmasti poistaa tämän ilmoituksen? Sitä ei voi palauttaa myöhemmin."
"confirm_news_delete";"Haluatko varmasti poistaa tämän uutisen?"
"confirm_password";"Salasana on toistettava."
"confirm_remove";"Haluatko todella poistaa tämän henkilön perheestä?"
"confirm_user_delete";"Haluatko varmasti poistaa käyttäjän?"
"connections";"Paikkalinkki löytynyt"
"continue";"Jatka lisäämistä"
"continue_import";"Jatka paikkojen tuontia"
"copy";"Kopioi"
"cousin-in-law";"Puolison serkku"
"create_repository";"Luo tietovarasto"
"create_source";"Luo uusi lähde"
"create_user";"Luo uusi käyttäjä"
"created_fams";"<i>Perheet</i> taulun luonti onnistui."
"created_fams_fail";"<i>Perheet</i> taulun luonti ei onnistunut."
"created_indis";"<i>Henkilöt</i> taulun luonti onnistui."
"created_indis_fail";"<i>Henkilöt</i> taulun luonti ei onnistunut."
"created_other";"<i>Muut</i> taulun luonti onnistui."
"created_other_fail";"<i>Muut</i> taulun luonti ei onnistunut."
"created_placelinks";"<i>Paikkalinkit</i>-taulu luotiin."
"created_placelinks_fail";"<i>Paikkalinkit</i>-taulua ei voitu luoda."
"created_places";"<i>Paikat</i> taulun luonti onnistui."
"created_places_fail";"<i>Paikat<i> taulun luonti ei onnistunut."
"created_sources";"<i>Lähteet</i> taulun luonti onnistui."
"created_sources_fail";"<i>Lähteet</i> taulun luonti ei onnistunut."
"current_dir";"Nykyinen hakemisto"
"current_users";"Nykyinen käyttäjälista"
"custom_event";"Erikoistapahtuma"
"customize_gedcom_page";"Muokkaa GEDCOM portaalia"
"customize_page";"Muokkaa oma portaalisi"
"cut";"Leikkaa"
"data_incorrect";"Tiedot eivät ole oikeita!<br />Yritä uudelleen!"
"datachanged";"Käyttätiedot muutettu!"
"datachanged_name";"Sinun on ehkä kirjouduttava uudelleen uudella käyttäjätunnuksellasi."
"dataset_exists";"Tämän niminen GEDCOM-tiedosto on jo tuotu tietokantaan "
"date";"Päiväys"
"date_created";"Luontipäivä:"
"date_registered";"Rekisteröintipäivä"
"dateconvert";"Päivämäärän muunnostyökalu"
"daughter";"Tytär"
"daughter-in-law";"Miniä"
"day";"Päivä:"
"day1";"päivä"
"day_before_month";"Päivä ennen kuukautta (DD MM YYYY)"
"day_not_set";"Päivää ei ole asetettu"
"days";"päivää"
"days_to_show";"Näytettävien päivien lukumäärä"
"dead";"Kuollut"
"death";"Kuollut:"
"dec";"joulukuu"
"deceased";"Kuollut"
"default_form";"Talo, kylä, pitäjä, lääni"
"default_form_info";"(Oletusasetus)"
"default_news_text";"Tätä sukututkimussivustoa käyttää  <a href="http://www.Genmod.net/" target="_blank">Genmod #VERSION#</a>. Tämä sivu johdattelee tähän sukututkimukseen. Aloittaaksesi tietojen käsittelyn, valitse yksi kaaviomalli kaaviovalikosta, mene henkilöluetteloon tai hae nimi tai paikka.<br /><br />Mikäli sinulla on vaikeuksia käyttää sivustoa, näpäyttämällä Ohje-valikkoa saat tietoa kuinka käyttää parhaillaan katselemaasi sivua. <br /><br />Kiitos kun käyt tällä sivustolla."
"default_news_title";"Tervetuloa sukututkimukseesi"
"definitions";"Määritelmiä"
"delete";"Pyyhi"
"delete_dir_success";"Media- ja pienoiskuvahakemistot poistettu."
"delete_directory";"Poista hakemisto"
"delete_family";"Poista perhe"
"delete_family_confirm";"Perheen poistaminen poistaa kaikki henkilöiden väliset linkit mutta jättää henkilöt paikalleen. Haluatko todella poistaa tämän perheen?"
"delete_file";"Poista tiedosto"
"delete_name";"Pyyhi nimi"
"delete_person";"Poista tämä henkilö"
"delete_repo";"Poista tietovarasto"
"delete_selected_messages";"Poista merkityt viestit"
"delete_source";"Poista lähde"
"descend_chart";"Jälkipolvet"
"descendants";"Jälkipolvet"
"description";"Kuvaus"
"detected_change";"Genmod havaitsi muutoksen GEDCOM tiedostossa #GEDCOM#. Indeksitiedostot täytyy nyt päivittää ennen jatkamista."
"direct-ancestors";"Esipolvet suoraan ylenevässä polvessa"
"directory_not_empty";"Hakemisto ei ole tyhjä."
"directory_not_exist";"Hakemistoa ei ole."
"display_all";"Näytä kaikki"
"disproved";"Ei hyväksytty"
"do_not_change";"Älä muuta"
"download";"Näpäytä hiiren oikealla napilla (tai control + näpäys Mac-koneessa) alla olevaa linkkiä ja valitse &quot;Tallenna kohde nimellä&quot; ladataksesi tiedostot koneellesi."
"download_gedcom";"Lataa koneesta GEDCOM-tiedosto"
"download_note";"HUOMAA: Suurten GEDCOM-tiedostojen käsittely saattaa viedä pikän ajan ennen niiden latausta. Jos PHP ilmoittaa ajan loppuneen ennenkuin lataus on viety loppuun saattaa olla, että lataus ei ole täydellinen.<br /><br />Voit tarkastaa ladatun GEDCOM-tiedoston etsimällä rivi <b>0&nbsp;TRLR</b> tiedoston lopusta varmistaaksesi latauksen onnistumisen.<br /><br />Yleensä latausaika saattaa olla yhtä pitkä kuin tuontiaika GEDCOM-tiedostollesi."
"download_now";"Lataa nyt omalle koneelle"
"download_report";"Talleta raportti"
"download_zipped";"Lataa GEDCOM-tiedosto koneellesi ZIP-tiedostona?"
"drop_tables";"Pudota nykyiset taulukot"
"duplicate_username";"Tämä käyttäjätunnus on jo olemassa. Palaa ja valitse toinen käyttäjätunnus."
"dynasty_list";"Perheiden yleiskuvaus"
"edit";"Editoi"
"edit_fam";"Editoi perhettä"
"edit_indi";"Editoi henkilöä"
"edit_langdiff";"Editoi ja konfiguroi kielitiedostoja"
"edit_name";"Muuta nimi"
"edit_news";"Muuta päiväkirja/uutisartikkeli merkintä"
"edit_raw";"Editoi GEDCOM raakadataa"
"edit_sex";"Editoi sukupuoli"
"edit_source";"Editoi lähdettä"
"editaccount";"Salli tämän käyttäjän editoida käyttäjätiliään."
"editowndata";"Käyttäjätilini"
"emailadress";"Sähköpostiosoite:"
"empty_cart";"Tyhjennä leikekori"
"empty_dataset";"Haluatko poistaa vanhat tiedot ja korvata ne näillä uusilla?"
"empty_lines_detected";"GEDCOM-tiedostostasi löytyi tyhjiä rivejä. Nämä poistetaan siivouksen yhteydessä."
"enter_body";"Huom! Muista kirjoittaa myös tekstisi."
"enter_comments";"Lisää tiedot suhteestasi tietoon kommenttikentässä."
"enter_email";"Sinun on täytettävä sähköpostiosoite."
"enter_famid";"Syötä perhe-ID"
"enter_filename";"Sinun on annettava GEDCOM tiedostonimi."
"enter_fullname";"Täydellinen nimi on annettava."
"enter_gedcomid";"Sinun on annettava GEDCOM ID."
"enter_password";"Salasana on pakollinen."
"enter_pid";"Syötä henkilö ID"
"enter_report_values";"Syötä raporttiarvot"
"enter_subject";"Huom! Anna viestin aihe."
"enter_terms";"Anna hakuehdot:"
"enter_text";"Täytä teksti tähän uutis- tai päiväkirjaartikkeliin. "
"enter_title";"Täytä otsikko."
"enter_username";"Käyttäjätunnus on annettava."
"error_already";"on jo leikekorissasi."
"error_header";"GEDCOM-tiedostoa [#GEDCOM#] ei löydy annetusta paikasta."
"error_header_write";"GEDCOM-tiedosto [#GEDCOM#] ei ole kirjoituskelpoinen. Tarkista atribuutit ja oikeudet."
"error_title";"Virhe: GEDCOM-tiedostoa ei voi avata"
"est";"arviolta"
"example_date";"Esimerkki virheellisestä päivämäärämuodosta GEDCOM:issasi:"
"example_place";"Esimerkki epäkelvosta paikasta GEDCOM-tiedostossasi:"
"excel_create";"luodaan tiedostoon:"
"excel_list";"Tuloste EXCEL (slk) muodossa seuraville tiedostoille (käytä ensin patriarkkalistaa):"
"excel_tab";"tab:"
"exec_time";"Esitysaika:"
"explain_options";"Jos aiot tuhota <b>kaikkien</b>taulujen rakenteen kaikki tiedot korvautuvat tämän GEDCOM-tiedoston aineistolla.<br /><br />Jos aiot tuoda useampia GEDCOM-tiedostoja ja työstää niitä, Genmod korvaa entisen samannimisen aineiston uudella. Tämä vaihtoehto sallii sukututkimusaineistojen vaihtamisen kätevällä tavalla ja helpottaa siirtymistä niiden välillä.<br /><br /><b>Huomaa, että tiedostojen nimissä on eroa pienillä ja isoilla kirjaimilla.</b>Tämä merkitsee, että <b>Test.GED</b> <u>ei</u> ole sama kuin <b>test.ged</b>"
"extension";"Päätaosa"
"fam_spouse";"Perhe puolisoineen"
"families";"Perheet"
"family";"Perhe"
"family_complete";"Perhekohtainen indeksitiedosto päivitetty"
"family_downloaded_from";"Perhe on ladattu omalle koneelle tiedostosta:"
"family_group_info";"Perheen ryhmätieto"
"family_group_report";"Perheryhmäraportti"
"family_info";"Perhetieto"
"family_list";"Perheet"
"family_private";"Tämän perheen tiedot ovat yksityisiä. Perheen tietoja ei oteta mukaan."
"family_timeline";"Näytä perhe aikajanalla"
"family_with";"Oma perhe /"
"familybook_chart";"Sukukirjakaavio"
"fams_charts";"Perheen asetukset"
"fams_with_surname";"Perheet, joilla on sukunimi #surname#"
"fan_chart";"Viuhkakaavio"
"fan_width";"Viuhkakaavion leveys."
"fanchart_IE";"Selaimesi ei kykene tulostamaan tätä viuhkakaaviota suoraan. Näpäytä kakkospainikkeella, tallenna ja tulosta sitten."
"faq_list";"FAQ-luettelo"
"father";"Isä"
"fathers_family_with";"Isän perhe mukaanlukien "
"feb";"helmikuu"
"female";"Nainen"
"femalecousin";"Naispuolinen serkku"
"file_exists";"Tämän niminen GEDCOM-tiedosto on jo olemassa. Anna toinen nimi tai tuhoa vanha tiedosto."
"file_missing";"Yksikään tiedosto ei latautunut. Yritä uudelleen."
"file_not_exists";"Annettua tiedostonimeä ei ole."
"file_not_found";"Tiedostoa ei löydy."
"file_partial";"Tiedosto latautui vain osittain, yritä uudelleen."
"file_success";"Tiedoston lataus onnistui."
"file_too_big";"Ladattava tiedosto on liian suuri."
"filter";"Suodata"
"filter_address";"Näytä osoitteet, jotka sisältävät:"
"find_fam_list";"Hae perheluettelo"
"find_family";"Löydä perhe"
"find_familyid";"Hae perheen ID"
"find_id";"Hae ID"
"find_individual";"Hae henkilön ID"
"find_media";"Löydä media"
"find_place";"hae paikka"
"find_repository";"Hae tietovarasto"
"find_source";"Hae lähde"
"find_sourceid";"Hae lähde-ID"
"find_specialchar";"Hae erikoismerkkejä"
"first_letter_fname";"Valitse kirjain näyttääksesi henkilöt, joiden etunimi alkaa kyseisellä kirjaimella."
"firstcousin";"Serkku"
"firstname";"Etunimi"
"firstname_alpha_index";"Aakkosellinen etunimihakemsito"
"firstname_search";"Etunimi:"
"flushing";"Tyhjennetään sisältö"
"folder";"Tiedostokansio"
"follow_spouse";"Tarkista sukulaisuus myös avioliiton kautta."
"fontfile_error";"Kirjasintiedostoa ei löytynyt PHP-palvelimelta."
"for_all_contact";"Teknisissä tai sukuasioissa ota yhteys:"
"for_contact";"Sukuasioissa ota yhteys:"
"for_support";"Teknisissä asioissa ota yhteys:"
"form";"Paikat ovat muodossa:"
"foster";"Kasvatti"
"found_record";"Löytyi tietue"
"friday";"Perjantai"
"friend";"Ystävä"
"from";"lähtien"
"full_name";"Koko nimi"
"gd_freetype";"PHP palvelimen virheellinen konfigurointi: vaaditaan Freetype kirjastoa jotta True Type kirjasimia voi käyttää."
"gd_library";"PHP palvelimen virheellinen konfigurointi: vaaditaan GD-kirjastoa  jotta kuvafunktioita voi käyttää."
"ged_import";"Tuonti"
"ged_noshow";"Ylläpito on poistanut tämän sivun käytöstä"
"gedadmin";"GEDCOM ylläpitäjä"
"gedcom_block";"GEDCOM tervetuloalue"
"gedcom_created_on";"Luontipäivä: <b>#DATE#</b>."
"gedcom_created_on2";", <b>#DATE#</b>"
"gedcom_created_using";"Tämä GEDCOM on luotu ohjelmalla: <b>#SOFTWARE# #VERSION#</b>"
"gedcom_deleted";"GEDCOM [#GED#] poisto onnistui."
"gedcom_descr";"GEDCOM Tervetuloalue toimii samoin kuin Käyttäjän Tervetuloalue toivottamalla kävijä tervetulleeksi sivustolle ja näyttämällä aktiivisen GEDCOM-tiedoston otsikon sekä päivämäärän ja kellonajan."
"gedcom_downloadable";"Tämä GEDCOM-tiedosto on ladattavissa internetistä.<br />Katso TURVALLISUUS-osion <a href="readme.txt">readme.txt</a> -tiedostosta korjataksesi tämän ongelman."
"gedcom_editing_disabled";"Järjestelmävalvoja on estänyt tämän GEDCOM-tiedoston editoinnin."
"gedcom_favorites";"Tämän GEDCOM tiedoston suosikit"
"gedcom_favorites_block";"GEDCOM suosikit-alue"
"gedcom_favorites_descr";"GEDCOM Suosikit-alue mahdollistaa ylläpitäjää valitsemaan suosikkihenkilönsä niin, että kävijä helposti löytää heidät. Tällä tavoin voidaan osoittaa sukuhistoriasi tärkeät henkilöt."
"gedcom_file";"GEDCOM-tiedosto:"
"gedcom_form_info";"(GEDCOM)"
"gedcom_news";"Uutisia"
"gedcom_news_block";"GEDCOM uutisalue"
"gedcom_news_descr";"GEDCOM uutisalue näyttää vierailijalle ylläpitäjän lähettämiä uusia päivityksiä tai artikkeleita. Uutiset on hyvä paikka ilmoittaa päivitetystä GEDCOM tiedostosta tai perhetapaamisista."
"gedcom_stats";"GEDCOM tilastotietoa:"
"gedcom_stats_block";"GEDCOM tilastotietoalue"
"gedcom_stats_descr";"GEDCOM tilastotietoalue näyttää kävijälle joitakin GEDCOMia koskevia perustietoja kuten luontipäivämäärän ja montako henkilöä siinä on."
"gedcom_stats_show_surnames";"Näytä tavalliset sukunimet?"
"gedcomid";"GEDCOM INDI-tietueen ID"
"gedrec_deleted";"GEDCOM tietue poisettu."
"gen_ancestry_chart";"#PEDIGREE_GENERATIONS# Sukupolvet esipolvikaaviossa"
"gen_fan_chart";"#PEDIGREE_GENERATIONS# Sukupolviviuhkakaavio"
"gen_ped_chart";"#PEDIGREE_GENERATIONS# sukupolven esipolvitaulu"
"gen_thumb";"Luo pienoiskuva"
"genealogy_contact";"yhteys sukututkimukseen"
"generate_thumbnail";"Luo pienoiskuvat automaattisesti"
"generated_by";"Luontiohjelma: "
"generations";"Sukupolvia"
"given_name";"Etunimi:"
"gm_registry";"Näytä muita Genmod verkkopaikkoja"
"godfather";"Kummisetä"
"godmother";"Kummitäti"
"godparent";"Kummi"
"grandchild";"Lapsenlapsi"
"granddaughter";"Pojan-/tyttärentytär"
"grandson";"Pojan-/tyttärenpoika"
"halfbrother";"Velipuoli"
"halfsibling";"Sisar-/velipuoli"
"halfsister";"Sisarpuoli"
"hashcode";"Vahvistuskoodi:"
"header";"Otsikko"
"help_ahnentafel.xml";"~#gm_lang[ahnentafel_report]#~<br />Tämä on raportti valitusta henkilöstä ja hänen esivanhemmistaan tulostettuna vihkosen muotoon. Se alkaa ensimmäisestä henkilöstä ja jatkuu hänen vanhempiinsa, isovanhempiinsa jne. <br /><br />Huomaa, että ahnentafelraportti on saatavissa vain englanniksi tällä hetkellä.<br /><br />"
