"stat_sources";"Källor, "
"remove_custom_tags";"Ta bort användardefinierade GM taggar? (t.ex. _GMU, _THUM)"
"download_zipped";"Ladda ner GEDCOM-fil som en ZIP-fil?"
"remember_me";"Kom ihåg mej ifrån denna dator?"
"add_unlinked_person";"Lägg till en olänkad person"
"fams_with_surname";"Familjer med efternamn #surname#"
"genealogy_contact";"Genealogisk kontakt"
"continue_import";"Fortsätt importera orter"
"importing_places";"Importera ortsposter"
"common_upload_errors";"Detta fel beror troligen på att filen du försöker ladda upp är större än gränsen som är satt av ditt webhotell. Standardgränsen i PHP är 2 MB. Du kan kontakta ditt webhotell och försöka få dem att öka gränsen i php.ini-filen, eller kan du ladda upp filen via FTP. Använd <a href="uploadgedcom.php?action=add_form">Lägg till GEDCOM</a> sidan för att lägga till en GEDCOM som blivit uppladdad via FTP."
"total_memory_usage";"Total minnesanvändning:"
"mothers_family_with";"Moderns familj med "
"fathers_family_with";"Faderns familj med "
"halfsibling";"Halvsyskon"
"halfbrother";"Halvbror"
"halfsister";"Halvsyster"
"family_timeline";"Visa familj i tidslinjediagram"
"children_timeline";"Visa barn i tidslinjediagram"
"other";"Annan"
"sort_by_marriage";"Sortera efter vigseldatum"
"reorder_families";"Ändra ordning på familjer"
"indis_with_surname";"Personer med efternamn #surname#"
"first_letter_fname";"Välj bokstav för att visa personer vars namn börjar med den bokstaven."
"import_marr_names";"Importera namn från vigsel"
"marr_name_import_instr";"Klicka på knappen nedan endast om du vill automatiskt beräkna namn kvinnor fått vid vigsel i denna GEDCOM. Detta låter dig söka och lista kvinnor via deras nya namn efter vigsel."
"calc_marr_names";"Beräknar namn för vigda"
"total_names";"Totalt antal namn"
"top10_pageviews_nohits";"Det finns för närvarande inga träffar att visa."
"top10_pageviews_msg";"Räknarna måste vara igång i GEDCOM-filen för detta område att fungera."
"review_changes_descr";""Ej accepterade ändringar"-området visar en lista av poster, för användare med redigeringsrättighter, som har ändrats online som behöver kontrolleras och accepteras. Dessa ändringar väntar på att bli accepterade eller avslagna.<br /><br />Om detta område är aktiverad, kommer användare med acceptera rättigheter kommer att få ett mail om dagen med en notis om att det finns ändringar att kontrollera."
"review_changes_email";"Skicka påminnelse via epost?"
"review_changes_email_freq";"Frekvens för påminnelse via epost (dagar)"
"review_changes_subject";"Genmod - Visa ändringar"
"review_changes_body";"Onlineändringar har gjorts för en genealogisk databas. Dessa ändringar måste kontrolleras och accepteras innan de kommer att visas för alla användare. Var vänliga använd URL nedan för att komma till den sajt och logga in för att kontrollera ändringarna."
"show_spouses";"Visa make/makar"
"quick_update_title";"Snabbuppdatering"
"quick_update_instructions";"Denna sida tillåter dig att snabbt uppdatera information för en individ. Du behöver bara fylla i den inforamtion som är ny eller som har ändrats ifrån det som redan på sajten. Efter att din ändringar skickats kommer de att kontrolleras av en administratör före du kommer att kunna se den online."
"update_name";"Uppdatera namn"
"update_fact";"Uppdatera en fakta"
"update_fact_restricted";"Uppdatering av denna fakta är begränsad:"
"update_photo";"Uppdatera foto"
"photo_replace";"Vill du byta ut ett äldre foto med detta?"
"select_fact";"Välj ett fakta..."
"update_address";"Uppdatera adress"
"add_new_chil";"Lägg till ett nytt barn"
"top10_pageviews_descr";"Detta område visar de 10 poster som har blivit besökta oftast. Detta område kräver att träffräknaren är aktiverad i GEDCOM-konfigurationsinställningen. "
"top10_pageviews_block";"Område för mest besökta artikel"
"user_default_tab";"Den flik som visas som standard på ansedelsidan"
"stepfamily";"Styvfamilj"
"stepdad";"Styvfar"
"stepmom";"Styvmor"
"stepsister";"Styvsyster"
"stepbrother";"Styvbror"
"max_upload_size";"Max uppladdningsstorlek: "
"edit_fam";"Redigera familj"
"fams_charts";"Valmöjligheter för familjer"
"sort_by_birth";"Sortera efter födelsedatum"
"reorder_children";"Ändra ordning på barn"
"add_from_clipboard";"Lägg till urklippskorgen:"
"record_copied";"Post som är kopierad till urklippskorgen"
"copy";"Kopiera"
"cut";"Klipp ut"
"indis_charts";"Val för personer"
"edit_indi";"Redigera person"
"locked";"Ändra inte"
"privacy";"integritet"
"number_sign";"#"
"qm";"?"
"qm_ah";"?"
"gedcom_stats_block";"Statistikområde för GEDCOM-filer"
"sorry";"<b>Ursäkta, men vi har ännu inte gjort klart hjälptexten för denna sida eller sak</b>"
"var_not_exist";"<span style=font-weight: bold>Språkvariabeln existera inte. Var vänlig att rapportera detta eftersom det är en bug.</span>"
"resolution";"Skärmupplösning"
"menu";"Meny"
"header";"Rubrik"
"imageview";"Bildvisare"
"login_head";"Genmod användarinloggning"
"error_title";"Fel: Kan inte öppna GEDCOM-filen"
"error_header";"GEDCOM-filen, <b>[#GEDCOM#]</b>, finns inte på den angivna platsen."
"error_header_write";"GEDCOM-filen, <b>[#GEDCOM#]</b>, är inte skrivbar. Kontrollera fil- och access-rättigheter."
"for_support";"För teknisk support och information kontakta"
"for_contact";"För hjälp med släktfrågor kontakta"
"for_all_contact";"För teknisk support eller släktfrågor kontakta"
"build_title";"Skapar Index-filer"
"build_error";"GEDCOM-filen har blivit uppdaterad."
"please_wait";"Var snäll och vänta medan Index-filer återskapas."
"choose_gedcom";"Välj ett GEDCOM-dataset"
"username";"Användarnamn"
"invalid_username";"Användarnamn innehåller ogiltiga tecken"
"firstname";"Förnamn"
"lastname";"Efternamn"
"password";"Lösenord"
"confirm";"Bekräfta lösenord"
"user_contact_method";"Föredragen kontaktmetod"
"login_aut";"Ändra användarinställningar"
"logout";"Logga ut"
"admin";"Administratör"
"logged_in_as";"Inloggad som"
"my_pedigree";"Mina anor"
"my_indi";"Min personliga post"
"yes";"Ja"
"no";"Nej"
"add_gedcom";"Lägg till GEDCOM-fil"
"change_theme";"Ändra tema"
"gedcom_downloadable";"Denna GEDCOM-fil är nerladdningsbar över internet!<br />Var vänlig läs Säkerhetssektionen i <a href="readme.txt">readme.txt</a> för att rätta till problemet"
"index_header";"Antavla"
"gen_ped_chart";"#PEDIGREE_GENERATIONS# generationers antavla"
"generations";"Generationer"
"view";"Visa"
"fam_spouse";"Familj med make/maka"
"root_person";"ID för startperson"
"hide_details";"Göm detaljer"
"show_details";"Visa detaljer"
"person_links";"Länkar till diagram, familjer och nära släktingar till denna person. Klicka på denna ikon för att visa sidan med denna person som startperson. "
"zoom_box";"Zomma in/ut denna ruta"
"orientation";"Orientering"
"portrait";"Stående"
"landscape";"Liggande"
"start_at_parents";"Starta vid föräldrarna"
"max_generation";"Det maximala antalet generationer i antavlan är #PEDIGREE_GENERATIONS#."
"min_generation";"Det minsta antalet generationer i antavlan är 3."
"box_width";"Boxvidd"
"unable_to_find_family";"Kan inte hitta familj med id"
"unable_to_find_indi";"Kan inte hitta person med id"
"unable_to_find_record";"Kan inte hitta post med id"
"unable_to_find_source";"Kan inte hitta källa med id"
"unable_to_find_repo";"Kan inte hitta arkiv med id"
"repo_name";"Namn på arkiv:"
"address";"Adress:"
"phone";"Telefon:"
"source_name";"Källnamn:"
"title";"Titel"
"author";"Författare:"
"publication";"Publikation:"
"call_number";"Arkivsignum:"
"living";"Lever"
"private";"Privat"
"birth";"Född:"
"death";"Död:"
"place_list_aft";"Efter ortshierarki "
"not_an_array";"Ingen vektor (Array)"
"print_preview";"Utskriftsvänlig version"
"cancel_preview";"Tillbaka till normal vy"
"change_lang";"Change language"
"print";"Skriv ut"
"total_queries";"Totalt antal databasfrågor:"
"total_privacy_checks";"Totalt antal integritetskontroller: "
"back";"Tillbaka"
"privacy_list_indi_error";"På grund av integritetsregler är en eller flera personer dolda."
"privacy_list_fam_error";"På grund av integritetsregler är en eller flera familjer dolda."
"aka";"Också känd som"
"male";"Man"
"female";"Kvinna"
"temple";"LDS Tempel"
"temple_code";"LDS Tempelkod:"
"status";"Status"
"source";"Källa"
"citation";"Citat:"
"text";"Källtext:"
"note";"Anteckning"
"unrecognized_code";"Okänd GEDCOM-kod"
"unrecognized_code_msg";"Detta är ett fel och vi skulle gärna vilja rätta till det. Var vänlig rapportera detta till"
"indi_info";"Personlig information"
"individual";"Person"
"family";"Familj"
"family_with";"Familj med"
"as_spouse";"Familj med make/maka"
"as_child";"Familj med föräldrar"
"view_gedcom";"Visa GEDCOM-post"
"add_to_cart";"Lägg till i urklippskorg"
"still_living_error";"Den här personen lever fortfarande eller har inga döds eller födelsedata angiven.  Alla detaljer om levande personer är gömda för allmän beskådan.<br />För mer information kontakta"
"privacy_error";"Detaljer om denna personen är skyddade.<br />"
"more_information";"För mer information kontakta"
"name";"Namn"
"given_name";"Förnamn:"
"surname";"Efternamn:"
"suffix";"Mellannamn:"
"object_note";"Objektnotis:"
"sex";"Kön"
"personal_facts";"Personliga fakta och detaljer"
"type";"Typ"
"date";"Datum"
"place_description";"Ort / Beskrivning"
"parents";"Föräldrar:"
"siblings";"Syskon"
"father";"Far"
"mother";"Mor"
"parent";"Förälder"
"relatives";"Släktingar"
"relatives_events";"Händelser för nära släktingar"
"child";"Barn"
"spouse";"Maka/Make"
"surnames";"Efternamn"
"adopted";"Adopterad"
"foster";"Fosterbarn"
"sealing";"Försegling"
"challenged";"Ifrågasatt"
"disproved";"Motbevisat"
"infant";"Spädbarn"
"stillborn";"Dödfödd"
"deceased";"Avliden"
"link_as_child";"Länka personen till existerande familj som barn"
"link_as_wife";"Länka personen till existerande familj som maka"
"link_as_husband";"Länka personen till existerande familj som make"
"no_tab1";"Det finns ingen fakta om denna person."
"no_tab2";"Det finns inga antecknngar om denna person."
"no_tab3";"Det finns ingen källcitat om denna person."
"no_tab4";"Det finns ingen mediaobjekt för denna person."
"no_tab5";"Det finns inga nära släktingar till denna person."
"no_tab6";"Det finns inte någon forskningsloggar kopplade till denna person. "
"family_info";"Familjeinformation"
"family_group_info";"Familjens gruppinformation"
"husband";"Make"
"wife";"Maka"
"marriage";"Äktenskap:"
"lds_sealing";"LDS försegling:"
"marriage_license";"Äktenskapsbevis:"
"media_object";"Multimediaobjekt:"
"children";"Barn"
"no_children";"Inga registrerade barn"
"number_children";"Antal barn: "
"parents_timeline";"Visa par på tidslinjediagram"
"clip_cart";"Urklippskorg"
"clip_explaination";"Famljeurklipskorgen gör det möjligt att göra &quot;urklipp&quot; från detta familjeträd och gruppera ihop dem till en enda GEDCOM-fil för nedladning.<br /><br />"
"item_with_id";"Urklipp med id"
"error_already";"finns redan in din urklippskorg."
"which_links";"Vilka länkar från denna familj vill du också lägga till?"
"just_family";"Lägg enbart till denna familj."
"parents_and_family";"Lägg till föräldrarna till denna familjs post."
"parents_and_child";"Lägg till föräldrar och barn till denna familjs post."
"parents_desc";"Lägg till föräldrarna samt alla deras ättlingar till denna familj post."
"continue";"Fortsätt lägg till"
"which_p_links";"Vilka länkar från denna personen vill du också lägga till?"
"just_person";"Lägg enbart till denna person."
"person_parents_sibs";"Lägg till denna person samt föräldrar och syskon."
"person_ancestors";"Lägg till denna person samt alla rakt stigande anor."
"person_ancestor_fams";"Lägg till denna person samt rakt stigande anor och deras familjer."
"person_spouse";"lägg till denna person samt maka och barn."
"person_desc";"Lägg till denna person samt maka och alla ättlingars poster."
"unable_to_open";"Kan inte öppna urklippskatalogen för skrivning"
"person_living";"Den här personen lever. Personliga detaljer kommer inte inkluderas."
"person_private";"Detaljer om den här personen är privata.  Personliga detaljer kommer inte inkluderas."
"family_private";"Detaljerna om familjen är privata. Familjedetaljer kommer inte att inkluderas."
"download";"Högerklicka (control-click på en Mac) på länkarna under och välj &quot;Spara mål som&quot; för att ladda ner filerna."
"media_files";"Mediafiler refererade till i denna GEDCOM-fil"
"cart_is_empty";"Urklippskorgen för ditt släktträd är tom."
"id";"ID"
"name_description";"Namn / Beskrivning"
"remove";"Radera"
"empty_cart";"Töm urklippskorgen"
"download_now";"Ladda ner nu"
"indi_downloaded_from";"Denna person nedladdades från:"
"family_downloaded_from";"Familjen nedladdades från:"
"source_downloaded_from";"Källan nedladdades från:"
"connections";"Ortskopplingar hittade"
"top_level";"Toppnivå"
"form";"Orter är angivna på formen:"
"default_form";"Gård, by, socken, län"
"default_form_info";"(Standard)"
"gedcom_form_info";"(GEDCOM)"
"unknown";"okänd"
"individuals";"Personer"
"view_records_in_place";"Visa alla poster för denna ort"
"place_list2";"Ortslista"
"show_place_hierarchy";"Visa orter i hierarkin"
"show_place_list";"Visa alla orter i en lista"
"total_unic_places";"Totalt antal unika platser"
"multi_title";"Lista över Multimediaobjekt"
"media_found";"Mediaobjekt funna"
"view_person";"Visa person"
"view_family";"Visa familj"
"view_source";"Visa källa"
"prev";"< Föregående"
"next";"Nästa >"
"file_not_found";"Filen kunde inte hittas."
"medialist_show";"Visa"
"per_page";"mediaobjekt per sida"
"delete_directory";"Radera mapp"
"delete_file";"Radera fil"
"confirm_delete_file";"Är du säker på at du vill radera denna fil?"
"directory_not_empty";"Mappen är inte tom."
"directory_not_exist";"Mappen existerar inte."
"media_not_deleted";"Mediamappen togs inte bort."
"media_deleted";"Mediamappen borttagen."
"thumbs_not_deleted";"Miniatyrbildsmappen togs inte bort."
"thumbs_deleted";"Miniatyrbildsmappen togs bort."
"delete_dir_success";"Media och miniatyrbildsmappen togs bort."
"current_dir";"Nuvarande mapp: "
"add_directory";"Lägg till mapp"
"show_thumbnail";"Visa miniatyrbilder"
"image_format";"Bildformat"
"media_format";"Mediaformat"
"image_size";"Bild Storlek"
"media_file_size";"Mediastorlek"
"no_thumb_dir";"miniatyrbildsmappen existerar inte och det gick inte att skapa en."
"manage_media";"Hantera media"
"gen_thumb";"Skapa miniatyrbilder"
"move_to";"Flytta till -->"
"security_no_create";"Säkerhetsvarning: Filen <b><i>index.php</i></b> finns inte i "
"security_not_exist";"Säkerhetsvarning, kan inte skapa index.php i "
"illegal_chars";"Otillåtna tecken i namnet"
"link_media";"Länka media"
"to_person";"Till person"
"to_family";"Till familj"
"to_source";"Till källa"
"media_id";"Media ID"
"invalid_id";"Idt finns inte i denna GEDCOM-fil. "
"media_exists";"Mediafil existerar redan."
"media_thumb_exists";"Media-miniatyr existerar redan."
"move_file_success";"Media- och miniatyrfiler flyttades korrekt."
"media_folder_corrupt";"Mediamappen är skadad."
"max_media_depth";"Du kan endast flytta $MEDIA_DIRECTORY_LEVELS mappar djupt"
"upload_file";"Ladda upp fil ifrån din dator"
"thumb_genned";"Miniatyrbilder genereras automatiskt."
"thumbgen_error";"Kan inte generera miniatyrbilder för "
"generate_thumbnail";"Generera miniatyrbilder automatiskt från "
"no_upload";"Uppladdning av media filer är inte tillåten eftersom multimediaartiklar är avstängt eller så är mediamappen inte skrivbar."
"upload";"Ladda upp"
"upload_media";"Ladda upp mediafiler"
"folder";"Mapp"
"media_file";"Mediafiler"
"thumbnail";"Miniatyrbild"
"upload_successful";"Uppladdning lyckades"
"media_file_deleted";"Mediafiler raderades."
"media_file_not_deleted";"Mediafil kunde inte raderas."
"thumbnail_deleted";"Miniatyrbild raderades."
"thumbnail_not_deleted";"Miniatyrbild kunde inte raderas."
"media_record_deleted";"Mediapost #xref# och länkar raderades från databasen."
"media_record_not_deleted";"Mediapost #xref# och länkar kunde inte raderas från databasen."
"record_updated";"Post #pid# uppdaterades."
"record_not_updated";"Post #pid# kunde inte uppdateras."
"record_removed";"Post #xref# raderades från GEDCOM-filen."
"record_not_removed";"Post #xref# kunde inte raderas från GEDCOM-filen."
"search_gedcom";"Sök GEDCOM-fil(er)"
"enter_terms";"Ange sökkriterier:"
"soundex_search";"Sök efter namnet med den stavning du tror det har (Soundex):"
"sources";"Källor"
"firstname_search";"Förnamn"
"lastname_search";"Efternamn"
"search_place";"Ort"
"search_year";"År"
"no_results";"Inga resultat funna."
"invalid_search_input";"Var vänlig och skriv in ett förnamn, efternamn eller ort \n\t tillsammans med ett årtal"
"search_options";"Sökmöjlighter"
"search_geds";"GEDCOM-filer att söka i"
"search_type";"Söktyp"
"search_inrecs";"Sök efter"
"search_fams";"Familjer"
"search_indis";"Personer"
"search_sources";"Källor"
"search_more_chars";"Var vänlig och skriv in mer än ett tecken"
"search_soundextype";"Soundextyp:"
"search_russell";"Russell"
"search_DM";"Daitch-Mokotoff"
"search_prtnames";"Personers<br />namn att skriva ut:"
"search_prthit";"Namn som hittats"
"search_prtall";"Alla namn"
"search_tagfilter";"Undantagsfilter"
"search_tagfon";"Undanta viss icke-genealogisk data"
"search_tagfoff";"Av"
"associate";"associera"
"search_asso_label";"Associationer"
"search_asso_text";"Visa relaterade personer/familjer"
"sources_found";"Funna källor"
"titles_found";"Titlar"
"find_source";"Hitta källa"
"repos_found";"Hittade arkiv"
"find_repository";"Hitta arkiv"
"total_repositories";"Totalt antal arkiv"
"repo_info";"Arkivinformation"
"delete_repo";"Radera arkiv"
"other_repo_records";"Poster som länkar till detta arkiv:"
"create_repository";"Skapa arkiv"
"new_repo_created";"Nytt arkiv skapat"
"paste_rid_into_field";"Klistra in följande arkivid i ditt redigeringsfält för att referera till detta arkiv "
"confirm_delete_repo";"Är du säker på att du vill radera detta arkiv från databasen?"
"source_info";"Källinformation"
"other_records";"Poster som länkar till denna källa:"
"people";"Personer"
"families";"Familjer"
"total_sources";"Totalt antal källor"
"building_indi";"Skapar Person och familjeindex"
"building_index";"Skapar indexlistor"
"invalid_gedformat";"Felaktigt GEDCOM 5.5 format"
"importing_records";"Importerar poster till databasen"
"detected_change";"Genmod upptäckte en förändring i <b>#GEDCOM#</b>. Indexfilerna måste byggas om innan det går att fortsätta."
"please_be_patient";"Var god vänta..."
"reading_file";"Läser GEDCOM-fil"
"flushing";"Tömmer innehållet"
"found_record";"Hittade poster"
"exec_time";"Exekveringstid:"
"time_limit";"PHP-tidsgräns"
"unable_to_create_index";"Kan inte att skapa indexfil.  Se till så att du har skrivrättigheter i Genmod-katalogen.  Rättigheterna kan återställas efter att indexfilerna har skapats och skrivits färdigt."
"indi_complete";"Uppdatering av personindex färdigt."
"family_complete";"Uppdaterig av familjeindex färdigt."
"source_complete";"Uppdatering av källindex färdigt."
"tables_exist";"Genmod-tabellerna finns redan i databasen"
"you_may";"Du kan:"
"drop_tables";"Ta bort nuvarande tabeller"
"import_multiple";"Importera och arbeta med multipla GEDCOM-filer"
"explain_options";"Om du väljer att ta bort tabellerna kommer <u>alla</u> data ersättas med data funna i denna GEDCOM-fil.<br /><br />Om du väljer att importera och arbeta med multipla GEDCOM-filer kommer Genmod ta bort alla data som importerades i en eventuell tidigare importerad GEDCOM-fil med samma namn.  Det här valet gör det möjligt att spara data från flera GEDCOM-filer i samma tabeller och enkelt byta mellan dem.<br /><br /><b>Tänk på att filnamnen är känsliga för stora och små bokstäver.</b> Detta betyder att <b>Test.GED är <u>inte</u> samma som <b>test.ged</b>."
"path_to_gedcom";"Ange sökväg till din GEDCOM-fil:"
"dataset_exists";"En GEDCOM-fil med detta namn är redan importerad i databasen."
"changes_present";"Deb nuvarande GEDCOM-filen har ändringar som inte är accepterade. Om du fortsätter med importen kommer dessa ändringar att skrivas till databasen. Du bör kolla dessa ändringar innan du fortsätter med importen."
"empty_dataset";"Vill du radera den gamla datan och ersätta den med den nya datan?"
"index_complete";"Index färdigt."
"click_here_to_go_to_pedigree_tree";"Klicka här för att gå till antavlan."
"updating_is_dead";"Uppdaterar "är död" status för personposter "
"import_complete";"Importen är färdig"
"updating_family_names";"Uppdaterar familjenamnen för familjeposter "
"processed_for";"Bearbetade filen för"
"run_tools";"Vill du köra något av följande verktyg på din GEDCOM-fil innan den importeras:"
"addmedia";"Lägg till mediaverktyg"
"dateconvert";"Datumkonverteringsverktyg"
"xreftorin";"Konvertera XREF id till RIN nummer"
"tools_readme";"Se vertygssektionen för #README.TXT# för att få mer information."
"sec";"sek."
"bytes_read";"Bytes lästa:"
"created_indis";"Skapande av <i>Persontabell</i> lyckades."
"created_indis_fail";"Kunde inte skapa <i>Persontabellen</i>."
"created_fams";"Skapande av <i>Familjetabell</i> lyckades."
"created_fams_fail";"Kunde inte skapa <i>Familjetabellen<i>."
"created_sources";"Skapande av <i>Källtabell</i> lyckades."
"created_sources_fail";"Kunde inte skapa <i>Källtabellen</i>."
"created_other";"Skapande av <i>Diversetabell</i> lyckades."
"created_other_fail";"Kunde inte skapa <i>diversetabellen</i>."
"created_places";"Skapande av <i>Ortstabell</i> lyckades."
"created_places_fail";"Kunde inte skapa <i>Orttabellen</i>."
"created_placelinks";"<i>Ortlänkstabellen</i> skapades utan problem."
"created_placelinks_fail";"Kan inte skapa <i>ortlänkstabellen</i>."
"created_media_fail";"Kan inte skapa <i>Mediatabell</i>."
"created_media_mapping_fail";"Kan inte skapa <i>Mediamappningstabellen.</i>"
"import_progress";"Import framsteg..."
"total_fams";"Totalt antal familjer"
"total_indis";"Totalt antal personer"
"starts_with";"Börjar med:"
"person_list";"Personlista:"
"paste_person";"Klistra in person"
"notes_sources_media";"Anteckningar, Källor och Media"
"notes";"Anteckningar"
"ssourcess";"Källor"
"media";"Media"
"name_contains";"Namnet innehåller:"
"filter";"Filter"
"find_individual";"Sök id för person"
"find_familyid";"Sök id för familj"
"find_sourceid";"Sök id för källa"
"find_specialchar";"Hitta specialbokstäver"
"magnify";"Förstora"
"skip_surnames";"Hoppa över efternamnslistan"
