"stat_sources";"Fontes, "
"indi_info";"Informação Pessoal"
"family";"Família"
"family_with";"Família com"
"as_spouse";"Família com Cônjuge"
"as_child";"Família com Pais"
"view_gedcom";"Ver registro GEDCOM"
"add_to_cart";"Adicionar ao Carrinho de Recortes"
"still_living_error";"Esta pessoa ainda está viva ou não tem data de aniversário ou falecimento registrada. Todos os detalhes de pessoas vivas são privados para o público<br />Para maiores informações entre em contato com"
"privacy_error";"Os detalhes desta pessoa são privados.<br />"
"more_information";"Para maiores informações entre em contato com"
"name";"Nome"
"given_name";"Prenome:"
"surname";"Sobrenome:"
"suffix";"Sufixo:"
"object_note";"Notas sobre o Objeto:"
"sex";"Sexo"
"personal_facts";"Dados Pessoais e Detalhes"
"type";"Tipo"
"date";"Data"
"place_description";"Local / Descrição"
"parents";"Pais:"
"siblings";"Irmãos"
"father";"Pai"
"mother";"Mãe"
"relatives";"Parentes Próximos"
"child";"Filho"
"spouse";"Cônjuge"
"surnames";"Sobrenomes"
"adopted";"Adotado"
"foster";"Adotivo"
"sealing";"Sealing"
"no_tab1";"Não há nenhum Fato para essa pessoa."
"no_tab2";"Não há nenhuma Nota para essa pessoa."
"no_tab3";"Não há nenhuma Fonte para essa pessoa."
"no_tab4";"Não há nenhum Objeto Multimídia para essa pessoa."
"no_tab5";"Não há nenhum Parente Próximo para essa pessoa."
"family_info";"Informações da Família"
"family_group_info";"Informações do Grupo Familiar"
"husband";"Marido"
"wife";"Esposa"
"marriage";"Casamento:"
"lds_sealing";"LDS Sealing:"
"marriage_license";"Licença Matrimonial:"
"media_object";"Objeto Multimídia:"
"children";"Filhos"
"no_children";"Sem Filhos"
"parents_timeline";"Mostrar casal no<br />gráfico Linha do Tempo"
"clip_cart";"Carrinho de Recortes"
"clip_explaination";"A Extração de Dados permite a você extrair pedaços desta árvore genealógica e formar um novo arquivo GEDCOM para download.<br /><br />"
"item_with_id";"Item com id"
"error_already";"já está no seu Carrinho de Recortes."
"which_links";"Quais os links desta família que você gostaria de adicionar?"
"just_family";"Adicione somente este registro desta família."
"parents_and_family";"Adicione os registros dos pais desta família."
"parents_and_child";"Adicione os registros dos pais e filhos desta família."
"parents_desc";"Adicione os registros dos pais e todos descendentes desta família."
"continue";"Continue Adicionando"
"which_p_links";"Quais links desta pessoa você deseja adicionar?"
"just_person";"Somente esta pessoa."
"person_parents_sibs";"Adiciona esta pessoa, seus pais e irmãos."
"person_ancestors";"Adiciona esta pessoa e sua linha direta de ancestrais."
"person_ancestor_fams";"Adiciona esta pessoa, sua linha direta de ancestrais e suas famílias."
"person_spouse";"Adiciona esta pessoa, seu cônjuge e filhos."
"person_desc";"Adiciona esta pessoa, seu cônjuge e todos os registros de descendentes."
"unable_to_open";"Incapaz de abrir a pasta de recortes para gravação"
"person_living";"Esta pessoa está viva. Detalhes pessoais não serão incluidos."
"person_private";"Detalhes sobre esta pessoa são privados. Detalhes pessoais não serão incluidos."
"family_private";"Detalhes sobre esta Família são privados. Detalhes de Família não serão Incluidos."
"download";"Clique com botão direito (control-click em um Mac) nos links abaixo e selecione &quot;Salvar destino como ...&quot; para fazer download dos arquivos."
"media_files";"Objetos Multimída referenciados neste GEDCOM"
"cart_is_empty";"Seu carrinho de recortes está vazio."
"id";"ID"
"name_description";"Nome / Descrição"
"remove";"Remover"
"empty_cart";"Esvaziar o carrinho"
"download_now";"Fazer Download agora"
"indi_downloaded_from";"Download desta Pessoa feito de:"
"family_downloaded_from";"Download desta Família feito de:"
"source_downloaded_from";"Download desta Fonte feito de:"
"connections";"Conexões encontradas"
"top_level";"Nível Superior"
"form";"Locais são classificados da seguinte forma: "
"default_form";"Cidade, Estado, País"
"default_form_info";"(Padrão)"
"gedcom_form_info";"(GEDCOM)"
"unknown";"Desconhecido"
"individuals";"Pessoas"
"view_records_in_place";"Ver todos os registros encontrados neste local"
"place_list2";"Lista de Locais"
"show_place_hierarchy";"Mostrar Hierarquia dos Locais"
"show_place_list";"Mostrar lista de todos os Locais"
"total_unic_places";"Total Locais"
"multi_title";"Objetos Multimídia"
"media_found";"Objetos Multimídia encontrados"
"view_person";"Ver Pessoa"
"view_family";"Ver Família"
"view_source";"Ver Fonte"
"prev";"&lt; Anterior"
"next";"Próximo &gt;"
"file_not_found";"Arquivo não encontrado."
"medialist_show";"Mostrar"
"per_page";"objetos multimídia por página"
"upload_media";"Upload de arquivos Multimídia"
"media_file";"Arquivo Multimídia"
"thumbnail";"Miniatura"
"upload_successful";"Upload com sucesso"
"search_gedcom";"Pesquisar arquivo GEDCOM"
"enter_terms";"Informe os Argumentos da Pesquisa"
"soundex_search";"Pesquisa Fonética de Nomes"
"sources";"Fontes"
"firstname_search";"Nome"
"lastname_search";"Sobrenome"
"search_place";"Local"
"search_year";"Ano"
"no_results";"Nenhum resultado encontrado."
"invalid_search_input";"Favor informar um Nome, Sobrenome ou Local \n\Opcionalmente informe o Ano"
"sources_found";"Locais encontrados"
"titles_found";"Títulos"
"source_info";"Informações da Fonte"
"other_records";"Outros registros relacionados a esta fonte:"
"people";"Pessoas"
"families";"Famílias"
"total_sources";"Total de Fontes"
"building_indi";"Gerando Índice de Pessoas e Famílias"
"building_index";"Gerando Índice de Listas"
"invalid_gedformat";"Formato de arquivo GEDCOM 5.5 inválido"
"importing_records";"Importando registros para o Banco do Dados"
"detected_change";"Genmod descobriu uma alteração no arquivo GEDCOM #GEDCOM#. Arquivos de índices devem ser regerados antes de prosseguir."
"please_be_patient";"Por Favor, seja paciente !!!"
"reading_file";"Lendo arquivo GEDCOM"
"flushing";"Esvaziando conteúdo"
"found_record";"Registro encontrado"
"exec_time";"Tempo total de execução"
"time_limit";"PHP Time Limit"
"unable_to_create_index";"Impossibilitado de criar arquivo de índice.  Certifique-se que premissões de escrita estejam disponíveis ao GenmodDirectory.  Permissões podem/devem ser restauradas após gravação dos arquivos de índice."
"indi_complete";"Geração do índice de Pessoas terminado."
"family_complete";"Geração do índice de Famílias terminado."
"source_complete";"Geração do índice de Fontes terminado."
"tables_exist";"Tabelas Genmod já existem no Banco de Dados"
"you_may";"Você pode:"
"drop_tables";"Abandonar as tabelas atuais"
"import_multiple";"Importar e trabalhar com múltiplos arquivos GEDCOM"
"explain_options";"Se você escolher Abandonar as tabelas todos os dados serão substituidos por este GEDCOM.<br />Se você escolher Importar e trabalhar com múltiplos arquivos GEDCOM, Genmod apagará todo dado importado usando o GEDCOM com o mesmo nome.  Esta opção permite você armazenar múltiplas informações GEDCOM na mesma tabela e facilmente alternar entre as mesmas."
"path_to_gedcom";"Informe o caminho do seu arquivo GEDCOM:"
"dataset_exists";"Um arquivo GEDCOM com este nome já foi importado para esse banco de dados."
"empty_dataset";"Você deseja apagar os dados antigos e substituir por estes novos?"
"index_complete";"Geração de índices terminada."
"click_here_to_go_to_pedigree_tree";"Clique aqui para ir para a Árvore Genealógica."
"updating_is_dead";"Updating is dead status for INDI "
"import_complete";"Importação terminada."
"updating_family_names";"Atualizando nomes de família para FAM "
"processed_for";"Arquivo processado por "
"run_tools";"Você deseja executar alguma destas ferramentas no seu GEDCOM antes de importá-lo:"
"addmedia";"Ferramenta de Adição de Fotos"
"dateconvert";"Ferramenta de Conversão de Datas"
"xreftorin";"Converte XREF IDs para números RIN"
"tools_readme";"Veja a seção de Ferramentas no arquivo &lt;a href=&quot;readme.txt&quot;&gt;readme.txt&lt;/a&gt; para maiores informações."
"sec";"segundos."
"bytes_read";"Bytes Lidos"
"created_indis";"Criada com sucesso tabela de <i>Pessoas</i>."
"created_indis_fail";"Incapaz de criar tabela de <i>Pessoas</i>."
"created_fams";"Criada com sucesso tabela de <i>Famílias</i>."
"created_fams_fail";"Incapaz de criar tabela de <i>Famílias</i>."
"created_sources";"Criada com sucesso tabela de <i>Fontes</i>."
"created_sources_fail";"Incapaz de criar tabela de <i>Fontes</i>."
"created_other";"Criada com sucesso <i>Outras</i> tabelas."
"created_other_fail";"Incapaz de criar <i>Outras</i> tabelas."
"created_places";"Criada com sucesso tabela de <i>Locais</i>."
"created_places_fail";"Incapaz de criar tabela de <i>Locais</i>."
"import_progress";"Importação em progresso, Aguarde ..."
"total_fams";"Total Famílias"
"total_indis";"Total Pessoas"
"starts_with";"Começar Com:"
"person_list";"Listar Pessoa:"
"paste_person";"Colar Pessoa"
"notes_sources_media";"Notas, Fontes e Mídia"
"notes";"Notas"
"ssourcess";"Fontes"
"media";"Objetos Multimídia"
"name_contains";"Nome Contendo:"
"filter";"Pesquisar"
"find_individual";"Procurar ID de Pessoa"
"find_familyid";"Procurar ID de Família"
"find_sourceid";"Find Source ID"
"skip_surnames";"Mostre Lista de Pessoas"
"show_surnames";"Mostrar Lista de Sobrenomes"
"all";"Todos"
"hidden";"Secreto"
"confidential";"Confidencial"
"age";"Idade"
"timeline_title";"Gráfico da Linha do Tempo"
"remove_person";"Remover Pessoa"
"show_age";"Mostrar Marcador de Idade"
"add_another";"Adicione uma outra pessoa ao gráfico:<br />ID Pessoa:"
"find_id";"Procurar ID"
"show";"Mostrar"
"year";"Ano:"
"timeline_instructions";">>> Em Browsers mais novos você clicar e mover as caixas na linha do tempo com o mouse <<<"
"zoom_in";"Mais Zoom"
"zoom_out";"Menos Zoom"
"select_an_option";"Escolha uma opção abaixo:"
"readme_documentation";"Documentação"
"configuration";"Configuração"
"rebuild_indexes";"Reconstruir Índices"
"user_admin";"Administração de Usuários"
"inc_languages";"Idiomas"
"user_created";"Usuário criado com sucesso."
"user_create_error";"Incapaz de criar usuário. Por favor volte e tente novamente."
"password_mismatch";"Senhas não conferem."
"enter_username";"Você deve informar o nome do usuário."
"enter_fullname";"Você deve informar o nome completo."
"enter_password";"Você deve informar a senha."
"confirm_password";"Você deve confirmar a senha."
"update_user";"Alterar Conta do Usuário"
"update_myaccount";"Alterar Minha Conta"
"save";"Gravar"
"delete";"Excluir"
"edit";"Editar"
"full_name";"Nome Completo"
"visibleonline";"Visível para outros usuários quando on-line"
"editaccount";"Permite este usuário alterar as informações de sua conta"
"admin_gedcom";"Administrar GEDCOM"
"confirm_user_delete";"Tem certeza que deseja excluir o usuário"
"create_user";"Criar Usuário"
"no_login";"Incapaz de autenticar o usuário."
"import_gedcom";"Importar este arquivo GEDCOM"
"duplicate_username";"Nome de Usuário duplicado.  Já existe um usuário com este nome. Por favor escolha outro nome de usuário."
"gedcomid";"Minha Identificação na Árvore Genealógica"
"enter_gedcomid";"Você deve informar um ID."
"user_info";"Minhas Informações"
"rootid";"Pessoa raiz da Árvore Genealógica"
"download_gedcom";"Download GEDCOM"
"upload_gedcom";"Upload GEDCOM"
"add_new_gedcom";"Criar um novo arquivo GEDCOM"
"gedcom_file";"Arquivo GEDCOM"
"enter_filename";"Você dever informar o nome do arquivo GEDCOM."
"file_not_exists";"O nome do arquivo informado não existe."
"file_exists";"Já existe um arquivo GEDCOM com esse nome. Por favor escolha um nome diferente ou exclua o outro arquivo."
"new_gedcom_title";"Genealogia de [#GEDCOMFILE#]"
"upload_error";"Um erro ocorreu quando fazia upload de seu arquivo GEDCOM."
"add_gedcom_instructions";"Informe um novo nome para este novo arquivo GEDCOM.  O novo arquivo GEDCOM será criado no diretório Index: "
"file_success";"Upload do arquivo executado com sucesso"
"file_too_big";"Arquivo a ser feito upload excede tamanho permitido"
"file_partial";"Upload partiacialmente executado, por favor tente novamente"
"file_missing";"Nenhum arquivo foi recebido. Por favor tente novamente."
"manage_gedcoms";"Gerenciar arquivos GEDCOM e editar Privacidade"
"administration";"Administração"
"ansi_to_utf8";"Converter esse arquivo GEDCOM do formato ANSI (ISO-8859-1) para UTF-8?"
"utf8_to_ansi";"Você quer converter este arquivo GEDCOM do formato UTF-8 para ANSI (ISO-8859-1)?"
"user_manual";"Genmod Manual do Usuário"
"upgrade";"Atualizar Genmod/ResearchLog"
"view_logs";"Ver Logs"
"logfile_content";"Conteúdo do arquivo de log"
"step1";"Passo 1 de 4:"
"step2";"Passo 2 de 4:"
"step3";"Passo 3 de 4:"
"step4";"Passo 4 de 4:"
"validate_gedcom";"Validar GEDCOM"
"img_admin_settings";"Configuração de Edit Image Manipulation"
"download_note";"ATENÇÃO: Arquivos GEDCOMs muito grandes podem levar muito tempo para iniciar o download.  If PHP times out before the download is complete, then you may not get a complete download.  You can check the downloaded GEDCOM for the 0 TRLR line at the end of the file to make sure it downloaded correctly.  In general it could take as much time to download as it took to import your GEDCOM."
"gm_registry";"Ver outros sites usando Genmod"
"verify_upload_instructions";"Se você escolher continuar, o arquivo GEDCOM antigo será substituido pelo arquivo que você fez o upload e o processo de importação iniciará a seguir.  Se você escolher cancelar, o arquivo GEDCOM antigo será mantido inalterado."
"cancel_upload";"Cancelar Upload"
"add_media_button";"Adicionar Mídia"
"person1";"Pessoa 1"
"person2";"Pessoa 2"
"no_link_found";"Nenhum (outro) relacionamento entre estas duas pessoas foi localizado."
"sibling";"Irmãos"
"follow_spouse";"Verificar relacionamentos por casamento."
"timeout_error";"O tempo destinado à pesquisa encerrou antes de encontrar um relacionamento."
"son";"Filho"
"daughter";"Filha"
"brother";"Irmão"
"sister";"Irmã"
"relationship_to_me";"Relacionamento Comigo"
"next_path";"Localizar novo caminho "
"show_path";"Mostrar caminho"
"line_up_generations";"Alinhar as mesmas generações"
"oldest_top";"Mostrar mais velho no topo"
"check_delete";"Você tem certeza que quer excluir este fato deste arquivo GEDCOM?"
"access_denied";"<b>Acesso Negado</b><br />Você não tem acesso a este recurso."
"gedrec_deleted";"Registro GEDCOM excluido com sucesso."
"gedcom_deleted";"GEDCOM [#GED#] excluido com sucesso."
"changes_exist";"Foram feitas alterações neste arquivo GEDCOM."
"accept_changes";"Aceitar / Rejeitar Alterações"
"edit_raw";"Editar registro raw GEDCOM"
"show_changes";"Este registro foi atualizado. Clique aqui para mostrar as alterações."
"hide_changes";"Clique aqui para não mostrar as alterações."
"review_changes";"Rever Alterações"
"undo";"Desfazer"
"view_change_diff";"View Change Diff"
"changes_occurred";"As seguintes mudanças ocorreram para essa pessoa:"
"find_place";"Procurar Local"
"close_window";"Fechar Janela"
"close_window_without_refresh";"Fechar Janela sem Recarregar"
"place_contains";"Locais contendo:"
"accept_gedcom";"Decide for each change to either accept of reject it.<br />To accept all changes at once, click "Accept all changes" in the box below.<br />To get more information about a change, <br />click "View change diff" to see the differences between old and new situation, <br />or click "View GEDCOM record" to see the new situation in GEDCOM format."
"ged_import";"Importar GEDCOM"
"now_import";"Agora você pode importar os registros GEDCOM para o Genmod clicando no link de importação abaixo."
"add_fact";"Adicionar novo fato"
"add";"Adicionar"
"custom_event";"Configurar Evento"
"update_successful";"Atualização com sucesso"
"add_child";"Adicionar filho"
"add_child_to_family";"Adicionar filho à esta família"
"add_sibling";"Adicionar um irmão ou irmã"
"add_son_daughter";"Adicionar um filho ou uma filha"
"must_provide";"Você deve prover um "
"delete_person";"Excluir esta Pessoa"
"confirm_delete_person";"Você tem certeza que quer excluir esta pessoa do arquivo GEDCOM?"
"find_media";"Localizar arquivos Multimídia"
"set_link";"Preparar Link"
"add_source_lbl";"Adicionar Fonte à Citação"
"add_source";"Adicionar nova Fonte à Citação"
"add_note_lbl";"Adicionar Nota"
"add_note";"Adicionar nova Nota"
"add_media_lbl";"Adicionar arquivo Multimídia"
"add_media";"Adicionar novo arquivo Multimídia"
"delete_source";"Excluir esta Fonte"
"confirm_delete_source";"Você tem certeza que deseja excluir esta fonte deste arquivo GEDCOM?"
"add_husb";"Adicionar marido"
"add_husb_to_family";"Adicionar um marido a esta família"
"add_wife";"Adicionar esposa"
"add_wife_to_family";"Adicionar uma esposa a esta família"
"find_family";"Pesquisar Família"
"find_fam_list";"Pesquisar lista de Famílias"
"add_new_wife";"Adiciona uma nova esposa"
"add_new_husb";"Adiciona um novo marido"
"edit_name";"Alterar Nome"
"delete_name";"Excluir Nome"
"no_temple";"No Temple - Living Ordinance"
"replace";"Substituir Registro"
"append";"Adiconar Registro"
"add_father";"Adiconar um novo pai"
"add_mother";"Adiconar uma nova mãe"
"add_obje";"Adiconar um novo Objeto Multimídia"
"no_changes";"Não há mudança necessária a ser revisada."
"accept";"Aceitar"
"accept_all";"Aceitar todas as mudanças"
"accept_successful";"Alterações aceitas com sucesso no banco de dados"
"select_date";"Selecionar uma data"
"create_source";"Criar uma nova fonte"
"new_source_created";"Nova fonte criada com sucesso."
"paste_id_into_field";"Paste the following source ID into your editing fields to reference this source "
"add_name";"Adicionar novo Nome"
"privacy_not_granted";"Você não tem acesso para"
"user_cannot_edit";"Este usuário não pode editar este GEDCOM."
"gedcom_editing_disabled";"Edição deste GEDCOM foi desabilitada pelo administrador do sistema."
"privacy_prevented_editing";"As configurações de privacidade impedem você de alterar esse registro."
"on_this_day";"Este Dia em nossa História ..."
"in_this_month";"Este Mês em nossa História ..."
"in_this_year";"Este Ano em nossa História ..."
"year_anniversary";"#year_var# anos"
"today";"Hoje"
"day";"Dia:"
"month";"Mês:"
"showcal";"Mostrar Eventos de:"
"sunday";"Domingo"
"monday";"Segunda"
"tuesday";"Terça"
"wednesday";"Quarta"
"thursday";"Quinta"
"friday";"Sexta"
"saturday";"Sábado"
"all_people";"Todas as Pessoas"
"living_only";"Pessoas Vivas"
"recent_events";"Eventos Recentes (< 100 anos)"
"day_not_set";"Dia não configurado"
"year_error";"Desculpas, datas anteriores a 1970 não são permitidas."
"lost_password";"Perdeu sua senha?"
"requestpassword";"Solicitação de cadastramento de nova senha"
"no_account_yet";"Ainda não é um usuário cadastrado?"
"requestaccount";"Solicitação de cadastramento de novo Usuário"
"emailadress";"E-mail"
"mail01_line01";"Olá #user_fullname# ..."
"mail01_line02";"Um pedido de cadastramento de conta feito em ( #SERVER_NAME# ) está utilizando seu endereço de E-mail ( #user_email# )."
"mail01_line03";"Os seguintes dados estão sendo usuados."
"mail01_line04";"Por favor clique no link abaixo e preencha o formulário para validar sua Conta e endereço de E-mail."
"mail01_line05";"Se você não solicitou esse cadastramento, favor apagar essa mensagem."
"mail01_line06";"Você não receberá nenhum outro E-mail a partir deste sistema, porquê conta sem validação é eliminada automaticamente em sete dias."
"mail01_subject";"Seu registro em #SERVER_NAME#"
"mail02_line01";"Olá Administrador ..."
"mail02_line02";"Existe um registro de novo usuário em ( #SERVER_NAME# )."
"mail02_line03";"O usuário recebeu um e-mail com os dados necessários para confirmar sua conta."
"mail02_line04";"Tão logo o usuário faça a validação você será informado por e-mail para dar permissão de acesso ao site."
"mail02_subject";"Novo registro em #SERVER_NAME#"
"hashcode";"Código de validação"
"thankyou";"Olá #user_fullname# ...<br />Obrigado por seu registro"
"pls_note06";"Agora você irá receber um e-mail de confirmação no endereço ( #user_email# ). Seguindo as instruções do e-mail de confirmação, você ativará sua conta; você terá até 7 dias para confirmar este e-mail. Para ter acesso a este site você precisa saber seu nome de usuário e senha."
"registernew";"Confirmação de nova conta"
"user_verify";"Validação de Usuário"
"send";"Enviar"
"pls_note07";"Por favor, digite nome de Usuário, Senha e Código de validação para receber deste sistema, por E-mail, a validação de seu cadastramento."
"pls_note08";"Os dados do Usuário <b>#user_name#</b> foram validados."
"mail03_line01";"Olá Administrador ..."
"mail03_line02";"#newuser[username]# ( #newuser[fullname]# ) verificou os dados de registro."
"mail03_line03";"Por favor, clique no link abaixo para conectar ao seu site e verificar os dados do usuário para permitir-lhe acesso ao seu site."
"mail03_subject";"Nova verificação em #SERVER_NAME#"
"pls_note09";"Você foi identificado como um usuário registrado."
"pls_note10";"O Administrador será informado.<br />Tão logo ele dê sua permissão você poderá conectar usando seu nome de usuário e senha."
"data_incorrect";"Dados incorretos!<br />Por favor tente novamente!"
"user_not_found";"Não foi possível verificar as informações.  Por favor retorne e tente novamente."
"lost_pw_reset";"Solicitação de cadastramento de nova senha"
"pls_note11";"Para refazer sua senha perdida, forneça os nome de usuário e endereço de e-mail de sua conta. <br /><br />Nós enviaremos via e-mail uma URL especial, a qual contém uma confirmação para sua conta. Visitando a URL fornecida, nós permitiremos a mudança de sua senha e nome de usuário para este site. Por medida de segurança, você não deve fornecer informações desse e-mail para ninguém, incluindo os administradores desse site.<br /><br />Se você precisar de ajuda, por favor, entre em contato com o administrator do site."
"enter_email";"Você precisa informar seu e-mail."
"mail04_line01";"Oi #user_fullname# ..."
"mail04_line02";"Uma nova senha foi requerida para o seu usuário!"
"mail04_line03";"Recomendações:"
"mail04_line04";"Agora clique no link abaixo, conecte com sua nova senha e altere-a para manter segura a integridade de seus dados."
"mail04_subject";"Requisição de Dados de #SERVER_NAME#"
"pwreqinfo";"Olá ...<br /><br />Um e-mail foi enviado para seu endereço incluindo a nova senha.<br /><br />Verifique com seu programa de e-mails o recebimento do mesmo.<br /><br />Recomendação:<br /><br />Após recepção do e-mail com sua solicitação você deve conectar a este site com sua nova senha e alterá-la para manter segura a integridade de seus dados."
"editowndata";"Minha Conta"
"savedata";"Gravar dados alterados"
"datachanged";"User data was changed!"
"datachanged_name";"Você precisa reconectar novamente com o seu novo nome de usuário."
"myuserdata";"Minha Conta"
"verified";"Validou sua conta"
"verified_by_admin";"Aprovado pelo Administrador"
"user_theme";"Meu Tema"
"mgv";"Meu Portal"
"passwordlength";"Senha precisa conter ao menos 6 caracteres."
"admin_approved";"Sua conta em #SERVER_NAME# foi aprovada"
"you_may_login";"pelo administrador do site. Agora você pode acessar o  Site clicando no link abaixo:"
"welcome_text_auth_mode_1";"<b>WELCOME TO THIS GENEALOGY WEBSITE</b><br /><br />Access to this site is permitted to every visitor who has a user account on this website.<br />If you already have a user account you can login on this page.<br /><br />If you don't have a user account yet, you can apply for one by clicking on the appropriate link on this page.<br />After verifying your information, the site administrator will activate your account.<br />You will receive an email on activation."
