"stat_sources";"Fuentes"
"friday_1st";"V"
"saturday_1st";"S"
"edit_source";"Editar Fuente"
"source_menu";"Opciones para fuente"
"user_auto_accept";"Automaticamente acepte cambios hechos por este usuario"
"cancel";"Cancelar"
"change";"Cambiar"
"change_family_instr";"Use esta p&aacute;gina para cambiar o remover miembros familiares.<br /><br />Por cada miembro en la familia, usted puede usar el link de <i>Cambio/Cambiar</i> para escoger una persona diferente que llene o juege ese papel/rol en la familia. Usted puede usar el link de <i>Remover</i> para remover esa persona de la familia.<br /><br />Cuando haya terminado de cambiar todos los miembros familiares, pulse en el boton de <i>Salvar</i> para almacenar o salvar sus cambios.<br />"
"change_family_members";"Cambiar miembros familiares"
"delete_family_confirm";"Al borrar la familia rompera todos los enlaces entre individuos; pero dejara a los individuos (no les borrara). Esta seguro de que quiere borrar a esta familia?"
"delete_family";"Borrar familia"
"add_favorite";"Agregar un nuevo favorito"
"url";"URL"
"add_fav_enter_note";"Agregue una nota opcional en relaci&oacute;n a este favorito"
"add_fav_or_enter_url";"O<br /"
"add_fav_enter_id";"Coloque una Persona, Familia, o ID de Fuente(source ID)"
"import_time_exceeded";"El tiempo limite de ejecuci&oacute;n ha sido alcanzado. Pulse en el boton de Continuar en la parte de abajo para continuar importando su archivo GEDCOM."
"next_email_sent";"El pr&oacute;ximo correo electr&oacute;nico recordatorio sera enviado despues de "
"last_email_sent";"El ultimo correo electr&oacute;nico recordatorio fue enviado "
"confirm_remove";"Esta seguro de que quiere borrar esta persona de la familia?"
"remove_child";"Remover este infante de la familia"
"link_new_husb";"Agregar un esposo usando una persona existente(en nuestra base de datos)"
"link_new_wife";"Agregar una esposa usando una persona existente(en nuestra base de datos)"
"address_labels";"Titulos - Direcci&oacute;n"
"filter_address";"Mostrar direcciones que contienen:"
"address_list";"Lista de Direcciones"
"autocomplete";"Autocompletar"
"index_edit_advice";"Resaltar el nombre de un bloque/pedazo y pulse en uno de los iconos, con la flecha, para moverle en la direcci&oacute;n deseada."
"importing_dates";"Importando records por fecha"
"changelog";"Version #VERSION# de cambios"
"view_changelog";"Ver archivo changelog.txt"
"html_block_descr";"Este es un bloque de tipo HTML que puede colocar en su p&aacute;gina para agregar cualquier tipo de mensaje que desee."
"num_to_show";"Numero de objetos por mostrar"
"days_to_show";"Numero de dias por mostrar"
"before_or_after";"Colocar numero antes o despues del nombre?"
"before";"antes"
"after";"despues"
"pls_note12";"Por favor usar este campo para describir porque usted esta pidiendo una cuenta en nuestro sitio y como esta relacionado con la gineaologia."
"enter_comments";"Por favor coloque su relaci&oacute;n a la informaci&oacute;n en el campo para comentarios."
"comments";"Comentarios"
"none";"Ninguno"
"ahnentafel_report";"Reporte Ahnentafel"
"child-family";"Padres y parientes"
"spouse-family";"Esposa e hijos"
"direct-ancestors";"Ancentros de linea directa"
"ancestors";"Ancentros de linea directa y sus familias"
"descendants";"Descendientes"
"choose_relatives";"Escoger familiares"
"relatives_report";"Reporte de Familiares"
"total_living";"Total de personas vivas"
"total_dead";"Total de personas muertas"
"total_not_born";"Total de personas que no han nacido"
"remove_custom_tags";"Remover tags GM? (eg. _GMU, _THUM)"
"download_zipped";"Bajar GEDCOM a un archivo ZIP?"
"remember_me";"Recuerdeme en esta computadora?"
"add_unlinked_person";"Agregue una persona que no ha sido enlazada"
"fams_with_surname";"Familias con apellidos #surname#"
"genealogy_contact";"Punto de Contacto Genealogico"
"continue_import";"Continuar importando"
"importing_places";"Importando records (lugar)"
"common_upload_errors";"Este error probablemente significa que el archivo que usted ha trato cargar ha excedido el limite estipulado por el administrador. El limite standard en PHP es 2MB. Usted puede contactar su grupo de apoyo t&eacute;cnico para aumentar este limite en el archivo php.ini, o usted puede subir el archivo usando FTP. Use el link <a href="uploadgedcom.php?action=add_form"><b>Add GEDCOM</b></a>  para agregar un archivo GEDCOM que ha agregado/subido usando FTP."
"total_memory_usage";"Total Memoria en Uso:"
"mothers_family_with";"Familia de la Madre comienza con "
"fathers_family_with";"Familia del Padre comienza con "
"halfsibling";"Medios Hermanos"
"halfbrother";"Medio Hermano"
"halfsister";"Media Hermana"
"family_timeline";"Mostrar familia en una ficha estilo tiempo"
"children_timeline";"Mostrar ni&ntilde;os en una ficha estilo tiempo"
"other";"Otros"
"sort_by_marriage";"Ordene de acuerdo a la fecha de matrimonio"
"reorder_families";"Reordene Familias"
"indis_with_surname";"Individuos con apellidos #surname#"
"first_letter_fname";"Escoga una letra para mostrar individuos cuyo primer nombre comienza con esta letra."
"import_marr_names";"Importe Nombres de Casados"
"marr_name_import_instr";"Pulse en el boton (abajo) solo si usted quiere que Genmod calcule los nombres de casados para hembras en este GEDCOM. Esto le permitira buscar y ver una lista de hembras de acuerdo a sus nombres de casadas.  <i>Nota: Los nombres de casadas solo saldran en la lista si usted habilito esta opci&oacute;n en la configuraci&oacute;n de GEDCOM. <b>Calcular los nombres de casados es opcional.</b></i>"
"calc_marr_names";"Calculando Nombres de Casados"
"total_names";"Total Nombres"
"top10_pageviews_nohits";"Nadie ha visitado."
"top10_pageviews_msg";"Los contadores deben estar habilitados en la configuraci&oacute;n del GEDCOM para que este bloque trabaje."
"review_changes_descr";"El bloque de los cambios pendientes le dara a los usuarios con derechos de Editar una lista de todos los records que han sido cambiados en linea y que todavia necesitan ser revisados y aceptados. Estos cambios estan pendiente de ser aceptados o rechazados.<br /><br />Si este bloque esta habilitado, los usuarios con derechos de aceptaci&oacute;n recibiran un email una vez al dia notificandole que deben revisar los cambios."
"review_changes_email";"Enviar emails recordatorios?"
"review_changes_email_freq";"Frecuencia de Email Recordatorio (dias)"
"review_changes_subject";"Genmod - Revisar Cambios"
"review_changes_body";"Cambios en linea que han sido hecho a una base de datos genealogica. Estos cambios necesitan ser revisados y aceptados antes de que los usuarios le puedan ver. Por favor use el URL abajo  para entrar a sitio Genmod y entrar para revisar los cambios."
"show_spouses";"Mostrar Esposas"
"quick_update_title";"Actualizaci&oacute;n R&aacute;pida"
"quick_update_instructions";"Esta p&aacute;gina le permite actualizar rapidaaacute;pidamente la informaci&oacute;n para un individua. Usted solo tiene que colocar la informaci&oacute;n que es nueva o cambiado. Despues que efectue sus cambios, los mismos tendran que ser revisados por el administrador antes de estar disponible a todos los usuarios."
"update_name";"Actualizar Nombre"
"update_fact";"Actualizar un Hecho"
"update_fact_restricted";"Actualizaci&oacute;n de este hecho esta restringido:"
"update_photo";"Actualizar Foto"
"photo_replace";"Usted quiere reemplazar una foto anterior con esta?"
"select_fact";"Seleccione un hecho..."
"update_address";"Actualize Direcci&oacute;n"
"add_new_chil";"Agregar un nuevo ni&ntilde;o"
"top10_pageviews_descr";"Este bloque le mostrara los 10 records mas vistos. Este bloque requiere que un contador de visitas este habilitado en su configuraci&oacute;n GEDCOM."
"top10_pageviews_block";"Objetos mas Vistos"
"user_default_tab";"Carpeta Standard para mostrar en la p&aacute;gina de Informaci&oacute;n Individual"
"stepfamily";"Step Family"
"stepdad";"Padrastro"
"stepmom";"Madrastra"
"stepsister";"Hermanastra"
"stepbrother";"Hermanastro"
"max_upload_size";"Tama&ntilde;o de Carga Maximo: "
"edit_fam";"Editar Familia"
"fams_charts";"Opciones por familia"
"sort_by_birth";"Ordenar por fecha de nacimiento"
"reorder_children";"Re-ordenar ni&ntilde;os"
"add_from_clipboard";"Agregar del Clipboard: "
"record_copied";"Record ha sido copiado al clipboard"
"copy";"Copiar"
"cut";"Cortar"
"indis_charts";"Opciones para individuo"
"edit_indi";"Editar individuo"
"locked";"Bajo Candado"
"privacy";"Privacidad"
"number_sign";"#"
"qm";"?"
"qm_ah";"?"
"gedcom_stats_block";"Estadisticas de GEDCOM"
"sorry";"<b>Lo sentimos, todavia no tenemos ayuda para esta secci&oacute;n.</b>"
"var_not_exist";"<span style=font-weight: bold>El equivalente en su idioma no le tenemos. Por favor reporte este error a nuestro administrador.</span>"
"resolution";"Resoluci&oacute;n - Pantalla"
"menu";"Menu"
"header";"Header"
"imageview";"Imagen Viewer"
"login_head";"Genmod User Login"
"error_title";"ERROR: No es posible abrir el archivo GEDCOM"
"error_header";"El archivo GEDCOM, [#GEDCOM#], No existe en la localizaci&oacute;n especificada."
"error_header_write";"No puede actualizar el archivo GEDCOM, <b>#GEDCOM#</b>. Chequee los atributos y accesos de uso del mismo."
"for_support";"Para ayuda o informaci&oacute;n p&oacute;ngase en contacto con"
"for_contact";"Para ayuda por cuestiones de genealogía contacte con"
"for_all_contact";"Para soporte t&eacute;cnico o por cuestiones de genealogía, por favor contacte con"
"build_title";"Construyendo el índice"
"build_error";"El arhivo GEDCOM ha sido actualizado."
"please_wait";"Por favor espere mientras se reconstruye el índice."
"choose_gedcom";"Seleccione un archivo GEDCOM"
"username";"Usuario:"
"invalid_username";"Nombre de Usuario contiene caracteres que estan permitidos"
"firstname";"Primer Nombre"
"lastname";"Apellido"
"password";"Clave/Contrasecontrase&ntilde;a"
"confirm";"Confirme Contraseña:"
"user_contact_method";"Metodo de Contacto Preferido"
"login_aut";"Editar Usuario"
"logout";"Salir"
"admin";"Administraci&oacute;n"
"logged_in_as";"Registrado "
"my_pedigree";"Mi árbol"
"my_indi";"Mi Ficha"
"yes";"Sí"
"no";"No"
"add_gedcom";"A&ntilde;adir otro GEDCOM"
"change_theme";"Cambiar fondo"
"gedcom_downloadable";"Este archivo puede ser bajado a traves de su conecci&oacute;n internet!<br />Por favor vea la secci&oacute;n de SEGURIDAD en el archivo <a href="readme.txt"><b>readme.txt</b></a> para reparar este problema"
"index_header";"Antepasados"
"gen_ped_chart";"#PEDIGREE_GENERATIONS# Generaciones de Antepasados"
"generations";"Generaciones"
"view";"Ver"
"fam_spouse";"Familia con el c&oacute;nyuge:"
"root_person";"ID persona raíz:"
"hide_details";"Ocultar detalles"
"show_details";"Ver detalles"
"person_links";"Enlaces a informes y familiares cercanos relaccionados con esta persona."
"zoom_box";"Aumentar/Disminuir registro."
"orientation";"Orientaci&oacute;n"
"portrait";"Retrato"
"landscape";"Apaisado"
"start_at_parents";"Comenzar en los padres"
"max_generation";"El numero maximo de generaciones pedigr&iacute; es #PEDIGREE_GENERATIONS#."
"min_generation";"El numero minimo de generaciones pedigr&iacute; es 3."
"box_width";"Caja - Ancho"
"family_not_found";"Record Familiar no fue encontrado"
"husb_present";"Esta familia ya tiene un esposo."
"wife_present";"Esta familia ya tiene una esposa."
"family_exists";"Esta familia ya existe."
"unable_to_find_family";"Imposible encontrar una familia con el ID"
"unable_to_find_indi";"Imposible encontrar una persona con el ID"
"unable_to_find_record";"Imposible encontrar un registro con el ID"
"unable_to_find_source";"Imposible encontrar una fuente con el ID"
"unable_to_find_repo";"Imposible encontrar la informaci&oacute;n con el ID"
"repo_name";"Nombre Archivo:"
"address";"Direcci&oacute;n:"
"phone";"Tel&eacute;fono:"
"source_name";"Fuente:"
"title";"Título:"
"author";"Autor:"
"publication";"Publicaci&oacute;n:"
"call_number";"Número a llamar:"
"living";"Viva"
"private";"Privada"
"birth";"Nac:"
"death";"Def:"
"newfact";"Nuevo Detalle"
"edit_quickupdate";"Actualizaci&oacute;n Rapidaaacute;pida"
"delete_fact";"Borrar Detalle"
"edit_fact";"Editar Detalle"
"place_list_aft";"Coloque la descendencia despues"
"not_an_array";"No existe en la lista"
"print_preview";"Vista Preliminar"
"cancel_preview";"Regresar a la pantalla/estilo normal"
"change_lang";"Cambie el Idioma"
"print";"Imprimir"
"total_queries";"Consultas a la Base de Datos: "
"total_privacy_checks";"Total privacy checks: "
"back";"Regresar"
"privacy_list_indi_error";"Debido a las reglas de privacidad, no le podemos mostrar una o mas personas."
"privacy_list_fam_error";"Debido a las reglas de privacidad, no le podemos mostrar una o mas familias."
"aka";"Seudonimos"
"male";"Hombre"
"female";"Mujer"
"temple";"Templo LDS"
"temple_code";"C&oacute;digo Templo LDS:"
"status";"Estatus"
"source";"Fuente"
"citation";"Cita"
"text";"Texto:"
"note";"Nota"
"unrecognized_code";"C&oacute;digo GEDCOM desconocido"
"unrecognized_code_msg";"Este es un error el cual nos gustaria reparar. Por favor reporte este error a"
"indi_info";"Ficha Personal"
"individual";"Individual"
"family";"Familia"
"family_with";"Family with"
"as_spouse";"Familia con el Conyuge"
"as_child";"Familia con los Padres"
"view_gedcom";"Ver GEDCOM"
"add_to_cart";"A&ntilde;adir al Carrito"
"still_living_error";"Esta persona todavía está viva o su defunci&oacute;n no ha sido registrada.  La informaci&oacute;n de las personas vivas no es pública.<br />Para más informaci&oacute;n contactar con"
"privacy_error";"Los detalles de esta persona son privados.<br />Para más informaci&oacute;n contactar con"
"more_information";"Para más informaci&oacute;n contacte con"
"name";"Nombre: "
"given_name";"Nombre habitual:"
"surname";"Apellido:"
"suffix";"Sufijo:"
"object_note";"Nota del Objeto:"
"sex";"Sexo:"
"personal_facts";"Detalles Personales"
"type";"Tipo"
"date";"Fecha"
"place_description";"Lugar"
"parents";"Padres:"
"siblings";"Hermano"
"father";"Padre"
"mother";"Madre"
"parent";"Parent"
"relatives";"Familiares Cercanos"
"relatives_events";"Eventos de familiares cercanos"
"child";"Hijo"
"spouse";"C&oacute;nyuge"
"surnames";"Apellidos"
"adopted";"Adoptado"
"foster";"Adoptivo"
"sealing";"Voto"
"challenged";"Challenged"
"disproved";"Desaprobado"
"infant";"Infante"
"stillborn";"Recien Nacido"
"deceased";"Muerto"
"link_as_child";"Conecte esta persona a una persona familia existente como su hijo/hija"
"link_as_wife";"Conecte esta persona a una persona familia existente como su esposa"
"link_as_husband";"Conecte esta persona a una persona familia existente como su esposo"
"no_tab1";"No existen detalles acerca de esta persona."
"no_tab2";"No existen notas acerca de esta persona."
"no_tab3";"No existen detalles acerca de esta persona."
"no_tab4";"No existen detalles (media) acerca de esta persona."
"no_tab5";"No existen familiares cercanos para esta persona."
"no_tab6";"No existen logs relacionados con esta persona."
"family_info";"Informaci&oacute;n Familiar"
"family_group_info";"Informaci&oacute;n del Grupo Familiar"
"husband";"Esposo"
"wife";"Esposa"
"marriage";"Matrimonio:"
"lds_sealing";"Voto SUD:"
"marriage_license";"Acta matrimonial:"
"media_object";"Objeto Multimedia:"
"children";"Hijos:"
"no_children";"Sin Hijos"
"number_children";"Numero de Ninos: "
"parents_timeline";"Ver a los padres en<br />el gráfico de edades"
"clip_cart";"Carrito Geneal&oacute;gico"
"clip_explaination";"El Carrito Geneal&oacute;gico le permite tomar "segmentos" del árbol familiar y reunirlos en un solo archivo GEDCOM para descargar.<br /><br />"
"item_with_id";"Item con ID"
"error_already";"ya está en su carrito."
"which_links";"¿Qu&eacute; enlaces de esta familia le gustaría a&ntilde;adir?"
"just_family";"A&ntilde;adir este registro familiar."
"parents_and_family";"A&ntilde;adir los padres con este registro familiar."
"parents_and_child";"A&ntilde;adir los padres e hijos con este registro familiar."
"parents_desc";"A&ntilde;adir los padres y todos los registros de los descendientes con este registro familiar."
"continue";"Continúe Añadiendo"
"which_p_links";"¿Qu&eacute; enlaces de esta persona le gustaría añadir tambi&eacute;n?"
"just_person";"A&ntilde;adir esta persona."
"person_parents_sibs";"A&ntilde;adir esta persona, sus padres y hermanos."
"person_ancestors";"A&ntilde;adir esta persona y su línea de antepasados directos."
"person_ancestor_fams";"A&ntilde;adir esta persona, su línea de antepasados directos y sus familias."
"person_spouse";"A&ntilde;adir esta persona, su c&oacute;nyuge, e hijos."
"person_desc";"A&ntilde;adir esta persona, su c&oacute;nyuge, y todos los registros de sus descendientes."
"unable_to_open";"No es posible abrir la carpeta del Carrito para escritura"
"person_living";"Esta persona está viva. Los detalles personales no se pueden ver."
"person_private";"Los detalles sobre esta persona son privados. Los detalles personales no se pueden ver."
"family_private";"Los detalles sobre esta familia son privados. Los detalles de esta familia no se pueden ver."
"download";"Haga clic con el bot&oacute;n derecho (control-click en un Mac) en los enlaces y seleccione "Salvar como" para descargar los archivos."
"media_files";"Archivos multimedia  referenciados en este GEDCOM"
"cart_is_empty";"Tu carrito está vacío."
"id";"ID"
"name_description";"Nombre / Descripci&oacute;n"
"remove";"Vaciar"
"empty_cart";"Vaciar Carro"
"download_now";"Descargar ahora"
"indi_downloaded_from";"La informaci&oacute;n de esta persona se descarg&oacute; desde:"
"family_downloaded_from";"La informaci&oacute;n de esta familia se descarg&oacute; desde:"
"source_downloaded_from";"La informaci&oacute;n de esta fuente se descarg&oacute; desde:"
"connections";"Lugares encontrados<br />Ver resultados"
"top_level";"Lugares investigados"
"form";"Los lugares se codifican en la forma: "
"default_form";"Parroquia, Ayuntamiento, Provincia, Pais/Estado"
"default_form_info";"(Por defecto)"
"gedcom_form_info";"(GEDCOM)"
"unknown";"Desconocido"
"individuals";"Personas"
"view_records_in_place";"Ver todos los records"
"place_list2";"Colocar lista"
"show_place_hierarchy";"Mostrar lugar en orden"
"show_place_list";"Mostrar lista de todos los lugares"
"total_unic_places";"Total Unique Places"
"multi_title";"Lista Multimedia"
"media_found";"Objetos Multimedia"
"view_person";"Ver Persona"
"view_family";"Ver Familia"
"view_source";"Ver Fuente"
"prev";"< Anterior"
"next";"Siguiente >"
"file_not_found";"No encontrado."
"file_empty";"Nombre de archivo esta en blanco."
"medialist_show";"Mostrar"
"per_page";"numero de objectos por p&aacute;gina"
"delete_directory";"Borrar directorio"
"delete_file";"Borrar archivo"
"confirm_delete_file";"Esta seguro que quiere borrar este archivo?"
"directory_not_empty";"Carpeta no esta vacia"
"directory_not_exist";"Carpeta no existe."
"media_not_deleted";"Carpeta de Media no fue borrada."
"media_deleted";"Carpeta de Media ha sido borrada."
"thumbs_not_deleted";"Carpeta de Thumbnail no fue borrada."
"thumbs_deleted";"Carpeta de Thumbnail ha sido borrada."
"delete_dir_success";"Carpetas de Media y thumbnail han sido borrados."
"current_dir";"Carpeta actual: "
"add_directory";"Agregar Carpeta"
"show_thumbnail";"Mostrar thumbnails"
"image_format";"Formato de Archivo Imagen"
"media_format";"Formato de Media"
"image_size";"Dimensiones de Imagen"
"media_file_size";"Tamano de Media"
"no_thumb_dir";"carpeta de thumbnail no existe y no pudo ser creado."
"manage_media";"Manejar Media"
"gen_thumb";"Crear thumbnail"
"move_to";"Mover a "
"security_no_create";"Advertencia: Archivo <b><i>index.php</i></b> no existe en "
"security_not_exist";"Advertencia: No pudimos crear archivo <b><i>index.php</i></b> en "
"illegal_chars";"Caracteres no valido en el nombre"
"link_media";"Conectar Media"
"to_person";"A Persona"
"to_family";"A Familia"
"to_source";"A Fuente"
"media_id";"Identificaci&oacute;n de Media"
"invalid_id";"ID no existe en este archivo GEDCOM."
"media_exists";"Archivo Media ya existe."
"media_thumb_exists";"Thumbnail ya existe."
"move_file_success";"Archivos Media y thumbnail han sido movidos/mudados."
"media_folder_corrupt";"La carpeta de Media esta da�ada."
"max_media_depth";"Usted solo puede trabajar al siguiente nivel de carpetas: #MEDIA_DIRECTORY_LEVELS#"
"upload_file";"Cargar archivo en su computador/ordenador"
"thumb_genned";"Thumbnail #thumbnail# creado automaticamente."
"thumbgen_error";"Thumbnail #thumbnail# no pudo ser creado automaticamente."
"generate_thumbnail";"Crear thumbnail automaticamente de "
"no_upload";"Cargando archivos media no es permitido porque objectos multimedia no son permitidos o porque la carpeta de media esta protegida."
"upload";"Cargar"
"upload_media";"Cargar Archivos Media"
"folder";"Carpeta"
"media_file";"Archivo Media"
"thumbnail";"Thumbnail"
"upload_successful";"Carga Funciono."
"media_file_deleted";"Archivo Media ha sido borrado."
"media_file_not_deleted";"Archivo Media no pudo ser borrado."
"thumbnail_deleted";"Archivo Thumbnail ha sido borrado."
"thumbnail_not_deleted";"Archivo Thumbnail no pudo ser borrado."
"media_record_deleted";"Record Media #xref# y sus enlances han sido borrados de la base de datos."
"media_record_not_deleted";"Record Media #xref# y sus links no pudieron ser borrados de la base de datos."
"record_updated";"Record #pid# ha sido actualizado."
"record_not_updated";"Record #pid# no pudo ser actualizado."
"record_removed";"Record #xref# ha sido borrado de GEDCOM."
"record_not_removed";"Record #xref# no pudo ser borrado de GEDCOM."
"search_gedcom";"Buscar archivos GEDCOM"
"enter_terms";"Escriba una palabra"
"soundex_search";"Búsqueda por Soundex"
"sources";"Fuentes"
"firstname_search";"Nombre: "
"lastname_search";"Apellido: "
"search_place";"Lugar: "
"search_year";"Año: "
"no_results";"No se encontraron resultados."
"invalid_search_input";"Please enter a Given name, Last name, or Place \n\t in addition to Year"
"search_options";"Opciones"
"search_geds";"GEDCOMS buscara en"
"search_type";"Tipo de Busqueda"
"search_inrecs";"Buscar"
"search_fams";"Familias"
"search_indis";"Individuos"
"search_sources";"Fuentes"
"search_more_chars";"Por favor coloque mas de una letra"
"search_soundextype";"Tipo de Soundex:"
"search_russell";"Russell"
"search_DM";"Daitch-Mokotoff"
"search_prtnames";"Nombres Individuales'<br /> a imprimir:"
"search_prthit";"Nombres visitados/vistos"
"search_prtall";"Todos los nombres"
"search_tagfilter";"Excluir (Filtro)"
"search_tagfon";"Excluir alguna data genealogica"
"search_tagfoff";"Off"
"associate";"asociado"
"search_asso_label";"Asociados"
"search_asso_text";"Mostrar personas, familias relacionadas"
"sources_found";"Fuentes encontradas"
"titles_found";"Titulos"
"find_source";"Encontrar fuente"
"repos_found";"Repositorios fueron encontrados"
"find_repository";"Buscar Repositorio"
"total_repositories";"Total Repositorios"
"repo_info";"Informaci&oacute;n de Repositorio"
"delete_repo";"Borrar Repositorio"
"other_repo_records";"Records que estan enlazados a este repositorio:"
"create_repository";"Crear Repositorio"
"new_repo_created";"Repositorio nuevo ha sido creado"
"paste_rid_into_field";"Pegue el siguiente ID de Repositorio en su campo (editar) para referirse/acordarse de este Repositorio "
"confirm_delete_repo";"Esta seguro que quiere borrar este repositorio?"
"source_info";"Informaci&oacute;n de la Fuente"
"other_records";"Otros registros que enlazan con esta fuente:"
"people";"Personas"
"families";"Familias"
"total_sources";"Numero de Fuentes"
"building_indi";"Construyendo el índice de Personas y Familias"
"building_index";"Construyendo el índice"
"invalid_gedformat";"Invalid GEDCOM 5.5 format"
"importing_records";"Importando Registros a la Base de datos"
"detected_change";"Genmod detect&oacute; un cambio en el archivo #GEDCOM#.  El archivo índice debe de ser reconstruído de nuevo."
"please_be_patient";"POR FAVOR SEA PACIENTE"
"reading_file";"Leyendo archivo GEDCOM"
"flushing";"Depurando Contenidos"
"found_record";"Registros encontrados"
"exec_time";"Tiempo de ejecuci&oacute;n:"
"time_limit";"Tiempo Límite PHP:"
"unable_to_create_index";"No se pudo crear un archivo índice. Asegúrese de que los permisos de escritura están habilitados en el directorio de Genmod."
"indi_complete";"Archivo índice de Personas completamente actualizado."
"family_complete";"Archivo índice de Familias completamente actualizado."
"source_complete";"Archivo índice de Fuentes completamente actualizado."
"tables_exist";"Estas tablas Genmod ya existen en la base de datos"
"you_may";"Debe:"
"drop_tables";"Eliminar las tablas actuales"
"import_multiple";"Importar y trabajar con múltiples GEDCOMs"
"explain_options";"Si escoje eliminar las tablas todos los datos de que disponía sern reemplazados con los de este GEDCOM<br />Si escoje importar y trabajar con múltiples GEDCOMs, Genmod borrará todos los datos que sean importados utilizando un GEDCOM con el mismo nombre de archivo.  Esta opci&oacute;n le permite guardar múltiples GEDCOM en las mismas tablas y escoger fácilmente entre ellos."
"path_to_gedcom";"Escriba la ruta de su archivo GEDCOM:"
"dataset_exists";"Un archivo GEDCOM con este nombre ya ha sido importado en esta Base de datos."
"changes_present";"The current GEDCOM has changes pending review.  If you continue this Import, these pending changes will be posted to the database immediately.  You should review the pending changes before continuing the Import."
"empty_dataset";"¿Quiere vaciar los datos?"
"index_complete";"índice completo."
