"ABBREVIATE_CHART_LABELS";"Afgekorte veldtitels"
"FAM_FACTS_ADD";"Feiten voor gezinnen"
"FAM_FACTS_UNIQUE";"Unieke feiten voor gezinnen"
"FAM_ID_PREFIX";"Voorvoegsel gezins-ID"
"FAM_QUICK_ADDFACTS";"Snelkoppelingen voor gebeurtenissen van gezinnen"
"FAVICON";"Favorieten icoon"
"GEDCOM_DEFAULT_TAB";"Standaard tabblad op persoonspagina"
"GEDCOM_ID_PREFIX";"Voorvoegsel GEDCOM-ID"
"GM_MEMORY_LIMIT";"Geheugenlimiet"
"GM_SESSION_SAVE_PATH";"Map voor sessiebestanden"
"GM_SESSION_TIME";"Sessie verlopen"
"GM_SIMPLE_MAIL";"Gebruik alleen e-mailadres voor externe berichten"
"GM_STORE_MESSAGES";"Sta toe dat berichten worden opgeslagen"
"Genmod_message";"Genmod bericht"
"HIDE_GEDCOM_ERRORS";"Verberg GEDCOM-fouten"
"HIDE_LIVE_PEOPLE";"Toon levende personen"
"HOME_SITE_TEXT";"Website-tekst"
"HOME_SITE_URL";"Website-URL"
"INCLUDE_IN_SITEMAP";"Opnemen in sitemap"
"INDEX_DIRECTORY";"Map voor indexbestanden"
"INDI_EXT_FAM_FACTS";"Toon uitgebreide gezinsgebeurtenissen bij persoonsgebeurtenissen"
"INDI_FACTS_ADD";"Feiten voor personen"
"INDI_FACTS_UNIQUE";"Unieke feiten voor personen"
"INDI_QUICK_ADDFACTS";"Snelkoppelingen voor gebeurtenissen van personen"
"JEWISH_ASHKENAZ_PRONUNCIATION";"Joods Ashkenazi woordgebruik"
"KEEP_ACTIONS";"Bewaar bestaande acties tijdens import"
"LANGUAGE";"Taal"
"LANG_SELECTION";"Ondersteunde talen"
"LINK_ICONS";"Popup met koppelingen in weergaven"
"LINK_PRIVACY";"Privacy door verwijzende gegevens"
"LISTS_ALL";"Toon optie "ALLE" in persoons- en gezinslijst"
"LOGFILE_CREATE";"Archiveer Logbestanden"
"LOGIN_URL";"URL voor aanmelden"
"MAX_ALIVE_AGE";"Leeftijd waarboven iemand geacht wordt overleden te zijn"
"MAX_DESCENDANCY_GENERATIONS";"Max. aantal generaties nakomelingen"
"MAX_PEDIGREE_GENERATIONS";"Max. aantal generaties kwartierstaat"
"MAX_RELATION_PATH_LENGTH";"Max. lengte relatie-pad"
"MEDIA_DIRECTORY";"Multimediamappen"
"MEDIA_DIRECTORY_LEVELS";"Aantal niveaus van de Multimediamappen"
"MEDIA_EXTERNAL";"Behoudt koppelingen"
"MEDIA_FACTS_ADD";"Feiten voor multimedia-objecten"
"MEDIA_FACTS_UNIQUE";"Unieke feiten voor multimedia-objecten"
"MEDIA_ID_PREFIX";"Voorvoegsel media-ID"
"MEDIA_IN_DB";"Sla multimediabestanden op in de database"
"MEDIA_QUICK_ADDFACTS";"Snelkoppelingen voor gebeurtenissen van Multimedia objecten"
"MERGE_DOUBLE_MEDIA";"Ingebedde multimedia-items samenvoegen"
"META_AUDIENCE";"META-tag doelgroep"
"META_AUTHOR";"META-tag auteur"
"META_AUTHOR_descr";"Laat dit veld leeg om de volledige naam van de contactpersoon voor de desbetreffende genealogie te gebruiken."
"META_COPYRIGHT";"META-tag copyright"
"META_COPYRIGHT_descr";"Laat dit veld leeg om de volledige naam van de contactpersoon voor de desbetreffende genealogie te gebruiken."
"META_DESCRIPTION";"META-tag omschrijving"
"META_DESCRIPTION_descr";"Laat dit veld leeg om voor deze waarde de naam van de actieve genealogie te gebruiken."
"META_KEYWORDS";"META-tag sleutelwoorden"
"META_PAGE_TOPIC";"META-tag paginaonderwerp"
"META_PAGE_TOPIC_descr";"Laat dit veld leeg om voor deze waarde de naam van de actieve genealogie te gebruiken."
"META_PAGE_TYPE";"META-tag paginatype"
"META_PUBLISHER";"META-tag uitgever"
"META_PUBLISHER_descr";"Laat dit veld leeg om de volledige naam van de contactpersoon voor de desbetreffende genealogie te gebruiken."
"META_REVISIT";"META-tag herbezoek"
"META_ROBOTS";"META-tag robots"
"META_ROBOTS_DENY";"META-tag robots (geen toegang)"
"META_SURNAME_KEYWORDS";"Voeg veel voorkomende achternamen toe aan META-tag sleutelwoorden"
"META_TITLE";"META-tag toevoegen aan titel"
"NEWS_TYPE";"Type nieuws om op de beheerpagina te tonen"
"NICK_DELIM";"Toon bij- of roepnaam tussen:"
"NN";"Onbekend"
"NOTE_FACTS_ADD";"Feiten voor gedeelde notities"
"NOTE_FACTS_UNIQUE";"Unieke feiten voor gedeelde notities"
"NOTE_ID_PREFIX";"Voorvoegsel Notitie-ID"
"NOTE_QUICK_ADDFACTS";"Snelkoppelingen voor gebeurtenissen van gedeelde notities"
"PEDIGREE_FULL_DETAILS";"Laat geboorte- en overlijdensgegevens zien in kwartierstaat en nakomelingenoverzicht"
"PEDIGREE_LAYOUT";"Standaard opmaak kwartierstaat"
"PEDIGREE_ROOT_ID";"Beginpersoon kwartierstaat en nakomelingen"
"PHP_TIME_LIMIT";"PHP tijdslimiet"
"PN";"Voornaam onbekend"
"POSTAL_CODE";"Positie postcode"
"PRIVACY_BY_RESN";"Gebruik GEDCOM (RESN) toegangsbeperking"
"PRIVACY_BY_YEAR";"Beperk privacy door de ouderdom van de gebeurtenis."
"PRIV_HIDE";"Verberg, zelfs voor beheerders"
"PRIV_NONE";"Alleen zichtbaar voor beheerders"
"PRIV_PUBLIC";"Zichtbaar voor ALLE bezoekers"
"PRIV_USER";"Alleen zichtbaar voor geautoriseerde gebruikers"
"PROXY_ADDRESS";"Proxyserver adres"
"PROXY_PORT";"Proxyserver poort"
"PinYin_translation";"PinYin:"
"QS_search_click";"Klik HIER voor zoektips!"
"QS_search_tips";"Snel starten - zoektips"
"QUICK_ADD_FACTS";"Deze feiten tonen in "Snel wijzigen""
"QUICK_ADD_FAMFACTS";"Deze feiten voor gezinnen tonen in "Snel wijzigen""
"QUICK_REQUIRED_FACTS";"Deze feiten altijd tonen in "Snel Wijzigen""
"QUICK_REQUIRED_FAMFACTS";"Altijd deze feiten voor gezinnen tonen in "Snel wijzigen""
"REPO_FACTS_ADD";"Feiten voor bewaarplaatsen"
"REPO_FACTS_UNIQUE";"Unieke feiten voor bewaarplaatsen"
"REPO_ID_PREFIX";"Voorvoegsel bewaarplaats-ID"
"REPO_QUICK_ADDFACTS";"Snelkoppelingen voor gebeurtenissen van bewaaarplaatsen"
"REQUIRE_ADMIN_AUTH_REGISTRATION";"Beheerder moet nieuwe aanmeldingen goedkeuren"
"REQUIRE_AUTHENTICATION";"Vereis bezoekersauthenticatie"
"RSS_FORMAT";"RSS-indeling"
"RSS_block_select";"Selecteer te tonen blokken in de RSS-feed"
"SEARCHLOG_CREATE";"Archiveer logbestand zoekopdrachten"
"SERVER_URL";"Genmod-URL"
"SHOW_CONTEXT_HELP";"Toon "?" helpkoppelingen op de pagina's"
"SHOW_COUNTER";"Toon bezoekteller"
"SHOW_DEAD_PEOPLE";"Overleden personen zichtbaar"
"SHOW_EMPTY_BOXES";"Toon lege vakken in de kwartierstaat"
"SHOW_FAM_ID_NUMBERS";"Toon ID's bij gezinnen"
"SHOW_GEDCOM_RECORD";"Sta toe dat gebruikers de GEDCOM-regels zien"
"SHOW_HIGHLIGHT_IMAGES";"Laat eerste afbeelding in persoonsvak zien"
"SHOW_ID_NUMBERS";"Toon ID's bij namen"
"SHOW_LDS_AT_GLANCE";"Toon codes LDS-gebeurtenissen in overzichtsvakken"
"SHOW_LIVING_NAMES";"Namen levende personen zichtbaar"
"SHOW_MARRIED_NAMES";"Toon huwelijkse namen in personenlijst"
"SHOW_NICK";"Toon bij-/roepnamen in persoonsnamen"
"SHOW_PARENTS_AGE";"Toon leeftijd ouders bij geboortedatum kind"
"SHOW_PEDIGREE_PLACES";"Toon plaatsen in persoonsvakken"
"SHOW_QUICK_RESN";"Toon vak Beperking in Snel toevoegen/wijzigen"
"SHOW_RELATIVES_EVENTS";"Toon de gebeurtenissen van nauwe verwanten op de persoonspagina"
"SHOW_RESEARCH_LOG";"Toon actiepunten"
"SHOW_SOURCES";"Toon bronnen"
"SHOW_STATS";"Toon verwerkingsgegevens"
"SOURCE_ID_PREFIX";"Voorvoegsel bron-ID"
"SOUR_FACTS_ADD";"Feiten voor bronnen"
"SOUR_FACTS_UNIQUE";"Unieke feiten voor bronnen"
"SOUR_QUICK_ADDFACTS";"Snelkoppelingen voor gebeurtenissen van bronnen"
"SPLIT_PLACES";"Locaties splitsen bij wijzigen"
"SUPPORT_METHOD";"Verzendwijze ondersteuningsvragen"
"TBLPREFIX";"Voorvoegsel databasetabellen"
"THEME_DIR";"Themamap"
"THUMBNAIL_WIDTH";"Breedte van gegenereerde miniweergaves"
"UNDERLINE_NAME_QUOTES";"Namen tussen aanhalingstekens onderstrepen"
"USE_QUICK_UPDATE";"Gebruik "Snel toevoegen/wijzigen""
"USE_REGISTRATION_MODULE";"Gebruikers toestaan om gebruikersnamen te registreren"
"USE_RELATIONSHIP_PRIVACY";"Gebruik relatie privacy"
"USE_RIN";"Gebruik RIN in plaats van GEDCOM-ID"
"USE_RTL_FUNCTIONS";"RTL gegevensverwerking"
"USE_THUMBS_MAIN";"Gebruik miniweergaven voor hoofdafbeelding bij detailgegevens persoon"
"VISITOR_LANG";"Initiële taal voor bezoekers"
"WEBMASTER_EMAIL";"E-mail Sitebeheerder"
"WELCOME_TEXT_AUTH_MODE";"Welkomsttekst op de aanmeldpagina bij aanmelden vereist"
"WELCOME_TEXT_AUTH_MODE_CUST";"Zelf gedefinieerde tekst voor authenticatie vereist"
"WELCOME_TEXT_AUTH_MODE_CUST_HEAD";"Standaard koptekst voor zelf gedefinieerde welkomsttekst"
"WELCOME_TEXT_AUTH_MODE_OPT1";"Voorgedefinieerde tekst: Alle bezoekers kunnen een gebruikersnaam aanvragen"
"WELCOME_TEXT_AUTH_MODE_OPT2";"Voorgedefinieerde tekst: De sitebeheerder is selectief toekennen van toegangsrechten"
"WELCOME_TEXT_AUTH_MODE_OPT3";"Voorgedefinieerde tekst: Alleen familieleden kunnen een gebruikersnaam aanvragen"
"WELCOME_TEXT_AUTH_MODE_OPT4";"Kies zelf gedefinieerde tekst hieronder"
"WORD_WRAPPED_NOTES";"Toevoegen spaties als notities zijn afgebroken"
"ZOOM_BOXES";"Inzoomen op vakken in de weergave"
"about_user";"U moet eerst de beheerder aanmaken. De beheerder heeft de rechten om de instellingen te wijzigen, privé-gegevens te bekijken en andere gebruikers aan te maken."
"abt";"ongeveer"
"accept";"Accepteer"
"accept_all";"Accepteer alle wijzigingen"
"accept_all_confirm";"Weet u zeker dat u alle wijzigingen voor deze genealogie wilt accepteren?"
"accept_changes";"Wijzigingen accepteren/ongedaan maken"
"accept_gedcom";"Geef voor iedere wijziging aan of deze geaccepteerd moet worden of ongedaan gemaakt.<br />Klik "Accepteer alle wijzigingen" om alle in een handeling door te voeren.<br />Klik "Toon wijzigingen" om de oude en nieuwe situatie te zien,<br />klik "Toon GEDCOM-gegevens" om de nieuwe situatie in GEDCOM-formaat te bekijken."
"accept_successful";"Wijzigingen succesvol aangebracht in de database"
"access";"Toegang"
"access_denied";"<b>Toegang geweigerd</b><br />U heeft geen toegang tot deze gegevens of functie."
"accessible_by";"Zichtbaar voor?"
"accesskey_contact";"4"
"accesskey_family_children_timeline";"D"
"accesskey_family_gedcom";"G"
"accesskey_family_parents_timeline";"P"
"accesskey_family_timeline";"T"
"accesskey_help_content";"2"
"accesskey_help_current_page";"3"
"accesskey_home_page";"1"
"accesskey_individual_descendancy";"D"
"accesskey_individual_details";"I"
"accesskey_individual_gedcom";"G"
"accesskey_individual_media";"A"
"accesskey_individual_notes";"N"
"accesskey_individual_pedigree";"P"
"accesskey_individual_relation_to_me";"M"
"accesskey_individual_relations";"E"
"accesskey_individual_relatives";"R"
"accesskey_individual_research_log";"L"
"accesskey_individual_sources";"O"
"accesskey_individual_timeline";"T"
"accesskey_search";"S"
"accesskey_skip_to_content";"C"
"accesskey_skip_to_content_desc";"Direct naar inhoud"
"accesskey_viewing_advice";"0"
"accesskey_viewing_advice_desc";"Kijkadvies"
"accesskeys";"Sneltoetsen"
"account_information";"Gebruikersinformatie"
"accpriv_conf";"Toegangsverlening"
"action";"Actie"
"action0";"Lopend"
"action1";"Afgesloten"
"action_for_id";"Actie voor"
"action_linking";"Links van acties"
"actionlist";"Actielijst"
"active";"Actief"
"add";"Toevoegen"
"add_another";"Nog een persoon aan de tijdlijn toevoegen:<br />Persoons ID:"
"add_asso";"Nieuwe relatie toevoegen"
"add_child";"Kind toevoegen"
"add_child_to_family";"Kind toevoegen aan dit gezin"
"add_directory";"Map toevoegen"
"add_fact";"Nieuw feit toevoegen"
"add_faq_body";"VGV-tekst"
"add_faq_header";"VGV-titel"
"add_faq_item";"VGV toevoegen"
"add_father";"Vader toevoegen"
"add_fav_enter_id";"Type een persoons-, gezins- of bron-ID"
"add_fav_enter_note";"Type een notitie bij deze favoriet (optie)"
"add_fav_or_enter_url";"OF<br />type een URL en een titel"
"add_favorite";"Favoriet toevoegen"
"add_from_clipboard";"Toevoegen vanaf klembord"
"add_gedcom";"GEDCOM-bestand toevoegen"
"add_gedcom_instructions";"Geef een naam voor het nieuwe GEDCOM-bestand. Deze zal worden geplaatst in de Index-map."
"add_gender";"Geslacht toevoegen"
"add_gnote";"Toevoegen (koppeling naar) gedeelde notitie"
"add_gnote_lbl";"Koppel gedeelde notitie"
"add_husb";"Mannelijke partner toevoegen"
"add_husb_to_family";"Voeg partner toe aan dit gezin"
"add_info_links";"Overige info en koppelingen"
"add_journal";"Notitie toevoegen"
"add_lockout";"Te blokkeren IP-adres of gebruikersnaam"
"add_media";"Voeg nieuwe koppeling met multimedia toe"
"add_media_button";"Multimedia toevoegen"
"add_media_descr";"Dit programma voegt een OBJE-markering toe aan het GEDCOM-bestand. Sluit het venster als u klaar bent met toevoegen van multimedia."
"add_media_lbl";"Voeg koppeling met multimedia toe"
"add_media_link";"Voeg koppeling toe"
"add_media_link_lbl";"Voeg een koppeling toe naar dit item"
"add_media_records";"Toevoegen multimediagegevens"
"add_media_tool";"Toevoegen multimedia"
"add_mother";"Moeder toevoegen"
"add_name";"Nieuwe voor/achternaam toevoegen"
"add_new_chil";"Nieuw kind toevoegen"
"add_new_gedcom";"Nieuw GEDCOM-bestand maken"
"add_new_gf_setting";"Nieuwe algemene instelling voor gegevens op feit/gebeurtenisniveau toevoegen"
"add_new_husb";"Nieuwe mannelijke partner toevoegen"
"add_new_lang_button";"Nieuwe taal toevoegen"
"add_new_language";"Bestanden en instellingen voor nieuwe taal toevoegen"
"add_new_language_desc";"Met behulp van deze optie kunt u nieuwe, nog niet ondersteunde talen aan Genmod toevoegen. In het volgende scherm kunt u hiervoor de instellingen aanbrengen.<br />Nadat de nieuwe taal is toegevoegd, kunt u met het bewerkingsprogramma taalbestand alle teksten en berichten in die taal aanmaken."
"add_new_pf_setting";"Nieuwe specifieke instelling voor gegevens op feit/gebeurtenisniveau toevoegen"
"add_new_pf_setting_indi";"Voeg nieuwe instelling toe voor gegevens van een persoon"
"add_new_pf_setting_source";"Voeg nieuwe instelling toe voor gegevens van een bron"
"add_new_pp_setting";"Nieuwe privacy instelling toevoegen op record-niveau"
"add_new_up_setting";"Nieuwe privacy instelling voor gebruiker toevoegen"
"add_new_wife";"Nieuwe vrouwelijke partner toevoegen"
"add_news";"Artikel aan prikbord toevoegen"
"add_note";"Voeg nieuwe notitie toe"
"add_note_lbl";"Voeg notitie toe"
"add_obje";"Multimedia-object toevoegen"
"add_sibling";"Voeg broer of zus toe"
"add_site_to_favs";"Website toevoegen aan uw favorieten"
"add_son_daughter";"Voeg zoon of dochter toe"
"add_source";"Voeg nieuwe bronvermelding toe"
"add_source_citation_to_fact";"Koppel bronverwijzing en citaat aan de gebeurtenissen"
"add_source_citation_to_person";"Koppel bronverwijzing en citaat alleen aan persoon"
"add_source_lbl";"Voeg bronvermelding toe"
"add_source_reference_to_fact";"Koppel alleen de bronverwijzing aan de gebeurtenissen (geen citaat)"
"add_to_cart";"Toevoegen aan knipselbak"
"add_to_my_favorites";"Toevoegen aan mijn favorieten"
"add_todo";"Actiepunt toevoegen"
"add_unlinked_person";"Niet gekoppeld persoon toevoegen"
"add_user";"Toevoegen van een nieuwe gebruiker"
"add_wife";"Vrouwelijke partner toevoegen"
"add_wife_to_family";"Voeg partner toe aan dit gezin"
"adding";"Toevoegen"
"additions";"Toevoegingen"
"addmedia";"Toevoegen Multimediabestanden"
"address";"Adres:"
"address_labels";"Adresetiketten"
"address_list";"Adreslijst"
"adds_completed";"Multimedia is succesvol toegevoegd aan het GEDCOM-bestand."
"admin";"Beheren"
"admin_approved";"Uw aanmelding op #SERVER_NAME# is goedgekeurd"
"admin_gedcom";"Beheren"
"admin_gedcoms";"Klik hier om de GEDCOM-bestanden te beheren."
"admin_geds";"Beheer GEDCOM's en gegevens"
"admin_info";"Informatie"
"admin_site";"Beheer website"
"admin_user_warnings";"Een of meer gebruikers hebben een waarschuwing"
"admin_verification_waiting";"Er wachten gebruikers op verificatie door de beheerder"
"administration";"Beheer"
"administration_maintenance";"Beheer - Onderhoud"
"administrator";"Beheerder"
"adopted";"Geadopteerd"
"adopted_brother";"Adoptiefbroer"
"adopted_child";"Geadopteerd kind"
"adopted_daughter";"Adoptiefdochter"
"adopted_father";"Adoptiefvader"
"adopted_mother";"Adoptiefmoeder"
"adopted_parents";"met adoptiefouders"
"adopted_sister";"Adoptiefzuster"
"adopted_son";"Adoptiefzoon"
"advanced_conf";"Extra configuratieopties"
"aft";"na"
"after";"achter"
"age";"Leeftijd"
"age_privacy";"Leeftijdsgerelateerde privacy-instellingen"
"ahnentafel_born_f";"is geboren"
"ahnentafel_born_m";"is geboren"
"ahnentafel_buried_f";"is begraven"
"ahnentafel_buried_m";"is begraven"
"ahnentafel_christened_f";"is gedoopt"
"ahnentafel_christened_m";"is gedoopt"
"ahnentafel_died_f";"overleed"
"ahnentafel_died_m";"overleed"
"ahnentafel_generation";"Generatie "
"ahnentafel_header";"Ahnentafelrapport voor "
"ahnentafel_married_f";"huwde"
"ahnentafel_married_m";"huwde"
"ahnentafel_no_details";"maar details zijn onbekend"
"ahnentafel_place";"in "
"ahnentafel_pronoun_f";"Zij "
"ahnentafel_pronoun_m";"Hij "
"ahnentafel_report";"Voorouders"
"aiy_narrowyears";"Gebruik hoogst mogelijke geboortejaar en laagst mogelijke overlijdensjaar"
"aiy_trueyears";"Gebruik alleen werkelijke geboorte- en overlijdensdatums"
"aiy_usemaa";"Veronderstel een maximum levensduur (in het algemeen 120 jaar) als de geboorte- of overlijdensdatum ontbreekt"
"aiy_wideyears";"Gebruik laagst mogelijke geboortejaar en hoogst mogelijke overlijdensjaar"
"aka";"Ook bekend als "
"alive";"Levend "
"alive_in_year";"Levend in jaar"
"all";"ALLE"
"all_loaded";"Alle taalbestanden zijn succesvol geladen"
"all_not_loaded";"Niet alle taalbestanden zijn succesvol geladen"
"all_people";"Alle personen"
"all_sections";"Alle wijzigingen"
"all_users";"Alle gebruikers"
"alpha_index";"Alfabetische index"
"alphabet_lower";"Alfabet kleine letters"
"alphabet_upper";"Alfabet hoofdletters"
"ancestors";"Directe voorouders en hun gezinnen"
"ancestry_chart";"Voorouders"
"and";"en"
"anniversary_calendar";"Kalender"
"anon_user";"1 anoniem aangemelde gebruiker"
"anon_users";"#gm_lang[global_num1]# anoniem aangemelde gebruikers"
"ansi_encoding_detected";"ANSI bestandscodering geconstateerd. Genmod werkt het best met bestanden gecodeerd volgens UTF-8."
"ansi_to_utf8";"Converteer dit GEDCOM-bestand van ANSI (ISO-8859-1) naar UTF-8?"
"append";"Gegevens toevoegen"
"apply_privacy";"Privacy-instellingen toepassen?"
"apr";"april"
"apx";"ongeveer"
"arabic_cal";"Arabisch"
"article_text";"Artikeltekst:"
"as_adoptedchild";"Gezin met adoptiefouders"
"as_child";"Gezin met ouders"
"as_fosterchild";"Gezin met pleegouders"
"as_sealingchild";"Gezin met gezegelde ouders"
"as_spouse";"Gezin met partner"
"associate";"relatie"
"associate_of";"Relatie van"
"associate_with";"Relatie met"
"attempt_auto_acc";"Probeer deze wijziging direct te accepteren"
"attendant";"Verzorger"
"attending";"Verzorgt"
"aug";"augustus"
"aunt";"Tante"
"author";"Auteur:"
"auto_continue";"Automatisch op "Doorgaan" klikken"
"auto_thumbs";"Automatisch genereren"
"autocomplete";"Auto-aanvullen"
"available_blocks";"Beschikbare vakken"
"back";"Terug"
"back_useradmin";"Terug naar Beheer gebruikers"
"bad_database_name";"Genmod kan verbinding maken met de SQL database machine, maar krijgt geen toegang tot de opgegeven database. Controleer de databasenaam, de gebruikersnaam en de toegekende rechten."
"bad_host_user_pass";"Genmod kan geen verbinding maken met uw SQL databaseserver. Controleer de naam van de SQL database machine, de SQL database gebruikersnaam en het SQL database wachtwoord. "
"basic_or_all";"Alleen geboortes, overlijdens en huwelijken tonen?"
"bdm";"Geboortes, overlijdens, huwelijken"
"bef";"voor"
"before";"voor"
"before_or_after";"Plaats tellers voor of achter de naam?"
"bet";"tussen"
"biological";"Biologisch"
"birth";"Geboren:"
"birth_report";"Geboortedata en -locaties"
"birthdate1";"Periode geboortedatum start op"
"birthdate2";"Periode geboortedatum eindigt op"
"birthplac";"Geboorteplaats"
"birthplace";"Geboorteplaats bevat"
"birthyear";"Geboortejaar"
"block_default_index";"~Standaard vakken op de #gm_lang[welcome]#~<br /><br />Als u alle vakken uit de #gm_lang[main_section]# en #gm_lang[right_section]# verwijdert, of als u klikt op de <b>#gm_lang[reset_default_blocks]#</b> knop, dan wordt de vakindeling als volgt ingesteld:<br /><br /><center><table border="1"><tr><td class="list_value"><b>#gm_lang[main_section]#</b></td><td class="list_value"><b>#gm_lang[right_section]#</b></td></tr><td>#gm_lang[gedcom_stats_block]#<br />#gm_lang[gedcom_news_block]#<br />#gm_lang[gedcom_favorites_block]#<br />#gm_lang[review_changes_block]#</td><td>#gm_lang[gedcom_block]#<br />#gm_lang[random_media_block]#<br />#gm_lang[todays_events_block]#<br />#gm_lang[logged_in_users_block]#</td></tr></table></center><br />"
"block_default_portal";"~Standaard vakken op de #gm_lang[mygenmod]# pagina~<br /><br />Als u alle vakken uit de #gm_lang[main_section]# en de #gm_lang[right_section]# verwijdert, of op de knop <b>#gm_lang[reset_default_blocks]#</b> klikt, worden de vaklijsten als volgt ingesteld:<br /><br /><center><table border="1"><tr><td class="list_value"><b>#gm_lang[main_section]#</b></td><td class="list_value"><b>#gm_lang[right_section]#</b></td></tr><td>#gm_lang[todays_events_block]#<br />#gm_lang[user_messages_block]#<br />#gm_lang[user_favorites_block]#<br />&nbsp;</td><td>#gm_lang[welcome_block]#<br />#gm_lang[random_media_block]#<br />#gm_lang[upcoming_events_block]#<br />#gm_lang[logged_in_users_block]#</td></tr></table></center><br />"
"block_desc";"Vakbeschrijvingen"
"block_not_configure";"Dit vak kan niet worden ingesteld."
"block_summaries";"<table class='NavBlockTable AdminNavBlockTable'><tr><td class='NavBlockHeader AdminNavBlockHeader' colspan='2'><span class='AdminNavBlockTitle'>~#gm_lang[block_desc]#~</span><br />Hier volgt een korte beschrijving van de vakken die u kunt toevoegen aan de #gm_lang[welcome]# of de #gm_lang[mygenmod]# pagina.</td></tr><tr><td class='NavBlockColumnHeader'>#gm_lang[name]#</td><td class='NavBlockColumnHeader'>#gm_lang[description]#</td></tr>#gm_lang[block_summary_table]#</table>"
"block_top10";"Achternamen Top 10"
"block_top10_descr";"Geeft een lijst met de 10 meest gebruikte namen in de database."
"block_top10_title";"Achternamen Top 10"
"bom_check";"BOM-controle taalbestanden"
"bom_check_desc";"Middels deze controle worden BOM's (Byte Order Mark) in de taalbestanden opgespoord en verwijderd.<br /><br />"
"bom_found";"BOM gevonden in "
"bom_not_found";"Geen BOM gevonden in de taalbestanden."
"bottom";"Onder"
"box_width";"Breedte vak"
"broadcast_all";"Bericht aan alle gebruikers"
"broadcast_never_logged_in";"Bericht aan nooit aangemelde gebruikers"
"broadcast_not_logged_6mo";"Bericht aan langer dan 6 maanden niet aangemelde gebruikers"
"brother";"Broer"
"brother-in-law";"Zwager"
"build_error";"Er is een nieuw GEDCOM-bestand ontdekt."
"build_isdead";"IsDead-status voor alle personen opbouwen"
"build_title";"Indexbestanden worden opgebouwd"
"building_index";"Indexlijsten worden gebouwd"
"building_indi";"Persoons- en gezinsindexering wordt opgebouwd"
"bytes_read";"Bytes gelezen:"
"cal";"berekend"
"calc_marr_names";"Bepalen huwelijkse achternamen"
"call_number";"Call number:"
"can_admin";"Mag beheren"
"can_edit";"Mag wijzigen"
"cancel";"Annuleren"
"cancel_preview";"Annuleren printervriendelijke versie"
"cancel_upload";"Upload annuleren"
"cannot_create_file";"Het bestand kan niet worden gemaakt. Controleer mapnaam, toegangsrechten, etc."
"cart_is_empty";"Uw knipselbak is leeg."
"center";"Midden"
"challenged";"Aan te tonen"
