"stat_sources";"Πηγές, "
"feb";"Φεβρουάριος"
"mar";"Μάρτιος"
"apr";"Απρίλιος"
"may";"Μάϊος"
"jun";"Ιούνιος"
"jul";"Ιούλιος"
"aug";"Αύγουστος"
"sep";"Σεπτέμβριος"
"oct";"Οκτώβριος"
"nov";"Νοέμβριος"
"dec";"Δεκέμβριος"
"abt";"περίπου"
"aft";"μετά"
"and";"και"
"bef";"πριν"
"bet";"ανάμεσα"
"cal";"calculated"
"est";"υπολογίζεται"
"from";"από"
"int";"interpreted"
"to";"έως"
"cir";"circa"
"apx";"περιπ."
"NN";"(άγνωστος/η)"
"PN";"(άγνωστος/η)"
"cancel";"Ακύρωση"
"none";"Καμμία"
"qm";";"
"qm_ah";";"
"gedcom_stats_block";"GEDCOM Statistics Block"
"sorry";"<b>Συγνώμη, δεν έχουμε ολοκληρώσει το κείμενο βοήθειας για την σελίδα αυτή ή για το συγκεκριμένο θέμα</b>"
"resolution";"Ανάλυση Οθόνης"
"menu";"Μενού"
"header";"Επικεφαλίδα"
"imageview";"Θέαση Φωτογραφιών"
"login_head";"Genmod Σύνδεση Χρήστη"
"error_title";"ΣΦΑΛΜΑ: Δεν ανοίγει το αρχείο GEDCOM"
"error_header";"Το αρχείο GEDCOM, [#GEDCOM#], δεν υπάρχει στο συγκεκριμένο χώρο."
"error_header_write";"Το αρχείο GEDCOM, [#GEDCOM#], δεν είναι εγγράψιμο. Ελέγξτε τις ιδιότητες και τα δικαιώματα πρόσβασης."
"for_support";"Για τεχνική υποστήριξη και πληροφορίες επικοινωνήστε με"
"for_contact";"Για βοήθεια με γενεαλογικές ερωτήσεις, παρακαλώ επικοινωνήστε με"
"for_all_contact";"Για τεχνική υποστήριξη ή γενεαλογικές ερωτήσεις, παρακαλώ επικοινωνήστε με"
"build_title";"Δημιουργία Αρχείων Ευρετηρίου"
"build_error";"Το αρχείο GEDCOM έχει ενημερωθεί."
"please_wait";"Παρακαλώ περιμένετε να ενημερωθούν τα αρχεία ευρετηρίου."
"choose_gedcom";"Επιλέξτε ένα αρχεία GEDCOM"
"username";"Ψευδώνυμο Χρήστη"
"invalid_username";"Το ψευδώνυμο χρήστη περιέχει απαγορευμένους χαρακτήρες"
"password";"Μυστικός Κωδικός Πρόσβασης"
"confirm";"Επιβεβαίωση μυστικού Κωδικού Πρόσβασης"
"user_contact_method";"Προτιμητέα Μέθοδος Επικοινωνίας"
"login_aut";"Διαμόρφωση Χρήστη"
"logout";"Αποσύνδεση"
"admin";"Διαχείριση"
"logged_in_as";"Συνδεδεμένος ως"
"my_pedigree";"Το Γενεαλόγιο μου"
"my_indi";"Η Καρτέλα μου"
"yes";"Ναι"
"no";"Όχι"
"add_gedcom";"Προσθήκη GEDCOM"
"change_theme";"Αλλαγή Θεματικής Απεικόνισης"
"index_header";"Γενεαλογικό Δέντρο"
"gen_ped_chart";"Γενεαλογικό Δέντρο #PEDIGREE_GENERATIONS# Γενεών"
"generations";"Γενεές"
"view";"Εμφάνιση"
"fam_spouse";"Οικογένεια με σύζυγο"
"root_person";"Κωδικός Ατόμου Ρίζας"
"hide_details";"Επόκρυψη Λεπτομεριών"
"show_details";"Εμφάνιση Λεπτομεριών"
"person_links";"Σύνδεση με διαγράμματα, οικογένειες, και στενούς συγγενείς του ατόμου αυτού. Επιλέξτε το εικονίδιο αυτό για να δείτε την αντίστοιχη σελίδα εστιασμένη στο άτομο αυτό."
"zoom_box";"Μεγένθυση/Σμίκρυνση στο κουτί αυτό."
"portrait";"Portrait"
"landscape";"Landscape"
"start_at_parents";"Εκκίνηση από γονείς"
"max_generation";"Ο μέγιστος αριθμός γενεών στο γενεαλόγιο είναι #PEDIGREE_GENERATIONS#."
"min_generation";"Ο ελάχιστος αριθμός γενεών στο γενεαλόγιο είναι 3."
"box_width";"Μήκος κουτιού"
"unable_to_find_family";"Δεν υπάρχει οικογένεια με κωδικό"
"unable_to_find_indi";"Δεν υπάρχει άτομο με κωδικό"
"unable_to_find_record";"Δεν υπάρχει εγγραφή με κωδικό"
"unable_to_find_source";"Δεν υπάρχει πηγή με κωδικό"
"unable_to_find_repo";"Unable to find Repository with id"
"repo_name";"Όνομα Αποθηκοφυλακίου:"
"address";"Διεύθυνση:"
"phone";"Τηλέφωνο:"
"source_name";"Όνομα Πηγής:"
"title";"Τίτλος"
"author";"Συγγραφέας:"
"publication";"Δημοσίευση:"
"call_number";"Call Number:"
"living";"Εν ζωή"
"private";"Προσωπικά"
"birth";"Γέννηση:"
"death";"Θάνατος:"
"place_list_aft";"Place Hierarchy after"
"not_an_array";"Δεν είναι Κατάλογος"
"print_preview";"Απεικόνιση για εκτύπωση"
"cancel_preview";"Επιστροφή σε κανονική θέαση"
"change_lang";"Αλλαγή Γλώσσας"
"print";"Εκτύπωση"
"total_queries";"Συνολικές Ανακρίσεις Βάσης Δεδομένων: "
"total_privacy_checks";"Σύνολο ελέγχων προστασίας προσωπικών δεδομένων: "
"back";"Πίσω"
"privacy_list_indi_error";"Για λόγους προστασίας προσωπικών δεδομένων, ένα ή περισσότερα άτομα έχουν κρυφτεί."
"privacy_list_fam_error";"Για λόγους προστασίας προσωπικών δεδομένων, μια ή περισσότερες οικογένειες έχουν κρυφτεί."
"aka";"Παρατσούκλι(α)"
"male";"Άρρεν"
"female";"Θήλυ"
"temple";"LDS Temple"
"temple_code";"LDS Temple Code:"
"status";"Κατάσταση"
"source";"Πηγή"
"citation";"Citation:"
"text";"Source Text:"
"note";"Σημείωση"
"unrecognized_code";"Μη αναγνωρίσιμος κωδικός GEDCOM"
"unrecognized_code_msg";"Αυτό είναι σφάλμα της εφαρμογής, και θέλουμε να το διορθώσουμε. Παρκαλώ όπως το αναφέρετε στον"
"indi_info";"Πληροφορίες Ατόμου"
"family";"Οικογένεια"
"family_with";"Οικογένεια με"
"as_spouse";"Οικογένεια με Σύζυγο"
"as_child";"Οικογένεια με Γονείς"
"view_gedcom";"Εμφάνιση πεδίων GEDCOM"
"add_to_cart";"Προσθήκη στο Καλάθι"
"still_living_error";"Το άτομο αυτό είτε είναι εν ζωή είτε δεν έχει καταγεγραμμένη ημερομηνία γέννησης ή ημερομηνία θανάτου.   Οι λεπτομέρειες ατόμων εν ζωή έχουν κρυφτεί από δημόσια θέαση.<br />Για περισσότερες πληροφορίες επικοινωνήστε με"
"privacy_error";"Λεπτομέρειες για το άτομο αυτό είναι προστατευμένες.<br />"
"more_information";"Για περισσότερες πληροφορίες επικοινωνήστε με"
"name";"Όνομα"
"given_name";"Δωσμένο Όνομα:"
"surname";"Επώνυμο:"
"suffix";"Επίθεμα:"
"object_note";"Object Σημειώσεις:"
"sex";"Φύλο/γένος"
"personal_facts";"Προσωπικά Στοιχεία και Λεπτομέρειες"
"type";"Τύπος"
"date";"Ημερομηνία"
"place_description";"Τόπος / Περιγραφή"
"parents";"Γονείς:"
"siblings";"Αδέλφια"
"father";"Πατέρας"
"mother";"Μητέρα"
"relatives";"Στενοί Συγγενείς"
"child";"Παιδί"
"spouse";"Σύζυγος"
"surnames";"Επώνυμα"
"adopted";"Υιοθετημένος/η"
"foster";"Θετός"
"sealing";"Sealing"
"no_tab1";"Δεν υπάρχουν στοιχεία για το άτομο αυτό."
"no_tab2";"Δεν υπάρχουν σημειώσεις για το άτομο αυτό."
"no_tab3";"Δεν έχουν καταχωρηθεί πληροφοριακές πηγές για το άτομο αυτό."
"no_tab4";"Δεν υπάρχουν φωτογραφίες για το άτομο αυτό."
"no_tab5";"Δεν υπάρχουν στενοί συγγενείς για το άτομο αυτό."
"no_tab6";"Δεν υπάρχουν ημερολόγια έρευνας συνδεδεμένα με το άτομο αυτό."
"family_info";"Πληροφορίες για την Οικογένεια"
"family_group_info";"Πληροφορίες για την Οικογενειακή Ομάδα"
"husband";"Σύζυγος-Άνδρας"
"wife";"Σύζυγος-Γυναίκα"
"marriage";"Γάμος:"
"lds_sealing";"LDS Sealing:"
"marriage_license";"Άδεια Γάμου:"
"media_object";"Αντικείμενο Πολυμέσων:"
"children";"Παιδιά"
"no_children";"Δεν έχουν καταχωρηθεί παιδιά"
"parents_timeline";"Εμφάνιση ζευγαριού στο <br />χρονοδιάγραμμα"
"clip_cart";"Καλάθι Αποκομμάτων"
"clip_explaination";"Το Καλάθι Αποκομμάτων Οικογενειακού Δέντρου επιτρέπει την ανάκτηση &quot;αποκομμάτων&quot; από αυτό το οικογενειακό δέντρο και την δημιουργία ενός αρχείου GEDCOM που μπορείτε να κατεβάσετε στον υπολογιστή σας.<br /><br />"
"item_with_id";"Αντικείμενο με κωδικό id"
"error_already";"είναι ήδη στο καλάθι αποκομμάτων."
"which_links";"Ποιές συνδέσεις από την οικογένεια αυτή θέλετε να προστέσετε;"
"just_family";"Προσθήκη μόνο αυτού του οικογενειακού στοιχείου."
"parents_and_family";"Προσθήκη των γονέων με αυτό το οικογενειακό στοιχείο."
"parents_and_child";"Προσθήκη γονέων και στοιχείων παιδιών με αυτό το οικογενειακό στοιχείο."
"parents_desc";"Προσθήκη γονέων και στοιχείων απογόνων με αυτό το οικογενειακό στοιχείο."
"continue";"Άλλες Προσθήκες"
"which_p_links";"Ποιές άλλες συνδέσεις από αυτό το άτομο θα θέλατε επίσης να προστέσετε?"
"just_person";"Προσθήκη μόνο αυτού του ατόμου."
"person_parents_sibs";"Προσθήκη του ατόμου αυτού, των γονιών του, και των αδελφών του."
"person_ancestors";"Προσθήκη του ατόμου αυτού και των προγόνων του."
"person_ancestor_fams";"Προσθήκη του ατόμου αυτού και των προγόνων του, και των οικογενειών τους."
"person_spouse";"Προσθήκη του ατόμου αυτού, του/της συζύγου του, και των παιδιών."
"person_desc";"Προσθήκη του ατόμου αυτού, της/του συζύγου, και όλων στοιχείων των απογόνων."
"unable_to_open";"Αδυναμία εγγραφής στον κατάλογο αποκομμάτων."
"person_living";"Το άτομο αυτό είναι εν ζωή. Ατομικές λεπτομέρειες δεν θα συμπεριληφθούν."
"person_private";"Λεπτομέρειες για το άτομο αυτό είναι πριβέ. Ατομικές λεπτομέρειες δεν θα συμπεριληφθούν."
"family_private";"Λεπτομέρειες για την οικογένεια αυτή είναι πριβέ. Οικογενειακές λεπτομέρειες δεν θα συμπεριληφθούν."
"download";"Πατήστε το δεξί πλήκτρο του ποντικιού (control-click για Mac) στις παρακάτω διασυνδέσεις και επιλέξτε &quot;Save target as&quot; για να ληφθούν τα αρχεία."
"media_files";"Αρχεία Φωτογραφιών που αναφέρονται σε αυτό το αρχείο GEDCOM"
"cart_is_empty";"Το καλάθι αποκομμάτων είναι άδειο."
"id";"Κωδικός ID"
"name_description";"Όνομα / Περιγραφή"
"remove";"Διαγραφή"
"empty_cart";"Άδειο Καλάθι"
"download_now";"Λήψη Τώρα"
"indi_downloaded_from";"Το Άτομο αυτό έχει ληφθεί από:"
"family_downloaded_from";"Η Οικογένεια αυτή έχει ληφθεί από:"
"source_downloaded_from";"Η Πηγή αυτή έχει ληφθεί από:"
"connections";"Place connections found"
"top_level";"Ανώτατο Επίπεδο"
"form";"Τοποθεσίες έχουν καταγραφεί στη μορφή: "
"default_form";"Πόλη, County, Πολιτεία/Νομός, Χώρα"
"default_form_info";"(Default)"
"gedcom_form_info";"(GEDCOM)"
"unknown";"άγνωστος/η"
"individuals";"Άτομα"
"view_records_in_place";"Θέαση όλων των στοιχείων που υπάρχουν στο τόπο αυτό"
"place_list2";"Κατάλογος Τοποθεσιών"
"show_place_hierarchy";"Εμφάνιση Τοποθεσιών σε Ιεραρχία"
"show_place_list";"Απεικόνιση όλων των τόπων σε κατάλογο"
"total_unic_places";"Σύνολο μονοσήμαντων τόπων"
"multi_title";"Κατάλογος Πολυμέσων"
"media_found";"Αντικείμενα Πολυμέσων βρέθηκαν"
"view_person";"Εμφάνιση Ατόμου"
"view_family";"Εμφάνιση Οικογένειας"
"view_source";"Εμφάνιση Πηγής"
"prev";"&lt; Προηγούμενο"
"next";"Επόμενο &gt;"
"file_not_found";"Το αρχείο δεν υπάρχει."
"medialist_show";"Εμφάνιση"
"per_page";"αντικείμενα πολυμέσων ανά σελίδα"
"upload_media";"Αποστολή Αρχείων Πολυμέσων"
"media_file";"Αρχείο Πολυμέσων"
"thumbnail";"Thumbnail"
"upload_successful";"Επιτυχής Αποστολή"
"search_gedcom";"Αναζήτηση στο αρχείο GEDCOM"
"enter_terms";"Πληκτρολογήστε Παραμέτρους Αναζήτησης"
"soundex_search";"- Ή κάντε Αναζήτηση με βάση τον τρόπο που νομίζεται ότι γράφετε φωνητικά (Soundex):"
"sources";"Πηγές"
"firstname_search";"Όνομα"
"lastname_search";"Επώνυμο"
"search_place";"Τόπος"
"search_year";"Έτος"
"no_results";"Δεν βρέθηκαν αποτελέσματα."
"invalid_search_input";"Παρακαλώ δώστε Όνομα, Επώνυμο ή Τοποθεσία \n\t καθώς και Έτος"
"sources_found";"Πηγές βρέθηκαν"
"titles_found";"Τίτλοι"
"source_info";"Πληροφορίες Πηγής"
"other_records";"Στοιχεία που διασυνδέονται στη πηγή αυτή:"
"people";"Άτομα"
"families";"Οικογένειες"
"total_sources";"Συνολικές Πηγές"
"building_indi";"Δημιουργία Ευρετηρίων Ατόμων και Οικογενειών"
"building_index";"Δημιουργία Καταλόγων Ευρετηρίου"
"invalid_gedformat";"Invalid GEDCOM 5.5 format"
"importing_records";"Εισαγωγή Στοιχείων στη Βάση Δεδομένων"
"detected_change";"Η εφαρμογή Genmod έχει ανιχνεύση αλλαγή στο GEDCOM αρχείο #GEDCOM#. Πρέπει να ενημερωθούν τα αρχεία ευρετηρίου πριν επιτραπούν άλλες ενέργειες."
"please_be_patient";"ΠΑΡΑΚΑΛΩ ΥΠΟΜΟΝΗ"
"reading_file";"Επεξεργασία Αρχείου GEDCOM"
"flushing";"Flushing contents"
"found_record";"Βρέθηκαν στοιχεία"
"exec_time";"Συνολικός Χρόνος Εκτέλεσης:"
"time_limit";"PHP Time Limit"
"unable_to_create_index";"Unable to create index file.   Make sure write permissions are available to the GenmodDirectory.  Permissions may be restored once index files are written."
"indi_complete";"Individual Index file update complete."
"family_complete";"Family Index file update complete."
"source_complete";"Source Index file update complete."
"tables_exist";"Genmod Tables already exist in the database"
"you_may";"Μπορείτε:"
"drop_tables";"Διαγραφή των υπαρχόντων πινάκων της βάσης δεδομένων"
"import_multiple";"Import and work with multiple GEDCOMs"
"explain_options";"If you choose to drop the tables all of the data will be replaced with this GEDCOM.<br />If you choose to import and work with multiple GEDCOMs, Genmod will erase any data that was imported using a GEDCOM with the same file name.  This option allows you to store multiple GEDCOM data in the same tables and easily switch between them."
"path_to_gedcom";"Enter the path to your GEDCOM file:"
"dataset_exists";"A GEDCOM with this filename has already been imported into the database."
"empty_dataset";"Do you want to erase the old data and replace it with this new data?"
"index_complete";"Index Complete."
"click_here_to_go_to_pedigree_tree";"Click here to go the the pedigree tree."
"updating_is_dead";"Updating is dead status for INDI "
"import_complete";"Import Complete"
"updating_family_names";"Updating family names for FAM "
"processed_for";"Επεξεργασία αρχείου για "
"run_tools";"Do you want to run one of the following tools on your GEDCOM before it is imported:"
"addmedia";"Add Media Tool"
"dateconvert";"Εργαλείο Μετατροπής Ημερομηνίας"
"xreftorin";"Convert XREF IDs to RIN number"
"tools_readme";"See the tools secion of the #README.TXT# file for more information."
"sec";"δευτερόλεπτα"
"bytes_read";"Bytes Διαβάστηκαν:"
"created_indis";"Επιτυχής δημιουργία <i>Individuals</i> πίνακα."
"created_indis_fail";"Ανεπιτυχής δημιουργία <i>Individuals</i> πίνακα."
"created_fams";"Επιτυχής δημιουργία <i>Families</i> πίνακα."
"created_fams_fail";"Ανεπιτυχής δημιουργία <i>Families</i> πίνακα."
"created_sources";"Επιτυχής δημιουργία <i>Sources</i> πίνακα."
"created_sources_fail";"Ανεπιτυχής δημιουργία <i>Sources</i> πίνακα."
"created_other";"Successfully created <i>Other</i> table."
"created_other_fail";"Unable to create <i>Other</i> table."
"created_places";"Successfully created <i>Places</i> table."
"created_places_fail";"Unable to create <i>Places</i> table."
"import_progress";"Πρόοδος Διαδικασίας Εισαγωγής..."
"total_fams";"Σύνολο Οικογενειών"
"total_indis";"Σύνολο Ατόμων"
"starts_with";"Starts With:"
"person_list";"Κατάλογος Ατόμων:"
"paste_person";"Επικόλληση Ατόμου"
"notes_sources_media";"Σημειώσεις, Πηγές, και Πολυμέσα"
"notes";"Σημειώσεις"
"ssourcess";"Πηγές"
"media";"Πολυμέσα"
"name_contains";"Το όνομα περιέχει:"
"filter";"Φίλτράρισμα"
"find_individual";"Εύρεση Ατόμου με ID"
"find_familyid";"Εύρεση Οικογένειας με ID"
"find_sourceid";"Εύρεση Πηγής με ID"
"skip_surnames";"Skip Surname Lists"
"show_surnames";"Εμφάνιση Καταλόγου Επωνύμων"
"all";"ΌΛΑ"
"hidden";"Κρυφό"
"age";"Ηλικία"
"timeline_title";"Genmod Χρονοδιάγραμμα"
"remove_person";"Διαγραφή Ατόμου"
"show_age";"Εμφάνιση Σήμανσης Ηλικιών"
"add_another";"Προσθήκη και άλλου ατόμου στο καλάθι:<br />Κωδικός Ατόμου ID:"
"find_id";"Εύρεση ID"
"show";"Εμφάνιση"
"year";"Έτος:"
"timeline_instructions";"In the most recent browsers you can click and drag the boxes around on the chart."
"zoom_in";"Μεγένθυνση"
"zoom_out";"Σμίκρυνση"
"select_an_option";"Επιλέξτε ένα από τα ακόλουθα:"
"readme_documentation";"README Κείμενο Τεκμηρίωσης"
"configuration";"Διαμόρφωση"
"rebuild_indexes";"Rebuild Indexes"
"user_admin";"Διαχείριση Χρηστών"
"inc_languages";"Γλώσσες"
"user_created";"Ο Χρήστης δημιουργήθηκε επιτυχώς."
"user_create_error";"Unable to add user.  Please go back and try again."
"password_mismatch";"Οι Κωδικοί δεν ταυτίζονται."
"enter_username";"Πρέπει να εισάγετε ψευδώνυμο."
"enter_fullname";"Πρέπει να εισάγετε πλήρης ονοματεπώνυμο."
"enter_password";"Πρέπει να εισάγετε (μυστικό) κωδικό."
"confirm_password";"Πρέπει να επιβεβαιώστε τον (μυστικό) κωδικό."
"update_user";"Ενημέρωση Λογαριασμού Χρήστη"
"update_myaccount";"Update MyAccount"
"save";"Αποθήκευση"
"delete";"Διαγραφή"
"edit";"Διαμόρφωση/Αλλαγή"
"full_name";"Ονοματεπώνυμο"
"visibleonline";"Visible to other users when online"
"editaccount";"Allow this user to edit their account information"
"admin_gedcom";"Διαχείριση GEDCOM"
"confirm_user_delete";"Σίγουρα θέλετε να διαγράψτε τον χρήστη"
"create_user";"Δημιουργία Χρήστη"
"no_login";"Αδυναμία πιστοποίησης χρήστη."
"import_gedcom";"Εισαγωγή Αρχείου GEDCOM"
"duplicate_username";"Υπάρχον Ψεύδώνυμο. Υπάρχει ήδη χρήστης με το ψευδώνυμο αυτό.  Παρακαλώ όπως πάτε πίσω και επιλέξτε άλλο ψευδώνυμο."
"gedcomid";"GEDCOM INDI record ID"
"enter_gedcomid";"You must enter a GEDCOM ID."
"user_info";"My User Information"
"rootid";"Pedigree Chart Root Person"
"download_gedcom";"Λήψη Αρχείου GEDCOM"
"upload_gedcom";"Αποστολή Αρχείου GEDCOM"
"add_new_gedcom";"Δημιουργία Νέου Αρχείου GEDCOM"
"gedcom_file";"Αρχείο GEDCOM:"
"enter_filename";"Πρέπει να πληκτρολογήστε όνομα αρχείου GEDCOM."
"file_not_exists";"Το όνομα αρχείου που πληκτρολογήσατε δεν υπάρχει."
"file_exists";"There is already a GEDCOM with that file name. Please choose a different file name or delete the old file."
"new_gedcom_title";"Γενεαλογία από [#GEDCOMFILE#]"
"upload_error";"Υπήρχε σφάλμα κατά την αποστολή του αρχείου."
"add_gedcom_instructions";"Enter a filename for this new GEDCOM.  The new GEDCOM file will be created in the Index directory: "
"file_success";"Η Αποστολή Αρχείου ολοκληρώθηκε με επιτυχία"
"file_too_big";"Uploaded file exceeds the allowed size"
"file_partial";"File was only partially uploaded, please try again"
"file_missing";"No file was received. Upload again."
"manage_gedcoms";"Διαχείριση GEDCOMs και Διαμόρφωση Προστασίας Προσωπικών Δεδομένων"
"research_log";"Ημερολόγιο Έρευνας"
"administration";"Διαχείριση"
"ansi_to_utf8";"Μετατροπή ANSI encoded GEDCOM σε UTF-8?"
"utf8_to_ansi";"Do you want to convert this GEDCOM from UTF-8 to ANSI (ISO-8859-1)?"
"user_manual";"Εγχειρίδιο Χρήσης Genmod"
"upgrade";"Upgrade Genmod/ResearchLog"
"view_logs";"View logfiles"
"logfile_content";"Content of log-file"
"step1";"Βήμα 1 από 4:"
"step2";"Βήμα 2 από 4:"
"step3";"Βήμα 3 από 4:"
"step4";"Βήμα 4 από 4:"
"validate_gedcom";"Validate GEDCOM"
"img_admin_settings";"Edit Image Manipulation Configuration"
"download_note";"NOTE: Large GEDCOMs can take a long time to process before downloading.  If PHP times out before the download is complete, then you may not get a complete download.  You can check the downloaded GEDCOM for the 0 TRLR line at the end of the file to make sure it downloaded correctly.  In general it could take as much time to download as it took to import your GEDCOM."
"gm_registry";"Εμφάνιση άλλων σελίδων που χρησιμοποιούν την εφαρμογή Genmod"
"verify_upload_instructions";"If you choose to continue, the old GEDCOM file will be replaced with the file that you uploaded and the import process will begin again.  If you choose to cancel, the old GEDCOM will remain unchanged."
"cancel_upload";"Ακύρωση Αποστολής"
"add_media_button";"Add Media"
"person1";"Άτομο 1"
"person2";"Άτομο 2"
"no_link_found";"Καμμία (άλλη) διασύνδεση ανάμεσα στα δύο άτομα δεν βρέθηκε."
"sibling";"Αδέλφια"
"follow_spouse";"Έλεγχος συγγένειας από γάμο."
"timeout_error";"Ο μέγιστος επιτρεπόμενος χρόνος εκτέλεσης της διαδικασίας έχει ξεπεραστεί πριν βρεθεί κάποια συγγένεια."
"son";"Υιός"
"daughter";"Θυγατέρα"
"brother";"Αδελφός"
"sister";"Αδελφή"
"relationship_to_me";"Συγγένεια με εμένα"
"next_path";"Εύρεση Άλλης Διαδρομής Διασύνδεσης"
"show_path";"Εμφάνιση Διαδρομής Διασύνδεσης"
"line_up_generations";"Στοίχιση γενεών"
"oldest_top";"Εμφάνιση μεγαλύτερου πρώτα"
"check_delete";"Are you sure you want to delete this GEDCOM fact?"
"access_denied";"<b>Access Denied</b><br />You do not have access to this resource."
"gedrec_deleted";"GEDCOM record succesfully deleted."
"gedcom_deleted";"GEDCOM [#GED#] succesfully deleted."
"changes_exist";"Changes have been made to this GEDCOM."
"accept_changes";"Αποδοχή / Απόρριψη Αλλαγών"
"edit_raw";"Edit raw GEDCOM record"
"show_changes";"This record has been updated.  Click here to show changes."
"hide_changes";"Επιλέξτε εδώ για απόκρυψη αλλαγών."
"review_changes";"Ανασκόπιση Αλλαγών GEDCOM"
"undo";"Undo"
"view_change_diff";"View Change Diff"
"changes_occurred";"The following changes occured to this individual:"
"find_place";"Εύρεση Τόπου"
"close_window";"Κλείσιμο Παραθύρου"
"close_window_without_refresh";"Close Window Without Reloading"
"place_contains";"Place Contains:"
"accept_gedcom";"Decide for each change to either accept or reject it.<br />To accept all changes at once, click "Accept all changes" in the box below.<br />To get more information about a change, <br />click "View change diff" to see the differences between old and new situation, <br />or click "View GEDCOM record" to see the new situation in GEDCOM format."
"ged_import";"Εισαγωγή"
"now_import";"Now you should import the GEDCOM records into Genmod by clicking on the import link below."
"add_fact";"Προσθήκη νέου στοιχείου"
"add";"Προσθήκη"
"custom_event";"Custom Event"
"update_successful";"Ενημερώθηκε επιτυχώς"
"add_child";"Προσθήκη Παιδιού"
"add_child_to_family";"Προσθήκη παιδιού στην οικογένεια αυτή"
"add_sibling";"Προσθήκη Αδελφού ή Αδελφής"
"add_son_daughter";"Προσθήκη Υιού ή Θυγατέρας"
"must_provide";"You must provide a "
"delete_person";"Delete this Individual"
"confirm_delete_person";"Are you sure you want to delete this person from the GEDCOM file?"
"find_media";"Find Media"
"set_link";"Set Link"
"add_source_lbl";"Add Source Citation"
"add_source";"Add a new Source Citation"
"add_note_lbl";"Προσθήκη Σημείωσης/Σχολίων"
"add_note";"Προσθήκη νέου Σημειώματος/Σχολίου"
"add_media_lbl";"Προσθήκη Πολυμέσων"
"add_media";"Προσθήκη νέου τύπου Πολυμέσων"
"delete_source";"Delete this Source"
"confirm_delete_source";"Are you sure you want to delete this source from the GEDCOM file?"
"add_husb";"Προσθήκη Συζύγου-Άνδρα"
"add_husb_to_family";"Προσθήκη Συζύγου-Άνδρα σε αυτή την οικογένεια"
"add_wife";"Προσθήκη Συγύζου-Γυναίκας"
"add_wife_to_family";"Προσθήκη Συζύγου-Γυναίκας σε αυτή την οικογένεια"
"find_family";"Εύρεση Οικογένειας"
"find_fam_list";"Εύρεση Καταλόγου Οικογένειας"
"add_new_wife";"Προσθήκη νέας συζύγου"
"add_new_husb";"Προσθήκη νέου συζύγου"
"edit_name";"Αλλαγή Ονόματος"
"delete_name";"Διαγραφή Ονόματος"
"no_temple";"No Temple - Living Ordinance"
"replace";"Αντικατάσταση Στοιχείου"
"append";"Append Record"
"add_father";"Προσθήκη νέου πατέρα"
"add_mother";"Προσθήκη νέας μητέρας"
"add_obje";"Προσθήκη νέου αντικειμένου πολυμέσων"
"no_changes";"There are currently no changes that need to be reviewed."
"accept";"Αποδοχή Αλλαγών"
"accept_all";"Αποδοχή όλων των Αλλαγών"
