"stat_sources";"fonti, "
"id";"ID"
"name_description";"Nome / Descrizione"
"remove";"Rimuovere"
"empty_cart";"Carrello vuoto"
"download_now";"Scaricare"
"connections";"Trovate connessioni a questi luoghi<br />Visualizzare i risultati"
"top_level";"Livello superiore"
"form";"I luoghi sono codificati nella seguente forma:"
"default_form";"Città , Frazione, Stato/Provincia, Nazione"
"unknown";"Sconosciuto"
"individuals";"Persone"
"place_list2";"Lista dei posti"
"show_place_list";"Mostra tutti i posti in una lista"
"total_unic_places";"Totoale posti unici"
"multi_title";"Lista degli oggetti multimediali"
"media_found";"Oggetti multimediali trovati"
"view_person";"Visualizza Persona"
"view_family";"Visualizza Famiglia"
"view_source";"Visualizza Fonte"
"prev";"Precedente"
"next";"Successivo &gt;"
"file_not_found";"File non trovato"
"medialist_show";"Mostra"
"per_page";"oggetti multimediali per pagina"
"add_directory";"Aggiungi directory"
"upload_file";"Carica file dal mio computer"
"thumb_genned";"Anteprime generate automaticamente."
"upload_media";"Carica file multimediale"
"media_file";"File multimediale"
"search_gedcom";"Cerca nel file GEDCOM"
"enter_terms";"Inserire i termini della ricerca:"
"soundex_search";"- O Cerca il nome come penso si scirva (Soundex):"
"sources";"FONTI"
"firstname_search";"Nome:"
"lastname_search";"Cognome:"
"search_place";"Luogo:"
"search_year";"Anno:"
"no_results";"Nessun risultato trovato"
"sources_found";"Trovate fonti"
"titles_found";"Titoli"
"find_source";"Trova Fonti"
"source_info";"Informazioni sulla Fonte"
"other_records";"Altri Record che puntano alla Fonte:"
"people";"GENTE"
"families";"FAMIGLIE"
"total_sources";"Totale Fonti"
"building_indi";"Indice delle Persone e delle Famiglie in costruzione"
"building_index";"Costruzione delle Liste indice"
"importing_records";"Sto importando i record nel database"
"detected_change";"Genmod ha riscontrato delle modifiche nel file GEDCOM <b>#GEDCOM#</b>.  Occorre aggiornare gli gli archivi degli indici prima di procedere."
"please_be_patient";"UN ATTIMO DI PAZIENZA PER FAVORE"
"reading_file";"Lettura del file GEDCOM in corso"
"flushing";"Aggiornamento dei contenuti"
"found_record";"Recordo trovato"
"exec_time";"Totale tempo impiegato:"
"time_limit";"PHP Time Limit:"
"unable_to_create_index";"Assicurarsi che la cartella di Genmod abbia i permessi di scrittura attivati. I permessi possono essere riportati alle condizioni originarie una volta che i file indice siano stati scritti."
"indi_complete";"Aggiornamento dell'Indice della persona completato."
"family_complete";"Aggiornamento dell'Indice delle famiglie completato."
"source_complete";"Aggiornamento dell'Indice delle fonti completato."
"tables_exist";"Le tabelle di Genmod esistono già nel database"
"you_may";"Tu puoi:"
"drop_tables";"Cancella le tabelle correnti"
"path_to_gedcom";"Immetti il percorso del tuo file GEDCOM"
"dataset_exists";"Un file GEDCOM con questo nome è già stato importato nell'archivio"
"empty_dataset";"Vuoi cancellare i vecchi dati e sovrascriverli con i nuovi?"
"index_complete";"Indice completato."
"click_here_to_go_to_pedigree_tree";"Clicca qui per andare all'albero genealogico"
"import_complete";"Importazione completata"
"total_fams";"Totale Famiglie"
"total_indis";"Persone Totali"
"starts_with";"Inizia con:"
"person_list";"Lista delle Persone:"
"paste_person";"Incollare Persona"
"notes_sources_media";"Note, fonti e immagini"
"notes";"Note"
"ssourcess";"Fonti"
"name_contains";"Il nome contiene"
"filter";"Filtra"
"find_individual";"Trova ID Persona"
"skip_surnames";"Non raggruppare i cognomi"
"show_surnames";"Raggruppa i cognomi"
"all";"Tutti"
"hidden";"Nascosto"
"confidential";"Confidenziale"
"age";"Età"
"timeline_title";"Scala Temporale di Genmod"
"remove_person";"Rimuovi questa persona"
"show_age";"Mostrare il marcatore d'età"
"add_another";"Aggiungere un'altra persona al diagramma:<br />ID della persona:"
"find_id";"Cerca un ID"
"show";"Visualizza"
"year";"Anno:"
"timeline_instructions";"Nei browser più recenti è possibile selezionare e trascinare i riquadri."
"zoom_in";"Ingrandisci"
"zoom_out";"Rimpicciolisci"
"select_an_option";"Seleziona un'opzione:"
"readme_documentation";"File README"
"configuration";"Configurazione"
"rebuild_indexes";"Ricostruisci l'indice"
"user_admin";"Amministrazione utenti"
"inc_languages";"Linguaggi"
"user_created";"Utente creato con successo"
"user_create_error";"Impossibile aggiungere l'utente, per favore torna indietro e riprova"
"password_mismatch";"La password non corrisponde"
"enter_username";"Devi immettere uno username"
"enter_fullname";"Devi immettere il nome completo"
"enter_password";"Devi immettere una password"
"confirm_password";"Devi confermare la password"
"update_user";"Aggiorna utente"
"update_myaccount";"Aggiorna Account"
"save";"Salva"
"delete";"Elimina"
"edit";"Modifica"
"full_name";"Nome completo"
"visibleonline";"Visibile dagli altri utenti quando sei online?"
"admin_gedcom";"Amministra GEDCOM"
"confirm_user_delete";"Sei sicuro di voler cancellare l'utente"
"create_user";"Crea un utente"
"no_login";"Impossibile autenticare l'utente"
"import_gedcom";"Importa questo file GEDCOM"
"duplicate_username";"Username doppio. Un utente con questo username già esiste. Torna indietro e modificalo"
"enter_gedcomid";"Devi immettere un ID GEDCOM."
"user_info";"Informazioni sul mio utente"
"rootid";"Albero genealogico della persona"
"download_gedcom";"Scarica file GEDCOM"
"upload_gedcom";"Carica file GEDCOM"
"add_new_gedcom";"Crea un nuovo GEDCOM"
"gedcom_file";"File GEDCOM"
"new_gedcom_title";"Genealogia da [#GEDCOMFILE#]"
"upload_error";"C'è stato un errore caricando il file GEDCOM"
"file_success";"File caricato con successo"
"file_too_big";"I file caricati superano la dimensione massima consentita"
"file_partial";"Il file è stato caricato solo parzialmente, per favore prova ancora"
"file_missing";"Nessun file ricevuto, per favore riprova"
"manage_gedcoms";"Amministra il file GEDCOM"
"administration";"Amministrazione"
"user_manual";"Manuale utente di Genmod"
"upgrade";"Aggiorna Genmod"
"view_logs";"Visualizza file di log"
"step1";"Passo 1 di 4:"
"step2";"Passo 2 di 4:"
"step3";"Passo 3 di 4:"
"step4";"Passo 4 di 4:"
"validate_gedcom";"Valida GEDCOM"
"gm_registry";"Visualizza altri siti che utilizzano Genmod"
"add_media_button";"Aggiungi Media"
"admin_info";"Informazioni"
"admin_geds";"Amministrazioni Dati e GEDCOM"
"admin_site";"Amministrazione Sito"
"person1";"Prima Persona"
"person2";"Seconda Persona"
"no_link_found";"Non può essere trovato un legame tra le due persone."
"sibling";"Fratelli"
"follow_spouse";"Considera i matrimoni"
"son";"Figlio"
"daughter";"Figlia"
"brother";"Fratello"
"sister";"Sorella"
"relationship_to_me";"Relazionato a me"
"next_path";"Trova un altro collegamento"
"show_path";"Mostra collegamento"
"line_up_generations";"Allinea le generazioni"
"oldest_top";"Mostra i più vecchi in alto"
"check_delete";"Sei sicuro di voler eliminare questo fatto?"
"access_denied";"<b>Accesso negato</b><br />Non hai accesso a questa risorsa"
"gedrec_deleted";"Campo GEDCOM cancellato con successo."
"changes_exist";"Sono stati fatti dei cambiamenti al file GEDCOM."
"accept_changes";"Accetta/Rifiuta le modifiche"
"edit_raw";"Modifica il campo GEDCOM"
"show_changes";"Il campo è stato aggiornato. Clicca qui per mostrare le modifiche."
"review_changes";"Rivedi le modifiche al file GEDCOM"
"undo";"Annulla"
"view_change_diff";"Guarda le differenze"
"changes_occurred";"La persona presenta le seguenti modifiche:"
"find_place";"Trova posto"
"close_window";"Chiudi finestra"
"close_window_without_refresh";"Chiudi la finestra senza ricaricare"
"place_contains";"Il posto contiene:"
"accept_gedcom";"Per rifiutare una modifica, clicca "undo" nella linea successiva. Per accettare tutte le modifiche, reimporta il file GEDCOM"
"ged_import";"Importa file GEDCOM"
"now_import";"Ora potresti importare i campi GEDCOM in Genmod cliccando sul link sotto."
"add_fact";"Aggiungi un nuovo fatto"
"add";"Aggiungi"
"custom_event";"Evento personalizzato"
"update_successful";"Caricato con successo"
"add_child";"Aggiungi bambino"
"add_child_to_family";"Aggiungi un bambino a questa famiglia"
"add_sibling";"Aggiungi un fratello o una sorella"
"add_son_daughter";"Aggiungi un figlio o una figlia"
"must_provide";"Devi fornire un "
"delete_person";"Cancella questa persona"
"confirm_delete_person";"Sei sicuro di voler cancellare questa persona nel file GEDCOM?"
"find_media";"Trova oggetto"
"add_source_lbl";"Aggiungi fonte"
"add_source";"Aggiungi una fonte"
"add_note_lbl";"Aggiungi nota"
"add_note";"Aggiungi una nota al fatto"
"add_media_lbl";"Aggiungi Media"
"add_media";"Aggiungi un oggetto multimediale"
"delete_source";"Cancella questa fonte"
"confirm_delete_source";"Sei sicuro di voler cancellare questa fonte dal file GEDCOM?"
"add_husb";"Aggiungi marito"
"add_husb_to_family";"Aggiungi marito a questa famiglia"
"add_wife";"Aggiungi moglie"
"add_wife_to_family";"Aggiungi una moglie a questa famiglia"
"find_family";"Trova la famiglia"
"add_new_wife";"Aggiungi una nuova moglie"
"add_new_husb";"Aggiungi un nuovo marito"
"edit_name";"Modifica il nome"
"delete_name";"Cancella il nome"
"add_father";"Aggiungi un padre"
"add_mother";"Aggiungi una madre"
"add_obje";"Aggiungi un oggetto multimediale"
"accept";"Accetta"
"accept_all";"Accetta tutte le modifiche"
"accept_successful";"Cambiamenti effettuati con successo nel database"
"select_date";"Seleziona una data"
"add_name";"Aggiungi un nuovo nome"
"add_asso";"Aggiungi una persona collegata"
"on_this_day";"In questo giorno nella tua storia...."
"in_this_month";"In questo mese, nella tua storia..."
"in_this_year";"In questo anno, nella tua storia..."
"year_anniversary";"#year_var# anni d'anniversario"
"today";"Oggi"
"day";"Giorno"
"month";"Mese:"
"sunday";"Domenica"
"monday";"Lunedì"
"tuesday";"Martedì"
"wednesday";"Mercoledì"
"thursday";"Giovedì"
"friday";"Venerdì"
"saturday";"Sabato"
"all_people";"Tutte le persone"
"living_only";"Persone viventi"
"recent_events";"Eventi recenti (<100 anni)"
"year_error";"Spiacente, le date precedenti al 1970 non sono supportate"
"lost_password";"Hai perso la password?"
"requestpassword";"Richiedi una nuova password"
"requestaccount";"Richiedi un nuovo account utente"
"emailadress";"Indirizzo e-mail"
"mail01_line01";"Ciao #user_fullname# ..."
"mail02_line01";"Ciao Amministratore ..."
"thankyou";"Ciao #user_fullname# ...<br />Grazie per la tua registrazione"
"user_verify";"Verifica utente"
"send";"Invia"
"mail03_line01";"Ciao Amministratore..."
"data_incorrect";"I dati non sono stati coretti!<br />Per favore riprova!"
"enter_email";"Devi immettere un indirizzo e-mail."
"mail04_line01";"Ciao #user_fullname#...."
"mail04_line03";"Raccomandazione:"
"editowndata";"Il mio account"
"savedata";"Salva i dati modificati"
"datachanged";"I dati dell'utente sono stati modificati!"
"datachanged_name";"Devi rientrare con il nuovo username."
"myuserdata";"Il mio account"
"verified";"L'utente ha verificato se stesso"
"verified_by_admin";"Utente approvato dall'amministratore:"
"user_theme";"Il mio tema"
"mgv";"Il mio GedView"
"passwordlength";"La password deve contenere almeno sei caratteri."
"admin_approved";"Il tuo account su #SERVER_NAME# è stato accettato"
"you_may_login";"dall'amministratore. Ora devi autenticarti cliccando sul link qui sotto:"
"welcome";"Welcome to your new Genmod website.  Since you are seeing this page you have successfully installed Genmod on your webserver and are ready to begin configuring it the way you want it.<br />"
"upcoming_events";"Prossimi Eventi"
"users_logged_in";"Utente autenticato"
"message";"Manda un messaggio"
"my_messages";"I miei messaggi"
"date_created";"Data inviato:"
"message_from";"Indirizzo e-mail"
"message_from_name";"Nome"
"message_to";"Messaggio a:"
"message_subject";"Oggetto:"
"message_body";"Corpo:"
"no_to_user";"Non è stato fornito nessun destinatario, Non posso continuare."
"provide_email";"Per favore immetti un indirizzo valido se vuoi ricevere una risposta, altrimenti non saremo capaci di contattarti"
"reply";"Rispondi"
"message_deleted";"Messaggio eliminato"
"message_sent";"Messaggio inviato"
"reset";"Reset"
"site_default";"Standard del Sito"
"mygedview_desc";"La tua pagina Genmod ti permettere di tenere traccia dei tuoi preferiti, monitorare gli eventi in arrivo e collaborare con altri utenti."
"no_messages";"Non hai messaggi pendenti."
"clicking_ok";"Cliccando OK si aprirà un'altra finestra dove potrai contattare #user[fullname]#"
"my_favorites";"I miei preferiti"
"no_favorites";"Non hai selezionato nessun preferito. Per aggiungere una persona ai tuoi preferiti, cerca i dettagli della persona che vuoi aggiungere e clicca su "Aggiungi ai miei preferiti", oppure usa il metodo di ricerca per ID."
"add_to_my_favorites";"Aggiungi ai miei preferiti"
"no_gedcom_favorites";"Al momento non ci sono preferiti selezionati. L'amministratore può aggiungere dei preferiti da mostrare all'avvio."
"confirm_fav_remove";"Sei sicuro di voler rimuovere questo elemento dai tuoi preferiti?"
"invalid_email";"Per favore immetti un indirizzo e-mail valido"
"enter_subject";"Per favore immetti un messaggio"
"enter_body";"Per favore immetti un messaggio"
"confirm_message_delete";"Sei sicuro di voler cancellare questo messaggio? Non sarà più possibile recuperarlo."
"message_email1";"Il messaggio seguente ti è stato inviato da"
"message_email2";"Hai inviato il seguente messaggio a un utente Genmod:"
"message_email3";"Hai inviato il seguente messaggio all'amministratoe di Genmod:"
"viewing_url";"Questo messaggio è stato inviato mentre si guardava la seguente pagina:"
"random_picture";"Foto casuale"
"sending_to";"Questo messaggio sarà inviato a #TO_USER#"
"preferred_lang";"L'utente preferisce ricevere i messaggi in #USERLANG#"
"gedcom_created_on";"Il GEDCOM è stato creato il <b>#DATA</b>"
"customize_page";"Personalizza il mio GedView"
"customize_gedcom_page";"Personalizza la pagina di benvenuto del GEDCOM"
"add_news";"Aggiungi una News"
"no_news";"Non sono state inserite news."
"broadcast_all";"A tutti gli utenti"
"common_surnames";"Cognomi più comuni"
"default_news_title";"Benvenuto nella tua Genealogia"
"recent_changes";"Cambiamenti Recenti"
"do_not_change";"Non cambiare"
"change_id";"Modifica ID Persona in:"
"order";"Ordina"
"choose_report";"Seleziona un report da lanciare"
"enter_report_values";"Inserisci i valori del report"
"selected_report";"Report Selezionato"
"run_report";"Visualizza Report"
"select_report";"Seleziona Report"
"download_report";"Scarica Report"
"pdf_reports";"Report in PDF"
"family_group_report";"Report Famiglia"
"page";"Pagina"
"of";"di"
"enter_famid";"Inserisci ID Famiglia"
"show_notes";"Mostra note?"
"show_photos";"Mostra foto?"
"individual_report";"Report persona"
"enter_pid";"Inserisci ID Persona"
"generated_by";"Generato da"
"birth_report";"Report Data e luogo di nascita"
"birthplace";"Luogo di Nascita contiene"
"birthdate1";"Data di nascita minima"
"birthdate2";"Data di nascita massima"
"sort_by";"Ordina per"
"make_slklist";"Create lista EXCEL (SLK)"
"slk_list";"Lista EXCEL SLK"
"statistics";"Statistiche"
"merge_records";"Fondi Dati"
"merge_step1";"Unione Passo 1 di 3"
"merge_step2";"Unione Passo 2 di 3"
"merge_step3";"Unione Passo 3 di 3"
"show_cousins";"Mostra cugini"
"sosa_2";"Padre"
"sosa_3";"Madre"
"sosa_4";"Nonno"
"sosa_5";"Nonna"
"sosa_6";"Nonno"
"sosa_7";"Nonna"
"sosa_8";"Bisnonno"
"sosa_9";"Bisnonna"
"sosa_10";"Bisnonno"
"sosa_11";"Bisnonna"
"sosa_12";"Bisnonno"
"sosa_13";"Bisnonna"
"sosa_14";"Bisnonno"
"sosa_15";"Bisnonna"
"sosa_16";"Trisavolo"
"sosa_17";"Trisavola"
"sosa_18";"Trisavolo"
"sosa_19";"Trisavola"
"sosa_20";"Trisavolo"
"sosa_21";"Trisavola"
"sosa_22";"Trisavolo"
"sosa_23";"Trisavola"
"sosa_24";"Trisavolo"
"sosa_25";"Trisavola"
"sosa_26";"Trisavolo"
"sosa_27";"Trisavola"
"sosa_28";"Trisavolo"
"sosa_29";"Trisavola"
"sosa_30";"Trisavolo"
"sosa_31";"Trisavola"
"sosa_32";"Quadrisavolo"
"sosa_33";"Quadrisavola"
"sosa_34";"Quadrisavolo"
"sosa_35";"Quadrisavola"
"sosa_36";"Quadrisavolo"
"sosa_37";"Quadrisavola"
"sosa_38";"Quadrisavolo"
"sosa_39";"Quadrisavola"
"sosa_40";"Quadrisavolo"
"sosa_41";"Quadrisavola"
"sosa_42";"Quadrisavolo"
"sosa_43";"Quadrisavola"
"sosa_44";"Quadrisavolo"
"sosa_45";"Quadrisavola"
"sosa_46";"Quadrisavolo"
"sosa_47";"Quadrisavola"
"sosa_48";"Quadrisavolo"
"sosa_49";"Quadrisavola"
"sosa_50";"Quadrisavolo"
"sosa_51";"Quadrisavola"
"sosa_52";"Quadrisavolo"
"sosa_53";"Quadrisavola"
"sosa_54";"Quadrisavolo"
"sosa_55";"Quadrisavola"
"sosa_56";"Quadrisavolo"
"sosa_57";"Quadrisavola"
"sosa_58";"Quadrisavolo"
"sosa_59";"Quadrisavola"
"sosa_60";"Quadrisavolo"
"sosa_61";"Quadrisavola"
"sosa_62";"Quadrisavolo"
"sosa_63";"Quadrisavola"
"friend";"Amico"
"twin";"Gemello"
"stat_11_mb";"Mese di nascita"
"stat_21_nok";"numero di figli."
"stat_301_mf";"maschio/femmina"
"stpltype";"tipo:"
"stplmonth";"mese"
"stplage";"età"
"stplperc";"percento"
"is_alive_in";"È vivo nel #YEAR#"
"alive";"Vivo"
"dead";"Morto"
"options";"Opzioni:"
"SHOW_SOURCES";"Mostra Fonti?"
"configure";"Configura Genmod"
"default_user";"Create the default administrative user."
"about_user";"You must first create your main administrative user.  This user will have privileges to update the configuration files, view private data, and create other users."
"can_admin";"L'utente puo' amministrare:"
"can_edit";"L'utente puo' modificare:"
"add_user";"Aggiungi un nuovo utente"
"current_users";"Current User List"
"leave_blank";"Leave password blank if you want to keep the current password."
"other_theme";"Other, please type in"
"performing_update";"Performing update."
"config_file_read";"Config file read."
"does_not_exist";"non esiste"
"db_setup_bad";"Your current database configuration is bad.  Please check your database connection parameters and configure again."
"click_here_to_continue";"Click Here to Continue."
"mysql";"MySQL"
"admin_gedcoms";"Clicca qui per amministrare il file GEDCOM."
"current_gedcoms";"Current GEDCOMs"
"ged_download";"Download"
"ged_gedcom";"GEDCOM File"
"ged_title";"GEDCOM Title"
"ged_config";"Configuration File"
"show_phpinfo";"Show PHPInfo Page"
"confirm_gedcom_delete";"Are you sure you want to delete this GEDCOM"
"gregorian";"Gregoriano"
