"ABBR";"Lyhenne"
"_FA2";"Fakta 2"
"_FA3";"Fakta 3"
"_FA4";"Fakta 4"
"_FA5";"Fakta 5"
"_FA6";"Fakta 6"
"_FA7";"Fakta 7"
"_FA8";"Fakta 8"
"_FA9";"Fakta 9"
"_FA10";"Fakta 10"
"_FA11";"Fakta 11"
"_FA12";"Fakta 12"
"_FA13";"Fakta 13"
"_MREL";"Suhde äitiin"
"_FREL";"Suhde isään"
"_MSTAT";"Avioliiton alkutilanne"
"_MEND";"Avioliiton lopputilanne"
"FAX";"Faksi"
"FACT";"Tosiasia"
"WWW";"Kotisivu"
"MAP";"Kartta"
"LATI";"Leveysaste"
"LONG";"Pituusaste"
"FONE";"Foneettinen"
"ROMN";"Romanisoitu"
"_NAME";"Postinimi"
"URL";"Verkko-osoite URL"
"_HEB";"Heprealainen"
"_SCBK";"Leikekirja"
"_TYPE";"Mediatyyppi"
"_SSHOW";"Kuvasarjaesitys"
"_SUBQ";"Lyhyt tulkinta"
"_BIBL";"Bibliografia"
"EMAL";"Sähköpostiosoite"
"_ADPF";"Isän adoptoima"
"_ADPM";"Äidin adoptoima"
"_AKAN";"Toiselta nimeltä"
"_AKA";"Toiselta nimeltä"
"_BRTM";"Brit mila"
"_COML";"Avoliitto"
"_EYEC";"Silmien väri"
"_FNRL";"Hautajaiset"
"_HAIR";"Hiusten väri"
"_HEIG";"Pituus"
"_HOL";"Holokausti"
"_INTE";"Hautaus"
"_MARI";"Avioliittoaikomus"
"_MBON";"Aviollinen side"
"_MEDC";"Terveydellinen tila"
"_MILI";"Sotilaallinen"
"_NMR";"Naimaton"
"_NLIV";"Ei elossa"
"_NMAR";"Ei koskaan naimisissa"
"_PRMN";"Pysyvä numero"
"_WEIG";"Paino"
"_YART";"Yartzeit"
"_MARNM";"Avionimi"
"_STAT";"Aviosääty"
"COMM";"Huomautus"
"MARR_CIVIL";"Siviiliavioliitto"
"MARR_RELIGIOUS";"Kirkollinen avioliitto"
"MARR_PARTNERS";"Rekisteröity suhde"
"MARR_UNKNOWN";"Avioliiton tyyppi tuntematon"
"_HNM";"Heprealainen nimi"
"_DEAT_SPOU";"Puolison kuolema"
"_BIRT_CHIL";"Lapsen syntymä"
"_MARR_CHIL";"Lapsen avioituminen"
"_DEAT_CHIL";"Lapsen kuolema"
"_BIRT_GCHI";"Lapsenlapsen syntymä"
"_MARR_GCHI";"Lapsenlapsen avioituminen"
"_DEAT_GCHI";"Lapsenlapsen kuolema"
"_MARR_FATH";"Isän avioituminen"
"_DEAT_FATH";"Isän kuolema"
"_MARR_MOTH";"Äidin avioituminen"
"_DEAT_MOTH";"Äidin kuolema"
"_BIRT_SIBL";"Sisaruksen syntymä"
"_MARR_SIBL";"Sisaruksen avioituminen"
"_DEAT_SIBL";"Sisaruksen kuolema"
"_BIRT_HSIB";"Sisarpuolen syntymä"
"_MARR_HSIB";"Sisarpuolen avioituminen"
"_DEAT_HSIB";"Sisarpuolen kuolema"
"_DEAT_GPAR";"Isovanhemman kuolema"
"_BIRT_FSIB";"Isän sisaruksen syntymä"
"_MARR_FSIB";"Isän sisaruksen avioituminen"
"_DEAT_FSIB";"Isän sisaruksen kuolema"
"_BIRT_MSIB";"Äidin sisaruksen syntymä"
"_MARR_MSIB";"Äidin sisaruksen avioituminen"
"_DEAT_MSIB";"Äidin sisaruksen kuolema"
"_BIRT_COUS";"Serkun syntymä"
"_MARR_COUS";"Serkun avioituminen"
"_DEAT_COUS";"Serkun kuolema"
