"stat_sources";"pramenů,"
"medialist_show";"Zobrazit"
"per_page";"medilních objektů na stránku"
"upload_media";"Nahrát multimediální soubory"
"media_file";"Soubory médií"
"thumbnail";"Zmenšenina"
"upload_successful";"Nahrání bylo úspěšné"
"search_gedcom";"Hledání v souboru GEDCOM"
"enter_terms";"Vložte výraz, který se má vyhledat:"
"soundex_search";"- Nebo zkuste zadat jméno tak, jak si myslíte, že se píše (metoda Soundex):"
"sources";"ZDROJE"
"firstname_search";"Jméno: "
"lastname_search";"Příjmení: "
"search_place";"Místo: "
"search_year";"Rok: "
"no_results";"Nenalezen odpovídající záznam."
"invalid_search_input";"Prosím zadejte k roku ještě jméno, příjmení nebo místo."
"sources_found";"Zdroje nalezeny"
"titles_found";"Tituly"
"source_info";"Informace o zdroji"
"other_records";"Záznamy, které se odkazují na tento pramen:"
"people";"Lidé"
"families";"Rodiny"
"total_sources";"Pramenů celkem"
"building_indi";"Vytváření rejstříků osob a rodin"
"building_index";"Vytváření seznamů rejstříků"
"invalid_gedformat";"Neplatný formát (neodpovídá standardu GEDCOM 5.5)"
"importing_records";"Importování záznamů do databáze"
"detected_change";"Genmod zaznamenal změnu v GEDCOM souboru #GEDCOM#. Soubory rejstříků se teď musí přepsat."
"please_be_patient";"PROSÍM O STRPENÍ"
"reading_file";"Čtení souboru GEDCOM"
"flushing";"Obsah paměti"
"found_record";"Nalezen záznam"
"exec_time";"Celkový čas:"
"time_limit";"Časový limit PHP"
"unable_to_create_index";"Není možné vytvořit soubor index. Ujistěte se, že máte práva zápisu do složky Genmod. Stávající nastavení práv můžete obnovit po zapsání souborů."
"indi_complete";"Aktualizace souboru s rejstříkem osob je hotova."
"family_complete";"Aktualizace souboru s rejstříkem rodin je hotova."
"source_complete";"Aktualizace souboru s rejstříkem zdrojů je hotova."
"tables_exist";"Tabulky Genmod již v databázi existují."
"you_may";"Můžete:"
"drop_tables";"Smazat nynější tabulky"
"import_multiple";"Importovat a pracovat s více GEDCOM soubory"
"explain_options";"Jestliže zvolíte možnost "smazat tabulky", všechna budou nahrazena tímto GEDCOM souborem.<br />Pokud zvolíte "importovat a pracovat s GEDCOM soubory", Genmod smaže jakákoliv data, která byla importována ze stejnojmenného GEDCOM souboru. Tato volba vám umožňuje ukládat data z více GEDCOM souborů ve stejných tabulkách a jednoduše mezi nimi přepínat."
"path_to_gedcom";"Zadejte cestu k vašemu GEDCOM souboru:"
"dataset_exists";"GEDCOM soubor s tímto názvem byl již do databáze importován."
"empty_dataset";"Chcete vyprázdnit databázi?"
"index_complete";"Rejstřík je hotov."
"click_here_to_go_to_pedigree_tree";"Klikněte sem pro vstup do rodokmenu."
"updating_is_dead";"Doplnění stavu k zemřelým osobám "
"import_complete";"Importování je hotovo"
"updating_family_names";"Aktualizace příjmení pro FAM "
"processed_for";"Zpracován soubor pro "
"run_tools";"Chcete spustit jeden z následujících nástrojů ještě před importováním GEDCOM souboru:"
"addmedia";"Nástroj přidání médií"
"dateconvert";"Konverze dat"
"xreftorin";"Zkonvertovat identifikátory XREF na čísla RIN"
"tools_readme";"Pro další informace se podívejte do částí "tools" v souboru #README.TXT#."
"sec";"s"
"bytes_read";"Načtené bajty:"
"created_indis";"Tabulka <i>Osoby</i> byla úspěšně vytvořena."
"created_indis_fail";"Není možné vytvořit tabulku <i>jednotlivců</i>."
"created_fams";"Tabulka <i>Rodiny</i> byla úspěšně vytvořena."
"created_fams_fail";"Není možné vytvořit tabulku <i>rodin</i>."
"created_sources";"Tabulka <i>Prameny</i> byla úspěšně vytvořena."
"created_sources_fail";"Není možné vytvořit tabulku <i>pramenů</i>."
"created_other";"Tabulka <i>Ostatní</i> byla úspěšně vytvořena."
"created_other_fail";"Není možné vytvořit tabulku <i>ostatních záznamů</i>."
"created_places";"Tabulka <i>Místa</i> byla úspěšně vytvořena."
"created_places_fail";"Není možné vytvořit tabulku <i>míst</i>."
"import_progress";"Průběh nahrávání..."
"total_fams";"Všechny rodiny"
"total_indis";"Všechny osoby"
"starts_with";"Začít s:"
"person_list";"Seznam osob:"
"paste_person";"Vložení osoby"
"notes_sources_media";"Poznámky, prameny a média"
"notes";"Poznámky"
"ssourcess";"Prameny"
"media";"Média"
"name_contains";"Jméno obsahuje:"
"filter";"Prohledat"
"find_individual";"Najít ID osoby"
"find_familyid";"Najít ID rodiny"
"find_sourceid";"Najít ID zdroje"
"skip_surnames";"Přeskočit seznamy příjmení"
"show_surnames";"Ukázat seznamy příjmení"
"all";"VŠECHNY"
"hidden";"Skryto"
"confidential";"Důvěrné"
"age";"Věk"
"timeline_title";"Časová osa Genmod"
"remove_person";"Odstranit osobu"
"show_age";"Zobrazit ukazatel věku"
"add_another";"Přidat na osu další osobu:<br />ID osoby:"
"find_id";"Najít ID"
"show";"Ukázat"
"year";"Rok:"
"timeline_instructions";"Ve většině novějších prohlížečů můžete klepnout na jméno v rámečku a přetáhnout jej na osu."
"zoom_in";"Zvětšit"
"zoom_out";"Zmenšit"
"select_an_option";"Vyberte jednu z možností:"
"readme_documentation";"README dokumentace"
"configuration";"Konfigurace"
"rebuild_indexes";"Přepsat Indexy"
"user_admin";"Správa uživatelů"
"inc_languages";"Jazyky"
"user_created";"Uživatel byl úspěšně vytvořen."
"user_create_error";"Není možné přidat uživatele. Prosím vraťte se zpět a zkuste to znovu."
"password_mismatch";"Hesla se neshodují."
"enter_username";"Musíte vložit uživatelské jméno."
"enter_fullname";"Musíte vložit celé jméno."
"enter_password";"Musíte vložit heslo."
"confirm_password";"Musíte potvrdit heslo."
"update_user";"Aktualizovat uživatelský účet"
"update_myaccount";"Aktualizovat můj účet"
"save";"Uložit"
"delete";"Smazat"
"edit";"Úpravy"
"full_name";"Celé jméno"
"visibleonline";"Viditelný pro jiné uživatele, když je online"
"editaccount";"Umožnit tomuto uživateli upravovat informace o svém účtu"
"admin_gedcom";"Spravovat GEDCOM"
"confirm_user_delete";"Jste si jistí, že chcete smazat uživatele"
"create_user";"Vytvořit uživatele"
"no_login";"Není možné ověřit uživatele."
"import_gedcom";"Importovat tento GEDCOM soubor"
"duplicate_username";"Toto uživatelské jméno již existuje. Prosím, vraťte se zpět a vyberte jiné uživatelské jméno."
"gedcomid";"ID osoby"
"enter_gedcomid";"Musíte vložit ID GEDCOM souboru."
"user_info";"Informace o mém uživateli"
"rootid";"Střen (proband) vývodu"
"download_gedcom";"Stáhnout GEDCOM"
"upload_gedcom";"Nahrát GEDCOM"
"add_new_gedcom";"Vytvořit nový GEDCOM"
"gedcom_file";"Soubor GEDCOM:"
"enter_filename";"Musíte vložit název GEDCOM souboru."
"file_not_exists";"Soubor, jehož název jste zadali, neexistuje."
"file_exists";"GEDCOM soubor s tímto názvem již zde je. Prosím vyberte jiný název souboru nebo smažte starý soubor."
"new_gedcom_title";"Genealogie z [#GEDCOMFILE#]"
"upload_error";"Během nahrávání vašeho souboru se objevila chyba."
"add_gedcom_instructions";"Zadejte název pro tento nový GEDCOM soubor. Tento soubor bude uložen do hlavního adresáře: "
"file_success";"Soubor byl úspěšně nahrán"
"file_too_big";"Nahraný soubor přesáhl povolenou velikost"
"file_partial";"Soubor byl nahrán jen částečně, prosím zkuste to znovu"
"file_missing";"Žádný soubor dodán. Nahrajte jej znovu"
"manage_gedcoms";"Správa GEDCOM souborů a úprava privátnosti"
"administration";"Administrace"
"ansi_to_utf8";"Převést kódování v tomto GEDCOM souboru z ANSI (ISO-8859-1) na UTF-8?"
"utf8_to_ansi";"Chcete změnit kódování v tomto GEDCOM souboru z UTF-8 na ANSI (ISO-8859-1)?"
"user_manual";"Uživatelský manuál aplikace Genmod"
"upgrade";"Aktualizovat Genmod"
"view_logs";"Zobrazit logfiles"
"logfile_content";"Obsah "log" souboru"
"step1";"Krok 1 z 4:"
"step2";"Krok 2 z 4:"
"step3";"Krok 3 z 4:"
"step4";"Krok 4 z 4:"
"validate_gedcom";"Potvrdit platnost GEDCOMu"
"img_admin_settings";"Upravit nastavení nakládání s obrázky"
"download_note";"POZNÁMKA: Velké GEDCOM soubory se mohou stahovat velmi dlouho. Jestliže PHP přeruší proces ještě před úplným stažením souboru, stažený GEDCOM nebude kompletní. Chcete-li se ujistit, že je váš soubor celý, podívejte se, jestli je na jeho konci řádek 0 TRLR. Stažení souboru by mělo trvat přibližně stejně dlouho jako jeho nahrání."
"gm_registry";"Zobrazit jiné weby používající Genmod"
"verify_upload_instructions";"Zvolíte-li pokračování, bude starý GEDCOM soubor nahrazen novým souborem, který jste nahráli, a importování začne znovu. Zvolíte-li konec, zůstane starý soubor zachován."
"cancel_upload";"Ukončit nahrávání"
"add_media_button";"Přidat média"
"person1";"Osoba 1"
"person2";"Osoba 2"
"no_link_found";"Mezi těmito dvěma osobami nebyl nalezen žádný (další) vztah."
"sibling";"Sourozenec"
"follow_spouse";"Zkontrolovat příbuzenství sňatkem."
"timeout_error";"Vykonávání skriptu bylo ukončeno před dokončením vyhledávání."
"son";"Syn"
"daughter";"Dcera"
"brother";"Bratr"
"sister";"Sestra"
"relationship_to_me";"Vztah ke mně"
"next_path";"Najít další vztah"
"show_path";"Ukázat vztah"
"line_up_generations";"Vyrovnat podle generační úrovně"
"oldest_top";"Zobrazit nejstarší nahoře"
"check_delete";"Jste si jisti, že chcete smazat tento údaj?"
"access_denied";"<b>Přístup odepřen</b><br />Nemáte přístup k tomuto zdroji."
"gedrec_deleted";"Záznam byl úspěšně smazán."
"gedcom_deleted";"GEDCOM soubor [#GED#] byl úspěšně smazán."
"changes_exist";"V tomto GEDCOM souboru byly provedeny změny."
"accept_changes";"Přijmout / Odmítnout změny"
"edit_raw";"Upravit přímo záznam GEDCOM"
"show_changes";"Tento záznam byl aktualizován. Klikněte sem pro zobrazení změn."
"hide_changes";"Chcete-li skrýt změny, klikněte sem."
"review_changes";"Revize změn v GEDCOM souborech"
"undo";"Zpět"
"view_change_diff";"Prohlédnout si změny"
"changes_occurred";"U této osoby byly provedeny následující změny:"
"find_place";"Najít místo"
"close_window";"Zavřít okno"
"close_window_without_refresh";"Zavřít okno bez opětovného načtení"
"place_contains";"Místo obsahuje:"
"accept_gedcom";"U každé změny se rozhodněte, zda ji chcete přijmout, nebo zamítnout.<br />Chcete-li přijmout všechny změny najednou, klikněte na "Přijmout všechny změny" v políčku dole.<br />Jestliže chcete více informací k některé úpravě, klikněte na "Zobrazit rozdíly" a uvidíte rozdíly mezi starou a novou verzí, <br /> nebo klikněte na "Zobrazit přímo záznam GEDCOM" a uvidíte novou verzi zapsanou přímo ve fromátu GEDCOM."
"ged_import";"Importovat"
"now_import";"Nyní byste měli importovat záznamy do Genmod kliknutím na odkaz "Importovat"."
"add_fact";"Přidat nový údaj"
"add";"Přidat"
"custom_event";"Vlastní událost"
"update_successful";"Aktualizace byla úspěšná"
"add_child";"Přidat dítě"
"add_child_to_family";"Přidat dítě k této rodině"
"add_sibling";"Přidat bratra nebo sestru"
"add_son_daughter";"Přidat syna nebo dceru"
"must_provide";"Musíte poskytnout "
"delete_person";"Smazat tuto osobu"
"confirm_delete_person";"Jste si jistí, že chcete vymazat tuto osobu z GEDCOM souboru?"
"find_media";"Najít média"
"set_link";"Nastavit odkaz"
"add_source_lbl";"Přidat citaci k prameni"
"add_source";"Přidat novou citaci k prameni"
"add_note_lbl";"Přidat poznámku"
"add_note";"Přidat novou poznámku"
"add_media_lbl";"Přidat média"
"add_media";"Přidat do médií novou položku"
"delete_source";"Smazat tento pramen"
"confirm_delete_source";"Jste si jistí, že chcete vymazat tento pramen z GEDCOM souboru?"
"add_husb";"Přidat manžela"
"add_husb_to_family";"Přidat manžela k této rodině"
"add_wife";"Přidat manželku"
"add_wife_to_family";"Přidat manželku k této rodině"
"find_family";"Najít rodinu"
"find_fam_list";"Sestavit seznam rodin"
"add_new_wife";"Přidat novou manželku"
"add_new_husb";"Přidat nového manžela"
"edit_name";"Upravit jméno"
"delete_name";"Smazat jméno"
"no_temple";"No Temple - Living Ordinance"
"replace";"Nahradit záznam"
"append";"Připojit záznam"
"add_father";"Přidat nového otce"
"add_mother";"Přidat novou matku"
"add_obje";"Přidat nový multimediální soubor"
"no_changes";"Zatím nebyly provedeny žádné změny, které by se měly přezkoumat."
"accept";"Přijmout"
"accept_all";"Přijmout všechny změny"
"accept_successful";"Změny byly přijaty a nové údaje zapsány do databáze"
"select_date";"Vybrat datum"
"create_source";"Vytvořit nový pramen"
"new_source_created";"Nový pramen byl vytvořen."
"paste_id_into_field";"Vložte toto ID pramene do poliček, z nichž se chcete odvolávat na tento pramen."
"add_name";"Přidat nové jméno"
"privacy_not_granted";"Nemáte přístup k"
"user_cannot_edit";"Tento uživatel nemůže upravovat tento GEDCOM."
"gedcom_editing_disabled";"Upravování tohoto GEDCOMu bylo zakázáno administrátorem systému."
"privacy_prevented_editing";"Nastavení privátnosti vám neumožňuje upravovat tento záznam."
"on_this_day";"Tohoto dne ve vaší historii..."
"in_this_month";"V tomto měsíci ve vaší historii..."
"in_this_year";"Tohoto roku ve vaší historii..."
"year_anniversary";"#year_var# výročí"
"today";"Dnes"
"day";"Den:"
"month";"Měsíc"
"showcal";"Události k zobrazení:"
"sunday";"neděle"
"monday";"pondělí"
"tuesday";"úterý"
"wednesday";"středa"
"thursday";"čtvrtek"
"friday";"pátek"
"saturday";"sobota"
"all_people";"Všichni lidé"
"living_only";"Žijící lidé"
"recent_events";"Nedávné události (&lt; 100 let)"
"day_not_set";"Datum nezadáno"
"year_error";"Data před rokem 1970 bohužel nejsou podporována."
"lost_password";"Zapomněli jste své heslo?"
"requestpassword";"Zažádat o nové heslo"
"no_account_yet";"Ještě nemáte svůj účet?"
"requestaccount";"Zažádat o nový uživatelský účet"
"emailadress";"E-mailová adresa"
"mail01_line01";"Nazdar #user_fullname# ..."
"mail01_line02";"Z adresy ( #SERVER_NAME# ) byl vyslán požadavek na přihlášení pod vaší e-mailovou adresou ( #user_email# )."
"mail01_line03";"Byla použita následující data."
"mail01_line04";"Prosím klikněte na odkaz dole a vyplňte požadovaná data pro ověření vašeho účtu a vaší e-mailové adresy."
"mail01_line05";"Kdybyste tato data nevyžadovali, můžete tuto zprávu klidně smazat."
"mail01_line06";"Žádný další e-mail z tohoto systému již nedostanete, protože účet bude do sedmi dnů bez ověření smazán."
"mail01_subject";"Vaše registrace na #SERVER_NAME#"
"mail02_line01";"Nazdar administrátore ..."
"mail02_line02";"Nový uživatel se zaregistroval na ( #SERVER_NAME# )."
"mail02_line03";"Uživatel obdržel e-mail s daty nezbytnými k ověření svého účtu."
"mail02_line04";"Jakmile se uživatel dokončí toto ověřování, budete e-mailem informováni, abyste uživateli dali práva k přihlášení na vaše stránky."
"mail02_subject";"Nová registrace na #SERVER_NAME#"
"hashcode";"Ověřovací kód:"
"thankyou";"Nazdar #user_fullname# ...<br />Díky za registraci."
"pls_note06";"Nyní na e-mail ( #user_email# ) obdržíte potvrzení. Tento e-mail použijte k aktivování svého účtu; jestliže se vám nepodaří aktivovat svůj účet do sedmi dní, bude vymazán (pak se můžete znovu pokusit zaregistrovat). Abyste se mohli přihlásit na tyto stránky, budete potřebovat znát své přihlašovací jméno a heslo."
"registernew";"Potvrzení nového účtu"
"user_verify";"Ověření uživatele"
"send";"Odeslat"
"pls_note07";"Prosím vepište své uživatelské jméno, heslo a ověřovací kód, který jste obdrželi z tohoto systému, pro ověření vaší žádosti o účet."
"pls_note08";"Data pro uživatele #user_name# byla zkontrolována."
"mail03_line01";"Nazdar administrátore ..."
"mail03_line02";"#newuser[username]# ( #newuser[fullname]# ) zkontroloval registrační data."
"mail03_line03";"Pro přihlášení a úpravu uživatele a povolení k přihlášení na vaše stránky prosím klikněte na odkaz dole."
"mail03_subject";"Nové ověření na #SERVER_NAME#"
"pls_note09";"Byli jste identifikováni jako registrovaný uživatel."
"pls_note10";"Administrátor byl upozorněn.<br />Jakmile vám dám povolení k přihlášení, budete se moci přihlásit zadáním svého uživatelského jména a hesla."
"data_incorrect";"Data nebyla správná!<br />Prosím zkuste to znovu!"
"user_not_found";"Nebylo možné ověřit data, která jste vložili.  Prosím vraťte se zpět a zkuste to znovu."
"lost_pw_reset";"Zapomenuté heslo"
"pls_note11";"Chcete-li, aby vaše heslo bylo smazáno, pošlete nám uživatelské jméno a e-mailovou adresu svého uživatelského účtu. <br /><br />Pošleme vám e-mailem odkaz na stránku, která obsahuje zakódované heslo pro váš účet. Navštívíte-li tuto URL, budete mít možnost změnit si heslo a přihlásit se do tohoto systému. Z bezpečnostních důvodů byste měli toto heslo uchovat v tajnosti (neměli by jej znát ani administrátoři těchto stránek; nebudeme se na něj ptát).<br /><br />Jestliže budete požadovat pomoc administrátora, prosím kontaktujte administrátora stránek."
"enter_email";"Musíte zadat e-mailovou adresu."
