"ABBR";"Abkürzung"
"_BIRT_CHIL";"Geburt eines Kindes"
"_MARR_CHIL";"Heirat eines Kindes"
"_DEAT_CHIL";"Tod eines Kindes"
"_BIRT_GCHI";"Geburt eines Enkels"
"_MARR_GCHI";"Hochzeit eines Enkels"
"_DEAT_GCHI";"Tod eines Enkels"
"_MARR_FATH";"Heirat des Vaters"
"_DEAT_FATH";"Tod des Vaters"
"_MARR_MOTH";"Heirat der Mutter"
"_DEAT_MOTH";"Tod der Mutter"
"_BIRT_SIBL";"Geburt eines Geschwisterteils"
"_MARR_SIBL";"Hochzeit eies Geschwisterteils"
"_DEAT_SIBL";"Tod eines Geschwisterteils"
"_BIRT_HSIB";"Geburt einer Halbschwester / eines Halbbruders"
"_MARR_HSIB";"Hochzeit einer Halbschwester / eines Halbbruders"
"_DEAT_HSIB";"Tod einer Halbschwester / eines Halbbruders"
"_DEAT_GPAR";"Tod eines Großelternteils"
"_BIRT_FSIB";"Geburt eines Geschwisterteils väterlicherseits"
"_MARR_FSIB";"Hochzeit eines Geschwisterteils väterlicherseits"
"_DEAT_FSIB";"Tod eines Geschwisterteils väterlicherseits"
"_BIRT_MSIB";"Geburt eines Geschwisterteils mütterlicherseits"
"_MARR_MSIB";"Hochzeit eines Geschwisterteils mütterlicherseits"
"_DEAT_MSIB";"Tod  eines Geschwisterteils mütterlicherseits"
"_BIRT_COUS";"Geburt eines Cousins / einer Cousine"
"_MARR_COUS";"Hochzeit eines Cousins / einer Cousine"
"_DEAT_COUS";"Tod eines Cousins  / einer Cousine"
"_THUM";"Dieses Bild als Thumbnail verwenden ?"
"_GMU";"Zuletzt geändert durch"
"SERV";"Remoteserver"
"_GEDF";"GEDCOM Datei"
