"messaging2_help";"Appena invii questo messaggio riceverai una copia via email all'indirizzo che hai fornito."
"CALENDAR_FORMAT_help";"Allows you to specify the type of Calendar you would like to use with this GEDCOM file.  Hebrew is the same as the Jewish Calendar using Hebrew characters.  Note: The values used for Jewish / Hebrew dates are calculated from the Gregorian / Julian dates. Since the Jewish calendar day starts at dusk, any even taking place from dusk till midnight will display as one day prior to the correct Jewish date. The display of Hebrew can be problematic in old browsers. Some old browsers will display the Hebrew backwards or not at all.<br /><br />This sets the $CALENDAR_FORMAT variable in the config.php file."
"DISPLAY_JEWISH_THOUSANDS_help";"Show Alafim in Hebrew Calendars. Setting this to yes will display the year of 1969 as <span lang="he-IL" dir='rtl'>&#1492;'&#160;&#1514;&#1513;&#1499;&quot;&#1496;</span>&lrm; while setting it to no will display the year as <span lang="he-IL" dir='rtl'>&#1514;&#1513;&#1499;&quot;&#1496;</span>&lrm;. This has no impact on the Jewish year setting. The year will display as 5729 regardless of this setting.<br />Note: This setting is similar to the php 5.0 Calendar constant CAL_JEWISH_ADD_ALAFIM.<br />This sets the $DISPLAY_JEWISH_THOUSANDS variable in the config.php file."
"DISPLAY_JEWISH_GERESHAYIM_help";"Show single and double quotes when displaying Hebrew dates. Setting this to yes will display February 8th 1969 as  <span lang='he-IL' dir='rtl'>&#1499;'&#160;&#1513;&#1489;&#1496;&#160;&#1514;&#1513;&#1499;&quot;&#1496;</span>&lrm; while setting it to no will display it as <span lang='he-IL' dir='rtl'>&#1499;&#160;&#1513;&#1489;&#1496;&#160;&#1514;&#1513;&#1499;&#1496;</span>&lrm;. This has no impact on the Jewish year setting since quotes are not used in jewish dates displayed with Latin characters.<br />Note: This setting is similar to the php 5.0 Calendar constants CAL_JEWISH_ADD_ALAFIM_GERESH and CAL_JEWISH_ADD_GERESHAYIM. This single setting effects both.<br />This sets the $DISPLAY_JEWISH_GERESHAYIM variable in the config.php file."
"JEWISH_ASHKENAZ_PRONUNCIATION_help";"Use Jewish Ashkenazi pronunciations.<br />If set to yes the months of Cheshvan and Teves will be spelled with Ashkenazi pronunciation. Setting it to no will change the months to Hesvan and Tevet. <br />This only affects the Jewish setting. Using the Hebrew setting will use the Hebrew alphabet.<br />This sets the $JEWISH_ASHKENAZ_PRONUNCIATION variable in the config.php file."
"DEFAULT_PEDIGREE_GENERATIONS_help";"Set the default number of generations to display on the pedigree charts<br /><br />This sets the $DEFAULT_PEDIGREE_GENERATIONS variable in the config.php file."
"MAX_PEDIGREE_GENERATIONS_help";"Set the maximum number of generations to display on the pedigree charts.<br /><br />This sets the $MAX_PEDIGREE_GENERATIONS variable in the config.php file."
"MAX_DESCENDANCY_GENERATIONS_help";"Set the maximum number of generations to display on the descendancy charts<br /><br />This sets the $MAX_DESCENDANCY_GENERATIONS variable in the config.php file."
"USE_RIN_help";"Set to YES to use the RIN number instead of the GEDCOM ID when asked for Individual IDs in configuration files, user settings, and charts.  This is useful for genealogy programs that do not export GEDCOMs with concurrent individual IDs but always use the same RIN.<br /><br />This sets the $USE_RIN variable in the config.php file."
"PEDIGREE_ROOT_ID_help";"Set the ID of the default person to display on the pedigree and descendency charts<br /><br />This sets the $PEDIGREE_ROOT_ID variable in the config.php file."
"GEDCOM_ID_PREFIX_help";"On pedigree, descendancy, relationship, and other charts when users are prompted to enter an ID, if they do not add a prefix to the ID, this prefix will be added.<br /><br />This sets the $GEDCOM_ID_PREFIX variable in the config.php file."
"PEDIGREE_FULL_DETAILS_help";"Tells whether or not to show the birth and death details of an individual by default.<br /><br />This sets the $PEDIGREE_FULL_DETAILS variable in the config.php file."
"SHOW_EMPTY_BOXES_help";"Tells whether or not to show empty boxes on pedigree charts.<br /><br />This sets the $SHOW_EMPTY_BOXES variable in the config.php file."
"ZOOM_BOXES_help";"Allows a user to zoom the boxes on the charts and get more information.  Set to "Disabled" to disable this feature.  Set to "MouseOver" to zoom boxes when the user mouses over the icon in the box.  Set to "Click" to zoom boxes when the user clicks on the icon in the box.<br /><br />This sets the $ZOOM_BOXES variable in the config.php file."
"LINK_ICONS_help";"Allows the user select links to other charts and close relatives of the person.  Set to "Disabled" to disable this feature.  Set to "MouseOver" to popup the links when the user mouses over the icon in the box.  Set to "Click" to popup the links when the user clicks on the icon in the box.<br /><br />This sets the $LINK_ICONS variable in the config.php file."
"HIDE_LIVE_PEOPLE_help";"The hide living people option tells Genmod to hide the personal detail so people who are still living.  Living people are defined to be those who do not have an event more than  years ago, and who doesn't have any children born more than  years ago.<br /><br />This sets the $HIDE_LIVE_PEOPLE variable in the config.php file."
"CHECK_CHILD_DATES_help";"Checks the dates of the children when determining whether to a person is dead.  On older systems and large GEDCOMs this can slow down the response time of your site.<br /><br />This sets the $CHECK_CHILD_DATES variable in the config.php file."
"MAX_ALIVE_AGE_help";"The maximum age that a person can have an event or the maximum age of their children to determine if they are dead or not.<br /><br />This sets the $MAX_ALIVE_AGE variable in the config.php file."
"SHOW_GEDCOM_RECORD_help";"Setting this to yes will place links on individuals, sources, and families allowing users to bring up another window with the raw GEDCOM taken right out of the GEDCOM file.<br /><br />This sets the $SHOW_GEDCOM_RECORD variable in the config.php file."
"ALLOW_EDIT_GEDCOM_help";"Enables the online editing features for this GEDCOM so that users with the edit privileges may update this GEDCOM online.<br /><br />This sets the $ALLOW_EDIT_GEDCOM variable in the config.php file."
"INDEX_DIRECTORY_help";"The path to a readable and writeable Directory where Genmod should store index files (include the trailing "/")<br /><br />This sets the $INDEX_DIRECTORY variable in the config.php file."
"ALPHA_INDEX_LISTS_help";"For very long individual and family lists, set this to true to split the list into pages by the first letter of their last name.<br /><br />This sets the $ALPHA_INDEX_LISTS variable in the config.php file."
"SHOW_ID_NUMBERS_help";"Show ID numbers in parenthesis after person names on charts.<br /><br />This sets the $SHOW_ID_NUMBERS variable in the config.php file."
"SHOW_PEDIGREE_PLACES_help";"This sets how much of the place information is shown in the person boxes on charts.  Setting the value to 9 will guarentee to show all places levels.  Setting the value to 0 will hide places completely.  Setting the value to 1 will show the first level, setting it to 2 will show the first 2 levels, etc.<br /><br />This sets the $SHOW_PEDIGREE_PLACES variable in the config.php file."
"MEDIA_DIRECTORY_help";"The path to a readable Directory where Genmod should look for local multi media files (include the trailing "/")<br /><br />This sets the $MEDIA_DIRECTORY variable in the config.php file."
"MEDIA_DIRECTORY_LEVELS_help";"A value of 0 will ignore all directories in the file path for the media object.  A value of 1 will use also use the first directory containing this image.  Increasing the numbers increases number of parent directories to include in the path.  <br />For example: If you link an image in your GEDCOM with a path like this C:\Documents and Settings\User\My Documents\My Pictures\Genealogy\Surname Line\grandpa.jpg then a value of 0 will translate this path to ./media/grandpa.jpg.  A value of 1 will translate this to ./media/Surname Line/grandpa.jpg, etc.  Most people will only need to use a 0.  But it is possible that some media objects will have the same name and would overwrite each other.  This allows you to keep some organization in your media and prevents name clashing.<br /><br />This sets the $MEDIA_DIRECTORY_LEVELS variable in the config.php file."
"SHOW_HIGHLIGHT_IMAGES_help";"If you have enabled multimedia in your site, then you can have Genmod display a thumbnail image next to the person's name in charts and boxes.  Currently Genmod uses the first multimedia object listed in the GEDCOM record as the highlight image.  For people with multiple images, you should arrange the multimedia objects such that the one you wish to be highlighted appears first, before any others.<br />See the multimedia section in the <a href="readme.txt">readme.txt</a> file for more information about including media in your site.<br /><br />This sets the $SHOW_HIGHLIGHT_IMAGES variable in the config.php file."
"ENABLE_CLIPPINGS_CART_help";"The clippings cart allows visitors to your site to be able to add people to a GEDCOM clippings file that they can download as a GEDCOM file and import into their genealogy software.<br /><br />This sets the $ENABLE_CLIPPINGS_CART variable in the config.php file."
"HIDE_GEDCOM_ERRORS_help";"Setting this to 'yes' will hide error messages produced by Genmod when it doesn't understand a GEDCOM tag in your GEDCOM file.  Genmod makes every effort to conform to the GEDCOM 5.5 standard, but many genealogy software programs include their own custom tags.  See the <a href="readme.txt">readme.txt</a> file for more information.<br /><br />This sets the $HIDE_GEDCOM_ERRORS variable in the config.php file."
"WORD_WRAPPED_NOTES_help";"Some genealogy programs wrap notes at word boundaries while others wrap notes anywhere.  This can cause Genmod to run words together.  Setting this to 'yes' will add a space between words where they are wrapped in the GEDCOM.<br /><br />This sets the $WORD_WRAPPED_NOTES variable in the config.php file."
"SHOW_CONTEXT_HELP";"Mostra aiuto contestuale"
"HOME_SITE_URL_help";"A URL included in the supplied theme headers used to generate a link to your main home page.<br /><br />This sets the $HOME_SITE_URL variable in the config.php file."
"HOME_SITE_TEXT_help";"The text used to generate the link to your main home page.<br /><br />This sets the $HOME_SITE_TEXT variable in the config.php file."
"CONTACT_EMAIL_help";"The User visitors should contact about the genealogical data on this site.<br /><br />This sets the $CONTACT_EMAIL variable in the config.php file."
"WEBMASTER_EMAIL_help";"The email address visitors should contact about technical questions or errors they might encounter while on your site.<br /><br />This sets the $WEBMASTER_EMAIL variable in the config.php file."
"FAVICON_help";"Change this to point to the icon you want to display in peoples favorites menu when they bookmark your site.<br /><br />This sets the $FAVICON variable in the config.php file."
"THEME_DIR_help";"The directory where your Genmod theme files are kept.  You may customize any of the standard themes that come with Genmod to give your site a unique look and feel.  See the theme customization section of the <a href="readme.txt">readme.txt</a> file for more information.<br /><br />This sets the $THEME_DIR variable in the config.php file."
"TIME_LIMIT_help";"The maximum time in seconds that Genmod should be allowed to run.  The default is 1 minute.  Depending on the size of your GEDCOM file, you may need to increase this time limit when you need to build the indexes.  Set this value to 0, to allow PHP to run forever.<br />CAUTION: Setting this to 0, or setting it too high could cause your site to hang on certain operating systems until the script finishes.  Setting it to 0 means it may never finish until a server administrator kills the process or restarts the server.  A large pedigree chart can take a very long time to run, leaving this value as low as possible ensures that someone cannot crash your webserve by requestion a 1000 generation chart."
"GM_SESSION_SAVE_PATH_help";"The path to store Genmod session files.  Some hosts do not have PHP configured properly and sessions are not maintained between page requests.  This allows site administrators to override this by saving files in one of their local directories.  The ./index/ directory is a good choice if you need to change this.  The default is to leave the field empty, which will use the save path as configured in the php.ini file.<br /><br />This sets the $GM_SESSION_SAVE_PATH variable in the config.php file."
"GM_SESSION_TIME_help";"The time in seconds that a Genmod session remains active before requiring a login.  The default is 120 minutes.<br /><br />This sets the $GM_SESSION_TIME variable in the config.php file."
"SHOW_STATS_help";"Show runtime statistics and database queries at the bottom of every page.<br /><br />This sets the $SHOW_STATS variable in the config.php file."
"USE_REGISTRATION_MODULE_help";"Gives users the option of registering themselves for an account on the site.  Administrators will have to approve the registration before it becomes active.<br /><br />This sets the $USE_REGISTRATION_MODULE variable in the config.php file."
"ALLOW_USER_THEMES_help";"Gives users the option of selecting their own theme.<br /><br />This sets the $ALLOW_USER_THEMES variable in the config.php file."
"editlang_help";"Modifica il messaggio dal file del linguaggio"
"savelang_help";"Salva il messaggio modificato"
"page_help";"Aiuto"
