"messaging2_help";"Если Ваше сообщение послано, то Вы получите копию на эл.адрес, который Вы указали. "
"desc_generations_help";"~ЧИСЛО ПОКОЛЕНИЙ~<br /><br />Установить число поколений, которое будет показано на экране. Воспроизведение на Вашем экране зависит от величины модитора и показаны ли детальные сведения.<br />"
"add_person_help";"~ДОБАВИТЬ ПЕРСОНУ НА ВРЕМЕННУЮ ОСЬ~<br /><br />На временной оси отображаются события лиц.<br />Используйте поле в контейнере для добавления персон. Вы можете сразу ввести ID номер персоны.<br />Если Вы не знаете его/ее ID номер, Вы можете воспользоваться поиском, используя линк "Искать ID". Введите для поиска имя (или часть имени) интересующей Вас персоны."
"remove_person_help";"~УДАЛЕНИЕ ПЕРСОНЫ С ВРЕМЕННОЙ ОСИ~<br /><br />Кликните по этому линку для удаления персоны и событий, с ним/с ней связанных.|"
"show_age_marker_help";"~ПОКАЗАТЬ УКАЗАТЕЛЬ ВОЗРАСТА~<br /><br />Если Вы отметите эту опцию, то указатель возраста появится на временной оси.<br />С помощью левой кнопки мышки, вы можете опустить или поднять его на временной оси. Этот указатель дает возможность увидеть сколько лет было персоне в момент совершения какого-либо события в его жизни.<br />Для каждой персоны Вы можете включить или выключить этот индикатор."
"relationship_id_help";"~РОДСТВО~<br /><br />Если Вы с какой-либо страницы назад на эту страницу перейдете (например кликнув по линку "мои родственные связи"), то здесь будут показаны родственные отношения между двумя персонами.<br />В другом случае, сначала Вы заполняете поля с ID, или пользуетесь средством поиска "Искть ID".<br />Две персоны не обязательно должны иметь кровное родство, это могут быть также супружеские родственные связи. Эти родственные связи могут быть найдены только в случае если опция "Контролируй супружеские связи" отмечена. Программа дает возможность найти как кровное, так и не кровное родство. Используйте для этого кнопку "Искать следующую ветвь"."
"next_path_help";"~СЛЕДУЮЩАЯ ВЕТВЬ~<br /><br />Две персоны могут иметь родство с друг с другом через различных лиц в генеологическом дереве. Мы можете использовать эту кнопку для поиска следующей ветки родства. Найденные ветви родства можно посмотреть линком "Показать ветвь..."."
"follow_spouse_help";"~ПРОВЕРКА РОДСТВА ПО БРАКУ~<br /><br />Без этой опции поиск идет только среди кровных родственников.<br />Если пометить эту опцию, то поиск идет также среди родства по браку."
"alpha_help";"~АЛФАВИТ~<br /><br />Этот индекс работает просто: <br />Кликните по букве алфавита и появится лист с фамилиями, начинающимися на эту букву.<br /><br />Слева от буквы "А" видите Вы "открытую скобку". Если Вы по ней кликните, то будут выбраны персоны без фамилии или с неизвестной фамилией.<br /><br />Справа от всех букв алфавита стоит "ВСЕ". Кликнув здесь, Вы получите весь список лиц базы данных.<br /><br />Неизвестные буквы?<br /Чтобы это предотвратить, в цепочке букв находятся несколько пропусков.<br />Это не ошибка, а результат того, что не встретились еще лица, фамилия которых начинается с неизвестной буквы алфавита.|"
"name_list_help";"~СПИСОК ФАМИЛИЙ~<br /><br />Если Вы выбрали опцию "Показать список фамилий" (или это опция была выбрана ранее и Вы не изменили выбор), то будет показано:<br />1. Если Вы кликните по "(", то Вам будут показаны все персоны без фамилии и с неизвестной фамилией.<br />2. Если Вы кликните по "ВСЕ", то будет показан список фамилий всей базы данных<br />3. Лист с фамилиями, начинающимися на опеределенную букву.<br />При этом выборе Вам будут показаны все фамилии на выбранную букву. Кликнув на персону, можно посмотреть подробные сведения о ней/о нем.<br /><br />При выборе опции "Пропустить страницу списка фамилий", Вы напрямую попадаете с выбора букву алфавита на список персон, фамилии которых удовлетворяют условию выбора. Промежуточный шаг, где Вы сначала лист с фамилиями должны выбрать, в этом случае пропускается.|"
"skip_sublist_help";"~ПЕРЕЛИСТНУТЬ ЛИСТ СПИСКА ФАМИЛИЙ~<br /><br />Если Вы эту опцию не изменили, то после выбора буквы, Вы получите лист со списком фамилий, начинающихся с выбранной буквы. После этого показывается список персон, имеющих выбранную фамилию.<br /><br />Если Вы кликните по этой опции, то лист списка фамилий будет пропущен и Вы напрямую попадете на лист со всеми персонами, первая буква фамилии которых начинается на выбранную букву.|"
"sourcelist_listbox_help";"~ОКНО СПИСКА ИСТОЧНИКОВ~<br /><br />В этом окне Вы видете названия всех источником, которые есть в файле.<br />Список отсортирован в алфавитном порядке.<br /><br />Кликнув по названию источника, Вы идете на просмотр детальных данных. Там Вы видете (в случае применения) примечания, место хранения и соединение с изображением источника (например отсканированный документ).<br />Кроме этого Вы можете увидеть на какой источник указывает какая информация о персоне и семье. Кликнув по персоне или семье, Вы попадете на соответствующию информацию.|"
"sources_listbox_help";"~СПИСОК ИСТОЧНИКОВ~<br /><br />В этом кадре Вы видете имена персон, и/или семей, факты или события которых указаны с источником фактов или событий.<br />Если Вы кликните по персоне или семье, то будут показано подробные данные о них."
"show_source_gedcom_help";"~ПОКАЗАТЬ ЗАПИСЬ GEDCOM~<br /><br />Если Вы кликните по этому линку, появится новое окошечко с данными откуда был взят GEDCOM файл.|"
"add_source_clip_help";"~ВЫРЕЗАТЬ ПОД-ДЕРЕВО~<br /><br />Кликнув по этому линку, Вы можете данные источника добавить в вырезанное под-дерево, также как это происходил в GEDCOM-файле.|"
"ppp_default_form_help";"~УПОРЯДОЧЕНИЕ ГЕОГРАФИЧЕСКИХ МЕСТ - СТАНДАРТНОЕ~<br /><br />Внутри одного географического места существуют различные уровки для описания.<br /> Так может быть указано не только страна, но также название места (город, село и т.д.) и даже улица. В файле построение географического места идет как указано выше. Это построение является стандартным, так как в файле GEDCOM, который был импортирован нет указания на отклонения построения географического месторасположения.|"
"ppp_match_one_help";"~УПОРЯДОЧЕНИЕ ГЕОГРАФИЧЕСКИХ МЕСТ - СОГЛАСНО GEDCOM~<br /><br />Внутри одного географического места существуют различные уровки для описания.<br /> Так может быть указано не только страна, но также название места (город, село и т.д.) и даже улица. В файле построение географического места идет как указано выше. Это построение является определено в файле GEDCOM, который был импортирован.|"
"ppp_numfound_help";"~ГЕОГРАФИЧЕСКАЯ СВЯЗЬ НАЙДЕНА~<br /><br />В контейнере показаны найденные географические связи.<br />Вы можете посмотреть затронутые лица и семьи, кликнув по этому линку. Кликнув по географическому месторасположению, Вы можете также задать более уточненный поиск географического месторасположения.|"
"ppp_levels_help";"~УРОВЕНЬ ГЕОГРАФИЧЕСКОГО МЕСТОРАСПОЛОЖЕНИЯ~<br /><br />Это позволяет увидеть число уровней внутри показанного географического месторасположения.<br />Лист, показанный в контейнере является в действительности верхнем уровнем.<br /><br />НАПРИМЕР:<br />Стандартный порядок: #gm_lang[default_form]#<br />Если настоящий уровень является верхним, то в контейнете будут показаны все страны, находящиеся в файле.<br />Если настоящий уровень: "Лайден, Верхний уровень", то будут показаны все улицы города Лайден, находящиеся в файле.<br />etc.<br /><br />Вы можете также кликнуть по уровню для того, чтобы возвратиться на один или более шагов.|"
"ppp_placelist_help";"~ГЕОГРАФИЧЕСКИЕ МЕСТА~<br /><br />На этом листе показываются найденные географические места.<br />Вы можете кликнуть по названиям географических мест.<br />Клик по географическому месту работает как фильтр, и Вы перейдете на более глубокий уровень.<br />Если Вы достигли нижнего уровня и кликните по названию, тогда Вы получите список лиц и семей, факты или события которых имели место в этом географическом месте.|"
"ppp_name_list_help";"~ГЕОГРАФИЧЕСКИЕ МЕСТА - СПИСОК ЛИЦ~<br /><br />Это полный список всех лиц и семей, у которых в фактах и событиях, происшедших с ними есть ссылки на географию.<br /><br />Если Вы кликните по имени, то здесь будет показана подробная информация о лице или семье.<br /><br />Вы можете начать поиск заново, перейдя на вышележащий уровень (например кликнув о линку "верхний уровень. В этом случае будет показан список географических мест.|"
"annivers_date_select_help";"~ВЫБОР ДАТЫ</b><br /<br />Вы можете выбрать дату путем выбора значения дня и месяца в соответствующих полях и ввести желаемый год и поле года.<br />По умолчанию введена дата - текущий день.<br /><br />Если кликнуть по кнопке "Показать день" то будут показаны все лица, события, происшедшие с которыми попадают на выбранный день и месяц.<br /><br />Кликнув по кнопке "Показать месяц", Вы увидете месячный календарь выбранного месяца, где будут показаны день за днем события, происшедшие в выбранный месяц.<br />"
"annivers_show_help";"~ЧТО ПОКАЗЫВАТЬ</b><br /<br />Вы можете отметить что Вы хотите увидеть:<br /><br />Все Лица<br />Без ограничений<br /><br />Живущие ныне<br />Показать только живущих ныне, чьи события выпадают на указанный день<br /><br />Последние события(< 100 лет)<br />Показать только лиц, чьи события выпадают на указанный день и которые произошли менее 100 лет назад."
"annivers_tip_help";"~TIP~<br />Например, Вы имеете члена семьи, кто был рожден 25 января 1875 года.<br />Если Вы кликните по кнопке "Показать", Вы увидите лист с персонами или календарь с этой датой.<br />Все дни рождения, возраст и т.д.подсчитанные и вычисленные назад начитая с даты, которая была Вами определена.<br />В действительности увидите Вы календарь дней рождений, которые видели давно члены семьи."
"day_month_help";"~ПОКАЗАТЬ ДЕНЬ/ПОКАЗАТЬ МЕСЯЦ~<br /><br />Также как и в других окнах помощника кнопка<b>"ПОКАЗАТЬ ДЕНЬ"</b>используется для отображения событий, произошедших в определенный день. Кнопка <b>"ПОКАЗАТЬ МЕСЯЦ"</b> показывает календарь событий день за днем."
"how_upgrade_help";"~МОДУЛЬ ПЕРЕХОДА НА СЛЕДУЮЩУЮ ВЕРСИЮ~<br /><br />Этот модуль заботится о подгонке существующей версии Genmod и программ, загруженных из новой версии.<br /><br /><b>Новая версия загружена</b><br />Новая версия может быть напрямую получена на http://sourceforge.net/projects/Genmod/. Также программа перехода на слудующую версию контролирует имеется ли новая версия. Если она имеется в наличии то показываются доступные версии. Это zip- или gz-файлы, или оба.<br /><br /><b>Переход на другую (более новую) версию</b><br /><br />* Genmod<br />Заменяются все базовые программы на Genmod, включая  config.php, privacy.php en authenticate.php. В случае необходимости это применяется также к images-папкам.<br /><br />* Индексные файлы<br />Это применяется к /index-папкам. Внимание: существующие файлы перезаписываются!<br /><br />* Языки<br />"Это применяется к /languages папке.<br /><br />* Темы<br />Это применяется к /themes папке. Внимание: все применяемые темы перезаписываются.<br /><br />* Файл конфигурации<br />Контролирует существующий файл конфигурации и подгоняет его в соответствии с изменениями, найденными в новом файле конфигурации. Заботится чтобы файл конфигурации был изменен в соответствии с последней версией, но чтобы сохранились Ваши личные установки.<br /><br />* Личный файл<br />Контролирует существующий личный файл(ы) и приспосабливает его к изменениям, найденным в новом личном файле. Заботится чтобы личный файл был изменен в соответствии с последней версией, но чтобы сохранились Ваши личные установки.<br /><br />* Руководство<br />Это применяется к /doc папке.<br /><br />* Архив log-файлов<br />Применяется к модулю архива log-файлов.<br /><br />* Резерв<br />Сохраняет старые файлы как резервные в папке /backup.<br /><br /><b>Как обновлять версию</b><br /><br />1. Выбрать части, которые Вы хотите обновить.<br /><br />2. Кликнуть по "Сохранить"<br /><br />Продолжать далее по пути, появляющемуся на экране."
"default_gedcom_help";"MySQL версия Genmod содержит возможность помещения в одну базу данных нескольких GEDCOM файлов. Используйте эту переменную для установки стандартных GEDCOM файлов для всех пользователей. Для первоначально импортируемого GEDCOM используется пустое значение. Если пользоваатель имеет возможность изменения GEDCOM, то на следующей странице будет находится линк с возможностью корректировки GEDCOM. Это находится в переменной $DEFAULT_GEDCOM файла config.php bestand."
"DBHOST_help";"Имя DNS или IP адрес компьютера где находится база данных MySQL. Это находится в переменной $DBHOST файла config.php."
"DBUSER_help";"Имя пользователя базы данных MySQL, которое необходимо для входа в базу данных. Находится в переменной $DBUSER файла config.php."
"DBPASS_help";"Пароль пользователя базой данных MySQL. Это находится в переменной $DBPASS файла config.php."
"DBNAME_help";"В компьютере, где находится база данных MySQL, выбрать базу данных, которую будет использовать Genmod. Имя пользователя находится в соответствующем поле пользователя. Данный пользователь должен иметь следующие права на эту базу данных: создание, вставка, выгрузка, удаление и выбор. Это находится в переменной DBNAME файла config.php.<br />"
"TBLPREFIX_help";"Префикс (титул) для таблиц MySQL, созданных Genmod. Изменив это значение, Вы можете использовать несколько Genmod сайтов одной базы данных, но различные таблицы. Это находится в переменной $TBLPREFIX файла config.php."
"ALLOW_CHANGE_GEDCOM_help";"Загрузить Ваш GEDCOM файл в месте, которое будет досягаемым PHP на Вашем сервере. Введите путь, где он располагается. Находится в переменной $ALLOW_CHANGE_GEDCOM файла config.php."
"gedcom_path_help";"Загрузить сначала Ваш GEDCOM файл на локальный сервер, который достает PHP. Затем введите путь к файлу и имя файла. Это находится в переменной $GEDCOM файла config.php. Более подробное объяснение смотри в файле <a href="readme.txt">readme.txt</a>."
"CHARACTER_SET_help";"Это тип шрифта Вашего GEDCOM файла. UTF-8 - стандартный шрифт и он должен быть читаемым почти на всех сайтах. Если GEDCOM файл использует кодировку ibm-windows, тогда Вы должны здесь поставить WINDOWS.<br />Это находится в переменной $CHARACTER_SET файла config.php.<br /><br />ПРИМЕЧАНИЕ: PHP не поддерживает UNICODE (UTF-16); Поэтому не выбирайте его во избежании жалоб со стороны поддержки PHP :-)"
"LANGUAGE_help";"Установить стандарный язык для этого сайта. Пользователи могут сделать эту установку используя браузер установок или используя формуляр в конце страницы в случае если ENABLE_MULTI_LANGUAGE = true.<br />Это находится в переменной $LANGUAGE файла config.php"
"ENABLE_MULTI_LANGUAGE_help";"Для того чтобы дать возможность пользователям выбирать язык из списка внизу экрана, поместите это в &quot;yes&quot; Стандартным является язык, установленный через браузер.<br />Это находится в переменной $ENABLE_MULTI_LANGUAGE файла config.php."
"CALENDAR_FORMAT_help";"Здесь Вы определяете тип календаря, который Вы хотите использовать с этим GEDCOM файлом. Древнееврейский календарь (Иврит) является таким же, как еврейский, но с дневнееврейскими символами. Внимание: Еврейские/Дневнееврейские даты вычислены с помощью Грегорианских/Юлианских дат. Так как в Еврейском календаре отсчет начинается с захода солнца, события которые произошли между заходом солнца и полночью имеют дату на один день ранее чем день по дате Еврейского календаря. Также воспроизведение Иврита может быть проблемой для старых поисковых сайтов Интернета. Мы показываем Иврит задом наперед или не полностью.<br /><br />Это вводится в переменную $CALENDAR_FORMAT в config.php файле."
"DISPLAY_JEWISH_THOUSANDS_help";"Показать алафим в календарях Иврита. "Да" отображает год 1969 как <span lang="he-IL" dir=\'rtl\'>&#1492;\'&#160;&#1514;&#1513;&#1499;&quot;&#1496;</span>&lrm; , "Нет" как <span lang="he-IL" dir=\'rtl\'>&#1514;&#1513;&#1499;&quot;&#1496;</span>&lrm;. Это не влияет на значение Еврейского года, он остается 5729 несмотря на эту установку.<br />Это задается в переменной $DISPLAY_JEWISH_THOUSANDS файла config.php."
"DISPLAY_JEWISH_GERESHAYIM_help";"Показать двойные и одиночные кавычки при отображении дат в Иврите. Это значение на "Да" показывает дату от 8 февраля 1969 года как <span lang=\'he-IL\' dir=\'rtl\'>&#1499;\'&#160;&#1513;&#1489;&#1496;&#160;&#1514;&#1513;&#1499;&quot;&#1496;</span>&lrm; это значение на "Нет" показывается как <span lang=\'he-IL\' dir=\'rtl\'>&#1499;&#160;&#1513;&#1489;&#1496;&#160;&#1514;&#1513;&#1499;&#1496;</span>&lrm;. Это не оказывает влияния на значение Еврейского года, т.к. кавычки в Еврейских датах отображаются шрифтом латинской кодировки.<br />Внимание: Это значение календаря на PHP 5.0 равняется постоянным CAL_JEWISH_ADD_ALAFIM_GERESH и CAL_JEWISH_ADD_GERESHAYIM. Они обе оказывают влияние на значение.<br />Это устанавливается в переменной  $DISPLAY_JEWISH_GERESHAYIM файла config.php."
"JEWISH_ASHKENAZ_PRONUNCIATION_help";"Выбрать Еврейско-Ашкеназский словарь.<br />При &quot;JA&quot; месяцы Хешван и Тевес пишутся по ашкеназскому словарь. При &quot;NEE&quot; остаются без изменений.<br />Это работает только в еврейских установках. В случае установки Иврита используется алварит Иврита.<br />Это устанавливается в переменной $JEWISH_ASHKENAZ_PRONUNCIATION файла config.php."
"DEFAULT_PEDIGREE_GENERATIONS_help";"Указать число поколений, сколько будет показано на стандартном изображении графика восходящего дерева.<br />Находится в переменной  $DEFAULT_PEDIGREE_GENERATIONS файла config.php."
"MAX_PEDIGREE_GENERATIONS_help";"Установить максимальное число поколений, которое будет показываться в восходящем дереве.<br /><br />Это задается переменной $MAX_PEDIGREE_GENERATIONS файла config.php."
"MAX_DESCENDANCY_GENERATIONS_help";"Установить максимальное число поколений, которое будет показываться в графике потомков.<br /><br /> Это задается в переменной $MAX_DESCENDANCY_GENERATIONS файла config.php."
"USE_RIN_help";"Выбери &quot;JA&quot; при использовании RIN-номеров вместо GEDCOM-ID. Это используется в файлах конфигурации, установках пользователей и обзорах. Это полезно для генеологических программ, которые не принадлежат к экспортируемым ID, а используют всегда одинаковый RIN.<br /><br />Это устанавливается переменной $USE_RIN в config.php файле."
"PEDIGREE_ROOT_ID_help";"Поместить ID номер стартовой персоны для восходящего дерева и графиков потомков.<br />Находится в переменной $PEDIGREE_ROOT_ID файла config.php."
"GEDCOM_ID_PREFIX_help";"При воспроизведении восходящего дерева, потомков, родства и др., делается запрос пользователям ввести ID номер. Если здесь префикс не введен, то это добавляется.<br /><br />Это находится в переменной $GEDCOM_ID_PREFIX файла config.php."
"PEDIGREE_FULL_DETAILS_help";"Указать будут ли выдны данные о рождении и кончине персоны. Это находится в переменной $PEDIGREE_FULL_DETAILS файла config.php."
"PEDIGREE_LAYOUT_help";"Задайте горизонтальное или вертикальное позицирование восходящего дерева. <br /><br />Это находится в переменной $PEDIGREE_LAYOUT файла config.php."
"SHOW_EMPTY_BOXES_help";"Выбирете здесь будут ли показаны пустые контейнеры в графике восходящего дерева.<br /><br />Это находится в переменной  $SHOW_EMPTY_BOXES файла config.php."
"ZOOM_BOXES_help";"Дать возможность пользователю увеличивать задачи, т.е. показывать больше информации. "Убрать отметку ("галочку")" отключает эту функцию, "Указателем мышки" активизирует функцию когда линия на экрана попадет на иконку, "Щелнув мышкой" активизирует функцию пока нажата кнопка мышки, "Кликнув мышкой" изменяет функцию - включить/отключить.<br /><br /> Это устанавливается переменной $ZOOM_BOXES ф файле config.php."
"LINK_ICONS_help";"Дать возможность пользователю "перепрыгивать" на другие отображения и родства персоны. "Убрать отметку ("галочку")" отключает эту функцию, "Указателем мышки" активизирует функцию когда линия на экрана попадет на иконку, "Щелнув мышкой" активизирует функцию пока нажата кнопка мышки, "Кликнув мышкой" изменяет функцию - включить/отключить.<br /><br /> Это устанавливается переменной $LINK_ICONS ф файле config.php."
"HIDE_LIVE_PEOPLE_help";"В этой опции Вы можете отметить "галочками" личные модули и скрыть детальные данные о ныне живущих персонах. Ныне живущие персоны не имеют событий, которые произошли раньше чем число лет, определенное в переменной $MAX_ALIVE_AGE.<br />В личном модуле Вы можете обрабатывать личные установки.<br />Это задается в переменно"
"REQUIRE_AUTHENTICATION_help";"Отметив эту функцию задается что все посетители должны ввести свой логин прежде чем они смогут посмотреть данные на сайте. Это находится в переменной  $REQUIRE_AUTHENTICATION в config.php файле."
"CHECK_CHILD_DATES_help";"Проверьте даты детей чтобы определить является ли данной лицо ныне живущим. В старых версиях и большом GEDCOM файле это чувствительно замедляет работу сайта.<br />Это не проблема сейчас благодаря использованию переменной $CHECK_CHILD_DATES в файле config.php"
"MAX_ALIVE_AGE_help";"Максимальный возраст который могла иметь данная персона или мак.возвраст его/ее детей, чтобы определить является персона ныне живущей или нет. Это находится в переменной $MAX_ALIVE_AGE в файле config.php."
"INDEX_DIRECTORY_help";"Путь к папке, где должны находиться индексные файлы  Genmod (включая "/" в конце). Находится в переменной $INDEX_DIRECTORY файла config.php."
"SHOW_ID_NUMBERS_help";"В графиках показывать в скобках за именем ID-номер персоны.<br /><br />Это устанавливается переменной $SHOW_ID_NUMBERS config.php файла."
"SHOW_PEDIGREE_PLACES_help";"Установите сколько уровней данных о рождении и кончине будет отображаться в графиках восходящего дерева и графиках поколений. При значении 9 - будут показаны все уровни, при значении 0 - ни одного. При значении 1 будет показан только первый уровень, при значении 2 - первый и второй и т.д.<br /><br />Это задается переменной $SHOW_PEDIGREE_PLACES файла config.php."
"MULTI_MEDIA_help";"GEDCOM 5.5 содержит возможность присоединять картинки, видео и другие мультимедийные объекты в GEDCOM файл. Если в Вашем GEDCOM нет мультимеа-объектов то Вы можете отключить эту возможность установив в переменной "Нет".<br />Для подробной информации использования мультимедийных объектов смотреть параграф о мультимедиа <a href="readme.txt">readme.txt</a>.<br />Это находится в переменной $MULTI_MEDIA файла config.php."
"MEDIA_DIRECTORY_help";"Путь к директории, где Genmod собирает локальные медиа-данные (с последним "/".<br />Это находится в переменной $MEDIA_DIRECTORY variabele config.php файла."
"MEDIA_DIRECTORY_LEVELS_help";"При значении 0 все папки будут пропускаться по пути на медиа объект. При значении 1 будет использоваться также первая объекта. По мере увеличения значения увеличивается число папок для использования.<br />Например: если линк на объект стоит на C:\Documents and Settings\User\My Documents\My Pictures\Genealogy\Surname Line\grandpa.jpg, то значение 0 переводится как путь ./media/grandpa.jpg. Значение 1 переводится как путь ./media/Surname Line/grandpa.jpg и т.д. Для большенство людей достаточно значение 0. Но бывает что некоторые медиа объекты с одинаковым именем перезаписывают друг друга. Это делает возможным установливать желаемую структуру медиа-папок и предупреждает случаи двойных имен.<br />Это находится в переменной $MEDIA_DIRECTORY_LEVELS в config.php файле."
"SHOW_CONTEXT_HELP";"Показывать "?" (линк помощника) на страницах"
"CONTACT_EMAIL_help";"Эл.адрес (e-mail) для вопросов по данным этого сайти по генеологии.<br />Это находится в переменной $CONTACT_EMAIL файла config.php."
"WEBMASTER_EMAIL_help";"Эл.адрес (e-mail) для обращения по техническим вопросам или об ошибках, найденных на сайте. Находится в переменной  $WEBMASTER_EMAIL файла config.php."
"THEME_DIR_help";"Папка куда Genmod сохраняет файлы тем. Вы можете каждую стандартную тему предоставляемую Genmod подладить так, чтобы она показывалась уникально. Для большей информации смотреть параграф подналадки тем в <a href="readme.txt">readme.txt</a>.<br />Это находится в переменноDit zet de $THEME_DIR variabele in het config.php bestand.|"
"TIME_LIMIT_help";"Максимальное время работы Genmod в секундах. Стандартное время - 1 минута. В зависимости от формата GEDCOM файла бывает необходимо увеличивать время для создания индексов. При значении 0 PHP будет работать неограниченно.<br />Внимание: При установлении значения 0 или другого большего числа возможно что веб-сайт будет висеть в определенной обработке пока работает сценарий. Может случиться что при значении 0 будет возможно остановить обработку только при перезагрузке компьютера администратором. Большие таблицы могут действительно долго обрабатываться. Чтобы кто-либо не смог остановить сервер при запросе листа 1000-го поколения, устанавливается как можно меньшее значение."
"GM_SESSION_SAVE_PATH_help";"Папку, куда Genmod будет сохранять файлы сессии. На некоторых компьютерах PHP установлен не хорошо и данные сессии не сохраняются во время смены экрана. Этой установкой определяется папка куда будут сохраняться файлы. /INDEX/ папка является хорошим выбором. Если это значение оставить пустым, то будет использоваться папка, опереденная в php.ini файле.<br /><br /> Это устанавливается в переменной  $GM_SESSION_SAVE_PATH variabele файла config.php."
"SERVER_URL_help";"Если вы используете не стандартый порт, то введите здесь URL на ваш сервер.<br /><br />Это устанавливается в переменной  $SERVER_URL файла config.php."
"GM_SESSION_TIME_help";"Время в секундах сколько Genmod страница остается активной до того, как будет необходимо еще раз ввести логин. По умолчанию это 120 минут.<br /><br />Это устанавливается в переменной $GM_SESSION_TIME файла config.php."
"SHOW_STATS_help";"Показывать обрабатываемые данные и запросы базы данных внизу каждого экрана.<br /><br />Это устанавливается в переменной $SHOW_STATS в config.php файле."
"USE_REGISTRATION_MODULE_help";"Дать возможность пользователям регистрировать себя на сайте. Она становится активной после одобрения администратора.<br /><br />Это устанавливается в переменной  $USE_REGISTRATION_MODULE файла config.php."
