"stat_sources";"źródeł, "
"top10_pageviews_msg";"Liczniki odwiedzin muszą być właczone w konfiguracji GEDCOM aby ten blok poprawnie funkcjonował."
"review_changes_subject";"Genmod - Przegląd zmian"
"show_spouses";"Pokaż małżonków"
"quick_update_title";"Szybka aktualizacja"
"quick_update_instructions";"Ta strona pozawala na szybkie zaktualizowanie informacji o osobie. Musisz tylko wypełnić pola gdzie informacje wymagają uzupełnienia lub poprawienia. Po wprowadzeniu danych zmiany będą widoczne dopiero po zatwierdzeniu przez administratora."
"update_name";"Zaktualizuj nazwisko"
"update_fact";"Zaktualizuj wydarzenie"
"update_photo";"Zaktualizuj zdjęcie"
"photo_replace";"Czy chcesz zastąpic stare zdjęcie tym nowym?"
"select_fact";"Wybierz wydarzenie..."
"update_address";"Zaktualizuj adres"
"add_new_chil";"Dodaj nowe dziecko"
"top10_pageviews_descr";"Ten blok pokazuje 10 najczęściej przeglądanych osób. Blok ten wymaga włączenia licznika odwiedzin w ustawieniach GEDCOM."
"top10_pageviews_block";"Najczęsciej przeglądane osoby"
"stepdad";"Ojczym"
"stepmom";"Macocha"
"stepsister";"Przybrana siostra"
"stepbrother";"Przyprany brat"
"edit_fam";"Edytuj rodzinę"
"fams_charts";"Opcje dla rodziny"
"sort_by_birth";"Sortuj według dat urodzin"
"reorder_children";"Uporządkuj dzieci"
"copy";"Kopiuj"
"cut";"Wytnij"
"indis_charts";"Opcje dla osoby"
"edit_indi";"Edytuj osobę"
"locked";"Zablokowana edycja"
"privacy";"Prywatne dane"
"qm";"?"
"qm_ah";"?"
"gedcom_stats_block";"Blok statystyk GEDCOMu"
"sorry";"<b>Niestety treść pomocy dla tej strony nie została jeszcze przygotowana</b>"
"resolution";"Rozdzielczość ekranu"
"menu";"Menu"
"header";"Nagłówek"
"imageview";"Przeglądarka obrazów"
"login_head";"Logowanie użytkownika Genmod"
"error_title";"BŁĄD: Nie mogę otworzyć pliku GEDCOM"
"error_header";"Plik GEDCOM [#GEDCOM#], nie istnieje pod podaną lokalizacją."
"error_header_write";"Plik GEDCOM [#GEDCOM#] jest zabezpieczony przed zapisem. Sprawdź ustawienie atrybutów."
"for_support";"W celu uzyskania pomocy lub informacji skontaktuj się z"
"for_contact";"Pytania dotyczące kwestii genealogicznych należy kierować do"
"for_all_contact";"Pytania genealogiczne lub natury technicznej należy kierować do"
"build_title";"Budowanie Indeksów"
"build_error";"Nowy plik GEDCOM został znaleziony."
"please_wait";"Zaczekaj aż zostaną utworzone pliki indeksów."
"choose_gedcom";"Wybierz zbiór danych GEDCOM"
"username";"Login"
"invalid_username";"Nazwa użytkownika zawiera niedozwolone znaki"
"password";"Hasło"
"confirm";"Powtórz hasło:"
"user_contact_method";"Preferowana metoda kontaktu"
"login_aut";"Edytuj użytkownika"
"logout";"Wyloguj"
"admin";"Panel administracyjny"
"logged_in_as";"Zalogowany(a) jako "
"my_pedigree";"Mój rodowód"
"my_indi";"Moje dane"
"yes";"Tak"
"no";"Nie"
"add_gedcom";"Dodaj kolejny GEDCOM"
"change_theme";"Zmień wygląd"
"index_header";"Drzewo rodowe"
"gen_ped_chart";"#PEDIGREE_GENERATIONS# -pokoleniowy wykres rodowy"
"generations";"Pokoleń"
"view";"Zobacz"
"fam_spouse";"Rodzina z małżonkiem"
"root_person";"ID osoby głównej"
"hide_details";"Ukryj szczegóły"
"show_details";"Pokaż szczegóły"
"person_links";"Odnośniki do wykresów, rodzin i bliskich krewnych tej osoby."
"zoom_box";"Powiększ/pomniejsz ten obszar."
"portrait";"Portret"
"landscape";"Pejzaż"
"start_at_parents";"Zacznij od rodziców"
"max_generation";"Maksymalna liczba pokoleń wykresu to #PEDIGREE_GENERATIONS#."
"min_generation";"Minimalna liczba pokoleń wykresu to 3."
"box_width";"Szerokość okna"
"unable_to_find_family";"Nie znaleziono rodziny z tym ID"
"unable_to_find_indi";"Nie znaleziono osoby z tym ID"
"unable_to_find_record";"Nie znaleziono wpisu z tym ID"
"unable_to_find_source";"Nie znaleziono źródła z tym ID"
"unable_to_find_repo";"Nie znaleziono magazynu z tym ID"
"repo_name";"Nazwa magazynu:"
"address";"Adres:"
"phone";"Telefon:"
"source_name";"Nazwa źródła:"
"title";"Tytuł"
"author";"Autor(ka):"
"publication";"Publikacja:"
"call_number";"Numer źródła:"
"living";"Żyjący(a)"
"private";"Prywatne"
"birth";"Urodzony(a):"
"death";"Umarł(a):"
"not_an_array";"Nie jest tablicą"
"print_preview";"Wersja do druku"
"cancel_preview";"Powrót do normalnego widoku"
"change_lang";"Zmień język"
"print";"Drukuj"
"total_queries";"Zapytań do bazy danych: "
"total_privacy_checks";"Sprawdzeń prywatności w sumie: "
"back";"Wstecz"
"privacy_list_indi_error";"Ze względu na ograniczenia ochrony danych osobowych niektóre osoby są ukryte."
"privacy_list_fam_error";"Ze względu na ograniczenia ochrony danych osobowych niektóre rodziny są ukryte."
"aka";"VEL"
"male";"Mężczyzna"
"female";"Kobieta"
"temple";"Świątynia Mormońska"
"temple_code";"Kod Świątyni Mormońskiej:"
"status";"Status"
"source";"źródło"
"citation";"Cytat:"
"text";"Tekst:"
"note";"Notka"
"unrecognized_code";"Nierozpoznany kod GEDCOM"
"unrecognized_code_msg";"To jest błąd, który chcielibyśmy naprawić. Proszę zgłoś go do"
"indi_info";"Informacje o osobie"
"family";"Rodzina"
"family_with";"W rodzinie z"
"as_spouse";"W rodzinie<br />jako małżonek"
"as_child";"W rodzinie<br />jako dziecko"
"view_gedcom";"Pokaż Fragment<br />GEDCOM"
"add_to_cart";"Dodaj do<br />koszyka wycinków"
"still_living_error";"Ta osoba wciąż żyje albo nie ma podanej daty urodzenia lub śmierci. Wszystkie dane osób żyjących nie są wyświetlane.<br />W celu uzyskania dalszych informacji skontaktuj się z"
"privacy_error";"Dane  dotyczące tej osoby są prywatne.<br /> Skontaktuj się by uzyskać więcej informacji "
"more_information";"Więcej informacji uzyskasz od"
"name";"Imię i Nazwisko"
"given_name";"Imię:"
"surname";"Nazwisko:"
"suffix";"Sufiks:"
"object_note";"Notka o obiekcie:"
"sex";"Płeć"
"personal_facts";"Wydarzenia i szczegóły"
"type";"Typ"
"date";"Data"
"place_description";"Miejsce / Opis"
"parents";"Rodzice:"
"siblings";"Rodzeństwo"
"father";"Ojciec"
"mother";"Matka"
"relatives";"Bliscy krewni"
"child";"Dzieci"
"spouse";"Małżonek"
"surnames";"Nazwiska"
"adopted";"Adoptowany(a)"
"foster";"Wychowywany(a)"
"sealing";"Sealing"
"disproved";"Zweryfikowane jako nieprawda"
"no_tab1";"Nie ma faktów dla tej osoby"
"no_tab2";"Nie ma notatek dla tej osoby"
"no_tab3";"Nie ma cytatów dla tej osoby"
"no_tab4";"Nie ma multimediów dla tej osoby<br />"
"no_tab5";"Nie ma bliskich krewnych dla tej osoby"
"family_info";"Informacje o rodzinie"
"family_group_info";"Informacje o grupie rodzinnej"
"husband";"Mąż:"
"wife";"Żona:"
"marriage";"Małżeństwo:"
"lds_sealing";"Naznaczenie Mormońskie:"
"marriage_license";"Licencja Małżeńska:"
"media_object";"Obiekt multimedialny:"
"children";"Dzieci"
"no_children";"Brak dzieci"
"parents_timeline";"Pokaż rodziców na<br />wykresie linii czasu"
"clip_cart";"Koszyk wycinków"
"clip_explaination";"Koszyk wycinków drzewa genealogicznego pozwala wybrać &quot;wycinki&quot; z całego drzewa i powiązać je w jeden GEDCOM do ściągnięcia.<br /><br />"
"item_with_id";"Obiekt z ID"
"error_already";"jest już w twoim koszyku wycinków."
"which_links";"Ktore powiązania tej rodziny chciał(a)byś również dodać?"
"just_family";"Dodaj tylko dane tej rodziny."
"parents_and_family";"Dodaj rodziców z danymi tej rodziny."
"parents_and_child";"Dodaj rodziców i dzieci z danymi tej rodziny."
"parents_desc";"Dodaj rodziców i dane wszystkich potomków z danymi tej rodziny."
"continue";"Kontynuuj dodawanie"
"which_p_links";"Które powiązania tej osoby chciał(a)byś również dodać?"
"just_person";"Dodaj tylko tą osobę."
"person_parents_sibs";"Dodaj tą osobę, rodziców i rodzeństwo."
"person_ancestors";"Dodaj tą osobę i przodków w linii prostej."
"person_ancestor_fams";"Dodaj tą osobę, przodków w linii prostej i ich rodziny."
"person_spouse";"Dodaj tą osobę, małżonka i dzieci."
"person_desc";"Dodaj tą osobę, małżonka i wszystkich potomków."
"unable_to_open";"Nie mogę zapisać w folderze wycinków"
"person_living";"Ta osoba żyje. Dane personalne nie będą dołączone."
"person_private";"Szczegółowe informacje o tej osobie są prywatne. Nie zostaną one dołączone."
"family_private";"Szczegółowe informacje o tej rodzinie są prywatne. Nie zostaną one dołączone."
"download";"Kliknij prawym przyciskiem (control-click na Mac'u) na odnośnikach poniżej i wybierz &quot;Zapisz element docelowy jako...&quot; aby ściągnąc pliki."
"media_files";"Pliki medialne opisane w tym GEDCOM'ie"
"cart_is_empty";"Twój koszyk wycinków jest pusty."
"id";"ID"
"name_description";"Nazwa / Opis"
"remove";"Usuń"
"empty_cart";"Opróżnij koszyk"
"download_now";"Ściągnij teraz"
"indi_downloaded_from";"Ta osoba została ściągnięta z:"
"family_downloaded_from";"Ta rodzina została ściągnięta z:"
"source_downloaded_from";"To źródło zostało ściągnięte z:"
"connections";"Znaleziono powiązania z miejscem"
"top_level";"Najwyższy Poziom"
"form";"Miejsca są wpisane w formie: "
"default_form";"Miasto, Powiat/Gmina, Województwo/Stan, Kraj"
"default_form_info";"(Domyślnie)"
"gedcom_form_info";"(GEDCOM)"
"unknown";"Nieznane"
"individuals";"Osób"
"view_records_in_place";"Zobacz wszystkie rekordy dotyczące tego miejsca"
"place_list2";"Lista miejsc"
"show_place_list";"Pokaż wszystkie miejsca z listy"
"total_unic_places";"Wszystkich unikalnych miejsc"
"multi_title";"Lista obiektów multimedialnych"
"media_found";"Znaleziono obiekty multimedialne"
"view_person";"Zobacz osobę"
"view_family";"Zobacz rodzinę"
"view_source";"Zobacz źródło"
"prev";"< Poprzednia"
"next";"Następna >"
"file_not_found";"Plik nie znaleziony."
"medialist_show";"Pokaż"
"per_page";"obiektów medialnych na stronę"
"add_directory";"Dodaj Katalog"
"show_thumbnail";"Pokaż miniaturki"
"image_size";"Wymiary Obrazka"
"no_thumb_dir";"Katalog miniaturek nie istnieje i nie można go utworzyć"
"manage_media";"Zarządzaj mediami"
"gen_thumb";"Wygeneruj miniaturkę"
"move_to";"Przenieś do -->"
"security_no_create";"Ostrzeżenie: Plik <b><i>index.php</i></b> nie istnieje w"
"illegal_chars";"Niedozwolone znaki w nazwisku"
"invalid_id";"Nie istnieje takie id w pilku GEDCOM"
"upload_file";"Załaduj plik z twojego komputera"
"thumb_genned";"Mianiturka automatycznie wygenerowana."
"thumbgen_error";"Nie można wygenerować miniaturki dla"
"generate_thumbnail";"Wygeneruj miniaturkę automatycznie z "
"no_upload";"Ładowanie plików multimedialnych jest niedozwolone ponieważ opcja ta została wyłączona albo katalog z plikami multimedialnymi jest ustawiony na "Tylko do odczytu"."
"upload_media";"Wyślij pliki multimedialne"
"media_file";"Plik multimedialny"
"thumbnail";"Miniaturka"
"upload_successful";"Wysyłanie zakończone sukcesem"
"search_gedcom";"Przeszukaj plik GEDCOM"
"enter_terms";"Wpisz szukane wyrażenia"
"soundex_search";"Poszukiwanie wg Soundex:"
"sources";"ŹRÓDŁA"
"firstname_search";"Imię "
"lastname_search";"Nazwisko "
"search_place";"Miejsce "
"search_year";"Rok "
"no_results";"Nic nie znaleziono."
"invalid_search_input";"Wprowadź imię, nazwisko lub miejsce \n\t w danym roku"
"sources_found";"Znaleziono źródła"
"titles_found";"Tytuł"
"find_source";"Znajdź Źrodło"
"source_info";"Informacje o źródłach"
"other_records";"Inne dane powiązane z tym źródłem:"
"people";"OSOBY"
"families";"RODZINY"
"total_sources";"ŹRÓDŁA"
"building_indi";"Budowanie indeksu osób i rodzin"
"building_index";"Budowanie list indeksów"
"invalid_gedformat";"Nieprawidłowy format GEDCOM 5.5"
"importing_records";"Importowanie rekordów do bazy danych"
"detected_change";"Genmod wykrył zmianę w pliku GEDCOM $GEDCOM. Pliki indeksowe muszą zostać przetworzone przed kontynuacją."
"please_be_patient";"PROSIMY O CIERPLIWOŚĆ"
"reading_file";"Odczytuję plik GEDCOM"
"flushing";"Usuwanie dotychczasowej zawartości"
"found_record";"Znaleziono dane"
"exec_time";"Całkowity czas wykonywania:"
"time_limit";"Limit czasu PHP:"
"unable_to_create_index";"Utworzenie indeksu nie było możliwe. Upewnij się, że zapis jest dozwolony w katalogu Genmod. Uprawnienia mogą być przywrócone gdy indeksy zostaną utworzone."
"indi_complete";"Aktualizacja indeksu osób została zakończona."
"family_complete";"Aktualizacja indeksu rodzin została zakończona."
"source_complete";"Aktualizacja Indeksu źródeł została zakończona."
"tables_exist";"Tabele Genmod już istnieją w bazie danych"
"you_may";"Możesz:"
"drop_tables";"Usunąć istniejące tabele"
"import_multiple";"Importować i pracować z wieloma GEDCOM-ami"
"explain_options";"Jeśli wybierzesz usuwanie istniejących tabel wszystkie dane zostaną zastąpione przez ten GEDCOM.<br />Jeśli wybierzesz import i pracę z wieloma GEDCOMami, Genmod usunie wszystkie dane importowane z wykorzystaniem gedcomu o tej samej nazwie co $GEDCOM. Ta opcja pozwala przechowywać dane z wielu GEDCOM'ow w tych samych tabelach i łatwo się między nimi przełączać."
"path_to_gedcom";"Wpisz ścieżkę do pliku GEDCOM:"
"dataset_exists";"Plik GEDCOM o takiej nazwie został juz raz zaimportowany do bazy danych."
"changes_present";"W tym pilku GEDCOM znajdują się zmiany czekające na zatwierdzenie. Jeżeli będziesz kontynuować import, wszystkie te zmiany zostaną automatycznie zatwierdzone i wpisane do bazy danych. Zalecane jest najpierw przejżeć wszystkie oczekujące zmiany przed importem pliku GEDCOM."
"empty_dataset";"Czy chcesz zaktualizować bazę danych?"
"index_complete";"Indeksowanie ukończone."
"click_here_to_go_to_pedigree_tree";"Kliknij tu by iść do drzewa genealogicznego."
"updating_is_dead";"Updating is dead status for INDI "
"import_complete";"Importowanie ukończone"
"updating_family_names";"Aktualizacja nazwisk rodzinnych dla FAM "
"processed_for";"Przetworzono plik dla "
"run_tools";"Czy chcesz uruchomić jedno z poniższych narzędzi zanim GEDCOM zostanie zaimportowany:"
"addmedia";"Narzędzie dodawania multimediów"
"dateconvert";"Narzędzie konwersji daty"
"xreftorin";"Konwersja identyfikatorów XREF do numerów RIN"
"tools_readme";"Więcej informacji znajdziesz w sekcji dotyczącej narzędzi w pliku #README.TXT#."
"sec";"sec."
"bytes_read";"Odczytano bajtów:"
"created_indis";"Utworzono tabelę <i>Osób</i>."
"created_indis_fail";"Błąd utworzenia tabeli <i>Osób/i>."
"created_fams";"Utworzono tabelę <i>Rodzin</i>."
"created_fams_fail";"Błąd utworzenia tabeli <i>Rodzin</i>."
"created_sources";"Utworzono tabelę <i>Źródeł</i>."
"created_sources_fail";"Błąd utworzenia tabeli <i>Źródeł</i>."
"created_other";"Utworzono tabelę <i>Innych</i>."
"created_other_fail";"Błąd utworzenia tabeli <i>Innych</i>."
"created_places";"Utworzono tabelę <i>Miejsc</i>."
"created_places_fail";"Błąd utworzenia tabeli <i>Miejsc</i>."
"import_progress";"Importowanie w toku..."
"total_fams";"Wszystkich rodzin"
"total_indis";"Wszystkich osób"
"starts_with";"Zaczyna się od:"
"person_list";"Lista osób:"
"paste_person";"Wklej osobę"
"notes_sources_media";"Notatki, Źródła, i Multimedia"
"notes";"Notatki"
"ssourcess";"Źródła"
"media";"Multimedia"
"name_contains";"Nazwa zawiera:"
"filter";"Filtr"
"find_individual";"Znajdź ID osoby"
"find_familyid";"Znajdź ID rodziny"
"find_sourceid";"Znajdź ID źródła"
"find_specialchar";"Znajdź znak specjalny"
"skip_surnames";"Pomiń listę nazwisk"
"show_surnames";"Pokaż listę nazwisk"
"all";"Wszystkie"
"hidden";"Ukryte"
"confidential";"Poufne dane"
"age";"Wiek"
"timeline_title";"Linia czasu Genmod"
"remove_person";"Usuń osobę"
"show_age";"Pokaż znacznik wieku"
"add_another";"Dodaj inną osobę do wykresu:<br />ID Osoby:"
"find_id";"Znajdź ID"
"show";"Pokaż"
"year";"Rok:"
"timeline_instructions";"W najnowszych przeglądarkach możesz przeciągać bloki po wykresie."
"zoom_in";"Powiększ"
"zoom_out";"Zmniejsz"
"select_an_option";"Wybierz opcje poniżej:"
"readme_documentation";"Dokumentacja README"
"configuration";"Konfiguracja"
"rebuild_indexes";"Przebuduj indeksy"
"user_admin";"Zarządzanie użytkownikami"
"inc_languages";"Języki"
"user_created";"Użytkownik stworzony pomyślnie."
"user_create_error";"Nie można dodać użytkownika.  Proszę się cofnąć i spróbować ponownie."
"password_mismatch";"Hasło nie pasuje."
"enter_username";"Musisz wpisać login."
"enter_fullname";"Musisz wpisać pełne imię i nazwisko."
"enter_password";"Musisz wpisać hasło."
"confirm_password";"Musisz potwierdzić hasło."
"update_user";"Uaktualnij użytkownika"
"update_myaccount";"Uaktualnij moje konto"
"save";"Zapisz"
"delete";"Skasuj"
"edit";"Edytuj"
"full_name";"Imię i nazwisko"
"visibleonline";"Widoczny dla innych użytkowników"
"editaccount";"Zezwól użytkownikowi na edycję konta"
"admin_gedcom";"Administrator GEDCOM"
"confirm_user_delete";"Czy na pewno chcesz usunąć tego użytkownika"
"create_user";"Utwórz użytkownika"
"no_login";"Błędny login lub hasło."
"import_gedcom";"Importuj tem plik GEDCOM"
"duplicate_username";"Zduplikowana nazwa użytkownika. Taka nazwa już istnieje, wróć i wybierz inną."
"gedcomid";"Identyfikator osoby w GEDCOMie"
"enter_gedcomid";"Musisz podać identyfikator GEDCOMu."
"user_info";"Informacje o użytkowniku"
"rootid";"Korzeń wykresu rodowego"
"download_gedcom";"Ściagnij GEDCOM"
"upload_gedcom";"Wyślij GEDCOM"
"add_new_gedcom";"Dodaj nowy GEDCOM"
"gedcom_file";"Plik GEDCOM:"
"enter_filename";"Musisz podać nazwę pliku GEDCOM."
"file_not_exists";"Podany plik nie istnieje."
"file_exists";"Istnieje już GEDCOM o tej nazwie pliku. Wybierz inną nazwę lub usuń stary plik."
"new_gedcom_title";"Dane genealogiczne z [#GEDCOMFILE#]"
"upload_error";"Wystąpił błąd podczas przesyłania pliku."
"add_gedcom_instructions";"Podaj nazwę pliku dla nowego GEDCOMu. Nowy plik zostanie utworzony w katalogu indeksowym: "
"file_success";"Plik został wysłany"
"file_too_big";"Plik przekracza dozwolony rozmiar"
"file_partial";"Plik wysłany jedynie częściowo, spróbuj ponownie"
"file_missing";"Plik nie został wysłany, spróbuj ponownie."
"manage_gedcoms";"Zarządzaj plikami GEDCOM"
"research_log";"Dziennik Badań"
"administration";"Administracja"
"ansi_to_utf8";"Skonwertuj zakodowany w ANSI plik do UTF-8?"
"utf8_to_ansi";"Czy chcesz skonwertować GEDCOM zakodowany w UTF-8 do ANSI (ISO-8859-1)?"
"user_manual";"Podręcznik użytkownika Genmod"
"upgrade";"Zaktualizuj Genmod/ResearchLog"
"view_logs";"Pokaż logi"
"logfile_content";"Zawartość logu"
"step1";"Krok 1 z 4:"
"step2";"Krok 2 z 4:"
"step3";"Krok 3 z 4:"
"step4";"Krok 4 z 4:"
"validate_gedcom";"Sprawdź poprawność GEDCOM-u"
"img_admin_settings";"Zmień konfigurację manipulacji obrazami"
"download_note";"UWAGA: Duże GEDCOMy potrzebują sporo czasu na przetworzenie przed ściągnięciem. Jeśli czas wykonywania skryptu PHP okaże się krótszy, możesz nie ściągnąć całości. Sprawdź czy ściągnięty plik zawiera linię 0 TRLR na końcu, co oznacza kompletność. Generalnie ściągnięcie może zająć tyle samo czasu co importowanie."
"gm_registry";"Zobacz inne strony korzystające z Genmod"
"verify_upload_instructions";"Jeżeli zdecydujesz się na kontynuację, stary plik gedcom zostanie zastąpiony nowym i zacznie się importowanie. Jeżeli przerwiesz, stary gedcom pozostanie niezmieniony."
"cancel_upload";"Przerwij wysyłanie"
"manage_media_files";"Zarządzaj plikami mediów"
"add_media_button";"Dodaj multimedia"
"phpinfo";"PHPInfo"
"admin_info";"Informacyjne"
"admin_site";"Strona administracyjna"
"person1";"Osoba 1"
"person2";"Osoba 2"
"no_link_found";"Nie znaleziono powiązań między tymi osobami."
"sibling";"Rodzeństwo"
"follow_spouse";"Sprawdź pokrewieństwo przez małżeństwo."
"timeout_error";"Czas wykonywania został przekroczony przez zakończeniem poszukiwań."
"son";"Syn"
"daughter";"Córka"
"brother";"Brat"
"sister";"Siostra"
"relationship_to_me";"Pokrewieństwo ze mną"
"rela_husb";"Pokrewieństwo z mężem"
"rela_wife";"Pokrewieństwo z żoną"
"next_path";"Pokaż następną ścieżkę"
"show_path";"Pokaż ścieżkę"
"line_up_generations";"Uporządkuj w linii te same pokolenia"
"oldest_top";"Pokaż starszych u góry"
"check_delete";"Czy na pewno chcesz usunąć tą informację z GEDCOM-u?"
"access_denied";"<b>Brak dostępu</b><br />Nie masz uprawnień dostępu do tych zasobów."
"gedrec_deleted";"Informaja z GEDCOMu została usunięta."
"gedcom_deleted";"GEDCOM [#GED#] został usunięty."
"changes_exist";"Ten GEDCOM został zmieniony."
"accept_changes";"Akceptuj / Odrzuć zmiany"
"edit_raw";"Edytuj plik GEDCOM"
"show_changes";"Te dane zostały zaktualizowane. Kliknij tutaj aby zobaczyć zmiany."
"hide_changes";"Kliknij aby ukryć zmiany."
"review_changes";"Przeglądnij zmiany w GEDCOM"
"undo";"Cofnij"
"view_change_diff";"Pokaż porównianie zmian"
"changes_occurred";"Następujące zmiany dokonano w informacjach o tej osobie:"
"find_place";"Znajdź miejsce"
"close_window";"Zamknij okno"
"close_window_without_refresh";"Zamknij okno bez odświeżania"
"place_contains";"Miejsce zawiera:"
"accept_gedcom";"Każdą zmnianę możesz zaakceptować lub odrzucić.<br />Aby zaakceptować wszystko na raz kliknij "Zaakceptuj wszystkie zmiany" poniżej.<br />Aby zobaczyć więcej informacji o zmianie, <br />kliknij "Pokaż porównianie zmian" co wyświetli różnice między starą i nową sytuacją, <br />lub kliknij "Zobacz rekord GEDCOM" aby zobaczyć nowe informacje w formacie GEDCOM."
"ged_import";"Importuj GEDCOM"
"now_import";"Teraz możesz zaimportować dane z GEDCOM-u do Genmod klikając na odnośnik poniżej."
"add_fact";"Dodaj nowy fakt"
"add";"Dodaj"
"custom_event";"Inne wydarzenie"
"update_successful";"Aktualizacja zakończona sukcesem"
"add_child";"Dodaj dziecko"
"add_child_to_family";"Dodaj dziecko do tej rodziny"
"add_sibling";"Dodaj brata lub siostrę"
