"select_an_option";"Gjør et valg under:"
"source_menu";"Valg for kilde"
"user_auto_accept";"Godta automatisk endringer gjort av denne brukeren"
"cancel";"Avbryt"
"change";"Endre"
"change_family_instr";"Bruk denne siden til å endre eller fjerne familiemedlemmer.<br /><br />For hvert medlem i familien kan du bruke valget Endre for å velge en annen person som skal ta denne rollen i familien.  Du kan også bruke valget Fjern for å fjerne denne personen fra familien.<br /><br />Når du er ferdig med å gjøre endringer for familiemedlemmene, klikker du på knappen Lagre for å lagre endringene.<br />"
"change_family_members";"Bytt medlemmer av familien"
"delete_family_confirm";"Dersom du sletter denne familien vil alle koblinger mellom familiemedlemmene også bli fjernet. Personene vil selvsagt <u>ikke</u> bli slettet !<br />Er du sikker på at du vil slette denne familien ?"
"delete_family";"Slett familie"
"add_favorite";"Legg til en ny favoritt"
"url";"URL"
"add_fav_enter_note";"Beskrivelse av denne favoritten (valgfritt)"
"add_fav_or_enter_url";"eller<br /"
"add_fav_enter_id";"Angi ID til en person, family eller kilde"
"import_time_exceeded";"Maks utføringstid for en handling er nådd !<br />- Klikk på knappen "Fortsett" for å gjenoppta importen av slektsfilen (som ny handling)."
"next_email_sent";"Neste påminnelse vil bli sendt med epost etter "
"last_email_sent";"Sist e påminnelse med epost ble sendt "
"confirm_remove";"Er du sikker på at du vil fjerne koblingen til familien for denne personen?"
"remove_child";"Fjerne koblingen til familien for dette barnet"
"link_new_husb";"Legg til en ektemann/partner ved å bruke en registrert person"
"link_new_wife";"Legg til en hustru/partner ved å bruke en registrert person"
"address_labels";"Adresse-etiketter"
"filter_address";"Vis adresser som inneholder:"
"address_list";"Adresseliste"
"autocomplete";"Auto-fullfør"
"reject_all_confirm";"Er du sikker på at du ikke vil godkjenne alle endringene vist her?"
"reject_all";"Avslå alle endringer"
"index_edit_advice";"Merk navnet til en ramme og klikk på en av pilene for å flytte rammen i ønket retning."
"importing_dates";"Importerer dato-data"
"changelog";"Endringer i versjon #VERSION#"
"view_changelog";"Vis filen changelog.txt"
"html_block_descr";"Dette er en enkel ramme som du kan legge på siden din for å vise en beskjed (i HTML-format)."
"num_to_show";"Antall deler som skal vises"
"days_to_show";"Antall dager som skal vises"
"before_or_after";"Plasser antall før eller etter navn?"
"before";"før"
"after";"etter"
"pls_note12";"Bruk dette feltet for å beskrive hvorfor du ber om å få en konto på dette nettstedet og hvordan du eventuelt er knyttet til noen i slektsbasen."
"enter_comments";"Vennligst angi slektskapet ditt til noen i slektsbasen i feltet Kommentarer."
"comments";"Kommentarer"
"none";"Ingen"
"ahnentafel_report";"Forfedre"
"child-family";"Foreldre og søsken"
"spouse-family";"Ektefelle og barn"
"direct-ancestors";"Forfedre i direkte linje"
"ancestors";"Forfedre i direkte linje og deres familier"
"descendants";"Etterkommere"
"choose_relatives";"Velg slektninger"
"relatives_report";"Slektninger"
"total_living";"Antall levende"
"total_dead";"Antall døde"
"total_not_born";"Antall ikke født enda"
"remove_custom_tags";"Fjerne fakta-koder laget av Genmod? (f.eks. _GMU, _THUM)"
"download_zipped";"Laste ned (download) slektsfilen (GEDCOM-format) komprimert i en ZIP-fil?"
"remember_me";"Huske meg?"
"add_unlinked_person";"Legg til en person som ikke er knyttet til en familie"
"fams_with_surname";"Familier med etternavnet #surname#"
"genealogy_contact";"Slektsspørsmål"
"continue_import";"Fortsett å importere steder"
"importing_places";"Importerer steder"
"common_upload_errors";"Denne feilen skyldes sannsynligvis at filen som du prøvde å hente (upload) var for stor i forhold til grenser satt av verten til serveren.  Standard grense i PHP er 2MB.  Du kan prøve å kontakte eierene av serveren for å få dem til å heve denne grensen som er er angitt i filen php.ini, eller så kan du laste opp (upload) filen ved hjelp av FTP.  Bruk siden <a href="uploadgedcom.php?action=add_form"><b>Legg til slektsfil</b></a> for å legge til en slektsfil som du har lastet opp ved hjelp av FTP."
"total_memory_usage";"Totalt bruk av minne:"
"mothers_family_with";"Familien til mor til "
"fathers_family_with";"Familien til far til "
"halfsibling";"Halvsøken"
"halfbrother";"Halvbror"
"halfsister";"Halvsøster"
"family_timeline";"Vis familie på en tidslinje"
"children_timeline";"Vis barn på en tidslinje"
"other";"Annet"
"sort_by_marriage";"Sortert på dato for ekteskap"
"reorder_families";"Vis familier i annen rekkefølge"
"indis_with_surname";"Personer med etternavnet #surname#"
"first_letter_fname";"På grunn av antall - velg i indeks for fornavn:"
"import_marr_names";"Importere Navn som gift"
"marr_name_import_instr";"Du må BARE klikk på knappen under dersom du ønsker at Genmod skal kopiere etternavnet til ektemannen som Navn som gift for ektefellen i denne slektsbasen.  Dette vil gi deg mulighet til å søke og vise hustruer med etternavnet som gift."
"calc_marr_names";"Kopierer ektemennenes navn"
"total_names";"Antall navn"
"top10_pageviews_nohits";"Det er ingen treff for denne siden."
"top10_pageviews_msg";"Telleren må aktiveres i konfigurasjonen for slektsfilen for at denne rammen skal virke."
"review_changes_descr";"Rammen Endringer på vent, vil gi brukere med rett til å endre opplysninger online, en mulighet til å se en endringsliste før disse er blitt godkjent.  Disse endringen kan enten bli godkjent eller forkastet.<br /><br />Dersom denne rammen er aktiv, vil brukere med rettighet til å godkjenne motta en e-post daglig som en påminning om å sjekke endringer."
"review_changes_email";"Sende påminnelse med epost?"
"review_changes_email_freq";"Hvor ofte skal påminnelser sendes (dager)"
"review_changes_subject";"Genmod - Vis endringer"
"review_changes_body";"Endringer i slektsbasen er blitt gjort online.  Disse endringene må sjekkes og eventuelt godkjennes før de kan vises for alle brukere.  Vennligst bruk adressen (URL) under for å gå til Genmod på nettet for å se endringene (du må oppgi brukernavn og passord)."
"show_spouses";"Vis ektefeller"
"quick_update_title";"Hurtig-oppdatering"
"quick_update_instructions";"Denne siden gir deg mulighet til å foreta en hurtig-oppdatering av informasjon til en person.  Du trenger bare å fylle ut informasjon som er ny eller som skal endres.  Etter at endringene har blitt sendt, må de sjekks av en bruker med rett til å godkjenne før de blir vist for andre brukere."
"update_name";"Oppdater navn"
"update_fact";"Oppdater en faktaopplysning"
"update_fact_restricted";"Oppdatering av denne er begrenset:"
"update_photo";"Oppdater bilde"
"photo_replace";"Ønsker du å erstatte et eldre bilde med dette?"
"select_fact";"Velg en faktaopplysning..."
"update_address";"Oppdater adresse"
"add_new_chil";"Legg til et nytt barn"
"top10_pageviews_descr";"Denne rammen vil vise de 10 mest viste personen/familiene.  Denne rammen krever at telleren er aktivert i innstillingene for konfigurasjonen for slektsfilen."
"top10_pageviews_block";"Rammen Vist flest ganger"
"user_default_tab";"Arkfanen som skal vises som standard på faktasiden til personer"
"stepfamily";"Ste-familie"
"stepdad";"Stefar"
"stepmom";"Stemor"
"stepsister";"Stesøster"
"stepbrother";"Stebror"
"max_upload_size";"Maks størrelse for opplasting: "
"edit_fam";"Endre familie"
"fams_charts";"Valg for denne familien"
"sort_by_birth";"Sorter på fødselsdato"
"reorder_children";"Vis barn i annen rekkefølge"
"add_from_clipboard";"Legg til fra klippebordet: "
"record_copied";"Data er kopiert til klippebordet"
"copy";"Kopier"
"cut";"Klipp ut"
"indis_charts";"Valg for denne personen"
"edit_indi";"Endre person"
"locked";"Ikke gjør endringer"
"privacy";"Personvern"
"number_sign";"#"
"qm";"<i>?</i>"
"qm_ah";"<i>?</i>"
"gedcom_stats_block";"Rammen Statistikk for slektsbasen"
"sorry";"<b>Beklager, men vi er ikke ferdig med hjelpeteksten for denne siden eller delen enda...</b>"
"var_not_exist";"<span style=font-weight: bold>Kan ikke finne noen hjelpetekst.<br />Vennligst gi oss en melding om dette på <a href="http://sourceforge.net/tracker/?group_id=55456&atid=477079" target="_blank" />internettsiden</a> vår.</span>"
"resolution";"Skjermoppløsning"
"menu";"Meny"
"header";"Toppfelt"
"imageview";"Bildeframviser"
"login_head";"Genmod innlogging for brukere"
"error_title";"FEIL: Kan ikke åpne slektsfilen"
"error_header";"Slektsfilen [#GEDCOM#], finnes ikke på det angitte stedet."
"error_header_write";"Slektsfilen [#GEDCOM#], er ikke skrivbar. Sjekk attributter og tilgangsrettigheter."
"for_support";"For teknisk hjelp og informasjon, kontakt"
"for_contact";"For hjelp med slektsspørsmål, kontakt"
"for_all_contact";"For teknisk hjelp og slektsspørsmål, kontakt"
"build_title";"Bygger opp indeksfiler"
"build_error";"Slektsfil har blitt oppdatert."
"please_wait";"Vent litt - Bygger opp Indeksfilene på nytt."
"choose_gedcom";"Velg en slektsfil"
"username";"Brukernavn"
"invalid_username";"Brukernavnet inneholder ugyldige tegn"
"firstname";"Fornavn"
"lastname";"Etternavn"
"password";"Passord"
"confirm";"Bekreft passord"
"user_contact_method";"Ønsket kontaktmetode"
"login_aut";"Endre bruker"
"logout";"Logg ut"
"admin";"Admin"
"logged_in_as";"Logget inn som "
"my_pedigree";"Mitt anetre"
"my_indi";"Meg selv"
"yes";"Ja"
"no";"Nei"
"add_gedcom";"Legg til en slektsfil"
"change_theme";"Bytt stil"
"gedcom_downloadable";"<br />Besøkende på nettstedet ditt kan laste ned (download) denne slektsfilen!<br />Les mer om dette i filen <a href="readme.txt">readme.txt</a> i avsnittet 12. SIKKERHET / PERSONVERN<br />for å finne en løsning på dette."
"index_header";"Anetre"
"gen_ped_chart";"Anetre - #PEDIGREE_GENERATIONS# slektsledd"
"generations";"Slektsledd&nbsp;"
"view";"Vis"
"fam_spouse";"Familie med partner"
"root_person";"ID til startperson&nbsp;"
"hide_details";"Skjul detaljer"
"show_details";"Vis detaljer"
"person_links";"Linker til diagram, familie(r), og nære slektninger til denne personen. - Klikk her for å vise denne personen som startperson i diagrammet."
"zoom_box";"Zoom denne boksen inn/ut"
"orientation";"Retning"
"portrait";"Stående tre"
"landscape";"Liggende tre"
"start_at_parents";"Start med foreldrene"
"max_generation";"Du kan vise maks #PEDIGREE_GENERATIONS# slektsledd!"
"min_generation";"Du må vise minst 3 slektsledd!"
"box_width";"Boksbredde"
"family_not_found";"Fant ikke familie"
"husb_present";"Denne familien har allerede en tilknyttet ektemann."
"wife_present";"Denne familien har allerede en tilknyttet hustru."
"family_exists";"Denne familien finnes fra før."
"unable_to_find_family";"Kan ikke finne familien med id "
"unable_to_find_indi";"Kan ikke finne personen med id "
"unable_to_find_record";"Kan ikke finne oppføringen med id "
"unable_to_find_source";"Kan ikke finne kilden med id "
"unable_to_find_repo";"Kan ikke finne oppbevaringssted med id "
"repo_name";"Navn på oppbevaringssted:"
"address";"Adresse:"
"phone";"Tlf:"
"source_name";"Kildenavn:"
"title";"Tittel:"
"author";"Forfatter:"
"publication";"Publikasjon:"
"call_number";"Arkivnr./ISBN/ISSN:"
"living";"Lever"
"private";"Privat"
"birth";"Født:"
"death";"Død:"
"newfact";"Ny faktaopplysning"
"edit_quickupdate";"Hurtigoppdatering"
"delete_fact";"Slett faktaopplysning"
"edit_fact";"Rediger faktaopplysning"
"place_list_aft";"Stedsnavn etter"
"not_an_array";"Ikke en tabell"
"print_preview";"Utskrifts-vennlig utgave"
"cancel_preview";"Tilbake til vanlig visning"
"change_lang";"Velg språk (Language)"
"print";"Skriv ut"
"total_queries";"Antall søk i databasen:"
"total_privacy_checks";"- Antall kontroller av personvern: "
"back";"Tilbake"
"privacy_list_indi_error";"Av hensyn til personvern, er en eller flere personer skjult."
"privacy_list_fam_error";"Av hensyn til personvern, er en eller flere familier skjult."
"aka";"Også kjent som"
"male";"Mann"
"female";"Kvinne"
"temple";"Mormoner-tempel"
"temple_code";"Mormoner-tempel-kode:"
"status";"Status"
"source";"Kilde"
"citation";"Henvisning:"
"text";"Kildetekst:"
"note";"Note"
"unrecognized_code";"Ukjent kode i slektsfilen"
"unrecognized_code_msg";"Dette er en feil som vi ønsker å rette på. Vennligst rapporter denne feilen til"
"indi_info";"Person-opplysninger"
"individual";"Person"
"family";"Familie"
"family_with";"Familie med"
"as_spouse";"Familie med ektefelle/partner"
"as_child";"Familie med foreldre"
"view_gedcom";"Vis opplysningene i slektsfilen"
"add_to_cart";"Legg i utklippsmappen"
"still_living_error";"Personen lever fremdeles eller har ikke noen datoer for fødsel eller dødsfall. Alle opplysninger om levende personer er skjult for offentligheten.<br />For ytterligere informasjon kontakt"
"privacy_error";"Opplysninger om denne personen er privat.<br />"
"more_information";"For mer informasjon, kontakt"
"name";"Navn"
"given_name";"Fornavn:"
"surname";"Etternavn:"
"suffix";"Suffiks:"
"object_note";"Note for objekt:"
"sex";"Kjønn"
"personal_facts";"Fakta og detaljer om personen"
"type";"Type"
"date";"Dato"
"place_description";"Sted / Beskrivelse"
"parents";"Foreldre:"
"siblings";"Søsken"
"father";"Far"
"mother";"Mor"
"parent";"Far eller mor"
"relatives";"Nære slektninger"
"relatives_events";"Hendelser til nære slektninger"
"child";"Barn"
"spouse";"Ektefelle/partner"
"surnames";"Etternavn"
"adopted";"Adoptert"
"foster";"Fosterbarn"
"sealing";"Kobling"
"challenged";"Innsigelser"
"disproved";"Motbevist"
"infant";"Spedbarn"
"stillborn";"Ufødt"
"deceased";"Døde"
"link_as_child";"Koble denne personen til en eksisterende familie som et barn"
"link_as_wife";"Koble denne personen til en eksisterende familie som en hustru"
"link_as_husband";"Koble denne personen til en eksisterende familie som en ektemann"
"no_tab1";"Det er ikke noen fakta / opplysninger om denne personen."
"no_tab2";"Det er ikke noen noter for denne personen."
"no_tab3";"Det er ikke noen kilder knyttet til denne personen."
"no_tab4";"Det er ikke noen bilder eller andre medier knyttet til denne personen."
"no_tab5";"Det er ikke noen nære slektninger knyttet til denne personen."
"no_tab6";"Det er ikke noen forsker-logg knyttet til denne personen."
"family_info";"Familie-opplysninger"
"family_group_info";"Familie-opplysninger"
"husband";"Ektemann"
"wife";"Hustru"
"marriage";"Bryllup:"
"lds_sealing";"Mormoner kobling:"
"marriage_license";"Ekteskapsattest:"
"media_object";"Bilder eller andre medier:"
"children";"Barn"
"no_children";"<i>Ingen registerte barn</i>"
"number_children";"Antall barn: "
"parents_timeline";"Vis partnere på en tidslinje"
"clip_cart";"Utklippsmappe"
"clip_explaination";"Utklippsmappen gir deg muligheten til å "klippe ut" deler av dette slektstreet og samle utklippene i en ny slektsfil (GEDCOM-format), som kan lastes ned (download).<br /><br />"
"item_with_id";"Objekt med id"
"error_already";"finnes fra før i utklippsmappen."
"which_links";"Merk av hvilke opplysninger du ønsker å kopiere fra den valgte familien."
"just_family";"Bare familien alene."
"parents_and_family";"Familien og foreldre."
"parents_and_child";"Familien, foreldre og barn."
"parents_desc";"Familien, foreldre og alle etterkommere."
"continue";"Neste skritt..."
"which_p_links";"Merk av hvilke opplysninger du ønsker å kopiere fra den valgte personen."
"just_person";"Bare personen alene."
"person_parents_sibs";"Personen, foreldre og søsken."
"person_ancestors";"Personen og slektninger i direkte linje."
"person_ancestor_fams";"Personen og slektninger i direkte linje med deres familier."
"person_spouse";"Personen, samt ektefelle/partner og barn."
"person_desc";"Personen, ektefelle/partner, og alle etterkommere."
"unable_to_open";"Kan ikke kopiere til utklippsmappen"
"person_living";"Denne personen lever fortsatt. Personlige data vises derfor ikke."
"person_private";"Data for denne personen er private. Personlige data vises derfor ikke."
"family_private";"Data for denne familien er private. Familiære data vises derfor ikke."
"download";"Høyreklikk (control-click på Mac) på linken under og Velg "Lagre som" for å laste ned (download) filene."
"media_files";"Bilder eller medie-filer som er knyttet til denne slektsbasen"
"cart_is_empty";"<b>Utklippsmappen din er tom!</b>"
"id";"ID"
"name_description";"Navn / beskrivelse"
"remove";"Fjern"
"empty_cart";"Fjern alt i mappen"
"download_now";"Laste ned (download) nå"
"indi_downloaded_from";"Denne personen er hentet fra:"
"family_downloaded_from";"Denne familien er hentet fra:"
"source_downloaded_from";"Denne kilden er hentet fra:"
"connections";"stedsnavn som inneholder"
"top_level";"Lands-/toppnivå"
"form";"Stedsnavn lagret som: "
"default_form";"Grend/bydel, sted/by, kommune/sogn, fylke/region, land"
"default_form_info";"(Standard)"
"gedcom_form_info";"(GEDCOM-format)"
"unknown";"Ukjent"
"individuals";"Personer"
"view_records_in_place";"Vis alle personer / familier knyttet til stedet "
"place_list2";"Alle stedsnavn"
"show_place_hierarchy";"Vis stedsnavn etter nivå"
"show_place_list";"Vis alle stedsnavn"
"total_unic_places";"Antall unike steder"
"multi_title";"Bilder eller andre medier"
"media_found";"bilder / medier funnet"
"view_person";"Vis person"
"view_family";"Vis familie"
"view_source";"Vis kilde"
"prev";"< Forrige"
"next";"Neste >"
"file_not_found";"Fant ikke filen."
"file_empty";"Angi et filnavn."
"medialist_show";"Vis"
"per_page";"bilder / medier pr. side"
"delete_directory";"Slett mappe"
"delete_file";"Slett fil"
"confirm_delete_file";"Er du sikker på at du vil slette denne filen?"
"directory_not_empty";"Mappen er ikke tom."
"directory_not_exist";"Mappen finnes ikke."
"media_not_deleted";"Media-mappen ble ikke slettet."
"media_deleted";"Media-mappen er nå slettet."
"thumbs_not_deleted";"Mappen for minityrbildene ble ikke slettet."
"thumbs_deleted";"Mappen for minityrbildene er nå slettet."
"delete_dir_success";"Mappene for media og minityrbilder er nå slettet."
"current_dir";"Nåværende mappe: "
"add_directory";"Opprett mappe/katalog"
"show_thumbnail";"Vis miniatyrbilde(r)"
"image_format";"Bilde-filtype"
"media_format";"Media-filtype"
"image_size";"Bilde-størrelser"
"media_file_size";"Media-størrelse"
"no_thumb_dir";"mappen/katalogen for miniatyrbilde(r) finnes ikke og den kunne heller ikke opprettes."
"manage_media";"Behandling av bilder"
"gen_thumb";"Lag miniatyrbilde(r)"
"move_to";"Flytt til"
"security_no_create";"Sikkerhetsadvarsel: Filen <b><i>index.php</i></b> finnes ikke i "
"security_not_exist";"Sikkerhetsadvarsel: Klarte ikke å lage filen <b><i>index.php</i></b> i "
"illegal_chars";"Ugyldige tegn i navn"
"link_media";"Kobling av Media"
"to_person";"Til person"
"to_family";"Til familie"
"to_source";"Til kilde"
"media_id";"Media ID"
"invalid_id";"Ukjent ID i denne slektsbasen."
"media_exists";"Media-fil finnes fra før."
"media_thumb_exists";"Media-miniatyrbilde finnes fra før."
"move_file_success";"Media- og miniatyrbilde-filer er nå flyttet."
"media_folder_corrupt";"Det er en feil med mediamappen."
"max_media_depth";"Du kan bare bruke #MEDIA_DIRECTORY_LEVELS# mappe-nivåer"
"upload_file";"Hent (upload) fil fra datamaskinen din"
"thumb_genned";"Miniatyrbilde(r) er lagd automatisk."
"thumbgen_error";"Klarte ikke å lage miniatyrbilde(r) for "
"generate_thumbnail";"Lag miniatyrbilde(r) automatisk fra "
"no_upload";"Klarte ikke å laste opp (upload) mediafiler fordi multi-media-filer ikke er aktivert eller fordi mediamappen/-katalogen ikke har skriverettighet."
"upload";"Hent (upload)"
"upload_media";"Hent (upload) bilde- / mediefiler"
"folder";"Mappe"
"media_file";"Medie-fil"
"thumbnail";"Miniatyrbilde(r)"
"upload_successful";"Overføring (upload) er utført"
"media_file_deleted";"Media-fil er nå slettet."
"media_file_not_deleted";"Klarte ikke å slette media-fil."
"thumbnail_deleted";"Miniatyrbilde-fil er nå slettet."
"thumbnail_not_deleted";"Klarte ikke å slette miniatyrbilde-fil."
"media_record_deleted";"Media-oppføringen #xref# og tilhørende koblinger er nå fjernet fra slektsbasen."
"media_record_not_deleted";"Klarte ikke å fjerne media-oppføringen #xref# og tilhørende koblinger fra slektsbasen."
"record_updated";"Oppføringen #pid# er nå oppdatert."
"record_not_updated";"Klarte ikke å oppdatere oppføringen #pid#."
"record_removed";"Oppføringen #xref# er nå fjernet fra slektsfilen."
"record_not_removed";"Klarte ikke å fjerne oppføringen #xref# i slektsfilen."
"search_gedcom";"Søke i slektsfilen"
"enter_terms";"Skriv inn søkeord"
"soundex_search";"Søk slik du <i>tror</i> navnet er skrevet"
"sources";"Kilder"
"firstname_search";"Fornavn"
"lastname_search";"Etternavn"
"search_place";"Stedsnavn"
"search_year";"År"
"no_results";"Fant ingen..."
"invalid_search_input";"Vennligst angi fornavn, etternavn eller stedsnavn \n\t i tillegg til år"
"search_options";"Valg for søket"
"search_geds";"Slektsbase det skal søkes i"
"search_type";"Søkemetode"
"search_inrecs";"Søk etter"
"search_fams";"Familier"
"search_indis";"Personer"
"search_sources";"Kilder"
"search_more_chars";"Du må søke etter mer enn bare en bokstav"
"search_soundextype";"Metode"
"search_russell";"Russell"
"search_DM";"Daitch-Mokotoff"
"search_prtnames";"Vise"
"search_prthit";"Navn med antall treff"
"search_prtall";"Alle navn"
"search_tagfilter";"Begrensning"
"search_tagfon";"Utelat enkelte ikke-tilknyttede slektsdata"
"search_tagfoff";"Av"
"associate";"tilknyttede"
"search_asso_label";"Vise i tillegg"
"search_asso_text";"Beslektede personer / familier"
"search_sorton";"Sorter resultatet på"
"sources_found";"kilder funnet"
"titles_found";"Titler"
"find_source";"Finn kilde"
"repo";"Oppbevaringssted"
"repos_found";"oppbevaringssteder funnet"
"find_repository";"Finn oppbevaringssted"
"total_repositories";"Antall oppbevaringssteder"
"repo_info";"Informasjon om oppbevaringssted"
"delete_repo";"Slett oppbevaringssted"
"other_repo_records";"Kilder som er knyttet til dette oppbevaringsstedet:"
"create_repository";"Opprett nytt oppbevaringssted"
"new_repo_created";"Nytt oppbevaringssted er opprettet"
"paste_rid_into_field";"Lim inn følgende ID for oppbevaringsstedet til aktuelle koblings-feltet for ulike kilder: "
"confirm_delete_repo";"Er du sikker på at du vil slette dette oppbevaringsstedet fra slektsbasen?"
"source_info";"Informasjon om kilde"
"other_records";"Navn som er knyttet til denne kilden:"
"people";"Personer"
"families";"Familier"
"total_sources";"Antall kilder"
"building_indi";"Lager person- og familie-indeks"
"building_index";"Lager indekslister"
"invalid_gedformat";"Ugyldig GEDCOM 5.5 format"
"importing_records";"Importerer slektsdatene til slektsbasen"
"detected_change";"Genmod har oppdaget en endring i slektsfilen #GEDCOM#. Indeksfiler må bygges opp igjen før du kan fortsette."
"please_be_patient";"Vennligst VENT..."
"reading_file";"Leser slektsfilen"
"flushing";"Henter ut data"
"found_record";"dataposter funnet"
"exec_time";"Utføringstid:"
"time_limit";"PHP tidsbegrensning"
"unable_to_create_index";"<b>Indeksfil kan ikke opprettes.</b><br />Sørg for nødvendige skrive-tillatelser i Genmod mappen (index).<br />Skrivebeskyttelsen kan evt. etableres igjen når indeksfilene er opprettet."
"indi_complete";"Oppdatering av personindeksfilen er ferdig."
"family_complete";"Oppdatering av familieindeksfilen er ferdig."
"source_complete";"Oppdatering av kildeindeksfilen er ferdig."
"tables_exist";"Genmod tabeller finnes allerede i databasen"
"you_may";"Du kan:"
"drop_tables";"Fjerne eksisterende tabeller"
"import_multiple";"Importere og arbeide med flere slektsfiler"
"explain_options";"Hvis du velger å fjerne tabellene, vil alle data bli hentet fra denne slektsfilen.<br />Hvis du velger å importere og arbeide med flere slektsfiler samtidig, vil Genmod slette alle data som ble importert fra slektsfil(er) med samme navn. Dette valget gjør det mulig å legge flere slekts-datasett i samme tabell og lett skifte mellom dem.<br /><br /><b>NB! Systemet ser forskjell på store og små bokstaver i filnavn.</b>  Det betyr at <b>Test.GED</b> <u>ikke</u> er den samme filen som <b>test.ged</b>."
"path_to_gedcom";"Angi stien til slektsfilen din:"
"dataset_exists";"Det er allerede importert en slektsfil i databasen med navnet "
"changes_present";"Denne slektsbasen har endringer på vent.  Dersom du fortsetter denne importen, vil disse endringene bli lagt til databasen uten at du at du får godkjent dem først.  Du BØR se gjennom endringene før du fortsetter importen!"
"empty_dataset";"Vil du tømme den nåværende slektsbasen og legge data inn på nytt?"
"index_complete";"Indeksering ferdig."
"click_here_to_go_to_pedigree_tree";"Klikk her for å gå til slektstreet."
"updating_is_dead";"Oppdaterer statusen "Er død" for personer"
"import_complete";"Import ferdig"
