"stat_sources";"Источников,"
"families";"СЕМЬИ"
"total_sources";"Общие источники"
"building_indi";"Создание индексных файлов лиц и семей"
"building_index";"Создание индексных файлов"
"invalid_gedformat";"Неправильный формат GEDCOM 5.5"
"importing_records";"Добавить записи в базу данных"
"detected_change";"Программа Genmod обнаружила изменения в файле GEDCOM $GEDCOM. Индексные файлы должны быть обновлены."
"please_be_patient";"МИНУТУ ТЕРПЕНИЯ, ПОЖАЛУЙСТА!"
"reading_file";"Считывание файла GEDCOM"
"flushing";"Стирание оглавления"
"found_record";"Найдено записей"
"exec_time";"Общее время исполнения:"
"time_limit";"Лимитное время PHP:"
"unable_to_create_index";"Невозможно создать индексный файл. Задайте разрешение на запись для оглавления GenmodDirectory. Запрет может быть восстановлен после записи индексных файлов."
"indi_complete";"Создание индексного файла Лиц завершено."
"family_complete";"Создание индексного файла Семей завершено."
"source_complete";"Создание индексного файла Источников завершено."
"tables_exist";"Genmod таблицы уже находятся в базе данных"
"you_may";"Вы можете:"
"drop_tables";"Расширить существующие таблицы"
"import_multiple";"работать с несколькими GEDCOMs файлами"
"explain_options";"Если Вы будете работать с новым GEDCOM файлом, то вся информация в таблицах будет замещена этим GEDCOM файлом. <br />Если вы будете работать с несколькими GEDCOM файлами, то Genmod будет удалять все данные, которые имеют такие же имена GEDCOM файлов. Это действие делает возможным иметь несколько GEDCOM файлов в одних и тех же таблицах и просто заменять данные в таблицах. "
"path_to_gedcom";"Укажите путь, где находится Ваш GEDCOM файл:"
"dataset_exists";"GEDCOM файл с таким именем уже находится в базе данных."
"empty_dataset";"Вы хотите очистить базу данных?"
"index_complete";"Индексация завершена."
"click_here_to_go_to_pedigree_tree";"Кликните здесь если вы хотите идти на восходящее дерево."
"updating_is_dead";"Изменить информацию о кончине для персоны INDI"
"import_complete";"Импорт готов"
"updating_family_names";"Доработать фамилии для FAM"
"processed_for";"Файл обработан для"
"run_tools";"Вы хотите экспортировать следующие программы до того как импортируете GEDCOM файл:"
"addmedia";"Ввести медиа-инструменты (фото/аудио/видио)"
"dateconvert";"Программа преобразования данных"
"xreftorin";"Преобразовать XREF ID' в RIN номер"
"tools_readme";"Более полная информация находится в файле #README.TXT#, путь "tools-section"."
"sec";"сек."
"bytes_read";"Прочтено байт:"
"created_indis";"Таблица <i>Individuals</i> успешно создана."
"created_indis_fail";"Невозможно создать таблицу <i>Individuals</i>."
"created_fams";"Таблица <i>Families</i> успешно создана."
"created_fams_fail";"Невозможно создать таблицу <i>Families</i>."
"created_sources";"Таблица <i>Sources</i> успешно создана."
"created_sources_fail";"Невозможно создать таблицу <i>Sources</i>."
"created_other";"Таблица <i>Other</i> успешно создана."
"created_other_fail";"Невозможно создать таблицу <i>Other</i>."
"created_places";"Таблица <i>Places</i> успешно создана."
"created_places_fail";"Невозможно создать таблицу <i>Places</i>."
"import_progress";"Прогресс импорта..."
"total_fams";"семей всего"
"total_indis";"лиц всего"
"starts_with";"Начинается на:"
"person_list";"Список лиц:"
"paste_person";"Добавить лицо"
"notes_sources_media";"Примечания, источники и мульмедия (фото/аудио/видео)"
"notes";"Заметки"
"ssourcess";"Источники"
"media";"Медиа"
"name_contains";"Имя состоит из:"
"filter";"Фильтр"
"find_individual";"Искать лицо с номером ID"
"find_familyid";"Найти Id семьи"
"find_sourceid";"Искать ID-источник"
"skip_surnames";"Пропустить лист списока фамилий"
"show_surnames";"Показать список фамилий"
"all";"ВСЕ"
"hidden";"Скрытый"
"confidential";"Конфиденциально"
"age";"Возраст: "
"timeline_title";"Временная ось Genmod"
"remove_person";"Удалить персону"
"show_age";"Включить указатель возраста"
"add_another";"Добавить еще одно лицо<br />Идентификационный номер:"
"find_id";"Найти идент. номер"
"show";"Показать"
"year";"Год: "
"timeline_instructions";"В последних версиях браузеров можно двигать этикетки у оси мышью."
"zoom_in";"Расширить информацию<br />"
"zoom_out";"Сжать информацию"
"select_an_option";"Выбор опции:"
"readme_documentation";"Документация README"
"configuration";"Инсталлирование"
"rebuild_indexes";"Индексировать заново"
"user_admin";"Управление пользователями"
"inc_languages";"Языки:"
"user_created";"Пользователь создан."
"user_create_error";"Новый пользователь не создан. Попробуйте еще раз."
"password_mismatch";"Разные пароли."
"enter_username";"Введите имя пользователя."
"enter_fullname";"Введите полное имя."
"enter_password";"Введите пароль."
"confirm_password";"Введите пароль два раза."
"update_user";"Применить к пользователю"
"update_myaccount";"Обновить Учетную Запись"
"save";"Сохранить"
"delete";"Удалить"
"edit";"Внести изменения"
"full_name";"Полное имя"
"visibleonline";"Позволять другим пользователям видеть меня, когда я в системе"
"editaccount";"Позволить этому пользователю редактировать информацию своей учетной записи"
"admin_gedcom";"Аминистрирование GEDCOM"
"confirm_user_delete";"Вы уверены что хотите удалить этого пользователя?"
"create_user";"Создать нового пользователя"
"no_login";"Пользователь не авторизирован."
"import_gedcom";"Импортировать этот файл GEDCOM"
"duplicate_username";"Пользователь с таким именем уже существует. Выберете другое имя пользователя."
"gedcomid";"GEDCOM INDI запись номер ID"
"enter_gedcomid";"Вы должны ввести GEDCOM ID."
"user_info";"Информация о пользователях"
"rootid";"Начинать с персоны по восходящему дереву"
"download_gedcom";"Загрузить файл GEDCOM"
"upload_gedcom";"Выгрузить файл GEDCOM"
"add_new_gedcom";"Создать новый файл GEDCOM"
"gedcom_file";"Файл GEDCOM:"
"enter_filename";"Ввести имя GEDCOM файла."
"file_not_exists";"Файл с указанным именем не существует."
"file_exists";"GEDCOM файл с таким именем уже существует. Выбирете другое имя или откорректируйте старый файл."
"new_gedcom_title";"Генеология из [#GEDCOMFILE#] файла"
"upload_error";"Ошибка при выгрузке из GEDCOM файла."
"add_gedcom_instructions";"Присвойте имя новому GEDCOM файлу. Этот файл будет перемещен в Index-папку."
"file_success";"Пересылка файла завершена успешно."
"file_too_big";"Слишком большой файл."
"file_partial";"Файл послан частично. Попробуйте заново."
"file_missing";"Файл не получен. Пошлите его заново."
"manage_gedcoms";"Администратор GEDCOMs"
"research_log";"Архив Log-файлов"
"administration";"Администратор"
"ansi_to_utf8";"Преобразовать файл GEDCOM из ANSI (ISO-8859-1) на UTF-8?"
"utf8_to_ansi";"Преобразовать файл GEDCOM из UTF-8 на ANSI (ISO-8859-1)?"
"user_manual";"Руководство пользователя Genmod"
"upgrade";"Перейти на более новую версию Genmod"
"view_logs";"Посмотреть Log-файл"
"logfile_content";"Содержимое log-файла"
"step1";"Шаг 1 из 5:"
"step2";"Шаг 2 из 5:"
"step3";"Шаг 3 из 5:"
"step4";"Шаг 4 из 5:"
"validate_gedcom";"Утвердить GEDCOM"
"img_admin_settings";"Изменить настройки менеджера изображений"
"download_note";"ЗАМЕЧАНИЕ: Большие GEDCOM файлы могут потребовать большого времени для загрузки. Если ограничение по времени, установленное в PHP, истечет до того как загрузка будет завершена, Вы можете получить неполную загрузку. Для проверки полноты загрузки, Вы можете проверить последнюю строку загруженного GEDCOM файла, она должна быть равна 0 TRLR. В общем импорт GEDCOM файлов может занять много времени. "
"gm_registry";"Посмотреть другие сайты использующие Genmod?"
"verify_upload_instructions";"Если Вы выберете продолжить, старый grdcom файл будет заменен тем, который Вы выгрузили, и процесс импорта начнется снова. Если вы выберете отмену, старый GEDCOM файл останется без изменений."
"cancel_upload";"Отменить выгрузку"
"add_media_button";"Добавить Медиа-объект"
"person1";"Лицо 1"
"person2";"Лицо 2"
"no_link_found";"Родство между двумя персонами не найдено."
"sibling";"Брат/сестра"
"follow_spouse";"Контролируй родство по браку."
"timeout_error";"Определить максимальное время поиска для нахождения родственных отношений."
"son";"Сын"
"daughter";"Дочь"
"brother";"Брат"
"sister";"Сестра"
"relationship_to_me";"Родственная связь со мной"
"next_path";"Искать следующую ветвь"
"show_path";"Показать ветвь"
"line_up_generations";"Выстроить в линию одинаковые поколения."
"oldest_top";"Показать самого старшего главу семьи"
"check_delete";"Вы уверены что этот факт GEDCOM хотите удалить?"
"access_denied";"Доступ отклонен. </b><br />У Вас нет доступа к этому источнику."
"gedrec_deleted";"Запись GEDCOM удалена"
"gedcom_deleted";"GEDCOM [#GED#] удален."
"changes_exist";"Файл GEDCOM изменен."
"accept_changes";"Принять/отклонить изменения"
"edit_raw";"Редактировать непосредственно строки GEDCOM записи"
"show_changes";"Эта запись откорректирована. Кликнете здесь чтобы посмотреть изменения."
"hide_changes";"Нажмите здесть чтобы скрыть изменения."
"review_changes";"Посмотреть изменения файла GEDCOM"
"undo";"Отклонить"
"view_change_diff";"Показать изменения"
"changes_occurred";"Следующие изменения для этой персоны предотвращены:"
"find_place";"Искать место"
"close_window";"Закрыть окно"
"close_window_without_refresh";"Закрыть окно без сохранения изменений"
"place_contains";"Место состоит из:"
"accept_gedcom";"Кликните на кнопочке рядом для того чтобы отклонить сделанные изменения. Чтобы все изменения аннулировать, импортируйте файл GEDCOM заново."
"ged_import";"Импортировать файл GEDCOM"
"now_import";"Кликните здесь если хотите импортировать записи из GEDCOM в Genmod"
"add_fact";"Добавить новое событие"
"add";"Добавить"
"custom_event";"Нестандартное событие"
"update_successful";"Обработка завершена успешно."
"add_child";"Добавить ребенка"
"add_child_to_family";"Добавить ребенка в эту семью"
"add_sibling";"Добавить брата или сестру"
"add_son_daughter";"Добавить сына или дочь"
"must_provide";"Импортировать:"
"delete_person";"Удалить это лицо"
"confirm_delete_person";"Вы уверены что хотите удалить эту персону из GEDCOM файла?"
"find_media";"Искать фото/аудио/видио"
"set_link";"Присоединить"
"add_source_lbl";"Добавить источник цитирования"
"add_source";"Добавьте источник к факту"
"add_note_lbl";"Добавить заметку"
"add_note";"Добавьте примечание к факту"
"add_media_lbl";"Добавить Медиа-данные"
"add_media";"Добавить новый Медиа-объект"
"delete_source";"Удалить этот источник"
"confirm_delete_source";"Вы уверены что хотите удалить этот источник из GEDCOM файла?"
"add_husb";"Добавить супруга"
"add_husb_to_family";"Добавить супруга в эту семью"
"add_wife";"Добавить супругу"
"add_wife_to_family";"Добавить супругу в эту семью"
"find_family";"Искать семью"
"find_fam_list";"Найти список семей"
"add_new_wife";"Добавить новую супругу"
"add_new_husb";"Добавить нового супруга"
"edit_name";"Изменить имя"
"delete_name";"Удалить имя"
"no_temple";"Храм мормонов не указан - живое руководство"
"replace";"Заменить запись"
"append";"Добавить запись"
"add_father";"Добавить отца"
"add_mother";"Добавить мать"
"add_obje";"Добавить новый Медиа-объект"
"no_changes";"Сейчас нет изменений, которые долдны быть просмотрены."
"accept";"Принять изменения"
"accept_all";"Принять все изменения"
"accept_successful";"Изменнения успешно внесены в базу данных"
"select_date";"Выбрать дату"
"create_source";"Добавить новый источник"
"new_source_created";"Новый источник успешно создан"
"paste_id_into_field";"Вставить этот ID источника в редактируемое поле, чтобы сослаться в нем на этот источник"
"add_name";"Добавить новое имя"
"privacy_not_granted";"Вы не имеете доступа к"
"user_cannot_edit";"Пользователь с таким именем не может редактировать этот GEDCOM файл."
"gedcom_editing_disabled";"Редактирование этого GEDCOM-файла запрещено администратором системы."
"privacy_prevented_editing";"Настройки доступа не позволяют Вам редактировать этоу запись."
"on_this_day";"В этот день, в прошлом..."
"in_this_month";"В этом месяце, в прошлом..."
"in_this_year";"В этом году, в Вашей истории..."
"year_anniversary";"#year_var# года/лет назад"
"today";"Сегодня"
"day";"День:"
"month";"Месяц:"
"showcal";"Показать события:"
"sunday";"Воскресенье"
"monday";"Понедельник"
"tuesday";"Вторник"
"wednesday";"Среда"
"thursday";"Четверг"
"friday";"Пятница"
"saturday";"Суббота"
"all_people";"Все лица"
"living_only";"Лица, живущие ныне"
"recent_events";"Последние события (< 100 лет)"
"day_not_set";"День не установлен"
"year_error";"Извините, даты ранее 1970 года не поддерживаются."
"lost_password";"Потеряли пароль?"
"requestpassword";"Запрос нового пароля"
"no_account_yet";"Вы еще не являетесь пользователем?"
"requestaccount";"Запрос на регистрацию нового пользователя"
"emailadress";"Эл. адрес (e-mail):"
"mail01_line01";"Здравствуйте, #user_fullname# ..."
"mail01_line02";"На сервер ( #SERVER_NAME# ) пришел запрос на регистрацию с Вашим эл.адресом ( #user_email# )."
"mail01_line03";"Используются следующие данные."
"mail01_line04";"Кликните по нижестоящей кнопочке и введите данные для проверки соответствия Вашего имя пользователя и эл.адреса (e-mail)."
"mail01_line05";"Если Вы эти данные не запрашивали, то удалите это сообщение."
"mail01_line06";"Вы не получите больше сообщений, т.к. Ваше имя пользователя не прошло подтверждения и было удалено через 7 дней."
"mail01_subject";"Ваша регистрация на #SERVER_NAME#"
"mail02_line01";"Здравствуйте администратор..."
"mail02_line02";"Новый пользователь сделал запрос имя пользователя на ( #SERVER_NAME# )."
"mail02_line03";"Этот пользователь получил e-mail с информацией, необходимой для контроля."
"mail02_line04";"Вы получите сообщение как только пользователь пошлет данные для проверки. После этого Вы можете дать пользователю разрешение на вход на сайт."
"mail02_subject";"Сделан запрос на ( #SERVER_NAME# ) для регистрации с Вашим эл.адресом ( #user_email# )."
"hashcode";"Контрольный код:"
"thankyou";"Здравствуйте,  #user_fullname#...<br /> Спасибо за Ваше обращение на наш сайт"
"pls_note06";"Вы получите подтверждающее письмо на Ваш эл.адрес (#user_email#). С данными из этого письма, Вы можете активизировать свое имя пользователя. Если Вы это не сделаете, по истечению семи дней Ваш запрос будет ликвидирован. Вы этом случае Вы можете имя пользователя запросить вторично. Для регистрации на этом сайте Вы должны иметь имя пользователя и пароль."
"registernew";"Подтверждение нового пользователя"
"user_verify";"Проверка пользователя"
"send";"Отправить"
"pls_note07";"Введите Ваше имя пользователя, пароль и контрольный код, который Вы получили в эл.письме."
"pls_note08";"Данные пользователя #user_name# проверены."
"mail03_line01";"Здравствуйте, администратор..."
"mail03_line02";"Регистрационные данные #newuser[username]# ( #newuser[fullname]# ) сличены."
"mail03_line03";"Кликните по нижестоящей кнопочке, зайдите на сайт и дайте разрешение на регистрацию пользователя."
"mail03_subject";"Новый контроль на #SERVER_NAME#"
"pls_note09";"Вы известны как зарегистрированный пользователь."
"pls_note10";"Администратор информирован. Как только он разрешит, Вы можете войти в программу, введя имя пользователя и пароль."
"data_incorrect";"Данные не корректны! <br /> Попробуйте еще раз!"
"user_not_found";"Пользователь не найден!"
"lost_pw_reset";"Запросите новый пароль"
"pls_note11";"Если Вы потеряете свой пароль, это вызовет ряд трудностей. В первую очередь это проблема защиты данных. Если он попадет в руки к кому-нибудь, то он может получитьдоступ к запретным данным. В случае потери пароля, пошлите эл.письмо с Вашим именем пользователя для запроса нового пароля. Далее кликните по #gm_lang[lost_pw_reset]#-knop.<br /><br /> Если имя пользователя и эл.адрес корректы, то Вы получите на свой эл.адрес сообщение с кодом. Введя этот код, Вы можете ввести новый пароль. Позаботьтесь чтобы письмо было защищено от посторонних глаз. Если Вы не помните, какой эл.адрес Вы указывали на нашем сайте, Вы можете ввести несколько своих эл.адресов. Сообщение с кодом будет послано Вам только в случае правильной комбинации имя пользователя и эл.адреса. Если у Вас есть проблемы, то Вы можете обратиться к администратору этого сайта."
"enter_email";"Введите эл.адрес."
"mail04_line01";"Здравствуйте, #user_fullname#..."
"mail04_line02";"Для Вашего имя пользователя сделан запрос на новый пароль!"
"mail04_line03";"Совет:"
"mail04_line04";"Кликните по нижестоящей кнопке, введите новый пароль и вносите изменения далее."
"mail04_subject";"Запрос данных на #SERVER_NAME#"
"pwreqinfo";"Здравствуйте...<br /><br />Новы"
"editowndata";"Мои данные"
"savedata";"Сохранить измененные данные"
"datachanged";"Данные пользователя изменены!"
"datachanged_name";"Войдите в программу заново с новым именем пользователя"
"myuserdata";"Мои данные"
"verified";"Подтверждения пользователя:"
"verified_by_admin";"Разрешение администратора:"
"user_theme";"Мое оформление сайта"
"mgv";"Мой GedView"
"passwordlength";"Пароль должен быть минимум 6 символов"
"admin_approved";"Ваш вход на #SERVER_NAME# одобрен"
"you_may_login";"администратором. Сейчас Вы должны ввести свой логин на сайте. Кликните по нижестоящей кнопочке."
"welcome_text_auth_mode_1";"<b>ДОБРО ПОЖАЛОВАТЬ НА ЭТОТ ГЕНЕАЛОГИЧЕСКИЙ САЙТ</b><br /><br />Доступ к данным сайта разрешен посетителям, которые зарегистрированы тут и имеюют свою учетную запись. <br />Если Вы зарегистрированы, пожалуйста войдите на сайт на этой странице.<br /><br />Если Вы не зарегистрированы, то можете послать запрос на регистрацию перейдя по соответствующей ссылке на этой странице.<br />После того как администратор проверит Вашу информацию, он создаст для Вас учетную запись и отправит Вам письмо (email) для активации этой учетной записи."
