"ABBR";"Abbreviation"
"WWW";"Web Home Page"
"MAP";"Map"
"LATI";"Latitude"
"LONG";"Longitude"
"FONE";"Phonetic"
"ROMN";"Romanized"
"_NAME";"Mailing Name"
"URL";"Web URL"
"_HEB";"Hebrew"
"_SCBK";"Scrapbook"
"_TYPE";"Media Type"
"_SSHOW";"Slide Show"
"_SUBQ";"Short Version"
"_BIBL";"Bibliography"
"EMAL";"Email Address"
"_ADPF";"Adopted by Father"
"_ADPM";"Adopted by Mother"
"_AKAN";"Also known as"
"_AKA";"Also known as"
"_BRTM";"Brit Mila"
"_COML";"Common Law Marriage"
"_EYEC";"Eye Color"
"_FNRL";"Funeral"
"_HAIR";"Hair Color"
"_HEIG";"Height"
"_HOL";"Holocaust"
"_INTE";"Interred"
"_MARI";"Marriage Intention"
"_MBON";"Marriage Bond"
"_MEDC";"Medical Condition"
"_MILI";"Military"
"_NMR";"Not married"
"_NLIV";"Not living"
"_NMAR";"Never married"
"_PRMN";"Permanent Number"
"_WEIG";"Weight"
"_YART";"Yartzeit"
"_MARNM";"Married Name"
"_STAT";"Marriage Status"
"COMM";"Comment"
"MARR_CIVIL";"Civil Marriage"
"MARR_RELIGIOUS";"Religious Marriage"
"MARR_PARTNERS";"Registered Partnership"
"MARR_UNKNOWN";"Marriage Type unknown"
"_HNM";"Hebrew Name"
"_DEAT_SPOU";"Death of spouse"
"_BIRT_CHIL";"Birth of a child"
"_MARR_CHIL";"Marriage of a child"
"_DEAT_CHIL";"Death of a child"
"_BIRT_GCHI";"Birth of a grandchild"
"_MARR_GCHI";"Marriage of a grandchild"
"_DEAT_GCHI";"Death of a grandchild"
"_MARR_FATH";"Marriage of father"
"_DEAT_FATH";"Death of father"
"_MARR_MOTH";"Marriage of mother"
"_DEAT_MOTH";"Death of mother"
"_BIRT_SIBL";"Birth of a sibling"
"_MARR_SIBL";"Marriage of a sibling"
"_DEAT_SIBL";"Death of a sibling"
"_BIRT_HSIB";"Birth of a half-sibling"
"_MARR_HSIB";"Marriage of a half-sibling"
"_DEAT_HSIB";"Death of a half-sibling"
"_DEAT_GPAR";"Death of a grand-parent"
"_BIRT_FSIB";"Birth of a father's sibling"
"_MARR_FSIB";"Marriage of a father's sibling"
"_DEAT_FSIB";"Death of a father's sibling"
"_BIRT_MSIB";"Birth of a mother's sibling"
"_MARR_MSIB";"Marriage of a mother's sibling"
"_DEAT_MSIB";"Death of a mother's sibling"
"_BIRT_COUS";"Birth of a first cousin"
"_MARR_COUS";"Marriage of a first cousin"
"_DEAT_COUS";"Death of a first cousin"
"_THUM";"Use this image as the thumbnail?"
"_GMU";"Last Changed By"
"SERV";"Remote Server"
"_GEDF";"GEDCOM File"
"_PRIMARY";"Display as primary in charts"
"_HIST";"Historical event"
