"stat_sources";"Quellen, "
"PN";"(unbekannt)"
"cancel";"Abbrechen"
"index_edit_advice";"Markieren Sie den Namen eines Blockes und klicken Sie auf eines der Pfeil-Symbole, um den markierten Block in die gewünschte Richtung zu bewegen."
"importing_dates";"Datumsangaben importieren"
"changelog";"Änderungen in Version #VERSION#"
"view_changelog";"Datei changelog.txt ansehen"
"html_block_descr";"Mit diesem standard HTML Block können Sie einen beliebigen Text auf Ihrer Seite einfügen."
"num_to_show";"Anzahl der anzuzeigenden Objekte"
"days_to_show";"Anzahl der anzuzeigenden Tage"
"before_or_after";"Nummern vor oder hinter den Namen anzeigen?"
"before";"vor"
"after";"hinter"
"pls_note12";"Bitte tragen Sie in diesem Feld ein, warum Sie einen Zugang beantragen und wie Sie mit Personen aus der Datenbank verwandt sind."
"enter_comments";"Bitte geben Sie ihre Verwandtschaft zu den Daten im Kommentarfeld ein.."
"comments";"Kommentar"
"none";"Keine"
"ahnentafel_report";"Ahnentafel Bericht"
"child-family";"Eltern und Geschwister"
"spouse-family";"Ehepartner und Kinder"
"direct-ancestors";"Vorfahren in direkter Linie"
"ancestors";"Vorfahren in direkter Linie und deren Familien"
"descendants";"Nachfahren"
"choose_relatives";"Verwandte auswählen"
"relatives_report";"Verwandten Bericht"
"total_living";"Insgesamt lebend"
"total_dead";"Insgesamt verstorben"
"total_not_born";"Insgesamt noch nicht geboren"
"remove_custom_tags";"Benutzerdefinierte GM Tags entfernen? (z.B. _GMU, _THUM)"
"download_zipped";"GEDCOM-Datei als Zip-Datei herunterladen?"
"remember_me";"Auf diesem Computer angemeldet bleiben?"
"add_unlinked_person";"Eine Person ohne Verknüpfung hinzufügen"
"fams_with_surname";"Familien mit dem Namen #surname#"
"genealogy_contact";"Kontakt für genealogische Fragen"
"continue_import";"Ortsimport fortsetzen"
"importing_places";"Ortsangaben importieren"
"common_upload_errors";"Dieser Fehler bedeutet vermutlich, dass die Datei die Sie hochladen wollten, die Grenze ihres Hosts überschreitet. Die Standard-Grenze liegt in PHP bei 2MB. Sie können entweder den Support Ihres Hosts kontaktieren, und ihn bitten, die Grenze in der Datei php.ini zu erhöhen, oder Sie können die Datei per FTP hochladen. Benutzen Sie die Seite <a href="uploadgedcom.php?action=add_form"><b>GEDCOM hinzufügen</b></a>, um eine Datei zu verwenden, die Sie per FTP hochgeladen haben."
"total_memory_usage";"Speicherbedarf insgesamt:"
"mothers_family_with";"Familie der Mutter mit "
"fathers_family_with";"Familie des Vaters mit "
"halfbrother";"Halbbruder"
"halfsister";"Halbschwester"
"family_timeline";"Familie in der Lebensspannenanzeige darstellen"
"children_timeline";"Kinder in der Lebensspannenanzeige darstellen"
"other";"Übrige"
"sort_by_marriage";"Nach Hochzeitsdatum sortieren"
"reorder_families";"Familien neu ordnen"
"indis_with_surname";"Personen mit dem Nachnamen #surname#"
"first_letter_fname";"Wählen Sie einen Buchstaben aus, um Personen anzuzeigen, deren Vornamen mit diesem Buchstaben beginnt."
"import_marr_names";"Heirats-Namen importieren"
"marr_name_import_instr";"Klicken Sie auf diesen Button, wenn Genmod die Heirats-Namen von weiblichen Personen in dieser GEDCOM-Datei ermitteln soll. Dann können Sie Ehefrauen auch nach ihren Heirats-Namen suchen oder auflisten lassen."
"calc_marr_names";"Heirats-Namen ermitteln"
"total_names";"Namen insgesamt"
"top10_pageviews_nohits";"Es können keine Treffer angezeigt werden."
"top10_pageviews_msg";"Sie müssen in der GEDCOM-Konfiguration die Zähler zunächst aktivieren."
"review_changes_descr";"Der "offene Änderungen"-Block zeigt Benutzern mit Editierrechten eine Liste der Datensätze die online geändert wurden und die noch kontrolliert und akzeptiert bzw. verworfen werden müssen.<br /><br />Wenn dieser Block aktiviert ist, erhalten Benutzer mit Editierrechten täglich eine Mail, die auf offene Änderungen hinweist."
"review_changes_email";"Erinnerungs E-Mails versenden?"
"review_changes_email_freq";"Erinnerungs E-Mails Häufigkeit (Tage)"
"review_changes_subject";"Genmod - Änderungen kontrollieren"
"review_changes_body";"An einer genealogischen Datenbank wurden Änderungen vorgenommen. Diese Änderungen müssen kontrolliert und akzeptiert werden, bevor sie für alle Nutzer sichtbar werden. Bitte klicken Sie auf die angegebene URL, um auf die Genmod-Seite zu gelangen und melden Sie sich an, um die Änderung zu kontrollieren. "
"show_spouses";"Ehepartner anzeigen"
"quick_update_title";"Schnelle Aktualisierung"
"quick_update_instructions";"Auf dieser Seite können Sie schnell die Daten einer Person aktualisieren. Sie müssen nur die Daten eintragen, die neu sind oder von den Informationen in der Datenbank abweichen. Nachdem ihre Daten übermittelt wurden, müssen sie noch von einem Administrator kontrolliert und akzeptiert werden, bevor sie für alle Nutzer sichtbar werden."
"update_name";"Namen aktualisieren"
"update_fact";"Ereignis aktualisieren"
"update_fact_restricted";"Das Aktualisieren dieses Ereignisses ist eingeschränkt:"
"update_photo";"Foto aktualisieren"
"photo_replace";"Möchten Sie ein älteres Foto durch dieses ersetzen?"
"select_fact";"Ein Ereignis auswählen..."
"update_address";"Adresse aktualisieren"
"add_new_chil";"Ein Kind hinzufügen"
"top10_pageviews_descr";"Dieser Block zeigt die 10 Datensätze an, die am häufigsten aufgerufen wurden. Sie müssen dazu in der GEDCOM-Konfiguration die Zähler zunächst aktivieren."
"top10_pageviews_block";"Meist aufgerufene Einträge"
"user_default_tab";"Standardregister zur Anzeige einer Personen-Informationsseite"
"stepfamily";"Stief-Familie"
"stepdad";"Stiefvater"
"stepmom";"Stiefmutter"
"stepsister";"Stiefschwester"
"stepbrother";"Stiefbruder"
"max_upload_size";"Maximale Größe zum Hochladen: "
"edit_fam";"Familie editieren"
"fams_charts";"Optionen für Familie"
"sort_by_birth";"Nach Geburtstagen sortieren"
"reorder_children";"Kindern neu ordnen"
"add_from_clipboard";"Aus der Zwischenablage hinzufügen: "
"record_copied";"Datensatz in die Zwischenablage kopiert"
"copy";"Kopieren"
"cut";"Ausschneiden"
"indis_charts";"Optionen für Personen"
"edit_indi";"Personen editieren"
"locked";"nicht verändern!"
"privacy";"Datenschutz"
"qm";"(?)"
"qm_ah";"(?)"
"gedcom_stats_block";"GEDCOM-Statistik"
"sorry";"<b>Leider ist die Hilfe für dieses Thema noch nicht fertiggestellt.</b>"
"var_not_exist";"<span style=font-weight: bold>Diese Sprach-Variable existiert nicht. Bitte melden Sie dies als Fehler.</span>"
"resolution";"Bildschirmauflösung"
"menu";"Menü"
"header";"Kopfbereich"
"imageview";"Image Viewer"
"login_head";"Genmod Benutzer Anmeldung"
"error_title";"FEHLER: GEDCOM-Datei kann nicht geöffnet werden"
"error_header";"Die GEDCOM-Datei <b>#GEDCOM#</b> befindet sich nicht am angegebenen Ort."
"error_header_write";"Die GEDCOM-Datei <b>#GEDCOM#</b> kann nicht gespeichert werden. Bitte prüfen Sie die Schreibrechte und Dateiattribute."
"for_support";"Für Support wenden Sie sich an folgende Kontaktadresse:"
"for_contact";"Bei genealogischen Fragen wenden Sie sich an folgende Kontaktadresse:"
"for_all_contact";"Für Support sowie bei genealogischen Fragen wenden Sie sich an folgende Kontaktadresse:"
"build_title";"Index-Dateien werden erstellt"
"build_error";"Eine neue GEDCOM-Datei wurde gefunden."
"please_wait";"Einen Moment bitte: Index Dateien werden neu erstellt."
"choose_gedcom";"Eine GEDCOM-Datei auswählen"
"username";"Benutzername"
"invalid_username";"Der Benutzername enthält unzulässige Zeichen"
"password";"Passwort"
"confirm";"Passwort bestätigen"
"user_contact_method";"Bevorzugte Kontaktaufnahme"
"login_aut";"Benutzereinstellungen bearbeiten"
"logout";"Logout"
"admin";"Verwalten"
"logged_in_as";"Angemeldet als"
"my_pedigree";"Mein Stammbaum"
"my_indi";"Mein Datenblatt"
"yes";"Ja"
"no";"Nein"
"add_gedcom";"GEDCOM-Datei hinzufügen"
"change_theme";"Theme ändern"
"gedcom_downloadable";"Diese GEDCOM-Datei könnte über das Internet heruntergeladen werden!<br />Bitte lesen Sie im Bereich "SECURITY" der Datei <a href="readme.txt"><b>readme.txt</b></a> nach, wie Sie dieses Problem lösen können."
"index_header";"Stammbaum"
"gen_ped_chart";"Stammbaum für #PEDIGREE_GENERATIONS# Generationen"
"generations";"Generationen"
"view";"Zeige"
"fam_spouse";"Familie mit Ehepartner"
"root_person";"ID der Startperson"
"hide_details";"Details verbergen"
"show_details";"Details zeigen"
"person_links";"Links zu Diagrammen, Familien und nahen Verwandten dieser Person. Klicken Sie auf dieses Symbol, um die Seite mit dieser Person als Ausgangspunkt aufzurufen."
"zoom_box";"Zoom hinein/heraus"
"portrait";"Hochformat"
"landscape";"Querformat"
"start_at_parents";"Bei den Eltern beginnen"
"max_generation";"Die maximale Anzahl von Generationen beträgt #PEDIGREE_GENERATIONS#."
"min_generation";"Die minimale Anzahl von Generationen beträgt 3."
"box_width";"Box-Breite"
"unable_to_find_family";"Zu folgender ID kann keine Familie gefunden werden:"
"unable_to_find_indi";"Zu folgender ID kann keine Person gefunden werden:"
"unable_to_find_record";"Zu folgender ID kann kein Datensatz gefunden werden:"
"unable_to_find_source";"Zu folgender ID kann keine Quelle gefunden werden:"
"unable_to_find_repo";"Kann das Archiv zu folgender ID nicht finden:"
"repo_name";"Archiv-Name:"
"address";"Adresse:"
"phone";"Telefon:"
"source_name";"Quellen-Name:"
"title";"Titel"
"author";"Autor:"
"publication";"Publikation:"
"call_number";"Telefon Nummer:"
"living";"Lebt"
"private";"Privat"
"birth";"Geburt:"
"death";"Tod:"
"place_list_aft";"Liste der Orte in"
"not_an_array";"keine Reihe (Array)"
"print_preview";"Ausdruck-optimierte Version"
"cancel_preview";"Zurück zur normalen Ansicht"
"change_lang";"Sprache auswählen"
"print";"Drucken"
"total_queries";"Gesamtanzahl der Datenanfragen an die Datenbank:"
"total_privacy_checks";"Gesamtanzahl der Datenschutz-Überprüfungen:"
"back";"zurück"
"privacy_list_indi_error";"Aus Datenschutzgründen werden eine oder mehrere Personen verborgen."
"privacy_list_fam_error";"Aus Datenschutzgründen werden eine oder mehrere Familien verborgen."
"aka";"auch bekannt als"
"male";"männlich"
"female";"weiblich"
"temple";"HLT Tempel"
"temple_code";"HLT Tempel Code:"
"status";"Status"
"source";"Quelle"
"citation";"Abschnitt:"
"text";"Quellen-Text:"
"note";"Notiz"
"unrecognized_code";"Unbekannter GEDCOM-Code"
"unrecognized_code_msg";"Ein Fehler ist aufgetreten, bitte melden Sie diesen an "
"indi_info";"Persönliche Informationen"
"family";"Familie"
"family_with";"Familie mit"
"as_spouse";"Familiendaten als Ehepartner"
"as_child";"Familiendaten als Kind"
"view_gedcom";"GEDCOM-Datensatz anzeigen"
"add_to_cart";"Datensatz dem Sammelbehälter hinzufügen"
"still_living_error";"Diese Person lebt noch oder hat keine Geburts- oder Sterbedaten. Alle Details lebender Personen sind verborgen.<br />Für weitere Informationen schreiben Sie an"
"privacy_error";"Details dieser Person sind vertraulich.<br />"
"more_information";"Für weitere Informationen wenden Sie sich an folgende E-Mail Adresse:"
"name";"Name"
"given_name";"Vorname:"
"surname";"Nachname:"
"suffix";"Namenszusatz:"
"object_note";"Objekt-Notiz:"
"sex";"Geschlecht"
"personal_facts";"Persönliche Fakten und Details"
"type";"Typ"
"date";"Datum"
"place_description";"Ort / Beschreibung"
"parents";"Eltern:"
"siblings";"Geschwister"
"father";"Vater"
"mother";"Mutter"
"relatives";"Direkte Verwandschaft"
"child";"Kind"
"spouse";"Ehepartner"
"surnames";"Nachname"
"adopted";"adoptiert"
"foster";"Vormund"
"sealing";"Siegelung"
"challenged";"Aufforderung"
"disproved";"Widerlegt"
"no_tab1";"Zu dieser Person gibt es keine Fakten."
"no_tab2";"Zu dieser Person gibt es keine Notizen."
"no_tab3";"Zu dieser Person gibt es keine Quellenangaben."
"no_tab4";"Zu dieser Person gibt es keine Multimedia-Objekte."
"no_tab5";"Zu dieser Person gibt es keine direkte Verwandschaft."
"no_tab6";"Zu dieser Person gibt es keine Forschungs-Protokolle."
"family_info";"Familien Informationen"
"family_group_info";"Informationen zur Familiengruppe"
"husband";"Ehemann"
"wife";"Ehefrau"
"marriage";"Heirat:"
"lds_sealing";"HLT Siegelung:"
"marriage_license";"Ehe Erlaubnis:"
"media_object";"Multimedia Objekt"
"children";"Kinder"
"no_children";"keine Kinder eingetragen"
"parents_timeline";"Ehepaar in<br />Lebensspannen-Ansicht zeigen"
"clip_cart";"Ausschnitts-Sammelbehälter"
"clip_explaination";"Der Stammbaum-Ausschnitts-Sammelbehälter ermöglicht es, &quot;Ausschnitte&quot; aus diesem Stammbaum zu markieren.<br />Diese können dann später in einer separaten GEDCOM-Datei zum sofortigen Download gebündelt werden.<br /><br />"
"item_with_id";"Ausschnitt von ID"
"error_already";"ist schon in Ihrem Ausschnitts-Sammelbehälter."
"which_links";"Welche Verbindungen dieser Familie möchten Sie noch hinzuzufügen?"
"just_family";"Nur den Familiendatensatz dieser Familie hinzufügen."
"parents_and_family";"Den Familiendatensatz und die Datensätze der Eltern dieser Familie hinzufügen."
"parents_and_child";"Den Familiendatensatz, den der Eltern und die der Kinder dieser Familie hinzufügen."
"parents_desc";"Den Familiendatensatz, die Datensätze der Eltern und die ihrer gesamten Nachkommen hinzufügen."
"continue";"weiter"
"which_p_links";"Welche Verbindungen dieser Person möchten Sie hinzufügen?"
"just_person";"Nur den Datensatz dieser Person hinzufügen."
"person_parents_sibs";"Den Datensatz dieser Person, die seiner Eltern und seiner Geschwister hinzufügen."
"person_ancestors";"Den Datensatz dieser Person und die seiner direkten Vorfahren hinzufügen."
"person_ancestor_fams";"Den Datensatz dieser Person, die seiner direkten Vorfahren und die Datensätze derer Familien hinzufügen."
"person_spouse";"Den Datensatz dieser Person, den seines Ehepartners und die seiner Kinder hinzufügen."
"person_desc";"Den Datensatz dieser Person, den seines Ehepartners und die aller seiner Nachfahren hinzufügen."
"unable_to_open";"Es ist nicht möglich, das Verzeichnis für den Ausschnitts-Sammelbehälter zum Schreiben zu öffnen."
"person_living";"Diese Person ist am Leben. Persönliche Details werden nicht eingefügt."
"person_private";"Details dieser Person sind vertraulich. Persönliche Details werden nicht eingefügt."
"family_private";"Details dieser Familie sind vertraulich. Persönliche Details werden nicht eingefügt."
"download";"Klicken Sie mit der rechten Maustaste (beim Mac Control-Klick) auf den untenstehenden Link und wählen &quot;Ziel speichern unter&quot;, um die generierte GEDCOM-Datei auf Ihren eigenen Computer zu übertragen (Download)."
"media_files";"Multimedia-Dateien, welche zu den Datensätzen dieser GEDCOM-Datei gehören:"
"cart_is_empty";"Ihr Ausschnitts-Sammelbehälter ist leer."
"id";"Identifikationsnummer (ID)"
"name_description";"Name / Beschreibung"
"remove";"Entfernen"
"empty_cart";"Ausschnitts-Sammelbehälter leeren"
"download_now";"Jetzt downloaden"
"indi_downloaded_from";"Daten der Person wurden geladen von:"
"family_downloaded_from";"Daten der Familie wurden geladen von:"
"source_downloaded_from";"Daten der Quelle wurden geladen von:"
"connections";"Orts-Verbindungen gefunden"
"top_level";"zurück"
"form";"Ortsangaben werden im folgenden Format ausgewertet:"
"default_form";"Stadt, Kreis, (Bundes)Land, Staat"
"default_form_info";"(Standardeinstellung)"
"gedcom_form_info";"(GEDCOM)"
"unknown";"Unbekannt"
"individuals";"Personen"
"view_records_in_place";"Alle Datensätze für diesen Ort anzeigen"
"place_list2";"Ortsliste"
"show_place_hierarchy";"Orts-Hierarchie anzeigen"
"show_place_list";"Alle Orte in einer Liste anzeigen"
"total_unic_places";"Gesamtanzahl Orte"
"multi_title";"Liste der Multimedia Objekte"
"media_found";"Multimedia Objekt(e) gefunden"
"view_person";"Person zeigen"
"view_family";"Familie zeigen"
"view_source";"Quelle zeigen"
"prev";"&lt; Vorhergehende Seite"
"next";"Nächste Seite &gt;"
"file_not_found";"Datei nicht gefunden."
"medialist_show";"Zeige"
"per_page";"Objekte pro Seite"
"add_directory";"Verzeichnis hinzufügen"
"show_thumbnail";"Thumbnails anzeigen"
"image_size";"Bildgröße"
"no_thumb_dir";"Thumbnail-Verzeichnis existiert nicht und konnte auch nicht erstellt werden."
"manage_media";"Multimedia-Objekte verwalten"
"gen_thumb";"Thumbnail erzeugen"
"move_to";"Verschieben nach -->"
"security_no_create";"Sicherheits-Hinweis: Die Datei <b><i>index.php</i></b> existiert nicht im Ordner "
"security_not_exist";"Sicherheits-Hinweis: Die Datei <b><i>index.php</i></b> konnte nicht erstellt werden im Ordner "
"illegal_chars";"Unzulässige Zeichen im Namen"
"link_media";"Multimedia-Objekt verknüpfen"
"to_person";"mit Person"
"to_family";"mit Familie"
"to_source";"mit Quelle"
"media_id";"Multimedia-ID"
"invalid_id";"Diese ID existiert nicht in der GEDCOM-Datei."
"upload_file";"Datei von ihrem Computer hochladen"
"thumb_genned";"Thumbnail wurde automatisch erstellt."
"thumbgen_error";"Es kann kein Thumbnail erstellt werden für "
"generate_thumbnail";"Thumbnail automatisch erstellen aus "
"no_upload";"Multimedia-Dateien können nicht hochgeladen werden, weil Multimedia-Objekte deaktiviert wurden oder weil für das Verzeichnis keine Schreibrechte bestehen."
"upload";"Upload"
"upload_media";"Multimedia-Dateien auf Server übertragen (upload)"
"media_file";"Multimedia-Datei"
"thumbnail";"Thumbnail"
"upload_successful";"Upload erfolgreich"
"search_gedcom";"GEDCOM-Dateien durchsuchen"
"enter_terms";"Suchbegriffe eingeben"
"soundex_search";"Den Namen nach Aussprache suchen (Soundex-Methode):"
"sources";"Quellen"
"firstname_search";"Vorname"
"lastname_search";"Nachname"
"search_place";"Ort"
"search_year";"Jahr"
"no_results";"Keine Ergebnisse gefunden"
"invalid_search_input";"Bitte geben Sie einen Vor-, Nachnamen oder einen Ort zusätzlich zur Jahresangabe an"
"search_options";"Such-Optionen"
"search_geds";"GEDCOMS in denen gesucht wird"
"search_type";"Such-Methode"
"search_inrecs";"Suchen nach"
"search_fams";"Familien"
"search_indis";"Personen"
"search_sources";"Quellen"
"search_more_chars";"Bitte mehr als einen Buchstaben eingeben"
"search_soundextype";"Soundex Variante:"
"search_russell";"Russell"
"search_DM";"Daitch-Mokotoff"
"sources_found";"Quellen gefunden"
"titles_found";"Titel"
"find_source";"Quelle suchen"
"repos_found";"gefundene Archive"
"find_repository";"Archive suchen"
"total_repositories";"Gesamtanzahl Archive"
"repo_info";"Archiv Informationen"
"delete_repo";"Archiv löschen"
"other_repo_records";"Datensätze, die auf dieses Archiv verweisen:"
"create_repository";"Archiv anlegen"
"new_repo_created";"neues Archiv erstellt"
"paste_rid_into_field";"Fügen Sie die folgende Archiv-ID ein, um auf dieses Archiv zu verweisen "
"confirm_delete_repo";"Möchten Sie das Archiv wirklich aus der Datenbank löschen?"
"source_info";"Informationen zur Quelle"
"other_records";"Datensätze, die auf diese Quelle verweisen:"
"people";"PERSONEN"
"families";"FAMILIEN"
"total_sources";"Gesamtanzahl Quellen:"
"building_indi";"Erstelle Index-Dateien der Personen und Familien"
"building_index";"Erstelle Liste der Index-Dateien"
"invalid_gedformat";"Format entspricht nicht dem GEDCOM 5.5 Standard"
"importing_records";"Importiere Datensätze in Datenbank"
"detected_change";"Genmod hat eine Änderung an der Datei <b>#GEDCOM#</b> erkannt. Daher müssen jetzt die Index-Dateien neu erstellt werden."
"please_be_patient";"BITTE UM ETWAS GEDULD"
"reading_file";"GEDCOM-Datei wird gelesen"
"flushing";"Speicherinhalt wird gelöscht"
"found_record";"Datensatz gefunden"
"exec_time";"Ausführungszeit:"
"time_limit";"PHP Zeitlimit"
"unable_to_create_index";"Index-Datei kann nicht erstellt werden. Stellen Sie sicher, dass die Rechte zum Schreiben im Genmod-Verzeichnis gesetzt sind. Die Rechte können zurückgesetzt werden, sobald die Index-Dateien erstellt wurden."
"indi_complete";"Update der Personen-Index-Datei ist komplett."
"family_complete";"Update der Familien-Index-Datei ist komplett."
"source_complete";"Update der Quellen-Index-Datei ist komplett."
"tables_exist";"Genmod Tabellen sind schon in der Datenbank vorhanden"
"you_may";"Sie können:"
"drop_tables";"Löschen der aktuellen sql-Tabellen"
"import_multiple";"Importieren und Weiterarbeiten mit mehreren GEDCOM-Dateien"
"explain_options";"Wenn Sie beschliessen, die Tabellen zu löschen, werden <u>alle</u> Inhalte durch die dieser GEDCOM-Datei ersetzt.<br /><br />Wenn Sie sich für einen Import und die Weiterarbeit mit mehreren GEDCOM-Dateien entscheiden, wird Genmod alle Daten löschen, welche aus einer GEDCOM-Datei mit gleichem Namen importiert wurden. Diese Option erlaubt es Ihnen, mehrere GEDCOM-Dateien in den gleichen Tabellen zu speichern und sehr leicht zwischen diesen zu wechseln.<br /><br /><b>Bitte beachten Sie die Groß-/Kleinschreibung bei Dateinamen.</b> Denn <b>Test.GED</b> ist <u>nicht</u> das selbe wie <b>test.ged</b>."
"path_to_gedcom";"Geben Sie den Pfad zu Ihrer GEDCOM-Datei ein:"
"dataset_exists";"Eine GEDCOM-Datei mit diesem Dateinamen wurde bereits in die Datenbank importiert."
"changes_present";"Die aktuelle GEDCOM-Datei enthält Änderungen die noch kontrolliert werden müssen. Wenn Sie mit dem Import fortfahren, werden diese Änderungen unmittelbar in die Datenbank eingefügt. Sie sollten die Änderungen kontrollieren, bevor Sie mit dem Importieren fortfahren."
"empty_dataset";"Möchten Sie den alten Datensatz löschen und durch diese neue Daten ersetzen?"
"index_complete";"Index komplett."
"click_here_to_go_to_pedigree_tree";"Hier klicken, um zum Stammbaum zu gelangen."
"updating_is_dead";"Aktualisiere den "Lebt"-Status von Person "
"import_complete";"Import komplett"
"updating_family_names";"Erneuere Familien Namen für "FAM""
"processed_for";"Datei bearbeitet"
"run_tools";"Möchten Sie eines der folgenden Tools anwenden, bevor die GEDCOM-Datei importiert wird:"
"addmedia";"Add Media Tool (fügt OBJE Medien hinzu)"
"dateconvert";"Date Conversion Tool (wandelt das Datum um)"
"xreftorin";"Convert XREF IDs to RIN number (wandelt XREF Nummern in RIN Nummern um)"
"tools_readme";"Lesen Sie in der Datei #README.TXT# das Kapitel "tools" für weitere Informationen."
"sec";"s"
"bytes_read";"Gelesene Bytes:"
"created_indis";"Die <i>Individuen</i>-Tabelle wurde erfolgreich erstellt."
"created_indis_fail";"Die <i>Personen</i>-Tabelle kann nicht erstellt werden."
"created_fams";"Die <i>Familien</i>-Tabelle wurde erfolgreich erstellt."
"created_fams_fail";"Die <i>Familien</i>-Tabelle kann nicht erstellt werden."
"created_sources";"Die <i>Quellen</i>-Tabelle wurde erfolgreich erstellt."
"created_sources_fail";"Die <i>Quellen</i>-Tabelle kann nicht erstellt werden."
"created_other";"Die <i>Sonstiges</i>-Tabelle wurde erfolgreich erstellt."
"created_other_fail";"Die <i>Sonstiges</i>-Tabelle kann nicht erstellt werden."
"created_places";"Die <i>Orts</i>-Tabelle wurde erfolgreich erstellt."
"created_places_fail";"Die <i>Orts</i>-Tabelle kann nicht erstellt werden."
"import_progress";"Import Fortschritt..."
"total_fams";"Familien insgesamt"
"total_indis";"Personen insgesamt"
"starts_with";"Starte mit:"
"person_list";"Liste der Personen:"
"paste_person";"Person einfügen"
"notes_sources_media";"Notizen, Quellen und Multimedia-Dateien"
"notes";"Notizen"
"ssourcess";"Quellen"
"media";"Multimedia"
"name_contains";"Name enthält:"
"filter";"Filter"
"find_individual";"Person aussuchen"
"find_familyid";"Familie aussuchen"
"find_sourceid";"Quelle auswählen"
"find_specialchar";"Nach speziellen Zeichen suchen"
"magnify";"Vergrößern"
"skip_surnames";"Nachnamen Sprung-Liste"
"show_surnames";"Nachnamen anzeigen"
"all";"ALLE"
"hidden";"Verborgen"
"confidential";"Vertraulich"
"age";"Alter"
"timeline_title";"Genmod - Anzeige der Lebensspanne"
"remove_person";"Person entfernen"
"show_age";"Altersanker anzeigen"
"add_another";"Andere Person zur Ansicht hinzufügen:<br />Personen ID:"
"find_id";"ID suchen"
"show";"Zeigen"
"year";"Jahr:"
"timeline_instructions";"In den meisten neueren Browsern, kann man die Rechtecke durch Klicken und gleichzeitiges Ziehen innerhalb der Ansicht bewegen."
"zoom_in";"Zoom +"
"zoom_out";"Zoom -"
"select_an_option";"Wählen Sie bitte eine der unten aufgeführten Optionen:"
"readme_documentation";"README-Datei / Dokumentation"
"view_readme";"Datei readme.txt ansehen"
"configuration";"Konfiguration"
"rebuild_indexes";"Index-Dateien neu erstellen"
"user_admin";"Benutzer-Verwaltung"
"inc_languages";"Sprachen"
"user_created";"Benutzer wurde erfolgreich angelegt."
"user_create_error";"Der Benutzer konnte nicht angelegt werden. Bitte nochmal versuchen."
"password_mismatch";"Passwörter stimmen nicht überein."
"enter_username";"Sie müssen einen Benutzernamen eingeben."
"enter_fullname";"Sie müssen einen vollständigen Namen eingeben."
"enter_password";"Sie müssen ein Passwort eingeben."
