"messaging2_help";"Po wysłaniu tej wiadomości otrzymasz jej kopię na adres email, który podałeś."
"edit_death_help";"~#gm_lang[death]# HELP~<br /><br />Te pole pozwala na wpisanie informacji o zgonie. Najpierw wpisz datę kiedy dana osoba zmarła w standardowym formacie (1 JAN 2004) lub wybierz za pomocą kalendarza. Później wpisz miejsce gdzie dana osoba zmarła. Możesz użyć "Znajdź miejsce" aby znaleźć miejsce, wpisane już przy innej osobie lub zdarzeniu.<br /><br />"
"edit_sex_help";"~Edytuj #factarray[SEX]#~<br /><br />Użyj tego pola wskazując czy osoba jest <b>#gm_lang[male]#</b> czy <b>#gm_lang[female]#</b>. Wybierz <b>#gm_lang[unknown]#</b> tylko jeśli nie jesteś pewny płci danej osoby."
"edit_name_help";"~Edit #factarray[NAME]#~<br /><br />Nazwisko osoby powinno być zapisane pomiędzy znakami "/".<br /><br />Oto przykłady:<ul><li>Imiona /Nazwisko </li><li>Imiona /Nazwisko/ Jr.</li><li>Imiona /von Nazwisko/ jr.</li></ul>"
"edit_given_name_help";"~#gm_lang[given_name]#~<br /><br />W tym polu wpisz imiona danej osoby. Przykład: "John Robert"<br /><br />"
"edituser_user_default_tab_help";"~USER DEFAULT TAB SETTING~<br /><br /> To ustawienie pozwala wybrać, która zakładka powinna się automatycznie otwierać przy otwieraniu strony  #gm_lang[indi_info]#.<br /><br />"
"privacy_error_help";"|<b>PRYWATNE DANE</b><br /><br />Jest kilka przyczyn pojawienia się takiego komunikatu:<br /><br /><b>1. Informacje o żyjących osobach ustawiono na "Prywatne"</b><br/> Niezajerestrowani użytkownicy którzy nie są zalogowani mają dostęp tylko do wszystkich danych osób zmarłych. Jeżeli pozwala administrator, możesz zarejestrować się wysyłając prośbę o nowe konto klikając na przycisk Zaloguj, a następnie na link #gm_lang[requestpassword]#.<br /><br /><b>2. Masz już konto (nazwe użytkownika i hasło)......</b><br /> Ale nie jesteś zalogowany lub nieaktywny przez jakiś czas i twoja sesja wygasła.<br /><br /><b>3. Z powodu ochorony danych osobowych</b><br /> Każda osoba ma prawo poprosić administratora aby nie udostępniał ich danych osobowych innym (pojawia się "Prywatne") lub wogóle ukrył dane.<br/> Prywatność może być ustawiona dla:<br />a) #gm_lang[PRIV_USER]#<br />b) #gm_lang[PRIV_NONE]#<br />c) #gm_lang[PRIV_HIDE]#<br /><br /><b> 4. Brak pokrewieństwa"</b><br />Nawet jeżeli jesteś zarejestrowanym użytkownikiem <b>i</b> jesteś zalogowany, może pojawić się ten komunikat. Próbujesz przeglądać dane osoby z którą nie jesteś spokrewniony w określonej długości ścieżki pokrewieństwa określonej przez administratora.<br />Przykład:<br />"
"more_help";"<br />Jeśli chcesz mieć dostępną pomoc kontekstu na każdej stronie, upewnij sie że opcja <b>#gm_lang[show_context_help]#</b> (w Menu Pomoc) jest włączona i kliknij na znak <b>?</b> za tematem.<br />"
"more_config_help";"<br /><b>Więcej pomocy</b><br />#gm_lang[context_help]#<br /><br />"
"readme_help";"<center>Przeczytaj <a href="readme.txt" target="_blank"><b>Readme.txt</b></a> aby uzyskać więcej informacji.</center>"
"RESN_help";"~USTAWIENIA OGRANICZEŃ DLA WYDARZENIA~<br /><br />Niezalżnie od ogłólnych ustawień prywatności, PhpGedView ma możliwośc ustawienia dodatkowych restrykcji dla dostęu i edycji poszczególnych dancyh osób i rodzin. Restrykcje te może każdy ustawić i zmieniać, kto ma prawa dostępu do edytowania danych o ile ogólne ustawienia prywatności nie zabraniają tego.<br /><br />Następujące ustawienia są używane:<br /><ul><li><b>#gm_lang[none]#</b><br/>Administratorzy strony i GEDCOM oraz użytkownicy, którzy mają prawa do edycji wydarzeń mogą zmieniać te dane. Dane wydarzenie jest możliwe do przeglądania zgodnie z ogólnymi ustawieniami prywatności ustawionymi przez administratora.</li><li><b>#gm_lang[locked]#</b><br />To ustawienie nie ma wpływu na ograniczenie dostępu do danych tanego wydarzenia. Ogranicza prawa edycji pozwalając tylko na zmiany administratorom strony i GEDCOM. Jeżeli dane dotyczą określonego użytkownika, ma on także możliwość edycji tych danych.</li><li><b>#gm_lang[privacy]#</b><br /> Tylko administratorzy strony i GEDCOM oraz użytkownik (o ile ma prawa edycji), którego dane dotyczą ma prawo wglądu i edycji tych danych. Dla pozostałych dane te będą ukryte niezależnie czy ktoś będzie zalogowany czy nie.</li><li><b>#gm_lang[confidential]#</b><br />Wyłącznie administratorzy strony i GEDCOM mają prawo dostępu i edycji tych danych.</li></ul><br /><table><tr><th></th><th colspan=2>Administrator</th><th colspan=2>Właściciel</th><th colspan=2>Inni</th></tr><tr><th></th><th>R</th><th>W</th><th>R</th><th>W</th><th>R</th><th>W</th></tr><tr><td><img src="images/RESN_none.gif" alt=""/> #gm_lang[none]#</td><th><img src="images/checked.gif"/></th><th><img src="images/checked.gif"/></th><th><img src="images/checked_qm.gif"/></th><th><img src="images/checked_qm.gif"/></th><th><img src="images/checked_qm.gif"/></th><th><img src="images/checked_qm.gif"/></th></tr><tr><td><img src="images/RESN_locked.gif" alt=""/> #gm_lang[locked]#</td><th><img src="images/checked.gif"/></th><th><img src="images/checked.gif"/></th><th><img src="images/checked_qm.gif"/></th><th><img src="images/checked_qm.gif"/></th><th><img src="images/checked_qm.gif"/></th><th><img src="images/forbidden.gif"/></th></tr><tr><td><img src="images/RESN_privacy.gif" alt=""/> #gm_lang[privacy]#</td><th><img src="images/checked.gif"/></th><th><img src="images/checked.gif"/></th><th><img src="images/checked_qm.gif" /></th><th><img src="images/checked_qm.gif"/></th><th><img src="images/forbidden.gif"/></th><th><img src="images/forbidden.gif"/></th></tr><tr><td><img src="images/RESN_confidential.gif" alt=""/> #gm_lang[confidential]#</td><th><img src="images/checked.gif"/></th><th><img src="images/checked.gif"/></th><th><img src="images/forbidden.gif"/></th><th><img src="images/forbidden.gif"/></th><th><img src="images/forbidden.gif"/></th><th><img src="images/forbidden.gif"/></th></tr></table><ul><li>R : może czytać</li><li>W : może edytować</li><li><img src="images/checked_qm.gif"/> : zależy od ogólnych ustawień prywatności</li></ul>|"
"index_help";"~STRONA POWITALNA~<br /><br />To jest strona powitalna. Każda plik<a href="#def_gedcom">Gedcom</a> ma własną stronę powitalną. Możesz zawsze wrócić do tej strony wybierając ją z głównego menu. Jeżeli istniej więcej plików Gedcom klikając w menu głównym pojawi sie lista plików, możesz wybrać który plik chcesz przeglądać..<br /><b>Ta strona pomocy zawiera informacje o:</b> (since this page is the main phpGedView site page)<ul><li><a href="#index_portal">Welcome Page</a><li><a href="#header">Header Area</a><li><a href="#menu">Menus</a><li><a href="#header_general">General Information</a><li><a href="#def">Definitions</a></ul><br />Version #VERSION# brings a new look for <a href="#def_gm">phpGedView</a>. The menus, the starting page, and many other features are improved and/or revamped.<br /><br />"
"menu_help_help";"~Help Menu ~<br />#gm_lang[help_help_items]#|"
"index_portal_head_help";"<div class="name_head"><center><b>STRONA POWITALNA</b></center></div><br />|"
"index_common_names_help";"~NAJCZĘSCIEJ WYSTĘPUJĄCE NAZWISKA~<br /> List nazwisk znajdujących się w pliku GEDCOM jest wyświetlona w tym bloku. Liczbę nazwisk oskreśla administrator.<br />(Obecne ustawienia pozwalają wyświetlać nazwiska występujęce w pliku GEDCOM co najmniej #COMMON_NAMES_THRESHOLD# razy)<br /><br /> Klikając na nazwisko zostaniesz przenisiony do #gm_lang[individual_list]#, gdzie możesz więcej dowiedzieć się o danym nazwisku.<br />"
"index_loggedin_help";"~LOGGED IN USERS BLOCK~<br />Blok ten wyświetla liczbę użytkowników obecnie zalogowanych.<br />|"
"mygedview_myjournal_help";"~MÓJ DZIENNIK ~<br />Mo?esz u?ywa? tego dziennka do zapisywania notatek na w?asyn u?ytek.<br />Oczywi?cie notatki zostan? zapisane i nast?pnym razem kiedy wejdziesz na t? stron? b?d? tam nadal.<br /><br />Do dziennika nie maj? dost?pu inni u?ytkownicy.<br />"
"PEDIGREE_GENERATIONS_help";"~LICZBA POKOLEŃ~<br /><br />Tutaj możesz ustalić ilość wyświetlanych pokoleń.<br />Odpowiednia liczba zależy od rozmiaru twojego monitra i ustawionej rozdzielczości oraz czy chcesz mieć wyświetlone dodatkowe informacje o osobie."
"login_page_help";"~STRONA LOGOWANIA~<br /><br />Na tej stronie mo?esz si? zalogowac, poprosi? o nowe has?o lub o za?o?enie konta.<br />"
"username_help";"|~NAZWA UŻYTKOWNIKA~<br /><br />W tym polu wpisz swóją nazwę użytkownika (login).<br />Wielkość liter jest ważna."
"password_help";"~HASŁO~<br /><br />W tym polu wpisz twoje hasło.<br />Wielkośc liter ma znaczenie."
"new_password_help";"~POPROŚ O NEW HASŁO~<br />Jeżeli zapomniałeś swojego hasła, możesz uzyskać je klikając na odnośnik aby otworzyć je.<br />Zostaniesz przeniesiony do Strony "Prośba o zagubione hasło".|"
"new_user_help";"~POPROŚ O NOWE KONTO~<br /><br />Jeżeli jesteś gościem na tej stronie i chciałbyś mieć konto użytkownika na tej stronie, kliknij na ten link.<br />Otworzy się formularz rejestracyjny."
"relationship_id_help";"~Numery identyfikacyjne OSOBY 1 i OSOBY 2~</b><br /><br />Jeżeli weszłeś na tą stronę z innej w portalu(na przykład: klikając na "Pokrewieństwo ze mną" ) zobaczysz pokrewieństwo pomiędzy tymi dwoma osobami.<br /> W innym razie musisz sam wpisać numery indentyfikacjyjne interesujących cię osób.<br /> Jeżeli ich nie znasz, kliknijąc na "Znajdz ID" możesz znaleźć je."
"name_list_help";"~LISTA NAZWISK~<br /><br />W tym oknie pojawi się lista nazwisk lub lista nazwisk z imionami.<br /> W obu przypadkach nazwiska będą zaczynać sie od litery którą wybrałeś z indeksu alfabetycznego. O ile nie kliknąłęść "Wszystkie"<br /><br />To czy będziesz widzieć w liste nazwisk czy kompletną listę zależy od ustawień."
"add_child_help";"~DODAJ DZIECKO DO TEJ RODZNIY~<br /><br />Klikając na ten odnośnik możesz dodać dziecko do tej rodziny.<br />Dodawanie nowego dziecka jest bardzo proste: Wystarczy kliknąć na ten odnośnik, uzupełnić pola w wyświetlonym formularzu i to wszystko.<br />"
"show_fam_gedcom_help";"~POKAŻ REKORD GEDCOM~<br /><br />Informacje o rodzinie przechowywane w bazie doanych zostaną wyświetlone po kliknięciu na ten link. Dane zostaną wyświetlone w formacie GEDCOM.<br /><br />"
"add_name_help";"~DODAJ NOWE NAZWSKO~<br /><br />Ten link pozwala na dodadne innego nazwiska do tanej osoby. Czasami ludzie są znani pod innymi nazwiskami lub imionami'. Ten link pozwala na dodanie nowego nazwiska (imienia) do tanej osoby bez zmiany starego nazwiska."
"detected_ansi2utf_help";"~WYKRYTO KODOWANIE W STANDRADZIE ANSI~<br />Pilk GEDCOM rozpoznany jako plik zapisany ze znakami w standardzie ANSI. Lepiej by było dokonać konwersji do standardu UTF-8 (bardziej uniwersalny).<br /><br /><br />#gm_lang[convert_ansi2utf_help]#"
"help_contents_head_help";"<b>POMOC ZAWARTOŚCI</b><br /><br />"
"ah6_help";"_GEDCOM:  Usuń"
"ah7_help";"_GEDCOM: Dodaj"
"ah11_help";"_GEDCOM: Konfiguruj"
"ah16_help";"_GEDCOM: Ustawienia prywatności"
"ah17_help";"Zarządzanie użytkownikami"
"ah18_help";"_Administracja"
"ah21_help";"_Pliki językowe"
"simple_filter_help";"~#gm_lang[filter]#~<br /><br />Prosty filtr szukania oparty na wpisanych literach, znaki uniwersanle(np.*,?) nie są dopuszaczalne."
"show_thumb_help";"~#gm_lang[show_thumbnail]#~<br /><br />Miniaturki będą wyświetlane jeżeli zaznaczysz te pole.<br /><br />"
"year_help";"~#gm_lang[alive_in_year]#~<br /><br />Wpisz rok, w którym szukasz żyjących osób.<br /><br />"
"DBUSER_help";"The MySQL database username required to login to your database.  This sets the $DBUSER variable in the config.php file."
"CHARACTER_SET_help";"To jest kodowanie twojego pliku GEDCOM.  UTF-8 jest domyślnym kodowaniem i powinno działać dla prawie wszystkich stron.  Jeśli eksportowałeś(łaś) twój plik GEDCOM używając kodowania ibm windows, powinieneś(naś) wpisać WINDOWS tutaj.<br /><br />Ta opcja zmienia zmienną $CHARACTER_SET w pliku config.php .<br /><br />UWAGA: PHP NIE obsługuje UNICODE (UTF-16) więc nie próbuj ustawiać, i poźniej się skarżyć na problemy z PHP :-)"
"LANGUAGE_help";"Ustaw domyślny język dla strony.  Users have the ability to override this setting using their browser preferences or the form at the bottom of the page if ENABLE_MULTI_LANGUAGE = true.<br /><br />This sets the $LANGUAGE variable in the config.php file."
"ENABLE_MULTI_LANGUAGE_help";"Set to 'yes' to give users the option of selecting a different language from a dropdown list in the footer and default to the language they have set in their browser settings.<br /><br />This sets the $ENABLE_MULTI_LANGUAGE variable in the config.php file."
"SHOW_CONTEXT_HELP";"Pokaż pomoc z kontekstu"
"language_to_edit_help";"#gm_lang[edit_lang_utility]# >> <b>#gm_lang[language_to_edit]#</b><br /><br />Z tej listy możesz wybrać język, którego komunikaty chcesz edytować.<br /><br />"
"page_help";"Pomoc"
