"stat_sources";"Nguồn,"
"quick_update_instructions";"Trang này dùng cho bạn sửa nhanh nhẹn chi tiết về một người. Bạn chỉ cần cho chi tiết mới hay là những gì đã đổi từ cái hiện có trong kho dữ kiện. Sau khi nộp lên, quản lý phải chấp thuận trước khi những sự đổi coi được bởi tất cả mọi người. Xin nhớ là ngày phải cho vào bằng tiếng Anh và sẽ tự động biến đổi sang tiếng đang sử dụng."
"update_name";"Cập Nhật Tên"
"update_fact";"Cập Nhật một Sự Kiện"
"update_fact_restricted";"Cập nhật của sự kiện này bị cấm:"
"update_photo";"Cập Nhật Hình"
"photo_replace";"Có muốn đổi hình cũ với cái này không?"
"select_fact";"Chọn một sự việc"
"update_address";"Cập Nhật Địa Chỉ"
"add_new_chil";"Thêm người con mới"
"stepfamily";"Gia đình kế"
"stepdad";"Dưỡng phụ"
"stepmom";"Mẹ kế"
"stepsister";"Chị (em) cùng cha khác mẹ, chị (em) cùng mẹ khác cha"
"stepbrother";"Anh (em) cùng cha khác mẹ, anh (em) cùng mẹ khác cha"
"max_upload_size";"Chỉ gửi lên được nhiều nhất là:"
"edit_fam";"Sửa Gia Đình"
"fams_charts";"Món lựa chọn được cho Gia Đình"
"sort_by_birth";"Sắp xếp theo ngày sinh"
"reorder_children";"Sắp xếp con cái theo thứ tự"
"copy";"Chép"
"cut";"Cắt đi"
"indis_charts";"Chọn Đặc Tính của Nhân Vật"
"edit_indi";"Sửa nhân vật"
"locked";"Không Đổi"
"privacy";"Bí mật"
"sorry";"<b>Rất tiếc rằng hướng dẫn cho trang hay món này chưa có.</b>"
"var_not_exist";"<span style=font-weight: bold>Biến số của ngôn ngữ này chưa có. Xin báo cáo chuyện này vì đó là sự sai lầm.</span>"
"menu";"Bảng chọn"
"header";"Côlectơ"
"login_head";"Đăng nhập vào Genmod"
"error_title";"Có gì sai: Không thể mở tập tin GEDCOM"
"error_header";"Cái tập tin GEDCOM, <b>#GEDCOM#</b>, không có ở nơi chỉ định."
"error_header_write";"Cái tập tin GEDCOM, <b>#GEDCOM#</b>, không viết xuống được. Xin kiểm thuộc tính và quyền sài."
"for_support";"Đặng hướng dẫn hoặc có thêm chi tiết của chương trình này, xin liên lạc với"
"for_contact";"Đặng hướng dẫn về gia phả, xin liên lạc với"
"for_all_contact";"Đặng hướng dẫn về chương trình này hay là hỏi về gia phả, xin liên lạc với"
"build_title";"Đang xây Tập Tin Chỉ Số."
"build_error";"Tập tin GEDCOM đã cập nhật"
"please_wait";"Xin chờ trong khi đang xây lại tập tin Chỉ Số."
"choose_gedcom";"Xin chọn một dải dữ liệu GEDCOM"
"username";"Tên truy nhập"
"invalid_username";"Tên truy nhập có kí tự không có thể chấp nhận"
"password";"Mật khẩu"
"confirm";"Xác nhận mật khẩu"
"user_contact_method";"Cách Giao Thiệp Ưu Tiên "
"login_aut";"Sửa Thành Viên"
"logout";"Đăng ra"
"admin";"Quản trị"
"logged_in_as";"Đăng nhập là"
"my_pedigree";"Dòng Giống của Tôi"
"my_indi";"Ký lục của Tôi"
"yes";"Có"
"no";"Không"
"add_gedcom";"Thêm GEDCOM"
"index_header";"Đồ Thị Dòng Giống"
"gen_ped_chart";"#PEDIGREE_GENERATIONS# Đồ Thị Đời trong Dòng Giống"
"generations";"Thế Hệ"
"view";"Cho Xem"
"fam_spouse";"Gia đình với thư nhân"
"root_person";"Nhận Diện của Người Đầu"
"hide_details";"Giấu Chi Tiết"
"show_details";"Cho Xem Chi Tiết"
"person_links";"Những mối liên lạc tới đồ thị, gia đình, và gia quyến của người này. Nhấn vào tượng này đặng xem trang này, bắt đầu bằng người này."
"zoom_box";"Phóng ra/thu nhỏ cái hộp này."
"portrait";"Chân Dung"
"landscape";"Phong Cảnh"
"start_at_parents";"Bắt Đầu ở Cha Mẹ"
"max_generation";"Số đời cao nhất trong dòng giống là #PEDIGREE_GENERATIONS#."
"min_generation";"Số đời nhỏ nhất trong dòng giống là 3."
"box_width";"Chiều ngang của hộp"
"unable_to_find_family";"Không tìm thấy gia đình với Nhận Diện"
"unable_to_find_indi";"Không tìm thấy người với Nhận Diện"
"unable_to_find_record";"Không tìm thấy ký lục với Nhận Diện"
"unable_to_find_source";"Không tìm thấy nguồn với Nhận Diện"
"unable_to_find_repo";"Không tìm thấy nơi tàng trữ với Nhận Diện"
"repo_name";"Tên Nơi Tàng Trữ:"
"address";"Địa Chỉ:"
"phone";"Số điện thoại:"
"source_name";"Tên của nguồn:"
"title";"Đầu Đề"
"author";"Tác giả:"
"publication";"In bản ở:"
"living";"Còn Sống"
"private";"Không được bộc lộ"
"birth";"Sinh:"
"death";"Tử:"
"place_list_aft";"Danh Sách tiếp của những Nơi "
"print_preview";"Trang đặng in"
"cancel_preview";"Trở lại trang thường"
"change_lang";"Ðổi Ngôn Ngữ"
"print";"In"
"back";"Quay về"
"privacy_list_indi_error";"Theo điều lệ kín đáo, một hay nhiều người đã bị giấu đi."
"privacy_list_fam_error";"Theo điều lệ kín đáo, một hay nhiều gia đình đã bị giấu đi."
"aka";"Còn Gọi Là"
"male";"Nam"
"female";"Nữ"
"status";"Tình trạng"
"source";"Nguồn"
"citation";"Trích dẫn:"
"text";"Bản văn của Nguồn:"
"note";"Lời ghi"
"unrecognized_code_msg";"Cái này bị sai, và chúng tôi muốn sửa. Xin báo cáo cho"
"indi_info";"Chi tiết cá nhân"
"family";"Gia Đình"
"family_with";"Gia đình với"
"as_spouse";"Gia đình với thư nhân"
"as_child";"Gia đình của cha mẹ"
"view_gedcom";"Coi ký lục GEDCOM"
"privacy_error";"Chi tiết của người này không được bộc lộ.<br />"
"more_information";"Đặng có thêm chi tiết, xin liên lạc với"
"name";"Tên"
"given_name";"Tên Gọi:"
"surname";"Tên Họ:"
"suffix";"Hậu Tố:"
"sex";"Giới tính"
"personal_facts";"Sự Kiện và Chi Tiết Cá Nhân"
"type";"Loại"
"date";"Ngày Tháng"
"place_description";"Nơi / Diễn tả"
"parents";"Cha; Mẹ:"
"siblings";"Anh(Chị) Em"
"father";"Bố"
"mother";"Mẹ"
"relatives";"Gia Quyến"
"child";"Con"
"spouse";"Thư Nhân"
"surnames";"Tên Họ"
"adopted";"Nhận làm con nuôi"
"foster";"Nuôi nấng"
"sealing";"Dấu niêm phong"
"challenged";"Bị thách thức"
"disproved";"Bị bác bỏ"
"no_tab1";"Không có Sự Kiện nào cho người này"
"no_tab2";"Không có Lời Ghi nào cho người này"
"no_tab3";"Không có Nguồn nào cho người này"
"no_tab4";"Không có đồ môi thể nào cho người này"
"no_tab5";"Không có Thân Bằng nào cho người này"
"no_tab6";"Không có sổ nghiên cứu nào kèm theo với người này."
"family_info";"Chi tiết về gia đình "
"family_group_info";"Chi tiết về nhóm gia đình"
"husband";"Chồng"
"wife";"Vợ"
"marriage";"Hôn lễ:"
"lds_sealing";"Niêm phong LDS:"
"marriage_license";"Giấy Đăng Ký Kết Hôn:"
"media_object";"Đồ Đa môi thể"
"children";"Con"
"no_children";"Không Có Con"
"parents_timeline";"Coi lịch sử của đôi vợ chồng"
"item_with_id";"Tiết Mục với Nhận Diện"
"just_family";"Chỉ thêm ký lục của gia đình này."
"continue";"Tiếp tục thêm"
"just_person";"Chỉ thêm người này."
"person_private";"Chi Tiết của người này không được bộc lộ. Sẽ không có chi tiết cá nhân."
"family_private";"Chi Tiết của gia đình này không được bộc lộ. Sẽ không có chi tiết gia đình."
"media_files";"Tập Tin Môi Thể ám chỉ bởi GEDCOM này"
"id";"Nhận Diện"
"name_description";"Tên / Diễn tả"
"remove";"Rút ra"
"download_now";"Lấy xuống bây giờ"
"indi_downloaded_from";"Người này đã lấy xuống từ:"
"family_downloaded_from";"Gia Đình này đã lấy xuống từ:"
"source_downloaded_from";"Nguồn này đã lấy xuống từ:"
"top_level";"Hàng cao nhất"
"unknown";"không biết ngày"
"individuals";"Nhân Vật"
"view_records_in_place";"Xem tất cả những ký lục tìm thấy ở chỗ này"
"place_list2";"Danh Sách của Nơi"
"show_place_hierarchy";"Cho Xem Nơi theo Thứ Tự "
"show_place_list";"Cho Xem Tất Cả những Nơi trong một Danh Sách"
"total_unic_places";"Tổng số những Nơi Duy Nhất"
"multi_title";"Danh Sách Đồ Đa Môi Thể"
"media_found";"Tìm thấy đồ Môi Thể"
"view_person";"Cho Xem Cá Nhân"
"view_family";"Cho Xem Gia Đình"
"view_source";"Cho Xem Nguồn"
"prev";"< Trước"
"next";"Tiếp >"
"file_not_found";"Không tìm thấy được tập tin."
"medialist_show";"Cho Xem"
"per_page";"đồ môi thể trong mỗi trang"
"add_directory";"Thêm mục lục"
"show_thumbnail";"Cho xem bức chân dung nhỏ"
"no_thumb_dir";"mục lục bức chân dung nhỏ không có và không tạo ra được."
"manage_media";"Quản Xuyến môi thể"
"gen_thumb";"Tạo ra bức chân dung nhỏ"
"security_no_create";"Cảnh Cáo An Ninh: Tập Tin <b><i>index.php</i></b> không có trong"
"security_not_exist";"Cảnh Cáo An Ninh: Không gây ra được  tập tin <b><i>index.php</i></b> trong"
"illegal_chars";"Kí tự không hợp pháp trong tên"
"media_id";"Nhận Diện Môi Thể"
"invalid_id";"Không có Nhận Diện nào như vậy trong cái tập tin GEDCOM này"
"upload_file";"Lấy tập tin từ máy điện toán này"
"thumb_genned";"Bức chân dung nhỏ đã được tự động tạo ra."
"thumbgen_error";"Không tạo ra được bức chân dung nhỏ cho"
"generate_thumbnail";"Tự động tạo ra bức chân dung nhỏ từ"
"no_upload";"Không được quyền gửi lên tập tin môi thể vì những món đa môi thể bị cấm hoặc là không có quyền viết vào mục lục môi thể."
"upload_media";"Gửi lên tập tin Môi Thể"
"media_file";"Tập tin Môi Thể"
"thumbnail";"Bức chân dung nhỏ"
"search_gedcom";"Tìm những tập tin GEDCOM"
"sources";"Nguồn"
"firstname_search";"Tên Gọi"
"lastname_search";"Tên Họ"
"search_place";"Nơi"
"search_year";"Năm"
"no_results";"Không tìm thấy gì hẽt."
"invalid_search_input";"Xin cho vào Tên Gọi, Tên Họ, hoặc là Nơi nt thêm với Năm"
"sources_found";"Tìm Thấy Căn Nguyên"
"titles_found";"Đầu Đề"
"find_source";"Tìm Kiếm Nguồn"
"repos_found";"Nơi Tàng Trữ tìm thấy"
"find_repository";"Tìm Kiếm Nơi Tàng Trữ"
"total_repositories";"Tổng số Nơi Tàng Trữ"
"repo_info";"Kiến Thức về Nơi Tàng Trữ"
"delete_repo";"Xóa Nơi Tàng Trữ"
"other_repo_records";"Những Ký Lục chỉ vào Nơi Tàng Trữ này:"
"create_repository";"Tạo nơi tàng trữ"
"new_repo_created";"Nơi tàng trữ mới đã tạo ra"
"confirm_delete_repo";"Có chắc là muốn xóa Ký Lục này khỏi kho dữ kiện?"
"source_info";"Kiến Thức về Nguồn"
"people";"Người"
"families";"Gia Đình"
"total_sources";"Tổng số Nguồn"
"importing_records";"Lấy ký lục vào kho dữ kiện"
"detected_change";"Genmod khám phá sự thay đổi trong <b>#GEDCOM#</b>. Phải xây lại tập tin chỉ số trước khi tiếp tục."
"please_be_patient";"Xin kiên nhẩn"
"reading_file";"Đang đọc tập tin GEDCOM"
"flushing";"Đang dẹp nội dung"
"found_record";"Kiếm được ký lục"
"exec_time";"Thời gian thi hành:"
"time_limit";"Hạn chế thời gian:"
"indi_complete";"Hiện đại hoá tập tin chỉ số của nhân vật hoàn toàn."
"family_complete";"Hiện đại hoá tập tin chỉ số của gia đình hoàn toàn."
"source_complete";"Hiện đại hoá tập tin chỉ số của nguồn hoàn toàn."
"you_may";"Bạn có thể:"
"index_complete";"Chỉ Số hoàn toàn."
"click_here_to_go_to_pedigree_tree";"Nhấn vào đây để đi tới đồ thị Dòng Giống."
"import_complete";"Thu nhận hoàn toàn."
"addmedia";"Thêm dụng cụ Môi Thể"
"created_indis";"Gây ra được bản <i>Individuals</i>."
"created_indis_fail";"Không gây ra được bản <i>Individuals</i>."
"created_fams";"Gây ra được bản <i>Families</i>."
"created_fams_fail";"Không gây ra được bản <i>Families</i>."
"created_sources";"Gây ra được bản <i>Sources</i>."
"created_sources_fail";"Không gây ra được bản <i>Sources</i>."
"created_other";"Gây ra được bản <i>Other</i>."
"created_other_fail";"Không gây ra được bản <i>Other</i>."
"created_places";"Gây ra được bản <i>Places</i>."
"created_places_fail";"Không gây ra được bản <i>Places</i>."
"total_fams";"Tổng số những gia đình"
"total_indis";"Tổng số nhân vật"
"starts_with";"Bắt đầu với:"
"person_list";"Danh sách nhân vật:"
"paste_person";"Niêm yết nhân vật"
"notes_sources_media";"Lời Ghi, Nguồn, và Môi Thể"
"notes";"Lời Ghi"
"ssourcess";"Nguồn"
"media";"Môi Thể"
"name_contains";"Trong tên có"
"filter";"Lọc"
"find_individual";"Kiếm Nhận Diện của Nhân Vật"
"find_familyid";"Kiếm Nhận Diện của Gia Đình"
"find_sourceid";"Kiếm Nhận Diện của Nguồn"
"find_specialchar";"Kiếm Chữ Đặc Biệt"
"magnify";"Phóng Đại"
"skip_surnames";"Tránh Danh sách Tên Họ"
"show_surnames";"Xem Danh sách Tên Họ"
"all";"Tất cả"
"hidden";"Giấu mất"
"confidential";"Giữ kín"
"age";"Tuổi"
"remove_person";"Lấy nhân vật ra"
"show_age";"Cho xem mức tuổi"
"add_another";"Thêm người nữa trong đồ thị:<br />Nhận Diện của người đó:"
"find_id";"Tìm Nhận Diện"
"show";"Cho xem"
"year";"Năm:"
"zoom_in";"Phóng to"
"zoom_out";"Thu nhỏ"
"readme_documentation";"Tài liệu về chương trình này"
"configuration";"Cấu Hình"
"rebuild_indexes";"Xây lại Chỉ Số"
"user_admin";"Kiềm Chế Thành Viên"
"inc_languages";"Ngôn ngữ"
"user_created";"Thành công tạo ra thành viên."
"user_create_error";"Không thêm thành viên được. Xin thử lại."
"password_mismatch";"Mật khẩu nhập vào không thống nhất."
"enter_username";"Bạn phải nhập tên vào"
"enter_fullname";"Bạn phải cho tên toàn diện."
"enter_password";"Bạn phải nhập vào mật khẩu"
"confirm_password";"Bạn phải xác nhận mật khẩu"
"update_user";"Hiện Đại Hoá Tài Khoản Thành Viên"
"update_myaccount";"Hiện Đại Hoá Tài Khoản của Tôi"
"save";"Giữ Lại"
"delete";"Xoá Đi"
"edit";"Sửa"
"full_name";"Tên Toàn Diện"
"visibleonline";"Xem thấy được bởi những người dùng khác khi nào trên này"
"editaccount";"Cho người dùng này sửa tài khoản của mình"
"admin_gedcom";"Quản trị GEDCOM"
"confirm_user_delete";"Bạn có chắc là muốn xóa thành viên"
"create_user";"Tạo Thành Viên"
"no_login";"Không thể xác nhận thành viên."
"import_gedcom";"Thu nhận tập tin GEDCOM này"
"duplicate_username";"Đã có tên giống hệt. Đã có một thành viên với tên đó. Xin lựa tên khác"
"gedcomid";"Nhận Diện của cá nhân trong GEDCOM"
"enter_gedcomid";"Bạn phải cho vào Nhận Diện trong GEDCOM."
"user_info";"Chi tiết thành viên của tôi"
"rootid";"Người Bắt Đầu Dòng Giống"
"download_gedcom";"Lấy xuống GEDCOM"
"upload_gedcom";"Gửi lên GEDCOM"
"add_new_gedcom";"Tạo một GEDCOM mới"
"gedcom_file";"Tập tin GEDCOM:"
"enter_filename";"Bạn phải cho tên của tập tin GEDCOM."
"file_not_exists";"Tên đánh vào của tập tin không có."
"file_exists";"Đã có một tập tin với tên này. Xin lựa một tên khác hoặc hủy bỏ tập tin củ."
"new_gedcom_title";"Bảng Phả Hệ từ [#GEDCOMFILE#]"
"upload_error";"Có chuyện sai lầm khi gửi lên tập tin của bạn."
"file_success";"Tập tin gửi lên tốt đẹp"
"file_too_big";"Tập tin đã gửi lên quá hạn chế lượng"
"manage_gedcoms";"Quản xuyến GEDCOMs và đặt mực kín đáo"
"research_log";"Sổ Nghiên Cứu"
"administration";"Quản trị"
"view_logs";"Xem sổ nhật ký"
"step1";"Bước 1 của  4:"
"step2";"Bước 2 của  4:"
"step3";"Bước 3 của  4:"
"step4";"Bước 4 của  4:"
"gm_registry";"Viếng những nơi khác dùng Genmod"
"add_media_records";"Thêm Ký Lục Môi Thể"
"manage_media_files";"Quản Xuyến Tập Tin Môi Thể"
"add_media_button";"Thêm Môi Thể"
"person1";"Người 1"
"person2";"Người 2"
"sibling";"Anh(Chị) Em"
"son";"Con Trai"
"daughter";"Con Gái"
"brother";"Anh (Em) Trai"
"sister";"Anh (Em) Gái"
"relationship_to_me";"Liên hệ với tôi"
"rela_husb";"Liên hệ với chồng"
"rela_wife";"Liên hệ với vợ"
"oldest_top";"Sắp đặt già nhất phía trên"
"check_delete";"Bạn có chắc là muốn xoá bỏ sự kiện GEDCOM này?"
"access_denied";"<b>Cấm Vào</b><br />Bạn không có quyền xem tài nguyên này."
"gedrec_deleted";"Xoá bỏ ký lục này ở trong GEDCOM đã thành công."
"gedcom_deleted";"GEDCOM [#GED#] xoá bỏ tốt lành."
"changes_exist";"GEDCOM này đã thay đổi."
"accept_changes";"Chấp nhận/từ chối Đổi"
"edit_raw";"Sửa ký lục GEDCOM thô"
"show_changes";"Ký lục này đã cập nhật. Nhấn vào đây để xem."
"hide_changes";"Nhấn vào đây để che khuất những gì đã đổi."
"review_changes";"Coi lại những gì đã đổi trong GEDCOM."
"undo";"Sửa lại"
"changes_occurred";"Người này đã có những gì sau đây đổi:"
"find_place";"Tìm Nơi"
"close_window";"Đóng trang này"
"close_window_without_refresh";"Đóng trang này khỏi chất lại"
"ged_import";"Nhập khẩu"
"add_fact";"Thêm sự kiện"
"add";"Thêm"
"custom_event";"Sự việc riêng rẽ"
"update_successful";"Cập Nhật thành công"
"add_child";"Thêm con"
"add_child_to_family";"Thêm con cho gia đình này"
"add_sibling";"Thêm anh(chị) em"
"add_son_daughter";"Thêm con trai hay con gái"
"must_provide";"Bạn phải cho một "
"delete_person";"Xóa nhân vật này"
"confirm_delete_person";"Bạn có chắc chắn bạn muốn huỷ người này trong tập tin GEDCOM?"
"find_media";"Tìm Môi Thể"
"set_link";"Đặt mối liên kết"
"add_source_lbl";"Thêm Nguồn Sự Dẫn"
"add_source";"Thêm Nguồn Sự Dẫn mới"
"add_note_lbl";"Thêm Lời Ghi"
"add_note";"Thêm Lời Ghi mới"
"add_media_lbl";"Thêm Môi Thể"
"add_media";"Thêm Môi Thể mới"
"delete_source";"Huỷ Nguồn này"
"confirm_delete_source";"Bạn có chắc chắn bạn muốn huỷ Nguồn này trong tập tin GEDCOM?"
"add_husb";"Thêm chồng"
"add_husb_to_family";"Thêm chồng mới cho gia đình này"
"add_wife";"Thêm vợ"
"add_wife_to_family";"Thêm vợ mới cho gia đình này"
"find_family";"Tìm gia đình"
"find_fam_list";"Tìm danh sách gia đình"
"add_new_wife";"Thêm vợ mới"
"add_new_husb";"Thêm chồng mới"
"edit_name";"Sửa Tên"
"delete_name";"Xoá Tên"
"replace";"Đổi ký lục"
"append";"Thêm vào ký lục nửa"
"add_father";"Thêm bố mới"
"add_mother";"Thêm mẹ mới"
"accept";"Chấp Nhận"
"accept_all";"Chấp nhận tất cả"
"select_date";"Chọn một ngày"
"create_source";"Gây ra nguồn mới"
"new_source_created";"Thành công tạo ra nguồn mới."
"add_name";"Thêm Tên mới"
"add_asso";"Thêm người liên kết mới"
"on_this_day";"Trong ngày này, trong quá khứ..."
"in_this_month";"Trong tháng này, trong quá khứ..."
"in_this_year";"Trong năm này, trong quá khứ..."
"year_anniversary";"Kỷ niệm năm #year_var#"
"today";"Hôm nay"
"day";"Ngày:"
"month";"Tháng:"
"showcal";"Trưng bày sự kiện của:"
"sunday";"Chủ Nhật"
"monday";"Thứ Hai"
"tuesday";"Thứ Ba"
"wednesday";"Thứ Tư"
"thursday";"Thứ Năm"
"friday";"Thứ Sáu"
"saturday";"Thứ Bảy"
"all_people";"Mọi Người"
"living_only";"Người Sống"
"recent_events";"Những năm gần đây (< 100 năm)"
"day_not_set";"Ngày chưa đặt vào"
"lost_password";"Quên mật khẩu?"
"requestpassword";"Xin mật khẩu mới"
"no_account_yet";"Không có tài khoản?"
"requestaccount";"Đăng ký"
"emailadress";"Địa chỉ thư điện tử"
"mail01_line01";"Chào #user_fullname# ..."
"mail02_line01";"Chào Quản Lý ..."
"registernew";"Chứng thực Tài Khoản mới"
"user_verify";"Xác minh thành viên"
"send";"Gửi"
"mail03_line01";"Chào Quản Lý ..."
"pls_note10a";"Bây giờ bạn có thể đăng nhập với tên truy nhập và mật khẩu của bạn"
"data_incorrect";"Dữ liệu không đúng, xin làm lại"
"user_not_found";"Không kiểm lại được những gì bạn đã cho vào. Xin làm lại"
"lost_pw_reset";"Cho xin mật khẩu lại"
"enter_email";"Bạn phải cho địa chỉ thư điện tử"
"mail04_line01";"Chào #user_fullname# ..."
"mail04_line02";"Một mật khẩu mới đã được thỉnh cầu cho tên truy nhập của bạn"
"mail04_line03";"Đề nghị là:"
"editowndata";"Tài Khoản của Tôi"
"myuserdata";"Tài Khoản của Tôi"
"verified";"Thành viên đã tự kiểm mình"
"verified_by_admin";"Thành viên được chấp thuận bởi quản lý"
"mgv";"GedView của Tôi"
"passwordlength";"Mật khẩu phải có tối thiểu 6 kí tự"
"admin_approved";"Tài khoản của bạn tại #SERVER_NAME# đã được chấp thuận"
"you_may_login";"bởi quản lý của website này. Bây giờ có thể bạn truy nhập website Genmod bằng mối dưới này."
"welcome";"Chào Mừng"
"chat";"Tán gẫu"
"message";"Gửi Bức điện"
"my_messages";"Những Bức điện của tôi:"
"date_created";"Gửi ngày:"
"message_from";"Địa chỉ thư điện tử:"
"message_from_name";"Tên bạn:"
"message_to";"Bức điện cho:"
"message_subject";"Chủ đề:"
"message_body";"Thân dung:"
"reply";"Trả lời"
"message_deleted";"Bức điện đã xoá bỏ"
"message_sent";"Bức điện đã gửi đi"
"reset";"Đặt lại"
"site_default";"Mặc định của site"
"no_messages";"Bạn không có bức điện nào đang chờ."
"my_favorites";"Ưa Chuộng của Tôi"
"no_favorites";"Bạn chưa có lựa người ưa chuộng. Đặng lựa người ưa chuộng, xin <b>Tìm Kiếm</b> chi tiết người đó và nhấn vào cái mối <b>Thêm vào Ưa Chuộng của Tôi</b> trong mối <b>Cái khác</b>, hay là dùng cái hộp <b>Tìm Nhận Diện</b> dưới đây đặng thêm người theo số Nhận Diện"
"add_to_my_favorites";"Thêm vào Ưa Chuộng của Tôi"
