"ABBR";"Abbreviation"
"_FREL";"Relationship to Father"
"_GEDF";"GEDCOM File"
"_GMU";"Last Changed By"
"_HAIR";"Hair Color"
"_HEB";"Hebrew"
"_HEIG";"Height"
"_HIST";"Historical event"
"_HNM";"Hebrew Name"
"_HOL";"Holocaust"
"_INTE";"Interred"
"_MARI";"Marriage Intention"
"_MARNM";"Married Name"
"_MARR_CHIL";"Marriage of a child"
"_MARR_COUS";"Marriage of a first cousin"
"_MARR_FATH";"Marriage of father"
"_MARR_FSIB";"Marriage of a father's sibling"
"_MARR_GCHI";"Marriage of a grandchild"
"_MARR_HSIB";"Marriage of a half-sibling"
"_MARR_MOTH";"Marriage of mother"
"_MARR_MSIB";"Marriage of a mother's sibling"
"_MARR_SIBL";"Marriage of a sibling"
"_MBON";"Marriage Bond"
"_MDCL";"Medical"
"_MEDC";"Medical Condition"
"_MEND";"Marriage Ending Status"
"_MILI";"Military"
"_MILT";"Military Service"
"_MREL";"Relationship to Mother"
"_MSTAT";"Marriage Beginning Status"
"_NAME";"Mailing Name"
"_NLIV";"Not living"
"_NMAR";"Never married"
"_NMR";"Not married"
"_PRIM";"Highlighted Image"
"_PRIMARY";"Display as primary in charts"
"_PRMN";"Permanent Number"
"_SCBK";"Scrapbook"
"_SEPR";"Separated"
"_SSHOW";"Slide Show"
"_STAT";"Marriage Status"
"_SUBQ";"Short Version"
"_THUM";"Use this image as the thumbnail?"
"_TODO";"To Do Item"
"_TYPE";"Media Type"
"_UID";"Universal Identifier"
"_WEIG";"Weight"
"_YART";"Yartzeit"
