"select_an_option";"Select an option below:"
"edit_repo";"Edit Repository"
"edit_sour";"Edit Source"
"edit_note";"Edit Note"
"source_menu";"Options for source"
"user_auto_accept";"Automatically accept changes made by this user"
"cancel";"Cancel"
"change";"Change"
"change_family_instr";"Use this page to change or remove family members.<br /><br />For each member in the family, you can use the Change link to choose a different person to fill that role in the family.  You can also use the Remove link to remove that person from the family.<br /><br />When you have finished changing the family members, click the Save button to save the changes.<br />"
"change_family_members";"Change Family Members"
"delete_family_confirm";"Deleting the family will unlink all of the individuals from each other but will leave the individuals in place.  Are you sure you want to delete this family?"
"delete_family";"Delete family"
"add_favorite";"Add a new favorite"
"url";"URL"
"add_fav_enter_note";"Enter an optional note about this favorite"
"add_fav_or_enter_url";"OR<br />Enter a URL and a title"
"add_fav_enter_id";"Enter a Person, Family, or Source ID"
"import_time_exceeded";"The execution time limit was reached.  Click the Continue button below to resume importing the GEDCOM file."
"next_email_sent";"Next email reminder will be sent after "
"last_email_sent";"Last email reminder was sent "
"confirm_remove";"Are you sure you want to remove this person from the family?"
"remove_child";"Remove this child from the family"
"link_new_husb";"Add a husband using an existing person"
"link_new_wife";"Add a wife using an existing person"
"address_labels";"Address Labels"
"filter_address";"Show addresses that contain:"
"address_list";"Address List"
"autocomplete";"Autocomplete"
"reject_all_confirm";"Are you sure you want to reject all of the changes for this file?"
"reject_all";"Reject all changes"
"index_edit_advice";"Highlight a  block name and then click on one of the arrow icons to move that highlighted block in the indicated direction."
"importing_dates";"Importing date records"
"changelog";"Version #VERSION# changes"
"view_changelog";"View changelog.txt file"
"html_block_descr";"This is a simple HTML block that you can place on your page to add any sort of message you may want."
"num_to_show";"Number of items to show"
"days_to_show";"Number of days to show"
"before_or_after";"Place counts before or after name?"
"before";"before"
"after";"after"
"pls_note12";"Please use this field to describe why you are requesting an account on this site and how you are related to the genealogy data."
"enter_comments";"Please enter your relationship to the data in the Comments field."
"comments";"Comments"
"none";"None"
"ahnentafel_report";"Ahnentafel Report"
"ahnentafel_header";"Ahnentafel Report for "
"ahnentafel_generation";"Generation "
"ahnentafel_pronoun_m";"He "
"ahnentafel_pronoun_f";"She "
"ahnentafel_born_m";"was born"
"ahnentafel_born_f";"was born"
"ahnentafel_christened_m";"was christened"
"ahnentafel_christened_f";"was christened"
"ahnentafel_married_m";"married"
"ahnentafel_married_f";"married"
"ahnentafel_died_m";"died"
"ahnentafel_died_f";"died"
"ahnentafel_buried_m";"was buried"
"ahnentafel_buried_f";"was buried"
"ahnentafel_place";"in "
"ahnentafel_no_details";"but the details are unknown"
"child-family";"Parents and siblings"
"spouse-family";"Spouse and children"
"direct-ancestors";"Direct line ancestors"
"ancestors";"Direct line ancestors and their families"
"descendants";"Descendants"
"choose_relatives";"Choose relatives"
"relatives_report";"Relatives Report"
"total_living";"Total living"
"total_dead";"Total dead"
"total_not_born";"Total not yet born"
"remove_custom_tags";"Remove custom GM tags? (eg. _GMU, _THUM)"
"download_zipped";"Download GEDCOM as ZIP file?"
"remember_me";"Remember me from this computer?"
"add_unlinked_person";"Add an unlinked person"
"fams_with_surname";"Families with surname #surname#"
"genealogy_contact";"Genealogy contact"
"continue_import";"Continue importing"
"importing_places";"Importing place records"
"common_upload_errors";"This error probably means that the file you tried to upload exceeded the limit set by your host.  The default limit in PHP is 2MB.  You can contact your host's Support group to have them increase the limit in the php.ini file, or you can upload the file using FTP.  Use the <a href="uploadgedcom.php?action=add_form"><b>Add GEDCOM</b></a> page to add a GEDCOM file you have uploaded using FTP."
"total_memory_usage";"Total Memory Usage:"
"mothers_family_with";"Mother's Family with "
"fathers_family_with";"Father's Family with "
"halfsibling";"Half-Sibling"
"halfbrother";"Half-Brother"
"halfsister";"Half-Sister"
"no_relation";"No relation"
"family_timeline";"Show family on timeline chart"
"children_timeline";"Show children on timeline chart"
"other";"Other"
"sort_by_marriage";"Sort by marriage date"
"reorder_families";"Reorder Families"
"indis_with_surname";"Individuals with surname #surname#"
"first_letter_fname";"Choose a letter to show individuals whose first name starts with that letter."
"import_marr_names";"Import Married Names"
"marr_name_import_instr";"Click the button below only if you want Genmod to calculate married names for female individuals in this GEDCOM.  This will allow you to search and list females by their married names.  <i>Note: The married names will only show up in the lists if you enable this option in the GEDCOM configuration. <b>Calculating married names is optional.</b></i>"
"calc_marr_names";"Calculating Married Names"
"total_names";"Total Names"
"top10_pageviews_nohits";"There are currently no hits to show."
"top10_pageviews_msg";"The counters must be enabled in the GEDCOM configuration for this block to work."
"review_changes_descr";"The Pending Changes block will give users with Edit rights a list of the records that have been changed online and that still need to be reviewed and accepted.  These changes are pending acceptance or rejection.<br /><br />If this block is enabled, users with Accept rights will receive an email once a day notifying them that changes need to be reviewed."
"review_changes_email";"Send out reminder emails?"
"review_changes_email_freq";"Reminder email frequency (days)"
"review_changes_subject";"Genmod - Review changes"
"review_changes_body";"Online changes have been made to a genealogical database.  These changes need to be reviewed and accepted before they will appear to all users.  Please use the URL below to enter that Genmod site and login to review the changes."
"show_spouses";"Show spouses"
"quick_update_title";"Quick Update"
"quick_update_instructions";"This page allows you to quickly update information for an individual.  You only need to fill out the information that is new or that has changed from what is currently in the database.  After your changes have been submitted they have to be reviewed by an administrator before they will become visible to all."
"update_name";"Update Name"
"update_fact";"Update a Fact"
"update_fact_restricted";"Update of this fact is restricted:"
"update_photo";"Update Photo"
"photo_replace";"Do you want to replace an older photo with this one?"
"select_fact";"Select a fact..."
"update_address";"Update Address"
"add_new_chil";"Add a new child"
"top10_pageviews_descr";"This block will show the 10 records that have been viewed the most.  This block requires that Hit Counters be enabled in the GEDCOM configuration settings."
"top10_botviews_descr";"This block will show the 10 records that have been viewed the most by robots.  This block requires that Hit Counters be enabled in the GEDCOM configuration settings."
"top10_pageviews_block";"Most Viewed Items"
"user_default_tab";"Default Tab to show on Individual Information page"
"stepfamily";"Step Family"
"stepdad";"Step-Father"
"stepmom";"Step-Mother"
"stepsister";"Step-Sister"
"stepbrother";"Step-Brother"
"max_upload_size";"Maximum upload size: "
"edit_fam";"Edit Family"
"fams_charts";"Options for family"
"sort_by_birth";"Sort by birth dates"
"reorder_children";"Re-order children"
"add_from_clipboard";"Add from Clipboard: "
"record_copied";"Record copied to clipboard"
"copy";"Copy"
"cut";"Cut"
"indis_charts";"Options for individual"
"edit_indi";"Edit individual"
"locked";"Locked"
"privacy";"Privacy"
"number_sign";"#"
"qm";"?"
"qm_ah";"?"
"gedcom_stats_block";"GEDCOM Statistics"
"sorry";"<b>Sorry, Help text for this page or item is not yet available.</b>"
"var_not_exist";"<span style=font-weight: bold>The language variable does not exist. Please report this as it is an error.</span>"
"resolution";"Screen Resolution"
"menu";"Menu"
"header";"Header"
"imageview";"Image Viewer"
"login_head";"Genmod User Login"
"error_title";"ERROR: Cannot open GEDCOM file"
"error_header";"The GEDCOM file, <b>#GEDCOM#</b>, does not exist at the specified location."
"error_header_write";"The GEDCOM file, <b>#GEDCOM#</b>, is not writable. Please check attributes and access rights."
"for_support";"For technical support and information contact"
"for_contact";"For help with genealogy questions contact"
"for_all_contact";"For technical support or genealogy questions, please contact"
"build_title";"Building Index Files"
"build_error";"GEDCOM file has been updated."
"please_wait";"Please wait while Index files are rebuilt."
"choose_gedcom";"Choose a GEDCOM dataset"
"username";"User name"
"invalid_username";"User name contains invalid characters"
"firstname";"First Name"
"lastname";"Last Name"
"password";"Password"
"confirm";"Confirm Password"
"user_contact_method";"Preferred Contact Method"
"login_aut";"Edit User"
"logout";"Logout"
"admin";"Admin"
"logged_in_as";"Logged in as "
"my_pedigree";"My Pedigree"
"my_indi";"My Individual Record"
"yes";"Yes"
"no";"No"
"add_gedcom";"Add file"
"change_theme";"Change Theme"
"gedcom_downloadable";"This file is downloadable over the internet!<br />Please see the SECURITY section of the <a href="readme.txt"><b>readme.txt</b></a> file to fix this problem"
"index_header";"Pedigree Tree"
"gen_ped_chart";"#PEDIGREE_GENERATIONS# Generation Pedigree Chart"
"generations";"Generations"
"view";"View"
"fam_spouse";"Family with spouse"
"root_person";"Root Person ID"
"hide_details";"Hide Details"
"show_details";"Show Details"
"person_links";"Links to charts, families, and close relatives of this person. Click this icon to view this page, starting at this person."
"zoom_box";"Zoom in/out on this box."
"orientation";"Orientation"
"portrait";"Portrait"
"landscape";"Landscape"
"start_at_parents";"Start at parents"
"max_generation";"The maximum number of pedigree generations is #PEDIGREE_GENERATIONS#."
"min_generation";"The minimum number of pedigree generations is 3."
"box_width";"Box width"
"family_not_found";"Family record not found"
"husb_present";"This family already has a husband assigned to it."
"wife_present";"This family already has a wife assigned to it."
"child_present";"This person is already a member of this family."
"family_exists";"This familiy already exists."
"unable_to_find_family";"Unable to find family with ID"
"unable_to_find_indi";"Unable to find individual with ID"
"unable_to_find_record";"Unable to find record with ID"
"unable_to_find_source";"Unable to find source with ID"
"unable_to_find_repo";"Unable to find repository with ID"
"repo_name";"Repository Name:"
"address";"Address:"
"phone";"Phone:"
"source_name";"Source Name:"
"title";"Title"
"author";"Author:"
"publication";"Publication:"
"call_number";"Call Number:"
"living";"Living"
"private";"Private"
"birth";"Birth:"
"death";"Death:"
"newfact";"New fact"
"edit_quickupdate";"Quick update"
"delete_fact";"Delete fact"
"edit_fact";"Edit fact"
"place_list_aft";"Place Hierarchy after"
"not_an_array";"Not an Array"
"print_preview";"Printer-friendly Version"
"cancel_preview";"Back to normal view"
"change_lang";"Change Language"
"print";"Print"
"total_queries";"Total Database Queries: "
"total_privacy_checks";"Total privacy checks: "
"back";"Back"
"privacy_list_indi_error";"Due to privacy rules, one or more people are hidden."
"privacy_list_fam_error";"Due to privacy rules, one or more families are hidden."
"aka";"AKAs"
"male";"Male"
"female";"Female"
"temple";"LDS Temple"
"temple_code";"LDS Temple Code:"
"status";"Status"
"source";"Source"
"citation";"Citation:"
"text";"Source Text:"
"note";"Note"
"unrecognized_code";"Unrecognized GEDCOM Code"
"unrecognized_code_msg";"This is an error, and we would like to fix it. Please report this error to"
"indi_info";"Individual Information"
"individual";"Individual"
"family";"Family"
"family_with";"Family with"
"as_spouse";"Family with Spouse"
"as_child";"Family with Parents"
"as_fosterchild";"Family with fosterparents"
"as_adoptedchild";"Family with adoptive parents"
"as_sealingchild";"Family with sealed parents"
"sealed_parents";"with sealed parents"
"adopted_parents";"with adoptive parents"
"foster_parents";"with foster parents"
"view_gedcom";"View Record"
"add_to_cart";"Add to Clippings Cart"
"still_living_error";"This person is still living or does not have a birth or death date recorded.	All details of living persons are hidden from public view.<br />For more information contact"
"privacy_error";"Details on this person are private.<br />"
"more_information";"For more information contact"
"name";"Name"
"given_name";"Given Name:"
"surname";"Surname:"
"suffix";"Suffix:"
"object_note";"Object Note:"
"sex";"Gender"
"personal_facts";"Personal Facts and Details"
"type";"Type"
"date";"Date"
"place_description";"Place / Description"
"parents";"Parents:"
"siblings";"Sibling"
"father";"Father"
"mother";"Mother"
"parent";"Parent"
"relatives";"Close Relatives"
"relatives_events";"Events of close relatives"
"child";"Child"
"spouse";"Spouse"
"surnames";"Surnames"
"biological";"Biological"
"adopted";"Adopted"
"foster";"Foster"
"adopted_mother";"Adoptive mother"
"adopted_father";"Adoptive father"
"foster_father";"Foster father"
"foster_mother";"Foster mother"
"sealed_father";"Sealed father"
"sealed_mother";"Sealed mother"
"adopted_son";"Adopted son"
"adopted_daughter";"Adopted daughter"
"adopted_child";"Adopted child"
"foster_son";"Foster son"
"foster_daughter";"Foster daughter"
"foster_child";"Foster child"
"sealing_son";"Sealed son"
"sealing_daughter";"Sealed daughter"
"sealing_child";"Sealed child"
"adopted_sister";"Adoptive sister"
"adopted_brother";"Adoptive brother"
"foster_sister";"Foster sister"
"foster_brother";"Foster brother"
"sealing_sister";"Sealed sister"
"sealing_brother";"Sealed brother"
"sealing";"Sealed"
"challenged";"Challenged"
"disproved";"Disproved"
"infant";"Infant"
"stillborn";"Stillborn"
"deceased";"Deceased"
"link_as_child";"Link this person to an existing family as a child"
"link_as_wife";"Link this person to an existing family as a wife"
"link_as_husband";"Link this person to an existing family as a husband"
"no_tab1";"There are no Facts for this individual."
"no_tab2";"There are no Notes for this individual."
"no_tab3";"There are no Source citations for this individual."
"no_tab4";"There are no media objects for this individual."
"no_tab5";"There are no close relatives for this individual."
"no_tab6";"There are no ToDo's attached to this individual."
"no_tab7";"There are no associates."
"family_info";"Family Information"
"family_group_info";"Family Group Information"
"husband";"Husband"
"wife";"Wife"
"partner";"Partner"
"marriage";"Marriage:"
"lds_sealing";"LDS Sealing:"
"marriage_license";"Marriage License:"
"media_object";"Multimedia Object"
"children";"Children"
"no_children";"No recorded children"
"number_children";"Number of children: "
"parents_timeline";"Show couple on timeline chart"
"clip_cart";"Clippings Cart"
"clip_explaination";"The Family Tree Clippings Cart allows you to taking &quot;clippings&quot; from this family tree and bundle them up into a single file for downloading in GEDCOM format.<br /><br />"
"item_with_id";"Item with ID"
"error_already";"is already in your clippings cart."
"which_links";"Which other links from this family would you like to add?"
"just_family";"Add just this family record."
"parents_and_family";"Add parents' records together with this family record."
"parents_and_child";"Add parents' and children's records together with this family record."
"parents_desc";"Add parents' and all descendants' records together with this family record."
"continue";"Continue Adding"
"which_p_links";"Which links from this person would you also like to add?"
"just_person";"Add just this person."
"person_parents_sibs";"Add this person, his parents, and siblings."
"person_ancestors";"Add this person and his direct line ancestors."
"person_ancestor_fams";"Add this person, his direct line ancestors, and their families."
"person_spouse";"Add this person, his spouse, and children."
"person_desc";"Add this person, his spouse, and all descendants."
"unable_to_open";"Unable to open Clippings folder for writing"
"person_living";"This person is living. Personal details will not be included."
"person_private";"Details about this person are private. Personal details will not be included."
"family_private";"Details about this family are private. Family details will not be included."
"download";"Right click (control-click on a Macintosh) on the links below and select &quot;Save target as&quot; to download the files."
"media_files";"Media Files referenced in this GEDCOM"
"cart_is_empty";"Your Clippings Cart is empty."
"id";"ID"
"name_description";"Name / Description"
"remove";"Remove"
"empty_cart";"Empty Cart"
"download_now";"Download Now"
"indi_downloaded_from";"This Individual was downloaded from:"
"family_downloaded_from";"This Family was downloaded from:"
"source_downloaded_from";"This Source was downloaded from:"
"connections";"Place connections found"
"top_level";"Top Level"
"form";"Places are encoded in the form: "
"default_form";"City, County, State/Province, Country"
"default_form_info";"(Default)"
"gedcom_form_info";"(GEDCOM)"
"unknown";"unknown"
"individuals";"Individuals"
"view_records_in_place";"View all records found in this place"
"place_list2";"Place List"
"show_place_hierarchy";"Show Places in Hierarchy"
"show_place_list";"Show All Places in a List"
"total_unic_places";"Total Unique Places"
"multi_title";"MultiMedia Object List"
"media_found";"Media Objects found"
"view_person";"View Person"
"view_family";"View Family"
"view_source";"View Source"
"view_repo";"View Repository"
"prev";"&lt; Previous"
"next";"Next &gt;"
"file_not_found";"File not found."
"file_empty";"File name is empty."
"medialist_show";"Show"
"per_page";"media objects per page"
"delete_directory";"Delete directory"
"delete_file";"Delete file"
"confirm_delete_file";"Are you sure you want to delete this file?"
"directory_not_empty";"Directory not empty."
"directory_not_exist";"Directory does not exist."
"media_not_deleted";"Media directory not removed."
"media_deleted";"Media directory successfully removed."
"thumbs_not_deleted";"Thumbnail directory not removed."
"thumbs_deleted";"Thumbnail directory successfully removed."
"delete_dir_success";"Media and thumbnail directories successfully removed."
"current_dir";"Current directory: "
"add_directory";"Add directory"
"show_thumbnail";"Show thumbnails"
"image_format";"Image Format"
"media_format";"Media Format"
"image_size";"Image Dimensions"
"media_file_size";"Media Size"
"no_thumb_dir";"thumbnail directory does not exist and it could not be created."
"manage_media";"Manage Media"
"gen_thumb";"Create thumbnail"
"move_to";"Move To"
"security_no_create";"Security Warning: Could not create file <b><i>index.php</i></b> in "
"security_not_exist";"Security Warning: File <b><i>index.php</i></b> does not exist in "
"illegal_chars";"Illegal characters in name"
"link_media";"Link Media"
"to_person";"To Person"
"to_family";"To Family"
"to_source";"To Source"
"media_id";"Media ID"
"invalid_id";"No such ID exists in this GEDCOM file."
"media_exists";"Media file already exists."
"media_thumb_exists";"Media thumbnail already exists."
"move_file_success";"Media and thumbnail files successfully moved. Links will show after approval."
"media_folder_corrupt";"The media folder is corrupted."
"max_media_depth";"You can only go #MEDIA_DIRECTORY_LEVELS# directories deep"
"upload_file";"Upload file from your computer"
"thumb_genned";"Thumbnail #thumbnail# generated automatically."
"thumbgen_error";"Thumbnail #thumbnail# could not be generated automatically."
"generate_thumbnail";"Generate thumbnail automatically from "
"no_upload";"Uploading media files is not allowed because multi-media items have been disabled or because the media directory is not writable."
"upload";"Upload"
"upload_media";"Upload Media files"
"folder";"Folder"
"media_file";"Media file"
"thumbnail";"Thumbnail"
"upload_successful";"Upload successful."
"media_file_deleted";"Media file successfully deleted."
"media_file_not_deleted";"Media file could not be deleted."
"thumbnail_deleted";"Thumbnail file successfully deleted."
"thumbnail_not_deleted";"Thumbnail file could not be deleted."
"media_record_deleted";"Media record #xref# and links successfully deleted from database."
"media_record_not_deleted";"Media record #xref# and links could not be deleted from database."
"record_updated";"Record #pid# successfully updated."
"record_not_updated";"Record #pid# could not be updated."
"record_removed";"Record #xref# successfully removed from GEDCOM."
"record_not_removed";"Record #xref# could not be removed from GEDCOM."
"search_gedcom";"Search GEDCOM files"
"enter_terms";"Enter Search terms"
"soundex_search";"Search the way you think the name is written (Soundex):"
"sources";"Sources"
"firstname_search";"Given name"
"lastname_search";"Last name"
"search_place";"Place"
"search_year";"Year"
"no_results";"No results found."
"invalid_search_input";"Please enter a Given name, Last name, or Place \n\t in addition to Year"
"search_options";"Search options"
"search_geds";"GEDCOMS to search in"
"search_type";"Search type"
"search_inrecs";"Search for"
"search_fams";"Families"
"search_indis";"Individuals"
"search_sources";"Sources"
"search_notes";"General Notes"
"search_media";"Multimedia"
"search_repos";"Repositories"
"search_more_chars";"Please enter more than one character"
"search_soundextype";"Soundex type:"
"search_russell";"Russell"
"search_DM";"Daitch-Mokotoff"
"search_prtnames";"Individuals'<br />names to print:"
"search_prthit";"Names with hit"
"search_prtall";"All names"
"search_tagfilter";"Exclude Filter"
"search_tagfon";"Exclude some non-genealogical data"
"search_tagfoff";"Off"
"associate";"associate"
"search_asso_label";"Associates"
"search_asso_text";"Show related persons/families"
"search_sorton";"Sort results on"
"sources_found";"Sources Found"
"titles_found";"Titles"
"find_source";"Find Source"
"find_note";"Find General Note"
"repo";"Repository"
"repos_found";"Repositories found"
"find_repository";"Find Repository"
"total_repositories";"Total Repositories"
"total_notes";"Total Notes"
"total_actions";"Total ToDo's"
"repo_info";"Repository Information"
"delete_repo";"Delete Repository"
"other_repo_records";"Records that link to this Repository:"
"other_note_records";"Records that link to this General Note:"
"create_repository";"Create Repository"
"new_repo_created";"New Repository created"
"paste_rid_into_field";"Paste the following Repository ID into your editing fields to reference this Repository "
"paste_noteid_into_field";"Paste the following General Note ID into your editing fields to reference this General Note "
"confirm_delete_repo";"Are you sure you want to delete this repository?"
"source_info";"Source Information"
"note_info";"Note Information"
"media_info";"Multimedia Information"
"other_records";"Records that link to this Source:"
"other_mmrecords";"Records that link to this Multimedia Object:"
"people";"People"
"families";"Families"
"total_sources";"Total Sources"
"building_indi";"Building Individual and Family Index"
"building_index";"Building Index lists"
"invalid_gedformat";"Invalid GEDCOM 5.5 format"
"importing_records";"Importing records into database"
"detected_change";"Genmod detected a change in <b>#GEDCOM#</b>. Index files must be rebuilt before proceeding."
"please_be_patient";"Please be patient"
"reading_file";"Reading GEDCOM file"
"flushing";"Flushing contents"
"found_record";"Found record"
"exec_time";"Execution time:"
"time_limit";"Time limit:"
"unable_to_create_index";"Unable to create Index files.  Make sure Write permissions are set on the Genmod directory.  Permissions may be restored once Index files are written."
"indi_complete";"Individual Index file update complete."
"family_complete";"Family Index file update complete."
"source_complete";"Source Index file update complete."
"tables_exist";"Genmod tables already exist in the database"
"you_may";"You may:"
"drop_tables";"Drop the current tables"
"import_multiple";"Import and work with multiple GEDCOMs"
"explain_options";"If you choose to drop the tables <u>all</u> of the data will be replaced with information from this GEDCOM file.<br /><br />If you choose to import and work with multiple GEDCOMs, Genmod will erase any data that was imported using a GEDCOM with the same file name.  This option allows you to store multiple genealogical data sets in the same tables and switch between them easily.<br /><br /><b>Please note that file names are case sensitive.</b>  This means that <b>Test.GED</b> is <u>not</u> the same as <b>test.ged</b>."
"path_to_gedcom";"Enter the path to your GEDCOM file:"
"dataset_exists";"A GEDCOM with this file name has already been imported into the database."
"changes_present";"The current GEDCOM has changes pending review.  If you continue this Import, these pending changes will be posted to the database immediately.  You should review the pending changes before continuing the Import."
"empty_dataset";"Do you want to erase the old data and replace it with this new data?"
"index_complete";"Index complete."
"click_here_to_go_to_pedigree_tree";"Click here to go to the Pedigree tree."
"updating_is_dead";"Updating "Is Dead" status for INDI "
"import_complete";"Import complete"
"updating_family_names";"Updating family names for FAM "
"processed_for";"Processed file for "
"run_tools";"Do you want to run one of the following tools on your GEDCOM before it is imported:"
"addmedia";"Add Media tool"
"dateconvert";"Date Conversion tool"
"xreftorin";"Convert XREF IDs to RIN number"
"tools_readme";"See the Tools section of the #README.TXT# file for more information."
"sec";"sec."
"bytes_read";"Bytes read:"
"import_progress";"Import Progress..."
"total_fams";"Total families"
"total_indis";"Total individuals"
"starts_with";"Starts with:"
"person_list";"Person list:"
"paste_person";"Paste Person"
"notes_sources_media";"Notes, Sources, and Media"
"notes";"Notes"
"ssourcess";"Sources"
"media";"Media"
"name_contains";"Name contains:"
"filter";"Filter"
"find_individual";"Find Individual ID"
"find_familyid";"Find Family ID"
"find_sourceid";"Find Source ID"
"find_noteid";"Find Note ID"
"find_specialchar";"Find Special Characters"
"magnify";"Magnify"
"reduce";"Reduce"
"skip_surnames";"Skip Surname lists"
"show_surnames";"Show Surname lists"
"all";"ALL"
"hidden";"Hidden"
"confidential";"Confidential"
"alpha_index";"Alphabetical Index"
"name_list";"Name List"
"firstname_alpha_index";"Firstname Alphabetical Index"
"husband_added";"Husband has been succesfully added."
"wife_added";"Wife has been succesfully added."
"link_exists";"A reference already exists."
"delete_indi";"Delete individual"
"age";"Age"
"days";"days"
"months";"months"
"years";"years"
"day1";"day"
"month1";"month"
"year1";"year"
"timeline_title";"Genmod Timeline"
"remove_person";"Remove Person"
"show_age";"Show Age Marker"
"add_another";"Add another person to chart:<br />Person ID:"
"find_id";"Find ID"
"show";"Show"
"year";"Year:"
"timeline_instructions";"In most recent browsers you can click and drag the boxes around on the chart."
"zoom_in";"Zoom In"
"zoom_out";"Zoom Out"
"usernamefilter";"User (Full) Name contains:"
"readme_documentation";"README documentation"
"view_readme";"View readme.txt file"
"configuration";"Configuration"
"rebuild_indexes";"Rebuild indexes"
"user_admin";"User administration"
"inc_languages";"Languages"
"user_created";"User created successfully."
"user_not_exist";"User does not exist."
"user_create_error";"Unable to add user. Please try again."
"password_mismatch";"Passwords do not match."
"enter_username";"You must enter a user name."
"enter_fullname";"You must enter a first and last name."
"enter_password";"You must enter a password."
"confirm_password";"You must confirm the password."
"update_user";"Update User Account"
"update_myaccount";"Update MyAccount"
"save";"Save"
"delete";"Delete"
"edit";"Edit"
"full_name";"Full Name"
"visibleonline";"Visible to other users when online"
"comment";"Admin comments on user"
"comment_exp";"Admin warning at date"
"editaccount";"Allow this user to edit his account information"
"admin_gedcom";"Admin GEDCOM"
"confirm_user_delete";"Are you sure you want to delete the user"
"create_user";"Create User"
"no_login";"Unable to authenticate user."
"import_gedcom";"Import this GEDCOM file"
"duplicate_username";"Duplicate user name.  A user with that user name already exists.  Please choose another user name."
"gedcomid";"GEDCOM INDI record ID"
"enter_gedcomid";"You must enter a GEDCOM ID."
"user_info";"My User Information"
"rootid";"Pedigree Chart Root Person"
"download_gedcom";"Download GEDCOM"
"upload_gedcom";"Upload file"
"add_new_gedcom";"Create a new file"
"merge_gedcom";"Merge GEDCOM"
"merge_what";"GEDCOM to be merged"
"merge_what_upload";"GEDCOM to be uploaded and merged"
"merge_with";"Existing GEDCOM to merge with"
"gedcom_file";"File:"
"enter_filename";"You must enter a file name."
"file_not_exists";"The filename entered does not exist."
"file_not_present";"The file does not exist."
