"ABBR";"Abkürzung"
"_DEAT_SIBL";"Tod eines Geschwisterteils"
"_DEAT_SPOU";"Tod des Ehepartners"
"_DEG";"Akademischer Grad"
"_DETS";"Tot eines Ehepartners"
"_EMAIL";"Email-Adresse"
"_EYEC";"Augenfarbe"
"_FA1";"Ereignis 1"
"_FA10";"Ereignis 10"
"_FA11";"Ereignis 11"
"_FA12";"Ereignis 12"
"_FA13";"Ereignis 13"
"_FA2";"Ereignis 2"
"_FA3";"Ereignis 3"
"_FA4";"Ereignis 4"
"_FA5";"Ereignis 5"
"_FA6";"Ereignis 6"
"_FA7";"Ereignis 7"
"_FA8";"Ereignis 8"
"_FA9";"Ereignis 9"
"_FNRL";"Bestattung"
"_FREL";"Verwandtschaft zum Vater"
"_GEDF";"GEDCOM Datei"
"_GMU";"Zuletzt geändert durch"
"_HAIR";"Haarfarbe"
"_HEB";"Hebräisch"
"_HEIG";"Größe"
"_HNM";"Hebräischer Name"
"_HOL";"Holocaust"
"_INTE";"Begraben"
"_MARI";"Heiratsabsicht"
"_MARNM";"Nachname in Ehe"
"_MARR_CHIL";"Heirat eines Kindes"
"_MARR_COUS";"Hochzeit eines Cousins / einer Cousine"
"_MARR_FATH";"Heirat des Vaters"
"_MARR_FSIB";"Hochzeit eines Geschwisterteils väterlicherseits"
"_MARR_GCHI";"Hochzeit eines Enkels"
"_MARR_HSIB";"Hochzeit einer Halbschwester / eines Halbbruders"
"_MARR_MOTH";"Heirat der Mutter"
"_MARR_MSIB";"Hochzeit eines Geschwisterteils mütterlicherseits"
"_MARR_SIBL";"Hochzeit eies Geschwisterteils"
"_MBON";"Verlobung"
"_MDCL";"Medizinische Information"
"_MEDC";"Gesundheitszustand"
"_MEND";"Ende des Ehe-Status"
"_MILI";"Militär"
"_MILT";"Militärdienst"
"_MREL";"Verwandtschaft zur Mutter"
"_MSTAT";"Beginn des Ehe-Status"
"_NAME";"Name"
"_NLIV";"nicht lebend"
"_NMAR";"nie verheiratet"
"_NMR";"unverheiratet"
"_PRIM";"Bevorzugtes Bild"
"_PRMN";"permanente Nummer"
"_SCBK";"Sammelalbum"
"_SEPR";"Getrennt"
"_SSHOW";"Diashow"
"_STAT";"Ehestatus"
"_SUBQ";"Kurzfassung"
"_THUM";"Dieses Bild als Thumbnail verwenden ?"
"_TODO";"ToDo"
"_TYPE";"Multimedia-Typ"
"_UID";"Universelle<br />Identifikationsnummer<br />(UID)"
"_WEIG";"Gewicht"
"_YART";"Yartzeit"
