"ABBR";"Viết Tắt"
"_EMAIL";"Địa chỉ thư điện tử"
"EMAIL";"Địa chỉ thư điện tử"
"_TODO";"Việc Phải Làm"
"_UID";"Universal Identifier"
"_GMU";"Lần Đổi Cuối Bởi"
"_PRIM";"Tận dụng ảnh này"
"_THUM";"Dùng biểu tượng của ảnh này?"
"_MDCL";"Sức Khoẻ"
"_DEG";"Bằng Cấp"
"_MILT";"Nghỉa Vụ Quân-Đội"
"_SEPR";"Ly Thân"
"_DETS";"Cái chết của người phối ngẫu"
"CITN";"Quốc Tịch"
"_FA1";"Sự kiện 1"
"_FA2";"Sự kiện 2"
"_FA3";"Sự kiện 3"
"_FA4";"Sự kiện 4"
"_FA5";"Sự kiện 5"
"_FA6";"Sự kiện 6"
"_FA7";"Sự kiện 7"
"_FA8";"Sự kiện 8"
"_FA9";"Sự kiện 9"
"_FA10";"Sự kiện 10"
"_FA11";"Sự kiện 11"
"_FA12";"Sự kiện 12"
"_FA13";"Sự kiện 13"
"_MREL";"Mối quan-hệ đối với Mẹ"
"_FREL";"Mối quan-hệ đối với Cha"
"_MSTAT";"Tình Cảnh Hôn-Phối Lúc Ban Đầu"
"_MEND";"Tình Cảnh Hôn-Phối Lúc Chót"
"FACT";"Sự Kiện "
"WWW";"Trang chủ"
"MAP";"Bản Đồ"
"LATI";"Vĩ độ"
"LONG";"Kinh độ"
"FONE";"Ngữ âm"
"ROMN";"Tên Ngoại Ngữ"
"_NAME";"Tên Bưu Cục"
"_SCBK";"Sổ Ghi"
"_TYPE";"Lọai Tài Liệu"
"_SSHOW";"Phim Dương"
"_SUBQ";"Tóm Tắt"
"_BIBL";"Thư Mục"
"_ADPF";"Được Cha nhận Làm Con Nuôi"
"_ADPM";"Được Mẹ Nhận Làm Con Nuôi"
"_AKAN";"Tên Tự"
"_AKA";"Tên Tự"
"_BRTM";"Brit mila"
"_COML";"Common Law marriage"
"_EYEC";"Màu Mắt"
"_FNRL";"Tang Lể"
"_HAIR";"Tóc Màu"
"_HEIG";"Chiều Cao"
"_INTE";"An Táng"
"_MARI";"ý Định Hôn-Phối"
"_MBON";"Marriage bond"
"_MEDC";"Tình Trạng Sức Khỏe"
"_MILI";"Quân Dịch"
"_NMR";"Độc Thân"
"_NLIV";"Thất Lộc"
"_NMAR";"Chưa Hề Lập Gia-Dình"
"_PRMN";"Permanent Number"
"_WEIG";"Cân Nặng"
"_YART";"Yartzeit"
"_MARNM";"Tên sau khi lập gia-đình"
"_STAT";"Gia Cảnh"
"COMM";"Phụ Chú"
"MARR_CIVIL";"Kết Hôn Thường Trực"
"MARR_RELIGIOUS";"Kết Hôn theo lễ nghi Tôn Giáo"
"MARR_PARTNERS";"Chung Thân Đăng Ký"
"MARR_UNKNOWN";"Không biết Lọai Kết Hôn"
"_HNM";"Tên Hê-brơ"
