"ABBREVIATE_CHART_LABELS";"Bezeichnungen in Diagrammen abkürzen"
"GM_MEMORY_LIMIT";"Max. Speicher Begrenzung"
"GM_SESSION_SAVE_PATH";"Pfad für die Session-Speicherung"
"GM_SESSION_TIME";"Session Timeout"
"GM_SIMPLE_MAIL";"Einfache Mail-Header bei E-Mails verwenden"
"GM_STORE_MESSAGES";"Erlauben Nachrichten online zu speichern"
"Genmod_message";"Genmod Nachricht"
"HIDE_GEDCOM_ERRORS";"GEDCOM-Fehler verbergen"
"HIDE_LIVE_PEOPLE";"Lebende Personen verbergen"
"HOME_SITE_TEXT";"Text für Hauptseite der WebSite"
"HOME_SITE_URL";"URL der Hauptseite der WebSite"
"INDEX_DIRECTORY";"Verzeichnis der Index-Dateien"
"JEWISH_ASHKENAZ_PRONUNCIATION";"Jüdische Ashkenaz Schreibweise"
"LANGUAGE";"Sprache"
"LINK_ICONS";"PopUp Links in Diagrammen"
"LOGFILE_CREATE";"Log-Dateien erzeugen"
"LOGIN_URL";"Login URL"
"MAX_ALIVE_AGE";"Alter, ab dem angenommen wird, dass eine Person verstorben ist"
"MAX_DESCENDANCY_GENERATIONS";"Maximale Anzahl Generationen im Nachfahrenbaum"
"MAX_PEDIGREE_GENERATIONS";"Maximale Anzahl Generationen im Stammbaum"
"MAX_RELATION_PATH_LENGTH";"Max. Länge der Verwandtschaft"
"MEDIA_DIRECTORY";"Verzeichnis der Multimedia-Dateien"
"MEDIA_DIRECTORY_LEVELS";"Multimedia Verzeichnis-Tiefe"
"MEDIA_EXTERNAL";"Links beibehalten"
"META_AUDIENCE";"META Tag Audience"
"META_AUTHOR";"META Tag Autor"
"META_AUTHOR_descr";"Lassen Sie dieses Feld leer, um den vollständigen Namen der GEDCOM-Kontaktperson zu verwenden."
"META_COPYRIGHT";"META Tag Copyright"
"META_COPYRIGHT_descr";"Lassen Sie dieses Feld leer, um den vollständigen Namen der GEDCOM-Kontaktperson zu verwenden."
"META_DESCRIPTION";"META Tag Description"
"META_DESCRIPTION_descr";"Lassen Sie dieses Feld leer, um den Titel der aktiven GEDCOM-Datei zu verwenden."
"META_KEYWORDS";"META Tag Keywords"
"META_PAGE_TOPIC";"META Tag Page-Topic"
"META_PAGE_TOPIC_descr";"Lassen Sie dieses Feld leer, um den Titel der aktiven GEDCOM-Datei zu verwenden."
"META_PAGE_TYPE";"META Tag Page Type"
"META_PUBLISHER";"META Tag Publisher"
"META_PUBLISHER_descr";"Lassen Sie dieses Feld leer, um den vollständigen Namen der GEDCOM-Kontaktperson zu verwenden."
"META_REVISIT";"Gibt an, wie oft crawler die META Tags untersuchen sollen"
"META_ROBOTS";"META Tag Robots"
"META_TITLE";"Zu 'TITLE'-Kennung im Kopfbereich hinzufügen"
"NN";"(unbekannt)"
"PEDIGREE_FULL_DETAILS";"Geburts- und Todesdetails im Stammbaum und Nachfahrenbaum anzeigen"
"PEDIGREE_LAYOUT";"Standard Stammbaum Layout"
"PEDIGREE_ROOT_ID";"GEDCOM-Personennummer der standardmäßig ausgewählten Person für Stammbaum und Nachfahrenbaum"
"PN";"(unbekannt)"
"PRIVACY_BY_YEAR";"Datenschutz mittels Alter eines Ereignisses begrenzen"
"PRIV_HIDE";"Auch vor Administratoren verbergen"
"PRIV_NONE";"Nur Administratoren zeigen"
"PRIV_PUBLIC";"Allen Besuchern zeigen"
"PRIV_USER";"Nur angemeldeten Besuchern zeigen"
"REQUIRE_AUTHENTICATION";"Besucher Login notwendig"
"SERVER_URL";"Genmod URL"
"SHOW_COUNTER";"Besucher-Zähler anzeigen"
"SHOW_DEAD_PEOPLE";"Verstorbene Personen anzeigen"
"SHOW_EMPTY_BOXES";"Leere Boxen im Stammbaum anzeigen"
"SHOW_GEDCOM_RECORD";"Besuchern erlauben die GEDCOM-Roh-Daten anzusehen"
"SHOW_HIGHLIGHT_IMAGES";"Definierte Fotos in den Personenboxen anzeigen"
"SHOW_ID_NUMBERS";"ID Nummern bei Namen anzeigen"
"SHOW_LIVING_NAMES";"Namen lebender Personen anzeigen"
"SHOW_PEDIGREE_PLACES";"Anzahl der angezeigten Ebenen der hierarchischen Orts-Angaben"
"SHOW_SOURCES";"Quellen anzeigen?"
"SHOW_STATS";"Aufruf-Statistik anzeigen"
"SUPPORT_METHOD";"Support Kontakt Methode"
"TBLPREFIX";"Prefix der Datenbank Tabelle"
"THEME_DIR";"Themen Verzeichnis"
"USE_REGISTRATION_MODULE";"Besuchern erlauben eine Registrierung anzufordern"
"USE_RELATIONSHIP_PRIVACY";"Verwandtschafts-Datenschutz einschalten"
"USE_RIN";"RIN# anstelle von GEDCOM ID verwenden"
"USE_THUMBS_MAIN";"Thumbnails für Bild-Darstellung auf der Personen-Seite verwenden"
"WEBMASTER_EMAIL";"Email-Adresse des Webmasters"
"WELCOME_TEXT_AUTH_MODE";"Willkommenstext auf der Login-Seite (Authentifizierungs-Modus)"
"WELCOME_TEXT_AUTH_MODE_CUST";"Selbsterstellter Text für den Authentifizierungs-Modus"
"WELCOME_TEXT_AUTH_MODE_CUST_HEAD";"Standard Kopf für benutzerdefinierten Willkommens-Text"
"WELCOME_TEXT_AUTH_MODE_OPT1";"Vordefinierter Text, der besagt, dass alle Benutzer einen Zugang beantragen können"
"WELCOME_TEXT_AUTH_MODE_OPT2";"Vordefinierter Text, der besagt, dass der Administrator über den Zugangs-Antrag entscheidet"
"WELCOME_TEXT_AUTH_MODE_OPT3";"Vordefinierter Text, der besagt, dass nur Familienmitglieder einen Zugang beantragen können"
"WELCOME_TEXT_AUTH_MODE_OPT4";"Selbsterstellter Text wie unten angegeben (erscheint nur in der Originalsprache!)"
"WORD_WRAPPED_NOTES";"Leerzeichen an umgebrochene Notizinformationen anfügen"
"ZOOM_BOXES";"Boxen in Diagrammen zoombar"
"about_user";"Sie müssen zunächst den Hauptadministrator erstellen. Dieser Benutzer wird das Recht erhalten, die Konfigurationsdateien zu verändern, private Daten zu sehen oder andere Benutzer zu erstellen."
"abt";"um"
"accept";"Akzeptieren"
"accept_all";"Alle Änderungen akzeptieren"
"accept_changes";"Änderungen akzeptieren / verwerfen"
"accept_gedcom";"Entscheiden Sie für jede Änderung, ob Sie sie akzeptieren oder löschen möchten.<br /><br />Um alle Änderungen auf einmal zu akzeptieren, klicken Sie <b>"Alle Änderungen akzeptieren"</b> in der Box darunter.<br />Weitere Informationen über eine Änderung erhalten Sie über den Link <b>"Änderungen ansehen"</b> oder klicken Sie <b>"GEDCOM Datensatz ansehen"</b>, um die veränderte GEDCOM-Datei anzusehen."
"accept_successful";"Änderungen erfolgreich in die Datenbank übernommen"
"access";"Zugreifen"
"access_denied";"<b>Zugriff verweigert</b><br />Sie besitzen hierfür keine Erlaubnis."
"accessible_by";"Wem zeigen?"
"active";"Aktiviert"
"add";"hinzufügen"
"add_another";"Andere Person zur Ansicht hinzufügen:<br />Personen ID:"
"add_asso";"Einen neuen Partner hinzufügen"
"add_child";"Kind hinzufügen"
"add_child_to_family";"Kind zu dieser Familie hinzufügen"
"add_directory";"Verzeichnis hinzufügen"
"add_fact";"neues Ereignis hinzufügen"
"add_father";"Einen Vater hinzufügen"
"add_from_clipboard";"Aus der Zwischenablage hinzufügen: "
"add_gedcom";"GEDCOM-Datei hinzufügen"
"add_gedcom_instructions";"Geben Sie einen Dateinamen für diese neue GEDCOM-Datei ein. Die neue GEDCOM-Datei wird im Index-Verzeichnis eingetragen: "
"add_husb";"Ehemann hinzufügen"
"add_husb_to_family";"Einen Ehemann zu dieser Familie hinzufügen"
"add_journal";"Einen neuen Journal-Eintrag hinzufügen"
"add_media";"Eine neue Multimedia-Datei hinzufügen"
"add_media_button";"Multimedia-Dateien hinzufügen"
"add_media_descr";"Dieses Tool fügt Multimedia OBJE-tags zu Ihrer Datenbank hinzu. Schließen Sie dieses Fenster, wenn Sie keine weiteren Multimedia-Objekte mehr hinzufügen möchten."
"add_media_lbl";"Multimedia-Datei hinzufügen"
"add_media_records";"Multimedia-Datensätze hinzufügen"
"add_media_tool";"Multimedia-Hinzufügen Tool"
"add_mother";"Eine Mutter hinzufügen"
"add_name";"Neuen Namen hinzufügen"
"add_new_chil";"Ein Kind hinzufügen"
"add_new_gedcom";"Eine neue GEDCOM-Datei erstellen"
"add_new_gf_setting";"Neue globale Einstellung hinzufügen"
"add_new_husb";"Einen weiteren Ehemann hinzufügen"
"add_new_lang_button";"Neue Sprache hinzufügen"
"add_new_language";"Dateien und Einstellungen für eine neue Sprache hinzufügen"
"add_new_pf_setting";"Neue Einstellung für Ereignisse hinzufügen"
"add_new_pf_setting_indi";"Neue Einstellung für Ereignisse von Personen hinzufügen"
"add_new_pf_setting_source";"Neue Einstellung für Ereignisse von Quellen hinzufügen"
"add_new_pp_setting";"Neue Einstellung für eine Person hinzufügen"
"add_new_up_setting";"Neue Einstellung für einen Benutzer hinzufügen"
"add_new_wife";"Eine weitere Ehefrau hinzufügen"
"add_news";"Einen Artikel unter Neuigkeiten eintragen"
"add_note";"Eine neue Notiz hinzufügen"
"add_note_lbl";"Notiz hinzufügen"
"add_obje";"Ein neues Multimedia-Objekt hinzufügen"
"add_sibling";"Einen Bruder oder eine Schwester hinzufügen"
"add_son_daughter";"Einen Sohn oder eine Tochter hinzufügen"
"add_source";"Eine neue Quelle hinzufügen"
"add_source_lbl";"Quelle hinzufügen"
"add_to_cart";"Datensatz dem Sammelbehälter hinzufügen"
"add_to_my_favorites";"Lesezeichen hinzufügen"
"add_unlinked_person";"Eine Person ohne Verknüpfung hinzufügen"
"add_user";"Neuen Benutzer hinzufügen"
"add_wife";"Ehefrau hinzufügen"
"add_wife_to_family";"Eine Ehefrau zu dieser Familie hinzufügen"
"adding";"Füge hinzu"
"additions";"Ergänzungen"
"addmedia";"Add Media Tool (fügt OBJE Medien hinzu)"
"address";"Adresse:"
"adds_completed";"Multimedia-Objekt wurde erfolgreich zur GEDCOM-Datei hinzugefügt."
"admin";"Verwalten"
"admin_approved";"Ihr Zugang für #SERVER_NAME# wurde freigegeben"
"admin_gedcom";"GEDCOM verwalten"
"admin_gedcoms";"Hier klicken, um GEDCOMs zu verwalten."
"admin_geds";"Daten- und GEDCOM-Verwaltung"
"admin_info";"Information"
"admin_site";"Webseiten-Verwaltung"
"admin_verification_waiting";"Offene Anträge für Benutzerzugänge"
"administration";"Administration"
"adopted";"adoptiert"
"advanced_conf";"Konfiguration erweiterte Einstellungen"
"aft";"nach"
"after";"hinter"
"age";"Alter"
"ahnentafel_report";"Ahnentafel Bericht"
"aka";"auch bekannt als"
"alive";"Lebt"
"alive_in_year";"Lebend im Jahr"
"all";"ALLE"
"all_people";"Alle Personen"
"alphabet_lower";"Alphabet Kleinbuchstaben"
"alphabet_upper";"Alphabet Großbuchstaben"
"ancestors";"Vorfahren in direkter Linie und deren Familien"
"ancestry_chart";"Ahnentafel"
"and";"und"
"anniversary_calendar";"Jahrestag Kalender"
"anon_user";"1 anonymer angemeldeter Benutzer"
"anon_users";"#gm_lang[global_num1]# anonyme angemeldete Benutzer"
"ansi_encoding_detected";"ANSI Codierung der Datei entdeckt. Genmod arbeitet nur optimal mit Dateien im UTF-8 Format."
"ansi_to_utf8";"Soll diese ANSI-codierte GEDCOM-Datei in das UTF-8-Format konvertiert werden?"
"append";"Datensatz hinzufügen"
"apr";"April"
"apx";"ungefähr"
"arabic_cal";"Arabisch"
"article_text";"Text:"
"as_child";"Familiendaten als Kind"
"as_spouse";"Familiendaten als Ehepartner"
"attendant";"Begleiter"
"attending";"begleitend"
"aug";"August"
"author";"Autor:"
"available_blocks";"Verfügbare Blöcke"
"back";"zurück"
"bad_database_name";"Genmod hat eine Verbindung zu Ihrem Datenbank Host hergestellt, konnte aber den von Ihnen angegebenen Datenbank Namen nicht verwenden. Bitte prüfen Sie, dass diese Datenbank existiert und dass der angegebene Benutzername die notwendigen Zugriffsrechte hat."
"bad_host_user_pass";"Genmod konnte keine Verbindung zu Ihrem Datenbank Host aufbauen. Überprüfen Sie bitte den Host, Benutzernamen und Passwort."
"bef";"vor"
"before";"vor"
"before_or_after";"Nummern vor oder hinter den Namen anzeigen?"
"bet";"zwischen"
"birth";"Geburt:"
"birth_report";"Geburtstags- und -orte-Bericht"
"birthdate1";"Geburtsdatumsbereich Anfang"
"birthdate2";"Geburtsdatumsbereich Ende"
"birthplace";"Geburtsort enthält"
"block_desc";"Block Beschreibung"
"block_summaries";"~#gm_lang[block_desc]#~<br /><br />Hier finden Sie eine kurze Beschreibung aller Blöcke, die Sie auf die #gm_lang[welcome]#-Seite oder auf das #gm_lang[mygedview]# stellen können.<br /><table border='1' align='center'><tr><td class='list_value'><b>#gm_lang[name]#</b></td><td class='list_value'><b>#gm_lang[description]#</b></td></tr>#gm_lang[block_summary_table]#</table><br /><br />"
"block_summary_table";"&nbsp;"
"block_top10";"Häufigste Nachnamen"
"block_top10_descr";"Dieser Block zeigt eine Liste mit den 10 häufigsten Nachnamen der Datenbank. Die tatsächliche Länge der Liste ist konfigurierbar. Sie können auch bestimmte Namen in der Liste unterdrücken."
"block_top10_title";"Häufigste Nachnamen"
"bom_check";"Sprach-Datei BOM-Test"
"bom_found";"BOM wurde gefunden in "
"bom_not_found";"Es wurde keine BOM gefunden."
"box_width";"Box-Breite"
"broadcast_all";"An alle Benutzer senden"
"brother";"Bruder"
"build_error";"Eine neue GEDCOM-Datei wurde gefunden."
"build_title";"Index-Dateien werden erstellt"
"building_index";"Erstelle Liste der Index-Dateien"
"building_indi";"Erstelle Index-Dateien der Personen und Familien"
"bytes_read";"Gelesene Bytes:"
"cal";"berechnet"
"calc_marr_names";"Heirats-Namen ermitteln"
"call_number";"Telefon Nummer:"
"can_admin";"darf verwalten"
"0";"0"
"can_edit";"Zugriffsrechte"
"cancel";"Abbrechen"
"cancel_preview";"Zurück zur normalen Ansicht"
"cancel_upload";"Upload abbrechen"
"cart_is_empty";"Ihr Ausschnitts-Sammelbehälter ist leer."
"challenged";"Aufforderung"
"change_id";"Persönliche ID ändern in:"
"change_lang";"Sprache auswählen"
"change_theme";"Theme ändern"
"changed_mac";"Macintosh Zeilenumbrüche entdeckt. Wagenrücklauf-Zeichen CR (Ctrl M) wurden in Wagenrücklauf-Zeichen CR (Ctrl M) mit zusätzlichem Zeilenvorschub LF (Ctrl J) geändert. Dadurch wurde das interne Dateiformat von Macintosh- auf das für Genmod erforderliche DOS-Format umgestellt."
"changed_message";"Geänderter Inhalt"
"changed_places";"Ungültige Orts-Angaben entdeckt. Die Angaben wurden an die gültige GEDCOM 5.5 Spezifikation angepasst. Ein Beispiel aus Ihrer GEDCOM-Datei ist:"
"changelog";"Änderungen in Version #VERSION#"
"changes_exist";"Die Änderungen an der GEDCOM-Datei wurden durchgeführt."
"changes_occurred";"Bei dieser Person wurden folgende Änderungen vorgenommen:"
"changes_present";"Die aktuelle GEDCOM-Datei enthält Änderungen die noch kontrolliert werden müssen. Wenn Sie mit dem Import fortfahren, werden diese Änderungen unmittelbar in die Datenbank eingefügt. Sie sollten die Änderungen kontrollieren, bevor Sie mit dem Importieren fortfahren."
"chart_style";"Diagramm-Typ"
"charts";"Diagramme"
"chat";"Chat"
"check";"Prüfen"
"check_delete";"Möchten Sie dieses Ereignis wirklich löschen?"
"child";"Kind"
"child-family";"Eltern und Geschwister"
"children";"Kinder"
"children_timeline";"Kinder in der Lebensspannenanzeige darstellen"
"choice";"Auswahl"
"choose_gedcom";"Eine GEDCOM-Datei auswählen"
"choose_relatives";"Verwandte auswählen"
"choose_report";"Bericht auswählen"
"cir";"ca."
"circumciser";"Beschneider"
"citation";"Abschnitt:"
"civil_registrar";"ziviler Standesbeamter"
"cleanup";"Korrigieren"
"cleanup_places";"Ortsangaben korrigieren"
"click";"Bei "Mouse Click""
"click_here";"Fortfahren"
"click_here_to_continue";"Hier klicken, um fortzufahren."
"click_here_to_go_to_pedigree_tree";"Hier klicken, um zum Stammbaum zu gelangen."
"click_to_add_media";"Klicken Sie hier, um die o.g. Multimedia-Dateien zur GEDCOM-Datei #GEDCOM# hinzuzufügen"
"clicking_ok";"Durch Klick auf OK, können Sie im sich dann öffnenden Fenster #user[fullname]# kontaktieren."
"clip_cart";"Ausschnitts-Sammelbehälter"
"clip_explaination";"Der Stammbaum-Ausschnitts-Sammelbehälter ermöglicht es, &quot;Ausschnitte&quot; aus diesem Stammbaum zu markieren.<br />Diese können dann später in einer separaten GEDCOM-Datei zum sofortigen Download gebündelt werden.<br /><br />"
"clippings_cart";"Ausschnitts-Sammelbehälter"
"close_window";"Fenster schließen"
"close_window_without_refresh";"Fenster schließen ohne Neuladen"
"comment";"Administrator Kommentar zum Benutzer"
"comment_exp";"Administrator Erinnerung am Datum"
"comments";"Kommentar"
"common_surnames";"Häufigste Nachnamen"
"common_upload_errors";"Dieser Fehler bedeutet vermutlich, dass die Datei die Sie hochladen wollten, die Grenze ihres Hosts überschreitet. Die Standard-Grenze liegt in PHP bei 2MB. Sie können entweder den Support Ihres Hosts kontaktieren, und ihn bitten, die Grenze in der Datei php.ini zu erhöhen, oder Sie können die Datei per FTP hochladen. Benutzen Sie die Seite <a href="uploadgedcom.php?action=add_form"><b>GEDCOM hinzufügen</b></a>, um eine Datei zu verwenden, die Sie per FTP hochgeladen haben."
"compare";"Vergleichen"
"compare_lang_utility";"Vergleichsmodul für Sprach-Dateien"
"comparing";"Die Sprach-Dateien werden verglichen"
"confidential";"Vertraulich"
"config_block";"Konfigurieren"
"config_file_read";"Konfigurationsdatei wurde gelesen."
"config_french";"Französisch"
"config_hebrew";"Hebräisch"
"config_lang_utility";"Konfiguration der unterstützten Sprachen"
"config_still_writable";"Für Ihre Datei config.php bestehen noch schreib-Rechte. Wenn die Konfiguration beendet ist, sollten Sie die Rechte sicherheitshalber wieder auf Nur-Lesen setzen."
"configuration";"Konfiguration"
"configure";"Genmod konfigurieren"
"configure_head";"Genmod Konfiguration"
"confirm";"Passwort bestätigen"
"confirm_delete_person";"Möchten Sie diese Person wirklich aus der GEDCOM-Datei löschen?"
"confirm_delete_repo";"Möchten Sie das Archiv wirklich aus der Datenbank löschen?"
"confirm_delete_source";"Möchten Sie diese Quelle wirklich aus der GEDCOM-Datei löschen?"
"confirm_fav_remove";"Möchten Sie dieses Lesezeichen wirklich löschen?"
"confirm_gedcom_delete";"Wollen Sie diese GEDCOM Datei wirklich löschen"
"confirm_journal_delete";"Möchten Sie diesen Journal-Eintrag wirklich löschen?"
"confirm_message_delete";"Möchten Sie diese Nachricht wirklich löschen? Sie kann anschließend nicht wiederhergestellt werden."
"confirm_news_delete";"Möchten Sie diesen Neuigkeiten-Eintrag wirklich löschen?"
"confirm_password";"Sie müssen das Passwort bestätigen."
"confirm_user_delete";"Möchten Sie den Benutzer wirklich löschen"
"connections";"Orts-Verbindungen gefunden"
"contents";"Inhalt"
"continue";"weiter"
"continue_import";"Ortsimport fortsetzen"
"copy";"Kopieren"
"create_repository";"Archiv anlegen"
"create_source";"Neue Quelle anlegen"
"create_user";"Benutzer erstellen"
"created_fams";"Die <i>Familien</i>-Tabelle wurde erfolgreich erstellt."
"created_fams_fail";"Die <i>Familien</i>-Tabelle kann nicht erstellt werden."
"created_indis";"Die <i>Individuen</i>-Tabelle wurde erfolgreich erstellt."
"created_indis_fail";"Die <i>Personen</i>-Tabelle kann nicht erstellt werden."
"created_other";"Die <i>Sonstiges</i>-Tabelle wurde erfolgreich erstellt."
"created_other_fail";"Die <i>Sonstiges</i>-Tabelle kann nicht erstellt werden."
"created_places";"Die <i>Orts</i>-Tabelle wurde erfolgreich erstellt."
"created_places_fail";"Die <i>Orts</i>-Tabelle kann nicht erstellt werden."
"created_sources";"Die <i>Quellen</i>-Tabelle wurde erfolgreich erstellt."
"created_sources_fail";"Die <i>Quellen</i>-Tabelle kann nicht erstellt werden."
"current_gedcoms";"Vorhandene GEDCOMs"
"current_users";"Liste vorhandener Benutzer"
"custom_event";"Benutzerdefiniertes Ereignis"
"customize_gedcom_page";"Stammbaum Begrüßungs-Seite anpassen"
"customize_page";"Mein GedView Portal anpassen"
"cut";"Ausschneiden"
"daily";"Täglich"
"data_incorrect";"Die Daten waren falsch, bitte versuchen Sie es erneut."
"datachanged";"Benutzerdaten wurden geändert"
"datachanged_name";"Möglicherweise müssen Sie sich mit Ihrem neuen Benutzernamen neu anmelden."
"dataset_exists";"Eine GEDCOM-Datei mit diesem Dateinamen wurde bereits in die Datenbank importiert."
"date";"Datum"
"date_created";"gesendet:"
"date_format";"Datums Format:"
"date_registered";"Datum der Registrierung"
"dateconvert";"Date Conversion Tool (wandelt das Datum um)"
"daughter";"Tochter"
"day";"Tag:"
"day_before_month";"Tag vor Monat (DD MM YYYY)"
"day_not_set";"Kein Tag angegeben"
"days_to_show";"Anzahl der anzuzeigenden Tage"
"db";"Datenbank"
"db_setup_bad";"Ihre aktuelle Datenbank-Konfiguration ist unzulässig. Bitte überprüfen Sie ihre Datenbankverbindungsparameter und konfigurieren Sie diese neu."
"dead";"Verstorben"
"death";"Tod:"
"dec";"Dezember"
"default_form";"Stadt, Kreis, (Bundes)Land, Staat"
"default_form_info";"(Standardeinstellung)"
"default_news_text";"Die genealogischen Informationen dieser Webseite werden mit Hilfe von <a href="http://www.Genmod.net/" target="_blank">Genmod #VERSION#</a> dargestellt.  Diese Seite hier gibt Ihnen einen Überblick und eine Einführung zu diesem Ahnenforschungs-Projekt.<br /><br />Um mit den Daten zu arbeiten, wählen Sie z.B. ein Diagramm aus dem Diagramm-Menü aus, öffnen Sie die Personen-Liste oder suchen Sie nach einem Namen oder Ort.<br /><br />Wenn Sie bei der Nutzung dieser Seite auf Schwierigkeiten stoßen, klicken Sie auf das Hilfe-Menü, um nähere Informationen zur jeweiligen Seite zu bekommen.<br /><br />Viel Erfolg bei der Ahnenforschung!"
"default_news_title";"Willkommen zur Ahnenforschung"
"default_user";"Erstellen Sie den Hauptadministrator."
"definitions";"Definitionen"
"delete";"Löschen"
"delete_name";"Namen löschen"
"delete_person";"Diese Person löschen"
"delete_repo";"Archiv löschen"
"delete_selected_messages";"Ausgewählte Nachrichten löschen"
"delete_source";"Diese Quelle löschen"
"descend_chart";"Nachfahrenbaum"
"descendants";"Nachfahren"
"description";"Beschreibung"
"detected_change";"Genmod hat eine Änderung an der Datei <b>#GEDCOM#</b> erkannt. Daher müssen jetzt die Index-Dateien neu erstellt werden."
"direct-ancestors";"Vorfahren in direkter Linie"
"disabled";"Deaktiviert"
"disproved";"Widerlegt"
"do_not_change";"Nicht ändern"
"does_not_exist";"existiert nicht"
"download";"Klicken Sie mit der rechten Maustaste (beim Mac Control-Klick) auf den untenstehenden Link und wählen &quot;Ziel speichern unter&quot;, um die generierte GEDCOM-Datei auf Ihren eigenen Computer zu übertragen (Download)."
"download_file";"Datei Download"
"download_gedcom";"GEDCOM-Datei von Ihrem Server herunterladen (download)"
"download_gedconf";"GEDCOM Konfiguration herunterladen."
"download_here";"Hier Klicken, um die Datei herunterzuladen."
"download_note";"ANMERKUNG: Große GEDCOM-Dateien benötigen vor dem Download u.U. eine längere Berechnungszeit. Wenn ein PHP-Timeout auftritt bevor der Download fertig ist, ist die heruntergeladene Datei vermutlich nicht komplett.<br /><br />Prüfen Sie, ob die heruntergeladene Datei in der letzten Zeile <b>0&nbsp;TRLR</b> enthält, um den korrekten Download sicherzustellen. GEDCOM-Dateien sind Textdateien, die mit einem einfachen Texteditor geöffnet werden können, aber achten Sie darauf, die Datei nach dem Ansehen <u>nicht</u> zu speichern.<br /><br />Üblicherweise benötigt der Download etwa so lang wie der Import-Vorgang."
"download_now";"Jetzt downloaden"
"download_report";"Bericht download"
"download_zipped";"GEDCOM-Datei als Zip-Datei herunterladen?"
"drop_tables";"Löschen der aktuellen sql-Tabellen"
"duplicate_username";"Doppelter Benutzername. Ein Benutzer mit dem gewählten Namen existiert bereits. Bitte wählen Sie einen anderen Benutzernamen."
"dynasty_list";"Übersicht der Familien"
"edit";"Bearbeiten"
"edit_exist_global_facts_settings";"Vorhandene globale Einstellungen bearbeiten"
"edit_exist_person_facts_settings";"Vorhandene Ereignis-Einstellungen bearbeiten"
"edit_exist_person_privacy_settings";"Vorhandene Einstellungen für Personen bearbeiten"
"edit_exist_user_privacy_settings";"Vorhandene Einstellungen für Benutzer bearbeiten"
"edit_fam";"Familie editieren"
"edit_indi";"Personen editieren"
"edit_lang_utility";"Bearbeitungsmodul für Sprach-Dateien"
"edit_langdiff";"Sprach-Dateien bearbeiten und konfigurieren"
"edit_name";"Namen editieren"
"edit_news";"Journal/Neuigkeiten-Einträge hinzufügen/bearbeiten"
"edit_privacy";"Konfiguration der Datenschutzdatei"
"edit_privacy_title";"Konfiguration der Datenschutzdatei"
"edit_raw";"GEDCOM Rohdaten bearbeiten"
"edit_settings";"Einstellungen bearbeiten"
"edit_sex";"Geschlecht ändern"
"editaccount";"Benutzer darf seine Benutzerdaten ändern"
"editowndata";"Eigene Benutzerdaten bearbeiten"
"emailadress";"E-Mail Adresse"
"empty_cart";"Ausschnitts-Sammelbehälter leeren"
"empty_dataset";"Möchten Sie den alten Datensatz löschen und durch diese neue Daten ersetzen?"
"empty_lines_detected";"In der GEDCOM-Datei wurden Leerzeilen entdeckt. Beim Korrigieren werden diese Zeilen entfernt."
"enter_body";"Bitte geben Sie vor dem Senden einen Text ein."
"enter_comments";"Bitte geben Sie ihre Verwandtschaft zu den Daten im Kommentarfeld ein.."
"enter_db_pass";"Aus Sicherheitsgründen müssen Sie einen Datanbank-Benutzernamen und ein Datenbank-Passwort eingeben, bevor Sie die Konfiguration verändern."
"enter_email";"Sie müssen eine E-Mail-Adresse angeben."
"enter_famid";"Familien ID eingeben"
