"ABBR";"Lyhenne"
"RFN";"Tietueen tiedostonumero"
"RIN";"Tietueen ID numero"
"ROLE";"Rooli"
"ROMN";"Romanisoitu"
"SERV";"Etäpalvelin"
"SEX";"Sukupuoli"
"SLGC";"LDS Child Sealing"
"SLGS";"LDS Spouse Sealing"
"SOUR";"Lähde"
"SPFX";"Sukunimen etuliite"
"SSN";"Henkilötunnus"
"STAE";"Osavaltio"
"STAT";"Tila"
"SUBM";"Lähettäjä/toimittaja"
"SUBN";"Lähetys/toimitus"
"SURN";"Sukunimi"
"TEMP";"Temppeli"
"TEXT";"Teksti"
"TIME";"Aika"
"TITL";"Aihe"
"TYPE";"Tyyppi"
"URL";"Verkko-osoite URL"
"WIFE";"Vaimo"
"WILL";"Testamentti"
"WWW";"Kotisivu"
"_ADPF";"Isän adoptoima"
"_ADPM";"Äidin adoptoima"
"_AKA";"Toiselta nimeltä"
"_AKAN";"Toiselta nimeltä"
"_BIBL";"Bibliografia"
"_BIRT_CHIL";"Lapsen syntymä"
"_BIRT_COUS";"Serkun syntymä"
"_BIRT_FSIB";"Isän sisaruksen syntymä"
"_BIRT_GCHI";"Lapsenlapsen syntymä"
"_BIRT_HSIB";"Sisarpuolen syntymä"
"_BIRT_MSIB";"Äidin sisaruksen syntymä"
"_BIRT_SIBL";"Sisaruksen syntymä"
"_BRTM";"Brit mila"
"_COML";"Avoliitto"
"_DEAT_CHIL";"Lapsen kuolema"
"_DEAT_COUS";"Serkun kuolema"
"_DEAT_FATH";"Isän kuolema"
"_DEAT_FSIB";"Isän sisaruksen kuolema"
"_DEAT_GCHI";"Lapsenlapsen kuolema"
"_DEAT_GPAR";"Isovanhemman kuolema"
"_DEAT_HSIB";"Sisarpuolen kuolema"
"_DEAT_MOTH";"Äidin kuolema"
"_DEAT_MSIB";"Äidin sisaruksen kuolema"
"_DEAT_SIBL";"Sisaruksen kuolema"
"_DEAT_SPOU";"Puolison kuolema"
"_DEG";"Tutkinto"
"_DETS";"Puolison kuolema"
"_EMAIL";"Sähköpostiosoite"
"_EYEC";"Silmien väri"
"_FA1";"Fakta 1"
"_FA10";"Fakta 10"
"_FA11";"Fakta 11"
"_FA12";"Fakta 12"
"_FA13";"Fakta 13"
"_FA2";"Fakta 2"
"_FA3";"Fakta 3"
"_FA4";"Fakta 4"
"_FA5";"Fakta 5"
"_FA6";"Fakta 6"
"_FA7";"Fakta 7"
"_FA8";"Fakta 8"
"_FA9";"Fakta 9"
"_FNRL";"Hautajaiset"
"_FREL";"Suhde isään"
"_GEDF";"GEDCOM-tiedosto"
"_GMU";"Viimeiseksi muuttanut"
"_HAIR";"Hiusten väri"
"_HEB";"Heprealainen"
"_HEIG";"Pituus"
"_HNM";"Heprealainen nimi"
"_HOL";"Holokausti"
"_INTE";"Hautaus"
"_MARI";"Avioliittoaikomus"
"_MARNM";"Avionimi"
"_MARR_CHIL";"Lapsen avioituminen"
"_MARR_COUS";"Serkun avioituminen"
"_MARR_FATH";"Isän avioituminen"
"_MARR_FSIB";"Isän sisaruksen avioituminen"
"_MARR_GCHI";"Lapsenlapsen avioituminen"
"_MARR_HSIB";"Sisarpuolen avioituminen"
"_MARR_MOTH";"Äidin avioituminen"
"_MARR_MSIB";"Äidin sisaruksen avioituminen"
"_MARR_SIBL";"Sisaruksen avioituminen"
"_MBON";"Aviollinen side"
"_MDCL";"Lääketieteellinen"
"_MEDC";"Terveydellinen tila"
"_MEND";"Avioliiton lopputilanne"
"_MILI";"Sotilaallinen"
"_MILT";"Sotapalvelus"
"_MREL";"Suhde äitiin"
"_MSTAT";"Avioliiton alkutilanne"
"_NAME";"Postinimi"
"_NLIV";"Ei elossa"
"_NMAR";"Ei koskaan naimisissa"
"_NMR";"Naimaton"
"_PRIM";"Korostettu kuva"
"_PRMN";"Pysyvä numero"
"_SCBK";"Leikekirja"
"_SEPR";"Asumusero"
"_SSHOW";"Kuvasarjaesitys"
"_STAT";"Aviosääty"
"_SUBQ";"Lyhyt tulkinta"
"_THUM";"Käytä tätä kuvaa pienoiskuvana?"
"_TODO";"Työlistalla"
"_TYPE";"Mediatyyppi"
"_UID";"Yleistunniste"
"_WEIG";"Paino"
"_YART";"Yartzeit"
