"ABBREVIATE_CHART_LABELS_help";"~#gm_lang[ABBREVIATE_CHART_LABELS]#~<br /><br /"
"DISPLAY_JEWISH_GERESHAYIM_help";"~#gm_lang[DISPLAY_JEWISH_GERESHAYIM]#~<br /><br />Az aposztróf és az idézőjelek használata a héber dátumok megjelenítésénél. Ha ezt igen-re állítjuk, akkor az 1969 február 8. így jelenik meg <span lang='he-IL' dir='rtl'>&#1499;'&#160;&#1513;&#1489;&#1496;&#160;&#1514;&#1513;&#1499;&quot;&#1496;</span>&lrm; , míg ezt nem-re állítva így jelenik meg <span lang='he-IL' dir='rtl'>&#1499;&#160;&#1513;&#1489;&#1496;&#160;&#1514;&#1513;&#1499;&#1496;</span>&lrm;. Ez a beállítás nincs hatással a zsidó évek megjelenítésére, mivel a zsidó dátumokban megjelenő időzőjelek nem jelennek meg a Latin karakterek használatával.<br />Megjegyzés: Ez a beállítás hasonló a PHP 5.0 CAL_JEWISH_ADD_ALAFIM_GERESH és CAL_JEWISH_ADD_GERESHAYIM naptár konstansához. Ez a beállítás mindkét változóra hatással van.<br />Ez a mező beállítja a $DISPLAY_JEWISH_GERESHAYIM változót a config.php fájlban.<br/>"
"DISPLAY_JEWISH_THOUSANDS_help";"~#gm_lang[DISPLAY_JEWISH_THOUSANDS]#~<br /><br />Mutatja az Alafim-ot a héber naptárban. Ha ezt igen-re állítjuk, akkor az 1969-es év így jelenik meg: <span lang="he-IL" dir='rtl'>&#1492;'&#160;&#1514;&#1513;&#1499;&quot;&#1496;</span>&lrm; , nem-re állítva pedig így jelennek meg az évek <span lang="he-IL" dir='rtl'>&#1514;&#1513;&#1499;&quot;&#1496;</span>&lrm;. Ez nincs befolyással a zsidó évek beállítására. Az év 5729-ként jelenik meg, függetlenül ettől a beállítástól.<br />Ez a mező beállítja a $DISPLAY_JEWISH_THOUSANDS változót a config.php fájlban.<br/>"
"ENABLE_CLIPPINGS_CART_help";"~#gm_lang[ENABLE_CLIPPINGS_CART]#~<br /><br />A családfa ágak kosara lehetővé teszi, hogy külön személyeket válasszunk ki, akiknek az adatai ezután egy fájlban letölthetőek, és más családfa programba beimportálhatóak.<br/>"
"ENABLE_MULTI_LANGUAGE_help";"~#gm_lang[ENABLE_MULTI_LANGUAGE]#~<br /><br />Állítsa 'igen'-re, hogy a felhasználók kiválaszthassák a használni kívánt nyelvet a lap alján lévő lenyíló-ablakból és a böngészőjükben beállított alapértelmezett nyelvet használhassák.<br/>"
"FAVICON_help";"~#gm_lang[FAVICON]#~<br /><br />Állítsa be azt az ikon-állományt, melyet meg kíván mutatni, amikor az Ön oldalát felveszik a Kedvencek közé.<br/>"
"GEDCOM_ID_PREFIX_help";"~#gm_lang[GEDCOM_ID_PREFIX]#~<br /><br />Ha a felhasználók nem adják meg az előtagot az ősfa, a leszármazottak, a roknsági fok grafikonja, vagy más kimutatás esetében azonosító begépelésekor, akkor a Genmod ezt az előtagot fűzi hozzá.<br/>"
"GM_MEMORY_LIMIT_help";"~#gm_lang[GM_MEMORY_LIMIT]#~<br /><br />A Genmod által maximálisan felhasználható memória mérete, melynek  alapértelmezett értéke 32MB. Sok szolgáltató tiltja ezt a beállítási lehetőséget a PHP-beállításaiban, így a végrehajtott változtatások nem gyakorolnak minden esetben hatást a felhasznált memória méretére.<br /><br />Ez a mező beállítja a $GM_MEMORY_LIMIT változót a <i>config.php</i> állományban.<br/>"
"GM_SESSION_SAVE_PATH_help";"~#gm_lang[GM_SESSION_SAVE_PATH]#~<br /><br />Az elérési út, ahol a Genmod-munkamenetek állományait kívánja tárolni. Egyes szolgáltatóknál a PHP-beállítások hiányosak, és a munkamenetekre vonatkozó adatokat nem tartják karban az egyes laphívások között. Ez a mező lehetőséget ad az adminisztrátornak, hogy az eredeti beállításokat felülírva lokálisan tárolja a munkamenetekre vonatkozó adatokat (melyhez az ./index/ könyvtár jó választás lehet). Alapértelmezett az üres mező, vagyis a php.ini-ben megadott érték változatlanul hagyása.<br /><br />Ez a mező beállítja a $GM_SESSION_SAVE_PATH változót a <i>config.php</i> állományban.<br/>"
"GM_SESSION_TIME_help";"~#gm_lang[GM_SESSION_TIME]#~<br /><br />Az időtartam másodpercben megadva, mely alatt egy Genmod-munkamenet aktív, és a felhasználónak nem kell újra bejelentkezni.  Az alapértelmezett érték 2 óra (7200 másodperc).<br /><br />Ez a mező beállítja a $GM_SESSION_TIME változót a <i>config.php</i> állományban.<br/>"
"GM_SIMPLE_MAIL_help";"~#gm_lang[GM_SIMPLE_MAIL]#~<br /><br />A külső e-mailek fejléceiben egyaránt megtalálható az e-mail cím és a levél küldőjének a neve. Ugyanakkor egyes levelezőrendszerek nem fogadják el ezt a megoldást. Állítsa igen-re, hogy csak az e-mail cím kerüljön elküldésre.<br /><br />Ez a mező beállítja a $GM_SIMPLE_MAIL változót a <i>config.php</i> állományban.<br/>"
"GM_STORE_MESSAGES_help";"~#gm_lang[GM_STORE_MESSAGES]#~<br /><br />Megszabja, hogy a Genmod-n keresztül küldött üzenetek tárolásra kerüljenek-e az adatbázisban. Ha az 'Igen'-t választja, a felhasználók láthatják az üzeneteiket, mikor bejelentkeznek a Genmod-be, a 'Nem' esetén az üzeneteket csak e-mailben kapják meg.<br /><br />Ez a mező beállítja a $GM_STORE_MESSAGES változót a <i>config.php</i> állományban.<br/>"
"HIDE_GEDCOM_ERRORS_help";"~#gm_lang[HIDE_GEDCOM_ERRORS]#~<br /><br />Ha ezt beállítjuk igen-re, akkor nem jelennek meg a GEDCOM állomány feldolgozása közben előforduló hibák. A Genmod törekszik a GEDCOM 5.5.1 szabványt betartására, de sok egyéb családfa program tárolhat saját bejegyzéseket az állományban. Lásd a <a href="readme.txt">readme.txt</a> állományt további információért.<br/>"
"HIDE_LIVE_PEOPLE_help";"~#gm_lang[HIDE_LIVE_PEOPLE]#~<br /><br />Ez az opció engedélyezi a diszkrét adatkezelésre vonakozó beállításokat és elrejti az életben lévő személyek adatait. Élő személynek tekintjük azt, akivel kapcsolatban nincs rögzített esemény $MAX_ALIVE_AGE évnél korábban, illetve akinek nem született gyermeke $MAX_ALIVE_AGE évnél régebben.<br/>"
"HOME_SITE_TEXT_help";"~#gm_lang[HOME_SITE_TEXT]#~<br /><br />Az a szöveg, amire kattintva juthatunk a fő weboldalhoz.<br/>"
"HOME_SITE_URL_help";"~#gm_lang[HOME_SITE_URL]#~<br /><br />Egy webcím, ami az oldal fejlécében szerepel. Itt általában a fő weboldal címét érdemes megadni.<br/>"
"INDEX_DIRECTORY_help";"~#gm_lang[INDEX_DIRECTORY]#~<br /><br />Annak az olvasható és írható könyvtárnak az útvonala, ahol a Genmod tárolja az indexfájlokat (a végén a "/" jellel).<br /><br />Ez a mező beállítja az $INDEX_DIRECTORY változót a <i>config.php</i> állományban.<br/>"
"JEWISH_ASHKENAZ_PRONUNCIATION_help";"~#gm_lang[JEWISH_ASHKENAZ_PRONUNCIATION]#~<br /><br />Használja a zsidó Ashkenazi kiejtéseket.<br />Ha ezt igen-re állítjuk, a Cheshvan és Teves hónapok az Ashkenazi kiejtéssel jelennek meg. Ha ezt nem-re állítjuk, nem változik ezeknek a hónapoknak a megejelenése.<br />Ez csak a zsidó beállításokra van hatással. A héber beállítást használva, a héber ábécét használjuk.<br />Ez a mező beállítja a $JEWISH_ASHKENAZ_PRONUNCIATION változót a <i><u>xxx</u>.GED_conf.php</i> állományban.<br/>"
"LANGUAGE_help";"~#gm_lang[LANGUAGE]#~<br /><br />Kijelöli az oldal alapértelmezett nyelvét. A felhasználók természetesen megváltoztathatják ezt a böngészőjük beállításain keresztül, vagy a lap alján található vezérlőpanel segítségével (ha az ENABLE_MULTI_LANGUAGE értéke 'true').<br/>"
"LINK_ICONS_help";"~#gm_lang[LINK_ICONS]#~<br /><br />Lehetővé teszi, hogy a felhasználók közvetlenül kiválaszthassanak más diagrammokat, vagy a személy közeli rokonait. Állítsa be a "Letiltva" opciót, ha nem kívánja ezt engedélyezni. Válassza az "Egér áthúzására" opciót, ha az egér áthaladására, illetve a "Kattintásra" opciót ha az egér kattintására kívánja aktiválni ezt a funkciót.<br/>"
"LOGFILE_CREATE_help";"~#gm_lang[LOGFILE_CREATE]#~<br /><br />A napló-állományok archiválási gyakorisága. Ez a mező beállítja a $LOGFILE_CREATE változót a <i>config.php</i> állományban.<br/>"
"LOGIN_URL_help";"~#gm_lang[LOGIN_URL]#~<br /><br />Csak abban az esetben adjon meg bejelentkező URL-t, ha a bejelentkezés után át kívánja irányítani a felhasználókat egy másik oldalra. Ez a lehetőség igen hasznos például akkor, ha Ön http-ről https-re szeretne váltani a beléptetés után. A login.php teljes elérési útját adja meg it (pl. https://www.yourserver.com/Genmod/login.php)<br/>"
"MAX_ALIVE_AGE_help";"~#gm_lang[MAX_ALIVE_AGE]#~<br /><br />Az évek maximális száma, amit egy személyhez kapcsolódó esemény, vagy gyermekeinek életkora alapján használunk ahhoz hogy meghatározzuk hogy életben van-e.<br/>"
"MAX_DESCENDANCY_GENERATIONS_help";"~#gm_lang[MAX_DESCENDANCY_GENERATIONS]#~<br /><br />Megszabja a leszármazottak grafikonján feltüntethető generációk maximális számát.<br/>"
"MAX_PEDIGREE_GENERATIONS_help";"~#gm_lang[MAX_PEDIGREE_GENERATIONS]#~<br /><br />Megszabja az ősfán feltüntethető generációk maximális számát.<br />"
"MAX_RELATION_PATH_LENGTH_help";"~#gm_lang[MAX_RELATION_PATH_LENGTH]#~<br /><br />A rokonsági fok maximális nagysága.<br /><br />A másodfokú unokatestvérek kezelése.<br /><br />Ez a mező beállítja a $MAX_RELATION_PATH_LENGTH változót a <i><u>xxx</u>.GED_priv.php</i> állományában.<br/>"
"MEDIA_DIRECTORY_LEVELS_help";"~#gm_lang[MEDIA_DIRECTORY_LEVELS]#~<br /><br />Ha ez az érték 0-ra van állítva, akkor nem veszünk figyelembe egy könyvtárat sem az állomány útvonalában a médiaobjektumhoz. Ha az érték 1, akkor az első könyvtárt használjuk ahol ez a kép van. Ha növeljük ezt a számot, akkor több szülőkönyvtár kerül a keresési útvonalba.  <br />Például: ha egy kép a GEDCOM-ban ezzel a könyvtárral van C:Documents and SettingsUserMy DocumentsMy PicturesGenealogySurname Linegrandpa.jpg, akkor a 0 értéket megadva ez a könyvtár átalakul erre: ./media/grandpa.jpg.  Az 1-es értékre ez lesz az útvonal ./media/Surname Line/grandpa.jpg, stb. A legtöbb esetben a 0 a megfelelő érték, de lehetséges az hogy több médiaelemnek is ugyan az a neve, és ekkor lehet ezzel a változóval jobban rendszerezni a médiaelemeket, és elkerülni a névütközéseket.<br/>"
"MEDIA_DIRECTORY_help";"~#gm_lang[MEDIA_DIRECTORY]#~<br /><br />Az elérési útvonalat relatív módon kell megadni, pl. ./media/ (beleértve a záró "/"-t is).<br/>"
"MEDIA_EXTERNAL_help";"~#gm_lang[MEDIA_EXTERNAL]#~<br /><br />Ha egy multimédiás hivatkozás kezdete pl. http://, ftp://, mms://, akkor azt nem változtatjuk meg, ha ezt az opciót 'igen'-re állítja. Például a http://www.myfamily.com/photo/dad.jpg továbbra is  http://www.myfamily.com/photo/dad.jpg marad. Ha viszont 'nem'-re állítja, általános hivatkozásként kezeljük és a médiakönyvtárhoz képest adjuk meg az elérését. Például a http://www.myfamily.com/photo/dad.jpg hivatkozást így alakítjuk át: ./media/dad.jpg.<br/>"
"META_AUDIENCE_help";"~#gm_lang[META_AUDIENCE]#~<br /><br />A HTML oldal fejlécében lévő "célközönség" META tag-nek ad értéket.<br />Ez a mező beállítja a $META_AUDIENCE változót a <i><u>xxx</u>.GED_conf.php</i> állományban.<br/>"
"META_AUTHOR_help";"~#gm_lang[META_AUTHOR]#~<br /><br />A HTML oldal fejlécében lévő "szerző" META tag-nek ad értéket. Kérjük, hagyja üresen ezt a mezőt, ha GEDCOM-állományhoz megadott kapcsolattartó nevét szeretné itt használni.<br /><br/>Ez a mező beállítja a $META_AUTHOR változót a <i><u>xxx</u>.GED_conf.php</i> állományban.<br/>"
"META_COPYRIGHT_help";"~#gm_lang[META_COPYRIGHT]#~<br /><br />A HTML oldal fejlécében lévő "copyright" META tag-nek ad értéket. Kérjük, hagyja üresen ezt a mezőt, ha GEDCOM-állományhoz megadott kapcsolattartó nevét szeretné itt használni.<br/><br/>Ez a mező beállítja a $META_COPYRIGHT változót a <i><u>xxx</u>.GED_conf.php</i> állományban.<br/>"
"META_DESCRIPTION_help";"~#gm_lang[META_DESCRIPTION]#~<br /><br />A HTML oldal fejlécében lévő "leírás" META tag-nek ad értéket. Kérjük, hagyja üresen ezt a mezőt, ha az aktuális GEDCOM-állomány címét szeretné itt használni.<br /><br/>Ez a mező beállítja a $META_DESCRIPTION változót a <i><u>xxx</u>.GED_conf.php</i> állományban."
"META_KEYWORDS_help";"~#gm_lang[META_KEYWORDS]#~<br /><br />A HTML oldal fejlécében lévő "kulcsszavak" META tag-nek ad értéket. Számos keresőmotor fogja használni az oldal indexelésében az itt megadott kulcsszavakat. A GEDCOM-statisztika blokkban található leggyakoribb vezetékneveket a program hozzáfűzi azon kifejezésekhez, melyeket Ön itt megad.<br /><br/>Ez a mező beállítja a $META_KEYWORDS változót a <i><u>xxx</u>.GED_conf.php</i> állományban.<br/>"
"META_PAGE_TOPIC_help";"~#gm_lang[META_PAGE_TOPIC]#~<br /><br />A HTML oldal fejlécében lévő "az oldal tárgya" META tag-nek ad értéket. Kérjük, hagyja üresen ezt a mezőt, ha az aktuális GEDCOM-állomány címét szeretné itt használni.<br />Ez a mező beállítja a $META_PAGE_TOPIC változót a <i><u>xxx</u>.GED_conf.php</i> állományban.<br/>"
"META_PAGE_TYPE_help";"~#gm_lang[META_PAGE_TYPE]#~<br /><br />A HTML oldal fejlécében lévő "az oldal típusa" META tag-nek ad értéket.<br />Ez a mező beállítja a $META_PAGE_TYPE változót a <i><u>xxx</u>.GED_conf.php</i> állományban.<br/>"
"META_PUBLISHER_help";"~#gm_lang[META_PUBLISHER]#~<br /><br />A HTML oldal fejlécében lévő "kiadó" META tag-nek ad értéket. Kérjük, hagyja üresen ezt a mezőt, ha GEDCOM-állományhoz megadott kapcsolattartó nevét szeretné itt használni.<br/><br/>Ez a mező beállítja a $META_PUBLISHER változót a <i><u>xxx</u>.GED_conf.php</i> állományban.<br/>"
"META_REVISIT_help";"~#gm_lang[META_REVISIT]#~<br /><br />A HTML oldal fejlécében lévő "látogatási gyakoriság" META tag-nek ad értéket. Számos keresőrobot nem veszi figyelembe ezt az értéket.<br/><br/>Ez a mező beállítja a $META_REVISIT változót a <i><u>xxx</u>.GED_conf.php</i> állományban.<br/>"
"META_ROBOTS_help";"~#gm_lang[META_ROBOTS]#~<br /><br />A HTML oldal fejlécében lévő "robotok" META tag-nek ad értéket. Számos keresőrobot nem veszi figyelembe ezt az értéket.<br/><br/>Ez a mező beállítja a $META_ROBOTS változót a <i><u>xxx</u>.GED_conf.php</i> állományban.<br/>"
"META_TITLE_help";"~#gm_lang[META_TITLE]#~<br /><br />A HTML oldal fejlécében lévő "TITLE" elemnek ad értéket úgy, hogy az ide írt szöveget az általános cím és a Genmod-ra való utalás közé fűzi.<br/><br/>Ez a mező beállítja a $META_TITLE változót a <i><u>xxx</u>.GED_conf.php</i> állományban.<br/>"
"PEDIGREE_FULL_DETAILS_help";"~#gm_lang[PEDIGREE_FULL_DETAILS]#~<br /><br />Megszabja, hogy a születési és halálozási adatok alapértelmezetten feltüntetésre kerülejenek-e.<br/>"
"PEDIGREE_GENERATIONS_help";"~GENERÁCIÓK SZÁMA~<br /><br />Itt állíthatja be az egy oldalon megjelenítendő generációk száma. <br />A helyes szám a képernyő méretének és megjelenített adatok részletezettségének függvényében változik.<br/><br/>"
"PEDIGREE_LAYOUT_help";"~#gm_lang[PEDIGREE_LAYOUT]#~<br /><br />Ebben a mezőben adható meg, hogy az ősfa álló vagy fekvő nézetben jöjjön létre.<br/>"
"PEDIGREE_ROOT_ID_help";"~#gm_lang[PEDIGREE_ROOT_ID]#~<br /><br />Megszabja az ősfa illetve a leszármazottak fája esetében alapértelmezett személy azonosítóját.<br/>"
"PRIVACY_BY_YEAR_help";"~#gm_lang[PRIVACY_BY_YEAR]#~<br /><br />"Az esemény diszkréciós szabályozása életkor alapján" lehetőséget ad arra, hogy Ön a személyekt adatait életkoruk alapján rejtse el - függetlenül attól, hogy élnek-e vagy már meghaltak. Hazsnálja ezt a lehetőséget a "AAz életkor, mely után az adott személy feltehetően már nem él" beállítással. Például ha az utóbbi opciót 100-ra, az előbbit "igen"-re állítja, akkor a kevesebb mint 100 éve született személyek adatai bizalmasak lesznek. Így egyben a kevesebb mint 85 éve házasodott és a kevesebb mint 75 éve elhunyt személyek adatai szintén bizalmasnak fognak számítani. Kérjük tartsa szem előtt, hogy ezen beállítás használata csökkenteni fogja a program teljesítményét.<br /><br />Ez a mező beállítja a $PRIVACY_BY_YEAR változót a <i><u>xxx</u>.GED_priv.php</i> állományában.<br/>"
"REQUIRE_AUTHENTICATION_help";"~#gm_lang[REQUIRE_AUTHENTICATION]#~<br /><br />Ennek az opciónak az engedélyezésével, a látogatók csak azután tekinthetnek meg bármilyen adatot az oldalon, miután bejelentkeztek.<br/>"
"SERVER_URL_help";"~#gm_lang[SERVER_URL]#~<br /><br />Amennyiben Ön https-kapcsolatot, vagy az alapértelmezettől eltérő portot használ, meg kell adnia a szerver URL-jét.<br /><br />Ez a mező beállítja a $SERVER_URL változót a <i>config.php</i> állományban.<br/>"
"SHOW_CONTEXT_HELP_help";"~#gm_lang[SHOW_CONTEXT_HELP]#~<br /><br />Ezzel a beállítással, azokon az oldalakon ahol van környezetérzékeny segítség, ott kérdőjelekkel jelezzük ezt.<br/>"
"SHOW_COUNTER_help";"~#gm_lang[SHOW_COUNTER]#~<br /><br />Látogató-számláló feltüntetése a portál- és a személyhez kötődő oldalon.<br/>"
"SHOW_DEAD_PEOPLE_help";"~#gm_lang[SHOW_DEAD_PEOPLE]#~<br /><br />Elhunyt személyek megmutatása.<br /><br />Hozzáférhetővé teszi az összes elhunyt személy adatait.<br/>"
"SHOW_EMPTY_BOXES_help";"~#gm_lang[SHOW_EMPTY_BOXES]#~<br /><br />Megszabja, hogy üres cellák feltüntetésre kerüljenek-e az ősfán.<br/>"
"SHOW_GEDCOM_RECORD_help";"~#gm_lang[SHOW_GEDCOM_RECORD]#~<br /><br />Ha Ön ezt az opciót <b>Igen</b>-re állítja, akkor a személyek, források és családok mellett megjelenik egy hivatkozás, mellyel a felhasználók egy felugró ablakban megjeleníthetik a nyers GEDCOM-rekordot.<br/>"
"SHOW_HIGHLIGHT_IMAGES_help";"~#gm_lang[SHOW_HIGHLIGHT_IMAGES]#~<br /><br />Ha engedélyezve van a multimédia az oldalon, akkor a Genmod megmutathat kisképeket egy személy neve mellett a táblázatokban és a szövegdobozokban. A Genmod jelenleg az első multimédia objektumot használja erre a célra. Ahol több kép van megadva, ott azt a képet kell az első helyre rendezni, amelyiket erre a célra szeretnénk használni.<br />Lásd a multimédia részt a <a href="readme.txt">readme.txt</a> fájlban, a multimédia elemek beillesztéséről.<br/>"
"SHOW_ID_NUMBERS_help";"~#gm_lang[SHOW_ID_NUMBERS]#~<br /><br />Mutatja az ID számokat zárójelben a név mögött a táblázatokban.<br/>"
"SHOW_LIVING_NAMES_help";"~#gm_lang[SHOW_LIVING_NAMES]#~<br /><br />Lehetőséget biztosít arra, hogy az élő személyek nevét bárki láthassa.<br /><br />Ez a mező beállítja a $SHOW_LIVING_NAMES változót a <i><u>xxx</u>.GED_priv.php</i> állományában.<br/>"
"SHOW_PEDIGREE_PLACES_help";"~#gm_lang[SHOW_PEDIGREE_PLACES]#~<br /><br />Mutatja a helységeket a születés és az elhalálozás mellett a családi a és leszármazási táblázatokban.<br/>"
"SHOW_STATS_help";"~#gm_lang[SHOW_STATS]#~<br /><br />Minden lap alján feltünteti a futtatási és adatbázis-lekérdezési statisztikát.<br/>"
"SUPPORT_METHOD_help";"~#gm_lang[SUPPORT_METHOD]#~<br /><br />Az a mód, ahogy a látogatók a 'támogató személlyel' felveszik a kapcsolatot a családfával kapcsolatos kérdésekben. Erre a címre kattintva megnyílik a felhasználó e-mail kliense, és rögtön írhat levelet. Az 'Genmod belső üzenet' opcióval a Genmod beépített üzenetküldését használhatjuk, e-mail küldése nélkül. Az 'Belső üzenet e-maillel megerősítve' opció az alapértelmezett, és itt az üzenet másolatát e-mailban is elküldjük. Az 'E-mailek tárolás nélkül' opciónál a Genmod kezeli az üzenetküldést, és e-mailként küldi az üzeneteket, de nem tárolja el azokat. Ha a 'Nincs kapcsolatartás' opciót jelöljük be, akkor a látogatók nem tudnak üzenni nekünk.<br/>"
