"ABBR";"Forkortelse"
"MARR_RELIGIOUS";"Kirkelig vielse"
"MARR_PARTNERS";"Registert partnerskap"
"MARR_UNKNOWN";"Ukjent form for vielse"
"_HNM";"Hebraisk navn"
"_DEAT_SPOU";"Dødsfall til ektefelle"
"_BIRT_CHIL";"Fødsel til barn"
"_MARR_CHIL";"Ekteskap til barn"
"_DEAT_CHIL";"Dødsfall til barn"
"_BIRT_GCHI";"Fødsel til barnebarn"
"_MARR_GCHI";"Ekteskap til barnenarn"
"_DEAT_GCHI";"Dødsfall til barnebarn"
"_MARR_FATH";"Ekteskap til faren"
"_DEAT_FATH";"Dødsfall til faren"
"_MARR_MOTH";"Ekteskap til moren"
"_DEAT_MOTH";"Dødsfall til moren"
"_BIRT_SIBL";"Fødsel<br />- en av søsknene"
"_MARR_SIBL";"Ekteskap<br />- en av søsknene"
"_DEAT_SIBL";"Dødsfall<br />- en av søsknene"
"_BIRT_HSIB";"Fødsel<br />- en av halvsøsknene"
"_MARR_HSIB";"Ekteskap<br />- en av halvsøsknene"
"_DEAT_HSIB";"Dødsfall<br />- en av halvsøsknene"
"_DEAT_GPAR";"Dødsfall<br />- en av besteforeldrene"
"_BIRT_FSIB";"Fødsel<br />- en av søsknene til faren"
"_MARR_FSIB";"Ekteskap<br />- en av søknene til faren"
"_DEAT_FSIB";"Dødsfall<br />- en av søsknene til faren"
"_BIRT_MSIB";"Fødsel<br />- en av søsknene til moren"
"_MARR_MSIB";"Ekteskap<br />- en av søsknene til moren"
"_DEAT_MSIB";"Dødsfall<br />- en av søsknene til moren"
"_BIRT_COUS";"Fødsel<br />- av et søskenbarn"
"_MARR_COUS";"Ekteskap<br />- av et søkenbarn"
"_DEAT_COUS";"Dødsfall<br />- av et søskenbarn"
"_THUM";"Bruke dette bilde som miniatyrbilde?"
"_GMU";"Sist endret av"
"SERV";"Fjern-server"
"_GEDF";"GEDCOM-fil"
