"stat_sources";"Kilder,"
"edit_fam";"Rediger familie"
"fams_charts";"Indstillinger for familie"
"sort_by_birth";"Sortering efter fødselsdato"
"reorder_children";"Sorter børn"
"add_from_clipboard";"Tilføj fra udklipsmappe"
"record_copied";"Post kopieret til udklipsmappen"
"copy";"Kopier"
"cut";"Klip"
"indis_charts";"Indstilling for person"
"edit_indi";"Rediger person"
"locked";"Lav ikke ændring"
"privacy";"Fortrolighed"
"qm";"?"
"qm_ah";"?"
"gedcom_stats_block";"Gedcomstatistik blok"
"sorry";"<b>Der er desværre ikke udarbejdet en hjælpetekst til denne side eller dette emne endnu</b>"
"var_not_exist";"<span style=font-weight: bold>Sprog variablen eksister ikke. Rapporter venligst dette som en fejl.</span>"
"resolution";"Skærmopløsning"
"menu";"Menu"
"header";"Overskrift"
"imageview";"Billedfremviser"
"login_head";"Genmod brugerlogin"
"error_title";"FEJL: kan ikke åbne Gedcom-filen"
"error_header";"Gedcom-filen, $GEDCOM, findes ikke på det specificerede sted."
"error_header_write";"Der kan ikke skrives til [#Gedcom#] Gedcom-filen. Kontroller venligst filens attributter og adgangsrettigheder."
"for_support";"For hjælp og information kontakt"
"for_contact";"For hjælp med slægtsspørgsmål kontakt"
"for_all_contact";"For teknisk hjælp eller slægtsspørgsmål, kontakt"
"build_title";"Opbygger indeksfiler"
"build_error";"En ny Gedcom-fil blev fundet."
"please_wait";"Vent venligst mens Indeksfilerne genopbygges."
"choose_gedcom";"Vælg et Gedcom datasæt"
"username";"Brugernavn"
"invalid_username";"Brugernavn indeholder ugyldige tegn"
"password";"Adgangskode"
"confirm";"Bekræft adgangskode"
"user_contact_method";"Foretrukne kontaktmetode"
"login_aut";"Rediger bruger"
"logout";"Log af"
"admin";"Administration"
"logged_in_as";"Logget på som"
"my_pedigree";"Mit Anetræ"
"my_indi";"Mig selv"
"yes";"Ja"
"no";"Nej"
"add_gedcom";"Tilføj en Gedcom-fil"
"change_theme";"Skift tema"
"gedcom_downloadable";"Denne Gedcom-fil kan downloades direkte fra internet!<br />Se venligst SIKKERHED-sektionen i <a href="readme.txt"><b>readme.txt</b></a> og korriger dette problem."
"index_header";"Anetræ"
"gen_ped_chart";"Anetræ #PEDIGREE_GENERATIONS# generationer"
"generations";"Generationer"
"view";"Vis"
"fam_spouse";"Familie med ægtefælle:"
"root_person";"Proband ID:"
"hide_details";"Skjul detaljer"
"show_details";"Vis detaljer"
"person_links";"Link til diagrammer (ane/efterkommertræer), familier, og nære slægtninge til denne person."
"zoom_box";"Zoom denne boks ind/ud"
"portrait";"Portræt"
"landscape";"Landskab"
"start_at_parents";"Start med forældrepar"
"max_generation";"Det maksimale antal generationer er #PEDIGREE_GENERATIONS#."
"min_generation";"Det minimale antal generationer er 3."
"box_width";"Boksvidde"
"unable_to_find_family";"Kan ikke finde familien med ID"
"unable_to_find_indi";"Kan ikke finde personen med ID"
"unable_to_find_record";"Kan ikke finde posten med ID"
"unable_to_find_source";"Kan ikke finde kilden med ID"
"unable_to_find_repo";"Kan ikke finde arkivstedet med ID"
"repo_name";"Arkivsted navn:"
"address";"Adresse:"
"phone";"Tlf:"
"source_name";"Kildenavn:"
"title";"Titel:"
"author";"Forfatter:"
"publication";"Publikation:"
"call_number";"Arkivnummer:"
"living";"Lever"
"private";"Privat"
"birth";"Fødsel:"
"death";"Død:"
"place_list_aft";"Stednavneniveau efter"
"not_an_array";"Ikke en tabel"
"print_preview";"Udskriftsvenlig udgave"
"cancel_preview";"Tilbage til normal visning"
"change_lang";"Skift sprog"
"print";"Udskriv"
"total_queries";"Antal databaseopslag:"
"total_privacy_checks";"Antal fortrolighedskontroller:"
"back";"Tilbage"
"privacy_list_indi_error";"Due to privacy rules, one or more people are hidden."
"privacy_list_fam_error";"Een eller flere familier er skjult pga. fortrolighedsregler."
"aka";"Aliaser"
"male";"Mand"
"female";"Kvinde"
"temple";"LDS Tempel"
"temple_code";"LDS Tempelkode:"
"status";"Status"
"source";"Kilde:"
"citation";"Kildehenvisning:"
"text";"Kildetekst:"
"note";"Note:"
"unrecognized_code";"Ukendt Gedcom-kode"
"unrecognized_code_msg";"Dette er en fejl, som vi gerne vil have lejlighed til udbedre. Indberet derfor venligst denne fejl til"
"indi_info";"Personoplysninger"
"family";"Familie"
"family_with";"Familie med"
"as_spouse";"Familie med ægtefælle"
"as_child";"Familie med forældre"
"view_gedcom";"Vis Gedcom-post"
"add_to_cart";"Tilføj til udklipsmappen"
"still_living_error";"Personen lever muligvis. Alle detaljer om levende personer er skjult for offentligheden.<br />For yderligere information kontakt"
"privacy_error";"Detaljer om denne person er private.<br />"
"more_information";"For yderligere information kontakt"
"name";"Navn"
"given_name";"Fornavne:"
"surname";"Efternavn:"
"suffix";"Suffiks:"
"object_note";"Objekt Notat:"
"sex";"Køn"
"personal_facts";"Personlige facts og detaljer"
"type";"Type"
"date";"Dato"
"place_description";"Sted / Beskrivelse"
"parents";"Forældre:"
"siblings";"Søskende"
"father";"Far"
"mother";"Mor"
"relatives";"Nære slægtninge"
"child";"Barn"
"spouse";"Ægtefælle"
"surnames";"Efternavne"
"adopted";"Adopteret"
"foster";"Foster"
"sealing";"Besegling"
"challenged";"Anfægtet"
"disproved";"Modbevist"
"no_tab1";"Der er ingen fakta for denne person."
"no_tab2";"Der er ingen noter for denne person."
"no_tab3";"Der er ingen kildehenvisninger for denne person."
"no_tab4";"Der er ingen medieobjekter for denne person."
"no_tab5";"Der er ingen nære slægtninge for denne person."
"no_tab6";"Denne person har ikke nogen forskningslog tilknyttet."
"family_info";"Familieinformation"
"family_group_info";"Familiegruppeinformation"
"husband";"Ægtemand"
"wife";"Hustru"
"marriage";"Bryllup:"
"lds_sealing";"LDS-besegling:"
"marriage_license";"Ægteskabsattest:"
"media_object";"Multimedieobjekt:"
"children";"Børn"
"no_children";"Ingen kendte børn"
"parents_timeline";"Vis par  på en tidslinje"
"clip_cart";"Udklipsmappe"
"clip_explaination";"Familietræets udklipsmappe gør det muligt for dig at tage &quot;udklip&quot; fra dette familietræ og samle disse i en enkelt Gedcom-fil, som kan downloades.<br /><br />"
"item_with_id";"Objekt med ID"
"error_already";"findes i forvejen i din udklipsmappe."
"which_links";"Hvilke links fra denne familie vil du tilføje?"
"just_family";"Tilføj kun denne familiepost."
"parents_and_family";"Tilføj forældrene til denne familiepost."
"parents_and_child";"Tilføj forældre og børn til denne familiepost."
"parents_desc";"Tilføj forældre og alle efterkommere til denne familiepost."
"continue";"Fortsæt med at tilføje"
"which_p_links";"Hvilke links fra denne person vil du tilføje?"
"just_person";"Tilføj kun denne person."
"person_parents_sibs";"Tilføj denne person, samt forældre og søskende."
"person_ancestors";"Tilføj denne person, samt dennes aner i direkte linje."
"person_ancestor_fams";"Tilføj denne person, og dennes aner i direkte linje samt deres familier."
"person_spouse";"Tilføj denne person, samt ægtefælle og børn."
"person_desc";"Tilføj denne person, ægtefælle, og alle efterkommere."
"unable_to_open";"Der kan ikke skrives til udklipsmappen"
"person_living";"Denne person lever stadig. Personlige data er derfor ikke medtaget."
"person_private";"Denne persons data er private. Personlige data er derfor ikke medtaget."
"family_private";"Detaljerede oplysninger om denne familie er private. Detaljerede familieoplysninger bliver ikke medtaget."
"download";"Højreklik (control-click på Mac) på link herunder og vælg &quot;Gem som&quot; for at downloade filerne."
"media_files";"Mediefiler der er reference til i denne Gedcom"
"cart_is_empty";"Din udklipsmappe er tom."
"id";"ID"
"name_description";"Navn / Beskrivelse"
"remove";"Fjern"
"empty_cart";"Tøm udklipsmappen"
"download_now";"Download nu"
"indi_downloaded_from";"Denne person blev downloaded fra:"
"family_downloaded_from";"Denne familie blev downloaded fra:"
"source_downloaded_from";"Denne kilde blev downloaded fra:"
"connections";"Stednavnsforbindelser fundet"
"top_level";"Top niveau"
"form";"Stednavne vises som:"
"default_form";"By, Amt, Provins, Land"
"default_form_info";"(Standard)"
"gedcom_form_info";"(Gedcom)"
"unknown";"Ukendt"
"individuals";"Personer"
"view_records_in_place";"Se alle poster tilknyttet denne lokalitet"
"place_list2";"Stednavneliste"
"show_place_hierarchy";"Vis stednavne niveaudelt"
"show_place_list";"Vis alle stednavne i listeform"
"total_unic_places";"Antal unikke stednavne"
"multi_title";"MultiMedie-objektliste"
"media_found";"Medieobjekter fundet"
"view_person";"Vis person"
"view_family";"Vis familie"
"view_source";"Vis kilde"
"prev";"&lt; Forrige"
"next";"Næste &gt;"
"file_not_found";"Fil ikke fundet."
"medialist_show";"Vis"
"per_page";"medieobjekter pr. side"
"add_directory";"Tilføj mappe"
"show_thumbnail";"Vis billedikoner"
"image_size";"Billedstørrelse--"
"no_thumb_dir";"Billedikonmappen findes ikke og kunne ikke oprettes"
"manage_media";"Håndter medier"
"gen_thumb";"Lav billedikon"
"move_to";"Flyt til --&gt;"
"security_no_create";"Sikkerhedsadvarsel: Filen <b><i>index.php</i></b> findes ikke i"
"security_not_exist";"Sikkerhedsadvarsel: Kunne ikke oprette filen <b><i>index.php</i></b> i"
"illegal_chars";"Ugyldige tegn i navn"
"link_media";"Tilknyt medier"
"to_person";"Til person"
"to_family";"Til familie"
"to_source";"Til kilde"
"media_id";"Medie ID"
"invalid_id";"Dette ID-nummer findes ikke i denne Gedcom-fil"
"upload_file";"Send fil fra din computer"
"thumb_genned";"Lav automatisk et billedikon."
"thumbgen_error";"Kunne ikke lave billedikon for"
"generate_thumbnail";"Lav automatisk et billedikon fra"
"no_upload";"Det er ikke tilladt at uploade multimedier, da denne funktion er deaktiveret eller multimediemappen ikke er skrivbar."
"upload_media";"Upload mediefiler"
"media_file";"Mediefil"
"thumbnail";"Billedikon"
"upload_successful";"Upload lykkedes"
"search_gedcom";"Søg i Gedcom-filer"
"enter_terms";"Indtast søgeord:"
"soundex_search";"Soundex navnesøgning:"
"sources";"Kilder"
"firstname_search";"Fornavne"
"lastname_search";"Efternavn"
"search_place";"Sted"
"search_year";"År"
"no_results";"Intet fundet."
"invalid_search_input";"Indtast et fornavn, efternavn eller stednavn \n\t udover årstallet"
"sources_found";"Kilder fundet"
"titles_found";"Titler"
"find_source";"Find kilde"
"repos_found";"Arkivsteder fundet"
"find_repository";"Find Arkivsted"
"total_repositories";"Antal Arkivsteder"
"repo_info";"Arkivstedinformation"
"delete_repo";"Slet arkivsted"
"other_repo_records";"Poster tilknyttet dette arkivsted"
"create_repository";"Opret nyt arkivsted"
"new_repo_created";"Nyt arkivsted oprettet"
"paste_rid_into_field";"Tilføj det følgende arkivsteds-ID i skrivbare felter for at referere til dette arkivsted"
"confirm_delete_repo";"Er du sikker på at du vil slette dette arkivsted fra databasen?"
"source_info";"Kildeinformation"
"other_records";"Poster tilknyttet denne kilde:"
"people";"Personer"
"families";"Familier"
"total_sources";"Antal kilder"
"building_indi";"Opbygger person og familie indeks"
"building_index";"Opbygger indekslister"
"invalid_gedformat";"Ukorrekt GEDCOM 5.5 format"
"importing_records";"Importerer poster til database"
"detected_change";"Genmod har opdaget en ændring i Gedcom-fil #GEDCOM#. Indeks filer skal genopbygges før der kan fortsættes."
"please_be_patient";"Udvis venligst tålmodighed…"
"reading_file";"Indlæser Gedcom-fil"
"flushing";"Fjerner indhold"
"found_record";"Fandt post"
"exec_time";"Procestid:"
"time_limit";"Tids begrænsning"
"unable_to_create_index";"Indeksfil kan ikke oprettes. Sørg for, de fornødne skrivetilladelser for Genmod mappen. Skrivebeskyttelse kan evt. genetableres når indeksfiler er oprettet."
"indi_complete";"Opdatering af personindeksfil er færdig."
"family_complete";"Opdatering af familieindeksfil er færdig."
"source_complete";"Opdatering af kildeindeksfil er færdig."
"tables_exist";"Genmod tabeller findes allerede i databasen"
"you_may";"Du kan:"
"drop_tables";"Fjerne de  nuværende tabeller"
"import_multiple";"Importe og arbejde med forskellige Gedcom-filer"
"explain_options";"Hvis du vælger at fjerne tabellerne vil alle data blive udskiftet med denne Gedcom.<br />Hvis du vælger at importere og arbejde med flere samtidige Gedcom-filer, vil Genmod slette alle data, der blev importeret fra Gedcom-fil(er) med samme navn. Denne feature gør det muligt at gemme flere samtidige Gedcom datasæt i de samme tabeller og nemt skifte frem og tilbage mellem disse."
"path_to_gedcom";"Indtast stien til din Gedcom-fil:"
"dataset_exists";"Der er allerede importeret en Gedcom-fil til databasen med dette navn."
"changes_present";"Denne Gedcom-fil er blevet ændret og ændringerne afventer godkendelse. Hvis du fortsætter denne import vil ændringerne blive tilføjet databasen uden videre. Du bør vurdere ændringerne inden du fortsætter med at importere."
"empty_dataset";"Vil du tømme datasættet og indlæse de nye data?"
"index_complete";"Indeksering færdig."
"click_here_to_go_to_pedigree_tree";"Klik her for at komme til anetræet."
"updating_is_dead";"Opdaterer "er død" status for INDI"
"import_complete";"Import færdig"
"updating_family_names";"Opdaterer familienavne for FAM"
"processed_for";"Behandlede fil for"
"run_tools";"Vil du bruge et af disse redskaber på din Gedcom før den importeres:"
"addmedia";"Tilføj medieredskab"
"dateconvert";"Datokonverteringsredskab"
"xreftorin";"Konverter XREF ID-nummer til RIN nummer"
"tools_readme";"For yderligere information, læs under tools i #README.TXT#."
"sec";"sek."
"bytes_read";"Bytes læst:"
"created_indis";"Oprettelse af <i>Personer</i> tabel lykkedes."
"created_indis_fail";"Oprettelse af <i>Personer</i> tabel mislykkedes."
"created_fams";"Oprettelse af <i>Familier</i> tabel lykkedes."
"created_fams_fail";"Oprettelse af <i>Personer</i> tabel mislykkedes."
"created_sources";"Oprettelse af <i>Kilder</i> tabel lykkedes."
"created_sources_fail";"Oprettelse af <i>kilder</i> tabel mislykkedes."
"created_other";"Oprettelse af <i>Andet</i> tabel lykkedes."
"created_other_fail";"Oprettelse af <i>Kilder</i> tabel mislykkedes."
"created_places";"Oprettelse af <i>Stednavne</i> tabel lykkedes."
"created_places_fail";"Oprettelse af <i>Stednavne</i> tabel mislykkedes."
"import_progress";"Importforløb..."
"total_fams";"Antal familier"
"total_indis";"Antal personer"
"starts_with";"Begynder med:"
"person_list";"Personliste:"
"paste_person";"Indsæt person"
"notes_sources_media";"Noter, kilder, og medier"
"notes";"Noter"
"ssourcess";"Kilder"
"media";"Medier"
"name_contains";"Navn indeholder:"
"filter";"Filter"
"find_individual";"Find person-ID"
"find_familyid";"Find familie-ID"
"find_sourceid";"Find kilde-ID"
"find_specialchar";"Find specialtegn"
"magnify";"Forstør"
"skip_surnames";"Drop efternavnsliste"
"show_surnames";"Vis efternavnsliste"
"all";"ALLE"
"hidden";"Skjulte"
"confidential";"Fortroligt"
"age";"Alder"
"timeline_title";"Genmod tidslinje"
"remove_person";"Fjern person"
"show_age";"Vis aldersmarkør"
"add_another";"Tilføj en person til skemaet:<br />Person-ID:"
"find_id";"Find ID"
"show";"Vis"
"year";"År:"
"timeline_instructions";"De nyeste browsere tillader, at man kan klikke og flytte rundt med boksene."
"zoom_in";"Zoom ind"
"zoom_out";"Zoom ud"
"select_an_option";"Vælg en af flg. valgmuligheder:"
"readme_documentation";"README dokumentation"
"configuration";"Indstillinger"
"rebuild_indexes";"Genopbyg indeksfiler"
"user_admin";"Brugeradministration"
"inc_languages";"Sprog"
"user_created";"Bruger oprettet."
"user_create_error";"Bruger kan ikke oprettes.Prøv venligst igen."
"password_mismatch";"Adgangskoder er forskellige."
"enter_username";"Du skal indtaste et brugernavn."
"enter_fullname";"Du skal indtaste det fulde navn."
"enter_password";"Du skal indtaste en adgangskode."
"confirm_password";"Du skal bekræfte adgangskoden."
"update_user";"Opdaterer brugerkonto"
"update_myaccount";"Opdater MinKonto"
"save";"Gem"
"delete";"Slet"
"edit";"Rediger"
"full_name";"Fulde navn"
"visibleonline";"Synlig for andre brugere online"
"editaccount";"Tillad denne bruger at redigere sine kontoinformationer"
"admin_gedcom";"Administrer Gedcom-filer"
"confirm_user_delete";"Er du sikker på, at du vil slette brugeren"
"create_user";"Opret bruger"
"no_login";"Bruger kan ikke godkendes."
"import_gedcom";"Importer denne Gedcom-fil"
"duplicate_username";"Dette brugernavn er allerede i brug. Vælg venligst et andet brugernavn."
"gedcomid";"Bruger-ID i slægtsdatabasen"
"enter_gedcomid";"Du skal indtaste et Gedcom-ID."
"user_info";"Min brugerinformation"
"rootid";"Anetræ proband"
"download_gedcom";"Download Gedcom"
"upload_gedcom";"Upload Gedcom"
"add_new_gedcom";"Opret ny Gedcom-fil"
"gedcom_file";"Gedcom-fil:"
"enter_filename";"Du skal indtaste et Gedcom-filnavn."
"file_not_exists";"Det indtastede filnavn kan ikke findes."
"file_exists";"Der findes i forvejen en Gedcom-fil med det navn. Vælg venligst et andet navn, eller slet den gamle fil."
"new_gedcom_title";"Slægtsoplysninger fra [#GEDCOMFILE#]"
"upload_error";"Der opstod en fejl under upload af din Gedcom-fil."
"add_gedcom_instructions";"Enter a fil = "
"file_success";"Fil uploaded uden problemer"
"file_too_big";"Uploaded fil overskrider tilladt størrelse"
"file_partial";"Filen blev kun delvist uploaded, prøv venligst igen."
"file_missing";"Der blev ikke modtaget nogen fil. Upload venligst igen."
"manage_gedcoms";"Administrer Gedcom-filer og fortrolighed"
"research_log";"Forskningslog"
"administration";"Administration"
"ansi_to_utf8";"Konverter denne ANSI (ISO-8859-1) kodede Gedcom til UTF-8?"
"utf8_to_ansi";"Vil du konvertere denne Gedcom fra UTF-8 til ANSI (ISO-8859-1)?"
"user_manual";"Genmod brugermanual"
"upgrade";"Opgrader Genmod"
"view_logs";"Se logfiler"
"logfile_content";"Logfilens indhold"
"step1";"Trin 1 af 4"
"step2";"Trin 2 af 4"
"step3";"Trin 3 af 4"
"step4";"Trin 4 af 4"
"validate_gedcom";"Gedcomvalidering"
"img_admin_settings";"Rediger billedmanipulationskonfiguration"
"download_note";"BEMÆRK: Procestiden for store Gedcom-filer kan være lang før download. Hvis PHP får timeout før download er tilendebragt, vil resultatet være en ukomplet downloaded fil. Du kan tjekke den downloadede Gedcom-fil for forekomsten af 0 TRLR linjen i filens slutning, for at se om filen er downloaded korrekt. Generelt vil det tage lige så lang tid at downloade som det tog at importere din Gedcom."
"gm_registry";"Kig på andre websteder, der bruger Genmod"
"verify_upload_instructions";"Hvis du vælger at fortsætte, vil den gamle Gedcom-fil blive erstattet med den fil du har uploaded og importprocessen vil blive gentaget. Vælger du derimod at afbryde, vil den gamle Gedcom-fil foreblive intakt og uændret."
"cancel_upload";"Afbryd upload"
"add_media_records";"Tilføj Medie"
"manage_media_files";"Rediger Medie"
"link_media_records";"Link Medie til personer"
"add_media_button";"Tilføj medie"
"phpinfo";"PHP Information"
"admin_info";"Information"
"admin_geds";"Data og Gedcom-administration"
"admin_site";"Websted-administration"
"person1";"Person 1"
"person2";"Person 2"
"no_link_found";"Der kan ikke findes nogen forbindelse mellem de to personer."
"sibling";"Søskende"
"follow_spouse";"Find forbindelse via giftemål."
"timeout_error";"Scriptet timede ud før der blev fundet en forbindelse."
"son";"Søn"
"daughter";"Datter"
"brother";"Bror"
"sister";"Søster"
"relationship_to_me";"Slægtskab til mig"
"rela_husb";"Slægtskab til ægtemand"
"rela_wife";"Slægtskab til hustru"
"next_path";"Find næste forbindelse"
"show_path";"Vis forbindelse"
"line_up_generations";"Vis samme generationer på samme linie"
"oldest_top";"Vis ældste øverst"
"check_delete";"Er du sikker på at du vil slette disse Gedcom data?"
"access_denied";"<b>Adgang nægtet</b><br />Du har ikke adgang til denne del."
"gedrec_deleted";"Gedcom post blev slettet."
"gedcom_deleted";"Gedcom [#GED#] blev slettet."
"changes_exist";"Der er lavet ændringer i denne Gedcom-fil."
"accept_changes";"godkend/Afvis ændringer"
"edit_raw";"Rediger den rå Gedcom post"
"show_changes";"Denne post er opdateret. Klik her for at se ændringer."
"hide_changes";"Klik her for at skjule ændringer."
"review_changes";"Vurder Gedcom ændringer"
"undo";"Fortryd"
"view_change_diff";"Vis ændringer og forskelle"
"changes_occurred";"Følgende ændringer er sket for denne person:"
"find_place";"Find stednavn"
"close_window";"Luk vindue"
"close_window_without_refresh";"Luk vindue uden skærmopdatering"
"place_contains";"Stednavn indholder:"
"accept_gedcom";"Fortryd en ændring ved at klikke på fortryd link ud for ændring. godkend alle ændringer i Gedcom, ved at genimportere Gedcom-filen."
"ged_import";"Importer Gedcom"
"now_import";"Nu skal du importere Gedcom-filens indhold ind i Genmod ved at klikke på import linket herunder."
"add_fact";"Tillføj data"
"add";"Tilføj"
"custom_event";"Selvdefineret begivenhed"
"update_successful";"Opdatering lykkedes"
"add_child";"Tilføj barn"
"add_child_to_family";"Tilføj et barn til denne familie"
"add_sibling";"Tilføj en bror eller en søster"
"add_son_daughter";"Tilføj en søn eller en datter"
"must_provide";"Du må oplyse en"
"delete_person";"Slet denne person"
"confirm_delete_person";"Er du sikker på, at du vil slette denne person fra Gedcom-filen?"
"find_media";"Find medie"
"set_link";"Lav link"
"add_source_lbl";"Tilføj kildehenvisning"
"add_source";"Tilføj ny kildehenvisning"
