"ABBR";"Abréviation"
"_MARR_MOTH";"Mariage de la mère"
"_DEAT_MOTH";"Décès de la mère"
"_BIRT_SIBL";"Naissance frère/sœur"
"_MARR_SIBL";"Mariage frère/sœur"
"_DEAT_SIBL";"Décès frère/sœur"
"_BIRT_HSIB";"Naissance demi-frère/sœur"
"_MARR_HSIB";"Mariage demi-frère/sœur"
"_DEAT_HSIB";"Décès demi-frère/sœur"
"_DEAT_GPAR";"Décès d'un grand-parent"
"_BIRT_FSIB";"Naissance frère/sœur du père"
"_MARR_FSIB";"Mariage frère/sœur du père"
"_DEAT_FSIB";"Décès frère/sœur du père"
"_BIRT_MSIB";"Naissance frère/sœur de la mère"
"_MARR_MSIB";"Mariage frère/sœur de la mère"
"_DEAT_MSIB";"Décès frère/sœur de la mère"
"_BIRT_COUS";"Naissance cousin(e) germain(e)"
"_MARR_COUS";"Mariage cousin(e) germain(e)"
"_DEAT_COUS";"Décès cousin(e) germain(e)"
"_THUM";"Vignette"
"_GMU";"Dernière modification par"
"SERV";"Serveur distant"
"_GEDF";"Fichier GEDCOM"
