"stat_sources";"Kaynaklar, "
"total_not_born";"Doğmamışların sayısı"
"download_zipped";"GEDCOM ZİP-dosyası olarak indirilsin mi?"
"remember_me";"Beni bu bilgisayarda hatırla"
"add_unlinked_person";"Yeni şahıs ekle"
"other";"Çeşitli"
"total_names";"Toplam isim sayısı"
"show_spouses";"Eşleri göster"
"quick_update_title";"Hızlı güncelleme"
"update_fact";"Hadiseyi güncelle"
"update_photo";"Fotoğrafı güncelle"
"photo_replace";"Bu fotoğrafı eski bir fotoğraf yerine mi koymak istiyorsunuz?"
"select_fact";"Hadise seç..."
"update_address";"Adresi güncelle"
"add_new_chil";"Yeni çocuk ekle"
"user_default_tab";"Şahısların bilgileri sayfasında gösterilecek ilk sekme"
"indis_charts";"Şahsi seçenekler"
"locked";"Değiştirme"
"privacy";"Mahremiyet"
"qm";"?"
"gedcom_stats_block";"GEDCOM - "İstatistikler" kutusu"
"sorry";"<b>Ne yazık ki bu sayfa ya da bölümün yardım mesajı daha tamamlanmamıştır</b>"
"resolution";"Ekran çözünürlüğü"
"menu";"Seçenek listesi"
"header";"Başlık"
"login_head";"Genmod üye girişi"
"error_title";"HATA: GEDCOM dosyası açılamıyor"
"error_header";"[#GEDCOM#], isimli GEDCOM dosyası, belirlenen yerde bulunamadı."
"error_header_write";"[#GEDCOM#] isimli GEDCOM dosyasına yazma izni yoktur. Check attributes and access rights."
"for_support";"Teknik yardım ve bilgi için danışabileceğiniz ilişki adresi:"
"for_contact";"Seçere hakkında yardım için danışabileceğiniz ilişki adresi:"
"for_all_contact";"Teknik yardım veya seçere ile ilgili sorular için danışabileceğiniz ilişki adresi:"
"build_title";"İndeks dosyaları inşa ediliyor"
"build_error";"GEDCOM dosyası güncelleştirildi."
"please_wait";"Lütfen biraz bekleyin. İndeks dosyaları yeniden yaratılmaktadır."
"choose_gedcom";"Bir GEDCOM veritabanını seç"
"username";"Rumuz"
"invalid_username";"Rumuz içinde geçersiz harfler bulunmaktadır"
"password";"Şifre"
"confirm";"Şifre tekrarlaması"
"user_contact_method";"Tercih edilen ilişki yöntemi"
"login_aut";"Üye verilerini işle"
"logout";"Çıkış"
"admin";"İdare / Ayarlar"
"logged_in_as";"Giriş rumuzu"
"my_pedigree";"Benim soyağacım"
"my_indi";"Şahsi sayfam"
"yes";"Evet"
"no";"Hayır"
"add_gedcom";"GEDCOM ekle"
"change_theme";"Temayı değiştir "
"gedcom_downloadable";"Bu GEDECOM dosyası İnternet üzerinden indirilebilinir!<br />Lütfen <a href="readme.txt">readme.txt</a> dosyasının "SECURITY" bölümünü okuyup bu sorunu ortadan kaldırın."
"index_header";"Soy ağacı - Seçere"
"gen_ped_chart";"#PEDIGREE_GENERATIONS# nesil - Soy ağacı - Seçere görüntüsü"
"generations";"Gösterilen nesil sayısı"
"view";"Göster"
"fam_spouse";"Eş ve aile"
"root_person";"Kök şahıs numarası"
"hide_details";"Detayları sakla"
"show_details";"Detayları göster"
"person_links";"Bu şahısın çizgelerine, ailesine ve yakın akrabalarına ulaşan bağlantılar. Bu simgeye tıklayıp şahıs ile ilgili sayfaları izleyin."
"zoom_box";"Bu kutuyu büyüt / küçült"
"portrait";"Düşey"
"landscape";"Yatay"
"start_at_parents";"Anne ve baba ile başla"
"box_width";"Kutu eni"
"unable_to_find_family";"Bu numaraya bağlı aile bulunamadı"
"unable_to_find_indi";"Bu numaraya bağlı şahıs bulunamadı"
"unable_to_find_record";"Bu numaraya bağlı kayıt bulunamadı"
"unable_to_find_source";"Bu numaraya bağlı kaynak bulunamadı"
"unable_to_find_repo";"Bu numaraya bağlı veri tabanı tablosu bulunamadı"
"repo_name";"Veri tabanı tablosunun ismi:"
"address";"Adres:"
"phone";"Telefon:"
"source_name";"Kaynağın ismi:"
"title";"Resmi sıfat"
"author";"Yazar:"
"publication";"Yayın:"
"call_number";"Telefon numarası:"
"living";"Yaşıyor"
"private";"Özel"
"birth";"Doğum:"
"death";"Vefat:"
"not_an_array";"Dizi (array) değildir"
"print_preview";"Baskı ön izleme"
"cancel_preview";"Normal görüntüye geri dön"
"change_lang";"Dil seçimi"
"print";"Yazdır"
"total_queries";"Veritabanına sorma sayısı: "
"total_privacy_checks";"Toplam mahremiyet denetlemeleri: "
"back";"geri dön"
"privacy_list_indi_error";"Mahremiyet kuralları yüzünden bazı şahısların detayları gizli tutulmaktadır."
"privacy_list_fam_error";"Mahremiyet kuralları yüzünden bazı ailelerin detayları gizli tutulmaktadır."
"aka";"Tanındığı diğer isimler"
"male";"erkek"
"female";"kadın"
"temple";"LDS Temple"
"temple_code";"LDS Temple kodu:"
"status";"Durumu"
"source";"Kaynak"
"citation";"Bölüm:"
"text";"Kaynak metin:"
"note";"Not"
"unrecognized_code";"Tanınmayan GEDCOM kodu"
"unrecognized_code_msg";"Bu düzeltmek istediğimiz bir hatadır. Bu hatayı lütfen bu adrese bildirin:"
"indi_info";"Kişisel bilgi"
"family";"Aile"
"as_spouse";"Aile tablosu (eş olarak)"
"as_child";"Aile tablosu (çocuk olarak)"
"view_gedcom";"GEDCOM kayıtını göster"
"add_to_cart";"Parça toplama mahfazasına kat"
"still_living_error";"Bu şahıs daha yaşamaktadır veyahut doğum ya da ölüm tarihleri eksiktir.<br />Burada yaşayan şahıslar hakkında hiçbir ayrıntı gösterilmez.<br />Ayrıntılı bilgi için bu adres ile temasa geçin:"
"privacy_error";"Bu şahısın detayları şahsidir.<br />Ayrıntılı bilgi için bu adres ile temasa geçin:"
"more_information";"Ayrıntılı bilgi için danışabileceğiniz ilişki adresi:"
"name";"İsim"
"given_name";"İsim:"
"surname";"Soy isim:"
"suffix";"Ek isim:"
"object_note";"Nesne notu:"
"sex";"Cinsiyet"
"personal_facts";"Kişisel bilgiler ve detaylar"
"type";"Tip"
"date";"Tarih"
"place_description";"Yer / Tarif"
"parents";"Anne ve baba:"
"siblings";"Kardeşleri"
"father";"Baba"
"mother";"Anne"
"relatives";"Yakın akrabalar"
"child";"Çocuk"
"spouse";"Eşi"
"surnames";"Soy isimleri"
"adopted";"Evlatlık edinme"
"foster";"Babalık / Analık"
"no_tab1";"Bu şahıs ile ilgili hiç bir hadise bulunmamaktadır."
"no_tab2";"Bu şahıs ile ilgili hiç bir not bulunmamaktadır."
"no_tab4";"Bu şahıs ile ilgili hiç bir mültimedya nesnesi bulunmamaktadır."
"no_tab5";"Bu şahıs ile ilgili hiç bir yakın akraba bulunmamaktadır."
"family_info";"Aile bilgisi"
"family_group_info";"Aile gurubu üzerine bilgi"
"husband";"Koca"
"wife";"Karı"
"marriage";"Evlilik:"
"marriage_license";"Evlilik izini:"
"media_object";"Mültimedya nesnesi:"
"children";"Çocuklar"
"no_children";"Kayıt edilmiş çocuk yok"
"parents_timeline";"Çifti zaman çizgisinde göster"
"clip_cart";"Parça toplama mahfazası"
"clip_explaination";"Parça toplama mahfazası bu seçereden istediğiniz &quot;parçaları&quot işaretleyip sonradan işaretlediğiniz tüm parçaları özel bir GEDCOM dosyası halinde indirmeniz içindir.<br /><br />"
"item_with_id";"ID üzerine bilgi"
"error_already";"Parça toplama mahfazasının içindedir."
"which_links";"Bu aile ile ilgili hangi bağlantıyı eklemek istiyorsunuz?"
"just_family";"Sadece bu aile kayıtını ekle."
"parents_and_family";"Anne ve babayı bu aile kayıtı ile ekle."
"parents_and_child";"Bu şahsı, annesini, babasını ve çocuklarını ekle."
"parents_desc";"Bu şahsı, annesini, babasını ve onu izleyen tüm şahısları ekleyin."
"continue";"Eklemeye devam et"
"which_p_links";"Bu şahısla ilgili hangi bağlantıyı eklemek istiyorsunuz?"
"just_person";"Bu şahsı ekle."
"person_parents_sibs";"Bu şahsı, annesini, babasını ve kardeşlerini ekle."
"person_ancestors";"Bu şahsı ve direk öncelerini ekle."
"person_ancestor_fams";"Bu şahsı, direk öncelerini ve ailesini ekle."
"person_spouse";"Bu şahsı, eşlerini ve çocuklarını ekle."
"person_desc";"Bu şahsı, eşlerini ve onu izleyen tüm şahısları ekle."
"unable_to_open";"Parça toplama mahfazası yazmak için açılamadı."
"person_living";"Bu şahıs daha yaşamaktadır veyahut şahısın doğum ya da ölüm tarihleri eksiktir.<br />Burada yaşayan şahıslar hakkında hiçbir ayrıntı gösterilmez."
"person_private";"Bu şahısın detayları şahsidir. Kişisel detaylar eklenmeyecektir."
"family_private";"Bu ailenin detayları şahsidir. Kişisel detaylar eklenmeyecektir."
"download";"Yeni yaratılmış GEDCOM dosyasını yerel bilgisayarınıza indirebilmek için aşağıdaki bağlantıya farenin sağ tuşu ile basıp (MAC te Control-Click) &quot;Save target as&quot; emrini seçin."
"media_files";"Medya dosyaları ile ilişkide bulunan GEDCOM"
"cart_is_empty";"Parça toplama mahfazasınız boştur."
"id";"ID"
"name_description";"İsim / Tarif"
"remove";"Sil"
"empty_cart";"Parça toplama mahfazasının boşalt"
"download_now";"Şimdi indir"
"indi_downloaded_from";"Şahısın bilgileri buradan indirildi:"
"family_downloaded_from";"Ailenin bilgileri buradan indirildi:"
"source_downloaded_from";"Kaynağın bilgileri buradan indirildi:"
"connections";"Yer bağlantısı bulundu<br />Şimdi sonuçlara bak"
"top_level";"geri dön"
"form";"Yerlerin sıralanma şekli:"
"default_form";"Kasaba, İlçe, İl, Ülke"
"default_form_info";"(Varsayılan / Default)"
"unknown";"Soy isim yok"
"individuals";"Şahıslar"
"view_records_in_place";"Bu yer ile ilgili tüm kayıtları göster"
"place_list2";"Yer listesi"
"show_place_list";"Tüm yerleri tek liste halinde göster"
"multi_title";"Mültimedya nesne listesi"
"media_found";"mültimedya nesnesi bulundu"
"view_person";"Şahsı göster"
"view_family";"Aileyi göster"
"view_source";"Kaynağı göster"
"prev";"&lt; bir sayfa geri dön"
"next";"bir sayfa ilerle &gt;"
"file_not_found";"Dosya bulunamadı"
"medialist_show";"Göster"
"per_page";"mültimedya nesnesini bir sayfada"
"add_directory";"Dizin ekle"
"show_thumbnail";"Tırnak resimleri göster"
"link_media";"Mültimedya bağla"
"upload_media";"Medya dosyalarını yolla"
"media_file";"Medya dosyası"
"thumbnail";"Tırnak resim"
"upload_successful";"Yollama başarılı idi"
"search_gedcom";"GEDCOM dosyası içinde arama"
"enter_terms";"Aranan terimleri ekle"
"soundex_search";"- Ya da isimin yazıldığını düşündüğünüz şekilde arayın (Soundex):"
"sources";"Kaynaklar"
"firstname_search";"İsim"
"lastname_search";"Soy isim"
"search_place";"Yer"
"search_year";"Sene"
"no_results";"Hiçbir sonuç bulunmadı."
"invalid_search_input";"Lütfen sene ile beraber bir isim, soy isim ya da bir yerin ismini ekleyin"
"sources_found";"Kaynak bulundu"
"titles_found";"Başlıklar"
"repos_found";"Veri havuzları bulundu"
"source_info";"Kaynak bilgisi"
"other_records";"Bu kaynakla ilişkide olan diğer kayıtlar:"
"people";"Şahıslar"
"families";"Aileler"
"total_sources";"Toplam kaynak sayısı"
"building_indi";"Şahıs ve aile indeksini geliştiriyorum"
"building_index";"İndeks listelerini geliştiriyorum"
"invalid_gedformat";"Hatalı GEDCOM 5.5 biçimi"
"importing_records";"Kayıtları veritabanına işliyorum"
"detected_change";"Genmod $GEDCOM isimli GEDCOM dosyasının değiştiğini fark etti. Devam etmeden önce indeks dosyalarının yenilenmesi lazım."
"please_be_patient";"LÜTFEN BİRAZ SABIRLI OLUN"
"reading_file";"GEDCOM dosyası okunuyor"
"flushing";"İçerikleri siliyorum"
"found_record";"Bulunan kayıt"
"exec_time";"Toplam işletim süresi:"
"time_limit";"PHP zaman sınırlaması"
"unable_to_create_index";"İndeks dosyasını yenileyemedim. Genmod dizinine yazma izninizin olup olmadığını denetleyin. İzinler indeks dosyalarının yaratılmasından sonra eski duruma geri getirilebilinir."
"indi_complete";"Şahısların indeks dosyası yenilendi."
"family_complete";"Ailelerin indeks dosyası yenilendi."
"source_complete";"Kaynakların indeks dosyası yenilendi."
"tables_exist";"Genmod tabloları veri tabanında vardı"
"you_may";"Seçenekleriniz:"
"drop_tables";"Aktüel sql-table ları silin"
"import_multiple";"Çeşitli GEDCOM-Dosyalarını ithal edip devam edin"
"path_to_gedcom";"GEDCOM-Dosyanızın yerini belirleyin:"
"dataset_exists";"Veri tabanına bu isim altında başka bir GEDCOM-Dosyası ithal edilmiştir."
"empty_dataset";"Veri kümesini hakikatten silmek istiyor musunuz?"
"index_complete";"İndeks tamamlandı."
"click_here_to_go_to_pedigree_tree";"Soy ağacı - seçere tablosuna ulaşmak için buraya tıklayın"
"import_complete";"İçerik aktarımı tamamlandı"
"updating_family_names";"Aile soy isimleri FAM için güncelleştiriliyor "
"addmedia";"Medya ekleme aracı"
"dateconvert";"Tarihleri dönüştürme aracı"
"xreftorin";"XREF İD'lerini RİN numarasına dönüştür"
"tools_readme";"Ayrıntılı bilgi için #README.TXT# dosyasının "tools" bölümünü okuyun."
"sec";"saniye"
"bytes_read";"Okunan byte miktarı:"
"import_progress";"İthal gelişimi..."
"total_fams";"Toplam aile sayısı"
"total_indis";"Toplam şahıs sayısı"
"starts_with";"Bununla başla:"
"person_list";"Şahıs listesi:"
"paste_person";"Şahsı ekle"
"notes_sources_media";"Notlar, Kaynaklar, Medya-Dosyaları"
"notes";"Notlar"
"ssourcess";"Kaynaklar"
"media";"Mültimedya"
"name_contains";"İsim içeriği:"
"filter";"Filtre"
"find_individual";"Şahıs arama listesi"
"find_familyid";"Aile numarasını ara"
"find_sourceid";"Kaynak no'sunu ara"
"skip_surnames";"Soy isim listesini sakla"
"show_surnames";"Soy isim listesini göster"
"all";"HEPSİ"
"hidden";"Saklı"
"confidential";"Özel"
"age";"Yaş"
"timeline_title";"Genmod zaman çizgisi"
"remove_person";"Şahsı sil"
"show_age";"Yaşını göster"
"add_another";"Yeni bir şahsı çizime ekle:<br />Şahıs numarası:"
"find_id";"Numarayı ara"
"show";"Göster"
"year";"Sene:"
"timeline_instructions";"Yeni tarayıcıların çoğunda tıklayarak veyahut kutuları çekerek görüntünün bir yerinden diğerine yerleştirebilirsiniz."
"zoom_in";"Görüntüyü büyüt"
"zoom_out";"Görüntüyü küçült"
"select_an_option";"Aşağıdaki seçeneklerden birini seçin:"
"readme_documentation";"README belgelemesi"
"configuration";"Genel ayarlar"
"rebuild_indexes";"İndeks dosyalarını yenile"
"user_admin";"Üyelerin ayarları"
"inc_languages";"Diller"
"user_created";"Üye başarıyla eklendi."
"user_create_error";"Üye eklenemedi. Lütfen bir sayfa geri dönüp tekrar deneyin."
"password_mismatch";"Şifreler birbirine uymuyor."
"enter_username";"Üyenin rumuzunu işlemeniz gerekiyor."
"enter_fullname";"Üyenin komple ismini işlemeniz gerekiyor."
"enter_password";"Üyenin şifresini işlemeniz gerekiyor."
"confirm_password";"Şifreyi tekrarlamanız lazım"
"update_user";"Üye verilerini güncelleştir"
"update_myaccount";"Benim üyelik verilerimi güncelleştir"
"save";"Hafıza et"
"delete";"Sil"
"edit";"İşle"
"full_name";"Komple isim"
"visibleonline";"Siteye bağlantılı iken diğer üyelere görünür"
"editaccount";"Bu üyeye kendi üyelik verilerini işleme hakkı ver"
"admin_gedcom";"GEDCOM ayarlarını düzenle"
"confirm_user_delete";"Üyeyi hakikatten silmek mi istiyorsunuz"
"create_user";"Yeni üye yarat"
"no_login";"İlettiğiniz rumuz ya da şifre tasdik edilemedi :-("
"import_gedcom";"Bu GEDCOM dosyasını ithal et"
"duplicate_username";"Çifte rumuz. Siteye bu rumuz ile başka bir üye kayıtlıdır. Lütfen geri dönüp başka bir rumuz seçiniz."
"gedcomid";"Şahsın GEDCOM kayıt numarası"
"enter_gedcomid";"GEDCOM kayıt numarasını işlemeniz gerekiyor."
"user_info";"Kişisel sayfam"
"rootid";"Soyağacının kök şahsı"
"download_gedcom";"GEDCOM dosyasını indir"
"upload_gedcom";"GEDCOM dosyasını yolla"
"add_new_gedcom";"Yeni bir GEDCOM yarat"
"gedcom_file";"GEDCOM dosyası"
"enter_filename";"GEDCOM dosyasının ismini işlemeniz gerekiyor."
"file_not_exists";"İşlediğiniz isimli dosya yoktur."
"file_exists";"Bu isim altında başka bir GEDCOM bulunmuştur. Lütfen başka bir isim seçin ya da eski dosyayı önce silin."
"new_gedcom_title";"[#GEDCOMFILE#] dosyasından alınan seçere ile ilgili veri"
"upload_error";"Dosyayı yollarken bir hata oldu."
"add_gedcom_instructions";"Bu yeni GEDCOM için bir dosya ismini işleyin. Yeni GEDCOM dosyası indeks dizininde yaratılacaktır."
"file_success";"Dosya başarı ile yollandı."
"file_too_big";"Yollanılan dosya izin verilen büyüklüğü geçiyor."
"file_partial";"Dosya tamamen yollanamadı. Lütfen tekrar deneyin"
"file_missing";"Dosya buraya ulaşmadı. Tekrar yollayın."
"manage_gedcoms";"GEDCOM - Veritabanı ayarları"
"administration";"İdare / Ayarlar"
"ansi_to_utf8";"ANSİ ile kodlanmısş bu GEDCOM veritabanı UTF-8'e dönüştürülsün mü?"
"utf8_to_ansi";"UTF-8 ile kodlanmısş bu GEDCOM veritabanı ANSİ'ye (ISO-8859-1) dönüştürülsün mü?"
"user_manual";"Genmod - Kullanıcı belgelemesi"
"upgrade";"Genmod yazılımını güncelleştir"
"view_logs";"Sistemin günlük raporuna bak"
"logfile_content";"Sistemin günlük raporunun içeriği. Günlük dosyasının isimi:"
"step1";"4 adımdan 1'incisi:"
"step2";"4 adımdan 2'ncisi:"
"step3";"4 adımdan 3'üncüsü:"
"step4";"4 adımdan 4'üncüsü:"
"validate_gedcom";"GEDCOM veritabanının geçerliğini denetle"
"gm_registry";"Genmod kullanan diğer sitelerin listesi"
"cancel_upload";"Yollamayı iptal et"
"manage_media_files";"Mültimedya dosyalarını yönet"
"add_media_button";"Medya dosyası ekle"
"person1";"1. şahıs"
"person2";"2. şahıs"
"no_link_found";"İki şahıs arasında hiç bir bağlantı bulunamadı"
"sibling";"Akrabalık"
"follow_spouse";"Evlilik ile gelişen akrabalılığı araştır"
"timeout_error";"Bu "script" hiçbir akrabalık bağlantısı bulamadan sona erdi!!!"
"son";"Erkek çocuk"
"daughter";"Kız çocuk"
"brother";"Erkek kardeş"
"sister";"Kız kardeş"
"relationship_to_me";"Benimle olan akrabalığı"
"line_up_generations";"Ayni kuşaktan olan şahısları bir seviyede göster"
"oldest_top";"En yaşlıları üstte göster"
"check_delete";"Bu GEDCOM hadisesini gerçekten silmek istiyor musunuz?"
"gedrec_deleted";"GEDCOM kayıtı başarı ile silindi."
"gedcom_deleted";"[#GED#] isimli GEDCOM veritabanı başarı ile silindi."
"changes_exist";"Bu GEDCOM dosyasında değişiklikler yapılmıştır"
"accept_changes";"Veritabanındaki değişiklikleri kabul/ret et"
"edit_raw";"Sade GEDCOM kayıtını düzenle"
"show_changes";"Bu kayıt güncelleştirilmiştir. Buraya tıklayıp değişiklikleri gözden geçirin."
"hide_changes";"Buraya tıklayıp değişiklikleri saklayın."
"review_changes";"GEDCOM içindeki değişiklikleri göster"
"undo";"Geri al"
"view_change_diff";"Değişiklikler dosyasına bak"
"changes_occurred";"Bu şahısın hakkında yapılan değişiklikler"
"find_place";"Yer ara"
"close_window";"Pencereyi kapat"
"close_window_without_refresh";"Pencereyi tazelemeden kapat"
"place_contains";"Yerin içeriği:"
"ged_import";"İçeri aktarımı (import)"
"now_import";"Şimdi GEDCOM kayıtlarını aşağıdaki "İçeri aktarımı (import)" bağlantısına tıklayarak Genmod içine ithal etmeniz gerekiyor."
"add_fact";"Yeni hadise ekle"
"add";"Ekle"
"custom_event";"Kişisel hadise"
"update_successful";"Güncelleştirme başarılıydı"
"add_child";"Çocuk ekle"
"add_child_to_family";"Bu aileye bir çocuk ekle"
"add_sibling";"Erkek ya da kız kardeş ekle"
"add_son_daughter";"Erkek ya da kız çocuk ekle"
"delete_person";"Bu şahsı sil"
"confirm_delete_person";"Bu şahsı hakikatten GEDCOM dosyasından silmek istiyor musunuz?"
"find_media";"Mültimedya dosyalarını ara"
"set_link";"Bağlantı ekle"
"add_source_lbl";"Kaynak alıntısını ekle"
"add_source";"Hadiseye yeni bir kaynak alıntısını ekle"
"add_note_lbl";"Not ekle"
"add_note";"Hadiseye not ekle"
"add_media_lbl";"Mültimedya nesnesini ekle"
"add_media";"Yeni mültimedya nesnesini ekle"
"delete_source";"Bu kaynağı sil"
"confirm_delete_source";"Bu kaynağı hakikatten GEDCOM dosyasından silmek istiyor musunuz?"
"add_husb";"Erkek eş ekle"
"add_husb_to_family";"Bu aileye erkek eş ekle"
"add_wife";"Bayan eş ekle"
"add_wife_to_family";"Bu aileye bayan eş ekle"
"find_family";"Aile ara"
"find_fam_list";"Aile arama listesi"
"add_new_wife";"Yeni bir bayan eş ekle"
"add_new_husb";"Yeni bir erkek eş ekle"
"edit_name";"İsimi işle"
"delete_name";"İsimi sil"
"replace";"Kayıtı değiştir"
"append";"Kayıtı ekle"
"add_father";"Yeni bir baba ekle"
"add_mother";"Yeni bir anne ekle"
"add_obje";"Yeni mültimedya nesnesini ekle"
"no_changes";"Aktüel olarak yapılmış hiç bir değişiklik yoktur."
"accept";"Onaylama"
"accept_all";"Tüm değişiklikleri kabul et"
"accept_successful";"Değişiklikler başarı ile veritabanına işlenmiştir"
"select_date";"Bir tarih seçiniz"
"create_source";"Yeni kaynak ekle"
"new_source_created";"Yeni kaynak başarı ile eklenmiştir."
"add_name";"Yeni isim ekle"
"user_cannot_edit";"Bu rumuzlu üye bu GEDCOM veritabanını düzenleyemez."
"gedcom_editing_disabled";"Bu GEDCOM veritabanının düzenlenmesi sistem yöneticisi tarafından engellenmiştir."
"privacy_prevented_editing";"Mahremiyet ayarları bu kayıtı düzenlemenizi engellemektedir."
"add_asso";"Yeni bir ilişki / eş ekle"
"on_this_day";"Sizin tarihinizde bu günde..."
"in_this_month";"Sizin tarihinizde bu ay içinde..."
"in_this_year";"Bu sene içinde - Sizin tarihinizde..."
"year_anniversary";"#year_var#. yıl dönümü"
"today";"Bugün"
"day";"Gün:"
"month";"Ay:"
"showcal";"Gösterilen:"
"sunday";"Pazar"
"monday";"Pazartesi"
"tuesday";"Salı"
"wednesday";"Çarşamba"
"thursday";"Perşembe"
"friday";"Cuma"
"saturday";"Cumartesi"
"all_people";"Tüm şahıslar"
"living_only";"Yaşayan şahısları"
"recent_events";"Güncel hadiseler (< 100 sene)"
"year_error";"Üzgünüz, ama 1970'ten önce olan bir tarih desteklenmiyor."
"lost_password";"Şifrenizi unuttunuz mu?"
"requestpassword";"Şifremi unuttum. Yeni şifre istiyorum"
"no_account_yet";"Üye değil misiniz?"
"requestaccount";"Üye olmak istiyorum"
"emailadress";"E-posta adresi"
"mail01_line01";"Merhaba #user_fullname# ..."
"mail01_line02";"( #SERVER_NAME# ) sitesinde sizin E-posta adresiniz ( #user_email# ) ile üyelik isteminde bulunulmuştur."
"mail01_line03";"Aşağıda gösterilen veriler iletilmiştir."
"mail01_line04";"Üyelik işlemini tamamlamak için lütfen aşağıdaki bağlantıyı tıklayarak açılacak sayfada rumuzunuzu, şifrenizi ve tasdik kodunuzu işleyiniz."
"mail01_line05";"Eğer siz bu üyelik isteminde bulunmadıysanız bu mektubu silip unutabilirsiniz."
"mail01_line06";"Üyelik verileri başvurudan bir hafta sonra otomatik olarak silineceği için, size bu siteden bir daha mektup gönderilmeyecektir."
"mail01_subject";"#SERVER_NAME# sitesine kayıdınız"
"mail02_line01";"Merhaba Yönetici ..."
"mail02_line02";"Yeni bir ziyaretçi ( #SERVER_NAME# ) sitesinde üyelik isteminde bulunmuştur."
"mail02_line03";"Bu üyeye üyelik işlemini tamamlaması için gerekli bilgiler gönderilmiştir."
"mail02_line04";"Üye kendisini tasdik ettikten sonra onun sitenize giriş yapabilmesi için izin vermeniz gerektiğinden bir mesaj ile bilgilendirileceksiniz."
"mail02_subject";"#SERVER_NAME# sitesinde yeni üyelik istemi"
"hashcode";"Tasdik kodunuz:"
"thankyou";"Merhaba #user_fullname# ...<br />Üyelik isteminde bulunduğunuz için teşekkür ederiz."
