"ABBR";"Skrót"
"MARR_UNKNOWN";"Małżeństwo nieznanego typu"
"MARS";"Układ małżeński"
"MEDI";"Typ mediów"
"NAME";"Nazwisko"
"NATI";"Narodowość"
"NATU";"Naturalizacja"
"NCHI";"Ilość dzieci"
"NICK";"Pseudonim"
"NMR";"Liczba małżeństw"
"NOTE";"Notka"
"NPFX";"Prefiks"
"NSFX";"Sufiks"
"OBJE";"Obiekt multimedialny"
"OCCU";"Zawód"
"ORDI";"Obrządek"
"ORDN";"Wyznanie"
"PAGE";"Szczególy cytatu"
"PEDI";"Rodowód"
"PHON";"Telefon"
"PLAC";"Miejsce"
"POST";"Kod pocztowy"
"PROB";"Poświadczenie autentyczności testamentu"
"PROP";"Własność"
"PUBL";"Publikacja"
"QUAY";"Jakość danych"
"REFN";"Numer referencyjny"
"RELA";"Pokrewieństwo"
"RELI";"Wyznanie"
"REPO";"Repository"
"RESI";"Miejsce zamieszkania"
"RESN";"Ograniczenie"
"RETI";"Przejście na emeryturę"
"RFN";"Numer katalogowy rekordu"
"RIN";"Numer ID rekordu"
"ROLE";"Role"
"ROMN";"Zromanizowany"
"SEX";"Płeć"
"SLGC";"Mormońskie Naznaczenie Dziecka"
"SLGS";"Mormońskie Naznaczenie Małżonka"
"SOUR";"Źródło"
"SPFX";"Prefiks nazwiska"
"SSN";"Numer ubezpieczenia"
"STAE";"Stan"
"STAT";"Status"
"SUBM";"Wpisał(a) dane"
"SUBN";"Wpis"
"SURN";"Nazwisko"
"TEMP";"Świątynia"
"TEXT";"Tekst"
"TIME";"Czas"
"TITL";"Tytuł"
"TYPE";"Typ"
"URL";"Adres WWW"
"WILL";"Testament"
"WWW";"Strona WWW"
"_ADPF";"Adoptowany(a) przez ojca"
"_ADPM";"Adoptowany(a) przez matkę"
"_AKA";"Również znany(a) jako"
"_AKAN";"Również znany(a) jako"
"_BIBL";"Bibliografia"
"_BRTM";"Brit mila"
"_COML";"Common Law marriage"
"_DEG";"Stopień"
"_DETS";"Śmierć jednego z małżonków"
"_EMAIL";"Adres email"
"_EYEC";"Kolor oczu"
"_FA1";"Fakt 1"
"_FA10";"Fakt 10"
"_FA11";"Fakt 11"
"_FA12";"Fakt 12"
"_FA13";"Fakt 13"
"_FA2";"Fakt 2"
"_FA3";"Fakt 3"
"_FA4";"Fakt 4"
"_FA5";"Fakt 5"
"_FA6";"Fakt 6"
"_FA7";"Fakt 7"
"_FA8";"Fakt 8"
"_FA9";"Fakt 9"
"_FNRL";"Pogrzeb"
"_FREL";"Związek z ojcem"
"_GMU";"Ostatnie zmiany wprowadził(a)"
"_HAIR";"Kolor włosów"
"_HEB";"Hebrajski"
"_HEIG";"Wysokość"
"_HNM";"Nazwisko hebrajskie"
"_HOL";"Holokaust"
"_INTE";"Pochowany(a)"
"_MARI";"Zapowiedzi"
"_MARNM";"Nazwisko małżeńskie"
"_MBON";"Intercyza"
"_MDCL";"Medyczny"
"_MEDC";"Stan zdrowia"
"_MEND";"Status na końcu małżeństwa"
"_MILI";"Wojskowe"
"_MILT";"Służba wojskowa"
"_MREL";"Związek z matką"
"_MSTAT";"Status na początku małżeństwa"
"_NAME";"Nazwisko adresowe"
"_NLIV";"Nie żyje"
"_NMAR";"Brak związków małżeńskich"
"_NMR";"Bez ślubu"
"_PRIM";"Wyróżnione zdjęcie"
"_PRMN";"Stały numer"
"_SCBK";"Album"
"_SEPR";"W separacji"
"_SSHOW";"Przegląd slajdów"
"_STAT";"Status małżeński"
"_SUBQ";"Wersja skrócona"
"_THUM";"Użyj tego zdjęcia jako miniaturki?"
"_TODO";"Do zrobienia"
"_TYPE";"Rodzaj media"
"_UID";"Uniwersalny Identyfikator"
"_WEIG";"Waga"
"_YART";"Yartzeit"
