"ABBR";"Forkortelse"
"_EMAIL";"Email"
"_EYEC";"Øjenfarve"
"_FA1";"Faktum 1"
"_FA10";"Faktum 10"
"_FA11";"Faktum 11"
"_FA12";"Faktum 12"
"_FA13";"Faktum 13"
"_FA2";"Faktum 2"
"_FA3";"Faktum 3"
"_FA4";"Faktum 4"
"_FA5";"Faktum 5"
"_FA6";"Faktum 6"
"_FA7";"Faktum 7"
"_FA8";"Faktum 8"
"_FA9";"Faktum 9"
"_FNRL";"Begravelse"
"_FREL";"Slægtskab til far"
"_GMU";"Senest ændret af"
"_HAIR";"Hårfarve"
"_HEB";"Hebraisk"
"_HEIG";"Højde"
"_HNM";"Hebraisk navn"
"_HOL";"Holocaust"
"_INTE";"Bisat"
"_MARI";"Ægteskabshensigt"
"_MARNM";"Giftenavn"
"_MBON";"Ægteskabsattest"
"_MDCL";"Medicinsk"
"_MEDC";"Helbred"
"_MEND";"Ægteskabsstatus afslutning"
"_MILI";"Militær"
"_MILT";"Militærtjeneste"
"_MREL";"Slægtskab til mor"
"_MSTAT";"Ægteskabsstatus begyndelse"
"_NAME";"Adressenavn"
"_NLIV";"Afdød"
"_NMAR";"Aldrig gift"
"_NMR";"Ugift"
"_PRIM";"Fremhævet billede"
"_PRMN";"Permanent nummer"
"_SCBK";"Scrapbog"
"_SEPR";"Separeret"
"_SSHOW";"Billedshow"
"_STAT";"Ægteskabsstatus"
"_SUBQ";"Short Version"
"_THUM";"Skal dette billede være billedikon?"
"_TODO";"Opgave"
"_TYPE";"Medietype"
"_UID";"Universelt ID"
"_WEIG";"Vægt"
"_YART";"Jødisk dødsmesse (Yartzeit)"
