"ABBREVIATE_CHART_LABELS";"Forkorte ledeord i diagram"
"MEDIA_DIRECTORY";"Mappe for Multimedia"
"MEDIA_DIRECTORY_LEVELS";"Antall mappenivåer for multimedia"
"MEDIA_EXTERNAL";"Behold URL-linker"
"MEDIA_ID_PREFIX";"Prefiks til Media-ID"
"META_AUDIENCE";"META tag: Målgruppe"
"META_AUTHOR";"META tag: Forfatter"
"META_AUTHOR_descr";"La feltet være tomt for å bruke det fulle navnet til slektsbasens kontaktperson."
"META_COPYRIGHT";"META tag: Opphavsrett"
"META_COPYRIGHT_descr";"La feltet være tomt for å bruke det fulle navnet til slektsbasens kontaktperson."
"META_DESCRIPTION";"META tag: Beskrivelse"
"META_DESCRIPTION_descr";"La feltet være tomt for å bruke titlen til den aktive slektsbasen."
"META_KEYWORDS";"META tag: Nøkkelord"
"META_PAGE_TOPIC";"META tag: Sjanger (topic)"
"META_PAGE_TOPIC_descr";"La feltet være tomt for å bruke titlen til den aktive slektsbasen."
"META_PAGE_TYPE";"META tag: Type side"
"META_PUBLISHER";"META tag: Utgiver"
"META_PUBLISHER_descr";"La feltet være tomt for å bruke det fulle navnet til slektsbasens kontaktperson."
"META_REVISIT";"META tag: Hvor ofte bør/skal søkeroboter sjekke nettstedet"
"META_ROBOTS";"META tag: Roboter"
"META_SURNAME_KEYWORDS";"Legg til Mest brukte etternavn til nøkkelord META feltet"
"META_TITLE";"META tag: Tillegg i Tittel"
"NEWS_TYPE";"Type Genmod-nyhet som skal vises på Admin-siden"
"NN";"Ukjent"
"PEDIGREE_FULL_DETAILS";"Vise detaljer om fødsel og død i diagram / trær"
"PEDIGREE_LAYOUT";"Standard layout for diagram"
"PEDIGREE_ROOT_ID";"Standard hovedID i slektsdiagram"
"PHP_TIME_LIMIT";"PHP tidsgrense"
"PN";"(<i>ukjent</i>)"
"POSTAL_CODE";"Plassering av postnummer"
"PRIVACY_BY_RESN";"Bruk GEDCOM (RESN) restriksjoner for personvern"
"PRIVACY_BY_YEAR";"Begrens personvern utfra dato i hendelse"
"PRIV_HIDE";"Skjul selv for administrative brukere"
"PRIV_NONE";"Vis kun til administratorer"
"PRIV_PUBLIC";"Vis til alle"
"PRIV_USER";"Vis kun til godkjente brukere"
"PROXY_ADDRESS";"Proxy serveradresse"
"PROXY_PORT";"Proxy serverport"
"QUICK_ADD_FACTS";"Fakta som vises ved Hurtig-oppdatering"
"QUICK_ADD_FAMFACTS";"Vis faktaopplysninger for familier ved Hurtig-oppdatering"
"QUICK_REQUIRED_FACTS";"Fakta som alltid vises ved Hurtig-oppdatering"
"QUICK_REQUIRED_FAMFACTS";"Vis alltid faktaopplysninger for familier ved Hurtig-oppdatering"
"REPO_FACTS_ADD";"Legg til oppbevaringsstedsfakta"
"REPO_FACTS_UNIQUE";"Unik oppbevaringsstedsfakta"
"REPO_ID_PREFIX";"Oppbevaringssted&nbsp;ID prefiks"
"REQUIRE_ADMIN_AUTH_REGISTRATION";"Krever at en administrator godkjenner nye brukeroppføringer"
"REQUIRE_AUTHENTICATION";"Krev at besøkende<br /><b>MÅ</b> logge inn"
"RSS_FORMAT";"Format for RSS"
"SEARCHLOG_CREATE";"Arkivere søke-logg-filer"
"SERVER_URL";"Genmod URL"
"SHOW_COUNTER";"Vis Antall treff"
"SHOW_DEAD_PEOPLE";"Vis døde personer"
"SHOW_EMPTY_BOXES";"Vis tomme bokser i diagram"
"SHOW_FAM_ID_NUMBERS";"Vis ID nummeret etter familier"
"SHOW_GEDCOM_RECORD";"Tillat brukere å se GEDCOM poster"
"SHOW_HIGHLIGHT_IMAGES";"Vis hovedbildet i rammen til en person"
"SHOW_ID_NUMBERS";"Vis ID-nummer etter navn"
"SHOW_LDS_AT_GLANCE";"Vis LDS ordineringskoder i diagram-bokser"
"SHOW_LIVING_NAMES";"Vis navn til nålevende"
"SHOW_MARRIED_NAMES";"Vis Navn som gift på personlister"
"SHOW_PARENTS_AGE";"Vis alder til foreldre ved siden av fødselsdatoen til barna"
"SHOW_PEDIGREE_PLACES";"Stedsnavnsnivåer som vises i personboksene:"
"SHOW_QUICK_RESN";"Vis felt for personvern i #gm_lang[quick_update_title]# skjemaet"
"SHOW_RELATIVES_EVENTS";"Vis fødseldag og dødsdag for slektninger på faktasiden til personer"
"SHOW_RESEARCH_LOG";"Vis forsknings-logg"
"SHOW_SOURCES";"Vis kilder"
"SHOW_STATS";"Vis utførings-statistikk"
"SOURCE_ID_PREFIX";"Kilde&nbsp;ID prefiks"
"SOUR_FACTS_ADD";"Legg til kildefakta"
"SOUR_FACTS_UNIQUE";"Unik kildefakta"
"SPLIT_PLACES";"Splitt steder i Endringsvisning"
"SUPPORT_METHOD";"Kontaktmåte (tekn.)"
"TBLPREFIX";"Database Table Prefiks"
"THEME_DIR";"Tema og mappe"
"THUMBNAIL_WIDTH";"Bredde for laging av miniatyrbilder"
"UNDERLINE_NAME_QUOTES";"Understrek navn omgitt av anførselstegn"
"USE_QUICK_UPDATE";"Bruke skjemaet #gm_lang[quick_update_title]#"
"USE_REGISTRATION_MODULE";"Gir besøkende muligheten til å be om en brukerkonto"
"USE_RELATIONSHIP_PRIVACY";"Bruk personvern på slektskap"
"USE_RIN";"Bruk RIN# istedenfor GEDCOM ID"
"USE_RTL_FUNCTIONS";"Bruk RTL sjekking"
"USE_THUMBS_MAIN";"Bruk passfoto som hovedbilde på faktasiden til personer"
"WEBMASTER_EMAIL";"Kontaktperson for teknisk hjelp"
"WELCOME_TEXT_AUTH_MODE";"Velkomsttekst<br />på siden for å logge inn<br />hvis "Krev logg inn" = Ja"
"WELCOME_TEXT_AUTH_MODE_CUST";"Egenkomponert velkomsttekst for<br />"Krev logg inn" = Ja"
"WELCOME_TEXT_AUTH_MODE_CUST_HEAD";"Standard start for egenkomponert tekst"
"WELCOME_TEXT_AUTH_MODE_OPT1";"Forhåndsdefinert tekst som sier at ALLE besøkende kan søke om en brukerkonto"
"WELCOME_TEXT_AUTH_MODE_OPT2";"Forhåndsdefinert tekst som sier at ADMIN vil vurdere en eventuell søknad om brukerkonto"
"WELCOME_TEXT_AUTH_MODE_OPT3";"Forhåndsdefinert tekst som sier at BARE familiemedlemmer kan søke om en brukerkonto"
"WELCOME_TEXT_AUTH_MODE_OPT4";"Egenkomponert velkomsttekst skrevet i feltet under"
"WORD_WRAPPED_NOTES";"Legg til mellomrom<br />der linjer er delt"
"ZOOM_BOXES";"Endre størrelse på diagrambokser"
"about_user";"Du skal først opprette din hovedadministrator.  Denne bruker har rettigheter til å oppdatere konfigurasjonsfiler, se private data, og opprette andre brukere."
"abt";"omkring"
"accept";"Godta"
"accept_all";"Godkjenn alle endringer"
"accept_changes";"Godta / Avvis endring(ene)"
"accept_gedcom";"Bestem deg for om du vil godkjenne eller avvise de enkelte endringene.<dl><dt>For å godta <i>alle</i> endringene på en gang</dt><dd>Klikk på linken "Godkjenn alle endringer" i boksen under.</dd><dt>For å få mer informasjon om en endring kan du klikke på:</dt><dd><li>"Vis endring(er), forskjell(er)" for å se på forskjellen mellom gammelt og nytt innhold.<br /><li>"Vis opplysningene i slektsfilen" for å se på det nye innholdet i slektsfil-oppsett (GEDCOM).</dd></dl>"
"accept_successful";"Godkjente endringer er lagt til databasen"
"access";"Innsyn"
"access_denied";"<h3><b>Ingen adgang!</b></h3><br />Du har ikke tilgang til denne delen."
"accessible_by";"Vis til ?"
"accesskey_contact";"4"
"accesskey_family_children_timeline";"D"
"accesskey_family_gedcom";"G"
"accesskey_family_parents_timeline";"P"
"accesskey_family_timeline";"T"
"accesskey_help_content";"2"
"accesskey_help_current_page";"3"
"accesskey_home_page";"1"
"accesskey_individual_descendancy";"D"
"accesskey_individual_details";"I"
"accesskey_individual_gedcom";"G"
"accesskey_individual_media";"A"
"accesskey_individual_notes";"N"
"accesskey_individual_pedigree";"P"
"accesskey_individual_relation_to_me";"M"
"accesskey_individual_relatives";"R"
"accesskey_individual_research_log";"L"
"accesskey_individual_sources";"O"
"accesskey_individual_timeline";"T"
"accesskey_search";"S"
"accesskey_skip_to_content";"C"
"accesskey_skip_to_content_desc";"Gå til innhold"
"accesskey_viewing_advice";"0"
"accesskey_viewing_advice_desc";"Visningsråd"
"accesskeys";"Hurtigtaster"
"account_information";"Kontoopplysninger"
"accpriv_conf";"Tilgang og personvern"
"active";"Aktiv"
"add";"Legg til"
"add_another";"Legg til en person på tidslinjen:<br />Person ID:"
"add_asso";"Legg til en ny tilknyttet person"
"add_child";"Legg til barn"
"add_child_to_family";"Legg til et barn til denne familien"
"add_directory";"Opprett mappe/katalog"
"add_fact";"Legg til nye fakta"
"add_faq_body";"Tekst spørsmål&svar"
"add_faq_header";"Tittel spørsmål&svar"
"add_faq_item";"Legg til et spørsmål med svar"
"add_faq_order";"Plassering spørsmål&svar"
"add_father";"Legg til en ny far"
"add_fav_enter_id";"Angi ID til en person, family eller kilde"
"add_fav_enter_note";"Beskrivelse av denne favoritten (valgfritt)"
"add_fav_or_enter_url";"eller<br /"
"add_favorite";"Legg til en ny favoritt"
"add_from_clipboard";"Legg til fra klippebordet: "
"add_gedcom";"Legg til en slektsfil"
"add_gedcom_instructions";"Tast inn et filnavn for denne nye slektsfilen (GEDCOM). Den blir opprettet i mappen index:"
"add_husb";"Legg til ektemann"
"add_husb_to_family";"Legg til en ektemann/far til denne familien"
"add_journal";"Legg inn et nytt notat"
"add_media";"Legg til en ny bilde- / mediefil"
"add_media_button";"Legg til Media"
"add_media_descr";"Denne siden vil legge til mediemerket OBJE koblet til personer, familier mm. i slektsfilen.<br />Når du er ferdig vil de registrerte bilder og andre medier bli vist sammen med de IDen du har koblet dem til i "
"add_media_lbl";"Legg til bilder/andre medier"
"add_media_records";"Legg til nye Media-oppføringer"
"add_media_tool";"Lage koblinger til bilder / andre medier i slektsfilen"
"add_mother";"Legg til en ny mor"
"add_name";"Legg til nytt navn"
"add_new_chil";"Legg til et nytt barn"
"add_new_gedcom";"Lag en ny slektsfil"
"add_new_gf_setting";"Legg til ny personvern-innstilling for generelle fakta"
"add_new_husb";"Legg til en ny ektemann"
"add_new_lang_button";"Legg til nytt språk"
"add_new_language";"Legg til filer og oppsett for et nytt språk"
"add_new_language_desc";"Du kan bruke dette verktøyet til å legge til et nytt og enda ikke støttet språk for Genmod.<br /><br />Du starter med å legge inn standardinnstillinger for det nye språket slik som skråkkoder, ukestart, datoformat, nasjonalt alfabet mm.<br /><br />Du vil få mer hjelp til dette på et språk som du velger blant de som allerede støttes av Genmod etter å ha klikket på knappen <b>#gm_lang[add_new_lang_button]#</b>.<br />"
"add_new_pf_setting";"Legg til ny personvern-innstilling for fakta"
"add_new_pf_setting_indi";"Legg til ny personvern-innstilling for fakta knyttet til personer"
"add_new_pf_setting_source";"Legg til ny personvern-innstilling for fakta knyttet til kilder"
"add_new_pp_setting";"Legg til ny personvern-innstilling for person"
"add_new_up_setting";"Legg til ny personvern-innstilling for bruker"
"add_new_wife";"Legg til en ny hustru"
"add_news";"Legg inn et nyhetsinnlegg"
"add_note";"Legg til en ny note"
"add_note_lbl";"Legg til note"
"add_obje";"Legg til et nytt bilde / media"
"add_sibling";"Legg til en bror eller søster"
"add_son_daughter";"Legg til en sønn eller datter"
"add_source";"Legg til en ny kildehenvisning"
"add_source_lbl";"Legg til kildehenvisning"
"add_to_cart";"Legg i utklippsmappen"
"add_to_my_favorites";"Legg til i Mine favoritter"
"add_unlinked_person";"Legg til en person som ikke er knyttet til en familie"
"add_user";"Legg til ny bruker"
"add_wife";"Legg til hustru"
"add_wife_to_family";"Legg til en hustru/mor til denne familien"
"adding";"Legger til"
"additions";"Tillegg"
"addmedia";"Legg til bilder / medier"
"address";"Adresse:"
"address_labels";"Adresse-etiketter"
"address_list";"Adresseliste"
"adds_completed";"Ferdig med å legge til bilder / medier i slektsfilen."
"admin";"Admin"
"admin_approved";"Din konto hos #SERVER_NAME# er blitt godkjent"
"admin_gedcom";"Administrere"
"admin_gedcoms";"Klikk her for å gå til administrasjon av Slektsfil(er) og personvern"
"admin_geds";"Data- og slektsfil-administrasjon"
"admin_info";"Informasjon"
"admin_site";"Administrasjon av nettstedet"
"admin_user_warnings";"En eller flere brukerkontoer har advarsler"
"admin_verification_waiting";"Brukerkonto(er) på vent for godkjenning av admin"
"administration";"Administrasjon"
"adopted";"Adoptert"
"advanced_conf";"<b>Avansert</b> konfigurasjons-valg"
"aft";"etter"
"after";"etter"
"age";"Alder"
"ahnentafel_report";"Forfedre"
"aka";"Også kjent som"
"alive";"Levende "
"alive_in_year";"Levde i året..."
"all";"ALLE"
"all_people";"Alle personer"
"alpha_index";"Alfabetisk indeks"
"alphabet_lower";"Små bokstaver alfabetisk"
"alphabet_upper";"STORE bokstaver alfabetisk"
"ancestors";"Forfedre i direkte linje og deres familier"
"ancestry_chart";"Forfedre"
"and";"og"
"anniversary_calendar";"Historisk kalender"
"anon_user";"1 anonym bruker pålogget"
"anon_users";"#gm_lang[global_num1]# anonyme brukere pålogget"
"ansi_encoding_detected";"Oppdaget ANSI tekstkoding.  Genmod fungerer best med filer som er kodet med UTF-8."
"ansi_to_utf8";"Konvertere fra ANSI til UTF-8 tegnsett?"
"append";"Legg til en ny oppføring"
"apply_privacy";"Legge til nye innstillinger for personvern?"
"apr";"april"
"apx";"ca"
"arabic_cal";"Arabisk"
"article_text";"Sett inn tekst:"
"as_child";"Familie med foreldre"
"as_spouse";"Familie med ektefelle/partner"
"associate";"tilknyttede"
"attendant";"Deltagere"
"attending";"Observatør"
"aug";"august"
"aunt";"Tante"
"author";"Forfatter:"
"autocomplete";"Auto-fullfør"
"available_blocks";"Tilgjengelige rammer"
"back";"Tilbake"
"back_useradmin";"Tilbake til Brukere og rettigheter"
"bad_database_name";"Genmod greide å opprette en forbindelse til verten til databasen din, men fikk ikke tillatelse til å bruke databasen med det navnet du oppgav.  Sjekk at databasen finnes og at brukernavnet du oppgav har de nødvendige rettigheter i denne databasen."
"bad_host_user_pass";"Genmod klarte ikke å opprette en forbindelse til verten til databasen din. Sjekk at du har angitt rett navn på vert, brukernavn og passord."
"basic_or_all";"Vise bare fødselsdager, dødsfall og giftemål?"
"bdm";"Fødselsdager, dødsfall og giftemål"
"bef";"før"
"before";"før"
"before_or_after";"Plasser antall før eller etter navn?"
"bet";"mellom"
"birth";"Født:"
"birth_report";"Fødte og fødested"
"birthdate1";"Vis fødte <b>fra</b> dato "
"birthdate2";"Vis fødte <b>til</b> dato "
"birthplace";"Fødested inneholder "
"block_default_index";"~Standard rammer for #gm_lang[welcome]#~<br /><br />Dersom du fjerner alle rammene fra listene #gm_lang[main_section]# og #gm_lang[right_section]# eller klikke på knappen <b>#gm_lang[reset_default_blocks]#</b>, vil standard oppsett bli brukt:<br /><br /><center><table border="1"><tr><td class="list_value"><b>#gm_lang[main_section]#</b></td><td class="list_value"><b>#gm_lang[right_section]#</b></td></tr><td>#gm_lang[gedcom_stats_block]#<br />#gm_lang[gedcom_news_block]#<br />#gm_lang[gedcom_favorites_block]#<br />#gm_lang[review_changes_block]#</td><td>#gm_lang[gedcom_block]#<br />#gm_lang[random_media_block]#<br />#gm_lang[todays_events_block]#<br />#gm_lang[logged_in_users_block]#</td></tr></table></center><br />"
"block_default_portal";"~Standard rammer for #gm_lang[mygedview]# page~<br /><br />Dersom du fjerner alle rammene fra listene #gm_lang[main_section]# og #gm_lang[right_section]# eller klikke på knappen <b>#gm_lang[reset_default_blocks]#</b>, vil standard oppsett bli brukt:<br /><br /><center><table border="1"><tr><td class="list_value"><b>#gm_lang[main_section]#</b></td><td class="list_value"><b>#gm_lang[right_section]#</b></td></tr><td>#gm_lang[todays_events_block]#<br />#gm_lang[user_messages_block]#<br />#gm_lang[user_favorites_block]#<br />&nbsp;</td><td>#gm_lang[welcome_block]#<br />#gm_lang[random_media_block]#<br />#gm_lang[upcoming_events_block]#<br />#gm_lang[logged_in_users_block]#</td></tr></table></center><br />"
"block_desc";"Beskrivelse av rammer"
"block_not_configure";"Denne rammen har ingen valgmuligheter."
"block_summaries";"~#gm_lang[block_desc]#~<br /><br />Her er en kort beskrivelse for hver av de rammene du har valgt for sidene #gm_lang[welcome]# eller #gm_lang[mygedview]#.<br /><table border='1' align='center'><tr><td class='list_value'><b>#gm_lang[name]#</b></td><td class='list_value'><b>#gm_lang[description]#</b></td></tr>#gm_lang[block_summary_table]#</table><br /><br />"
"block_summary_table";"&nbsp;"
"block_top10";"Rammen Topp 10 etternavn"
"block_top10_descr";"Rammen viser en tabell med de 10 mest viste etternavnene i slektsbasen"
"block_top10_title";"Mest viste etternavn"
"bom_check";"Sjekk av språkfilene (BOM)"
"bom_check_desc";"Dette valget vil sjekke alle språkfilene om koden BOM (Byte Order Mark) finnes i filene. Disse tegnene som noen tekstbehandlere legger skjult i begynnelsen av filen, vil gjøre at PHP vise en feilmelding på toppen av hver side...<br />Dersom koden blir funnet, vil den bli fjernet."
"bom_found";"BOM koden ble funnet i "
"bom_not_found";"Ingen BOM koder ble funnet."
"box_width";"Boksbredde"
"broadcast_all";"Send til alle brukere"
"broadcast_never_logged_in";"Send beskjed til brukere som aldri har logget seg inn"
"broadcast_not_logged_6mo";"Send beskjed til brukere som ikke har logget seg inn siste 6 måneder"
"brother";"Bror"
"brother-in-law";"Svoger"
"build_error";"Slektsfil har blitt oppdatert."
"build_title";"Bygger opp indeksfiler"
"building_index";"Lager indekslister"
"building_indi";"Lager person- og familie-indeks"
"bytes_read";"Bytes lest:"
"cal";"beregnet"
"calc_marr_names";"Kopierer ektemennenes navn"
"call_number";"Arkivnr./ISBN/ISSN:"
"can_admin";"Bruker kan administrere"
"can_edit";"Nivå for rettigheter"
"cancel";"Avbryt"
"cancel_preview";"Tilbake til vanlig visning"
"cancel_upload";"Avbryt opplastingen (upload)"
"cart_is_empty";"<b>Utklippsmappen din er tom!</b>"
"challenged";"Innsigelser"
"change";"Endre"
"change_family_instr";"Bruk denne siden til å endre eller fjerne familiemedlemmer.<br /><br />For hvert medlem i familien kan du bruke valget Endre for å velge en annen person som skal ta denne rollen i familien.  Du kan også bruke valget Fjern for å fjerne denne personen fra familien.<br /><br />Når du er ferdig med å gjøre endringer for familiemedlemmene, klikker du på knappen Lagre for å lagre endringene.<br />"
"change_family_members";"Bytt medlemmer av familien"
"change_id";"Endre personID til:"
"change_lang";"Velg språk (Language)"
"change_theme";"Bytt stil"
"change_type";"Endre type"
"changed_mac";"Macintosh linjeslutt oppdaget. Byttet linjeslutt med bare retur - til slutt med retur (RT) og linjeskift (LF)."
"changed_message";"Endre innhold"
"changed_places";"Oppdaget ugyldig oppsett for steder. Rydder opp slik at de er tilpasset GEDCOM 5.5 spesifikasjonene.  Et eksempel fra slektsfilen din er:"
"changelog";"Endringer i versjon #VERSION#"
"changes_exist";"Det er gjort endringer i denne slektsbasen."
"changes_occurred";"Følgende endring(er) er gjort for denne personen:"
"changes_present";"Denne slektsbasen har endringer på vent.  Dersom du fortsetter denne importen, vil disse endringene bli lagt til databasen uten at du at du får godkjent dem først.  Du BØR se gjennom endringene før du fortsetter importen!"
"chart_booklet";"Hefte"
"chart_list";"Forfedre"
"chart_style";"Utforming"
"charts";"Diagram"
"chat";"Chat"
"check";"Sjekk"
"check_delete";"Er du sikker på at du vil slette disse slektsdataene?"
"child";"Barn"
"child-family";"Foreldre og søsken"
"children";"Barn"
"children_timeline";"Vis barn på en tidslinje"
"choice";"Valg"
"choose";"Velg: "
"choose_gedcom";"Velg en slektsfil"
"choose_priv";"Velg nivå for personvern:"
"choose_relatives";"Velg slektninger"
"choose_report";"Velg rapport"
"cir";"cirka"
"circumciser";"Omskjærer"
"citation";"Henvisning:"
"civil_registrar";"Sorenskriver"
"cleanup";"Rydd"
"cleanup_failed";"Klarte ikke å rydde opp"
"cleanup_older";"Rydd opp for eldre enn"
"cleanup_places";"Rydd opp i stedene"
"cleanup_success";"Opprydding gjennomført"
"cleanup_users";"Rydd opp i brukere"
"click";"Ved å klikke med musen"
"click_here";"Klikk her for å fortsette"
"click_here_to_continue";"Klikk her for å fortsette."
"click_here_to_go_to_pedigree_tree";"Klikk her for å gå til slektstreet."
"click_to_add_media";"Klikk her for å legge til bilder / medier, som er vist over, i slektsfilen: #GEDCOM#"
"clicking_ok";"Ved å klikke på OK, åpnes det et nytt vindu, der du kan kontakte #user[fullname]#"
"clip_cart";"Utklippsmappe"
"clip_explaination";"Utklippsmappen gir deg muligheten til å "klippe ut" deler av dette slektstreet og samle utklippene i en ny slektsfil (GEDCOM-format), som kan lastes ned (download).<br /><br />"
"clippings_cart";"Utklippsmappe"
"close_window";"Lukk vinduet"
"close_window_without_refresh";"Lukk vinduet uten å oppdatere skjermen"
"comment";"Kommentar fra admin til bruker"
"comment_exp";"Advarsel fra admin om dato"
"comments";"Kommentarer"
"common_surnames";"Mest brukte etternavn"
"common_upload_errors";"Denne feilen skyldes sannsynligvis at filen som du prøvde å hente (upload) var for stor i forhold til grenser satt av verten til serveren.  Standard grense i PHP er 2MB.  Du kan prøve å kontakte eierene av serveren for å få dem til å heve denne grensen som er er angitt i filen php.ini, eller så kan du laste opp (upload) filen ved hjelp av FTP.  Bruk siden <a href="uploadgedcom.php?action=add_form"><b>Legg til slektsfil</b></a> for å legge til en slektsfil som du har lastet opp ved hjelp av FTP."
"compare";"Sammenlign"
"compare_lang_utility";"Sammenligne språk-filer"
"compare_lang_utility_desc";"Her kan du sammenligne to språk og få en liste med hva som er forskjellen mellom de ulike språk-filene.<br /><br />Se filen [<a href="languages\/LANG_CHANGELOG.txt" target="_blank">LANG_CHANGELOG.txt</a>] for andre endringer av språk-filer. Den engelske språkfilene er originalspråket og oversettelser må ta utgangspunkt i disse."
"comparing";"Språk-filene som er sammenlignet"
"confidential";"Fortrolig"
"config_block";"Endre oppsett for rammen"
"config_file_read";"Config-fil lest inn."
"config_french";"Fransk"
"config_hebrew";"Hebraisk"
"config_lang_utility";"Støttede språk"
"config_still_writable";"Filen <i>config.php</i> er fremdeles skrivbar !<br />Dersom du er ferdig med å konfigurere siden din,<br />bør du av hensyn til sikkerheten, sette rettighetene til denne filen tilbake til <i>kun</i> lesbar!"
"configuration";"Program-innstillinger"
"configure";"Konfigurer Genmod"
"configure_head";"Oppsett for Genmod"
"configured_languages";"Språk brukt"
"confirm";"Bekreft passord"
"confirm_delete_file";"Er du sikker på at du vil slette denne filen?"
"confirm_delete_person";"Er du sikker på at du vil slette denne personen fra slektsbasen?"
"confirm_delete_repo";"Er du sikker på at du vil slette dette oppbevaringsstedet fra slektsbasen?"
"confirm_delete_source";"Er du sikker på at du vil slette denne kilden fra slektsbasen?"
"confirm_faq_delete";"Er du sikker på at du vil slette dette spørsmål&svar"
"confirm_fav_remove";"Er du sikker på at du vil fjerne denne personen fra favorittene dine?"
"confirm_folder_delete";"Er du sikker på at du vil slette denne mappen?"
"confirm_gedcom_delete";"Er du sikker på at du vil slette GEDCOMfilen:"
"confirm_journal_delete";"Er du sikker på at du vil slette dette notatet?"
"confirm_message_delete";"Er du sikker på du vil slette denne beskjeden? Når den er slettet, kan den ikke hentes tilbake igjen."
"confirm_news_delete";"Er du sikker på at du vil slette denne nyhetsartiklen?"
"confirm_password";"Du må bekrefte passordet."
"confirm_remove";"Er du sikker på at du vil fjerne koblingen til familien for denne personen?"
"confirm_user_delete";"Er du sikker på at du vil slette brukeren"
"connections";"stedsnavn som inneholder"
"contact_conf";"Kontakt-informasjon"
"content";"Innhold"
"contents";"Innhold"
"continue";"Neste skritt..."
"continue_import";"Fortsett å importere steder"
"copy";"Kopier"
"cousin-in-law";"Søskenbarn til ektefelle"
"create_repository";"Opprett nytt oppbevaringssted"
"create_source";"Opprett en ny kilde"
"create_user";"Opprett bruker"
