"ABBREVIATE_CHART_LABELS";"קצר תגים בתרשימים"
"MAX_DESCENDANCY_GENERATIONS";"מכסימום דורות של צאצאים"
"MAX_PEDIGREE_GENERATIONS";"מספר דורות מכסימלי באילן יוחסין"
"MAX_RELATION_PATH_LENGTH";"אורך מכסימלי של נתיב קשר משפחתי"
"MEDIA_DIRECTORY";"תיקיית מולטימדיה"
"0";"0"
"MEDIA_DIRECTORY_LEVELS";"מספר הרמות של תיקיות מולטימדיה"
"MEDIA_EXTERNAL";"שמור קישורים"
"MEDIA_ID_PREFIX";"קידומת קוד זיהוי של מדיה"
"META_AUDIENCE";"תווית META של קהל"
"META_AUTHOR";"תווית META של מחבר"
"META_AUTHOR_descr";"השאר שדה זה ריק כדי להשתמש בשם המלא של #gm_lang[CONTACT_EMAIL]#."
"META_COPYRIGHT";"תווית META של זכויות יוצרים"
"META_COPYRIGHT_descr";"השאר שדה זה ריק כדי להשתמש בשם המלא של #gm_lang[CONTACT_EMAIL]#."
"META_DESCRIPTION";"תווית META של תאור"
"META_DESCRIPTION_descr";"השאר שדה זה ריק כדי להשתמש בכותרת של ה-GEDCOM הפעיל."
"META_KEYWORDS";"תווית META של מילות מפתח"
"META_PAGE_TOPIC";"תווית META של נושא הדף"
"META_PAGE_TOPIC_descr";"השאר שדה זה ריק כדי להשתמש בכותרת של ה-GEDCOM הפעיל עבור הערך זה."
"META_PAGE_TYPE";"תווית META של סוג הדף"
"META_PUBLISHER";"תווית META של מוציא לאור"
"META_PUBLISHER_descr";"השאר שדה זה ריק כדי להשתמש בשם המלא של #gm_lang[CONTACT_EMAIL]#."
"META_REVISIT";"תדירות ש-METACRAWLER-ים אמורים לבקר תווית META"
"META_ROBOTS";"תווית META של רובוטים"
"META_SURNAME_KEYWORDS";"הוסף את שמות המשפחה השכיחים לשדה META של מילות מפתח"
"META_TITLE";"הוסף לתג הכתרת TITLE"
"NN";"(unknown)"
"PEDIGREE_FULL_DETAILS";"הראה תאריכי לידה ופטירה באילן היוחסין ובתרשים הצאצאים"
"PEDIGREE_LAYOUT";"מבנה ברירת המחדל של אילן היוחסין"
"PEDIGREE_ROOT_ID";"אדם ברירת המחדל לאילן יוחסין ולתרשים צאצאים"
"PN";"(unknown)"
"POSTAL_CODE";"מיקום המיקוד"
"PRIVACY_BY_RESN";"השתמש בהגבלת הפרטיות של (GEDCOM (RESN"
"PRIVACY_BY_YEAR";"הגבל את הפרטיות לפי גיל האירוע"
"PRIV_HIDE";"הסתר אפילו ממנהלנים"
"PRIV_NONE";"הראה רק למנהלנים"
"PRIV_PUBLIC";"הראה לקהל הרחב"
"PRIV_USER";"הראה רק למשתמשים מורשים"
"QUICK_ADD_FACTS";"הראה עובדות בעדכון מהיר"
"QUICK_ADD_FAMFACTS";"הראה עובדות של משפחות בעדכון מהיר"
"QUICK_REQUIRED_FACTS";"הראה תמיד עובדות בעדכון מהיר"
"QUICK_REQUIRED_FAMFACTS";"הראה תמיד עובדות של משפחות בעדכון מהיר"
"REPO_ID_PREFIX";"קידומת קוד זיהוי של מאגר"
"REQUIRE_ADMIN_AUTH_REGISTRATION";"דרוש מהמנהלן לאשר רישום של משתמשים חדשים"
"REQUIRE_AUTHENTICATION";"דרוש אשור מהמבקרים"
"RSS_FORMAT";"מבנה RSS"
"SEARCHLOG_CREATE";"שמור קבצי לוג של החיפוש"
"SERVER_URL";"URL של Genmod"
"SHOW_COUNTER";"הראה מוני פגיעה"
"SHOW_DEAD_PEOPLE";"הראה אנשים שנפטרו"
"SHOW_EMPTY_BOXES";"הראה תיבות ריקות באילן היוחסין"
"SHOW_FAM_ID_NUMBERS";"הראה קוד זיהוי של משפחה על יד משפחות"
"SHOW_GEDCOM_RECORD";"לאפשר למשתמשים לראות נתוני קובץ GEDCOM"
"SHOW_HIGHLIGHT_IMAGES";"הראה תמונות בהדגשה בתיבות אישיות"
"SHOW_ID_NUMBERS";"הראה קוד זיהוי ליד שמות"
"SHOW_LDS_AT_GLANCE";"הראה קודי חוק המורמונים בתיבות התרשימים"
"SHOW_LIVING_NAMES";"הראה שמות של אנשים חיים"
"SHOW_MARRIED_NAMES";"הראה שמות נישואין ברשימת השמות"
"SHOW_PARENTS_AGE";"הראה את גיל ההורים ליד תאריך הלידה של הילד"
"SHOW_PEDIGREE_PLACES";"מספר הרמות של המקומות המוצגים בתיבות האישיות:"
"SHOW_QUICK_RESN";"הראה שדות פרטיים על טופס #gm_lang[quick_update_title]#"
"SHOW_RELATIVES_EVENTS";"הראה מאורעות של קרובים על הדף האישי"
"SHOW_RESEARCH_LOG";"הראה לוג המחקר"
"SHOW_SOURCES";"הצג מקורות"
"SHOW_STATS";"הצג סטטיסטיקות של העיבוד"
"SOURCE_ID_PREFIX";"קידומת קוד זיהוי של מקור"
"SPLIT_PLACES";"פצל מקומות במצב עריכה"
"SUPPORT_METHOD";"שיטת התמיכה"
"TBLPREFIX";"קידומת שמות קבצי מסד הנתונים"
"THEME_DIR";"תיקיית עיצוב"
"THUMBNAIL_WIDTH";"רוחב התמונות המזעריות שיווצרו"
"UNDERLINE_NAME_QUOTES";"קו מתחת לשמות בגרשיים"
"USE_QUICK_UPDATE";"השתמש בטופס #gm_lang[quick_update_title]#"
"USE_REGISTRATION_MODULE";"אפשר למשתמשים לבקש רישום באתר"
"USE_RELATIONSHIP_PRIVACY";"השתמש בפרטיות בקשרי משפחה"
"USE_RIN";"השתמש במספר RIN במקום בקוד זיהוי של GEDCOM"
"USE_RTL_FUNCTIONS";"השתמש בעיבוד נתונים של שפות הנכתבות מימין לשמאל (RTL)"
"USE_THUMBS_MAIN";"השתמש בתמונות מזעריות כתמונה ראשית על הדף האישי"
"WEBMASTER_EMAIL";"הקשר הטכני"
"WELCOME_TEXT_AUTH_MODE";"טכסט ברוכים הבאים על דף התחברות בתת-מערכת אימות"
"WELCOME_TEXT_AUTH_MODE_CUST";"טכסט מותאם במצב אימות"
"WELCOME_TEXT_AUTH_MODE_CUST_HEAD";"כותרת סטנדרטית לטכסט ברוכים הבאים מותאם"
"WELCOME_TEXT_AUTH_MODE_OPT1";"טכסט מוכן מראש המודיע שכל המשתמשים יכולים לבקש קוד משתמש."
"WELCOME_TEXT_AUTH_MODE_OPT2";"טכסט מוכן מראש המודיע שהמנהלן יחליט אם לתת קוד משתמש"
"WELCOME_TEXT_AUTH_MODE_OPT3";"טכסט מוכן מראש המודיע שרק בני משפחה יכולים לבקש קוד משתמש."
"WELCOME_TEXT_AUTH_MODE_OPT4";"בחר טכסט ברוכים הבאים שיוקלד למטה."
"WORD_WRAPPED_NOTES";"הוסף רווח במקום שההערות גלשו"
"ZOOM_BOXES";"אפשר הגדלה/הקטנה של תיבות התרשימים (ZOOM)"
"about_user";"עלך ליצור קודם כל משתמש מנהלתי ראשי. למשתמש זה יהיו זכויות לעדכן קבצי תצורה, לראות נתונים אישיים וליצור משתמשים אחרים."
"abt";"בערך"
"accept";"אשר"
"accept_all";"אשר את כל השינויים"
"accept_changes";"קבל/דחה את השינויים"
"accept_gedcom";"החלט עבור כל שינוי אם לאשר או לדחות אותו.<br /><br />ניתן לאשר את כל השינויים בבת אחת ע"י הקשה על <b>"אשר את כל השינויים"</b> בתיבה למטה.<br />כדי לקבל מידע נוסף על השינוי,<br />לחץ על <b>"התבונן בשינויים"</b> ותראה את המצב הקודם והמצב החדש <br />או לחץ על <b>"הצג מידע מ-GEDCOM"</b> כדי לראות את המצב החדש במבנה ה-GEDCOM."
"accept_successful";"השינויים עדכנו בהצלחה את מאגר הנתונים"
"access";"גישה"
"access_denied";"<b>גישה נאסרה</b><br />אין לך גישה למשאב זה."
"accessible_by";"הראה ל-"
"accesskey_contact";"4"
"accesskey_family_children_timeline";"צ"
"accesskey_family_gedcom";"ג"
"accesskey_family_parents_timeline";"א"
"accesskey_family_timeline";"ו"
"accesskey_home_page";"1"
"accesskey_individual_descendancy";"צ"
"accesskey_individual_details";"ע"
"accesskey_individual_gedcom";"ג"
"accesskey_individual_media";"ד"
"accesskey_individual_notes";"ה"
"accesskey_individual_pedigree";"א"
"accesskey_individual_relation_to_me";"ר"
"accesskey_individual_relatives";"מ"
"accesskey_individual_research_log";"י"
"accesskey_individual_sources";"ק"
"accesskey_individual_timeline";"ו"
"accesskey_search";"ח"
"accesskey_skip_to_content";"ת"
"accesskey_skip_to_content_desc";"דלג לתוכן"
"accesskey_viewing_advice";"0"
"accesskey_viewing_advice_desc";"עצת הסתכלות"
"accesskeys";"קיצורי לוח המקשים"
"account_information";"נתוני קוד משתמש"
"accpriv_conf";"גישה ופרטיות"
"active";"פעיל"
"add";"הוסף"
"add_another";"הוסף אדם לתרשים:<br >קוד זיהוי אדם:"
"add_asso";"הוסף שותף חדש"
"add_child";"הוסף ילד/ה"
"add_child_to_family";"הוסף ילד/ה למשפחה"
"add_directory";"הוסף תיקיה"
"add_fact";"הוסף עובדה חדשה"
"add_faq_body";"גוף ה-FAQ"
"add_faq_header";"כותרת ה-FAQ"
"add_faq_item";"הוסף עצם שאלות נפוצות (FAQ)"
"add_faq_order";"מיקום ה-FAQ"
"add_father";"הוסף אבא חדש"
"add_fav_enter_id";"הכנס קוד של אדם, משפחה או מקור"
"add_fav_enter_note";"הכנס הערת בחירה על המועדף הזה"
"add_fav_or_enter_url";"או<br />הכנס URL וכותרת"
"add_favorite";"הוסף מועדף חדש"
"add_from_clipboard";"הוסף מלוח הגזירים: "
"add_gedcom";"הוסף GEDCOM"
"add_gedcom_instructions";"הכנס שם קובץ עבור ה-GEDCOM החדש הזה.  קובץ ה-GEDCOM החדש יווצר בתיקיית האינדקס: #INDEX_DIRECTORY#"
"add_husb";"הוסף בעל"
"add_husb_to_family";"הוסף בעל למשפחה"
"add_journal";"הוסף כניסת יומן חדשה"
"add_media";"הוסף פרט מדיה חדש"
"add_media_button";"הוסף מדיה"
"add_media_descr";"הכלי מוסיף תוויות OBJE של מדיה למאגר הנתונים. סגור את החלון כאשר סיימת להוסיף מדיה."
"add_media_lbl";"הוסף מדיה"
"add_media_records";"הוסף רשומות מדיה"
"add_media_tool";"כלי להוספת פרט מדיה חדש"
"add_mother";"הוסף אמא חדשה"
"add_name";"הוסף שם"
"add_new_chil";"הוסף ילד/ה"
"add_new_gedcom";"בנה GEDCOM חדש"
"add_new_gf_setting";"הוסף הגדרת פרטיות ערכים כלליים חדשה"
"add_new_husb";"הוסף בעל חדש"
"add_new_lang_button";"הוסף שפה חדשה"
"add_new_language";"הוסף קבצים והגדרות לשפה חדשה"
"add_new_language_desc";"תוכל להשתמש בתת מערכת זו כדי להוסיף שפה חדשה שעדיין לא נתמכת ב-Genmod.<br /><br />תוכל להגדיר את ההגדרות הסטנדרטיות של השפה החדשה. הן כוללות את קודי השפה, כיוון השפה, תחילת השבוע עבור השפה, מבנה השעה, אלף בית וכו'.<br /><br />תקבל עזרה נוספת על ההגדרות של השפות אשר ניתמכות ב-Genmod אחרי שתבחר את השפה ותלחץ על כפתור ה-<b>#gm_lang[add_new_lang_button]#</b>.<br /><br />עזרה נוספת קיימת על דף העיצוב של השפה.<br />"
"add_new_pf_setting";"הוסף הגדרת פרטיות ערכים אישיים חדשה"
"add_new_pf_setting_indi";"הוסף הגדרת פרטיות חדשה של עובדות עבור אנשים"
"add_new_pf_setting_source";"הוסף הגדרת פרטיות חדשה של עובדות עבור מקורות"
"add_new_pp_setting";"הוסף הגדרת פרטיות אישית חדשה"
"add_new_up_setting";"הוסף הגדרת פרטיות משתמש חדשה"
"add_new_wife";"הוסף אישה חדשה"
"add_news";"הוסף מאמר חדשות"
"add_note";"הוסף הערה חדשה"
"add_note_lbl";"הוסף הערה"
"add_obje";"הוסף ישות מולטימדיה חדשה"
"add_sibling";"הוסף אח או אחות"
"add_son_daughter";"הוסף בן או בת"
"add_source";"הוסף ציטוט של מקור חדש"
"add_source_lbl";"הוסף ציטוט של מקור"
"add_to_cart";"הוסף לעגלת גזירים"
"add_to_my_favorites";"הוסף למועדפים שלי"
"add_unlinked_person";"הוסף אדם לא קשור"
"add_user";"הוסף משתמש חדש"
"add_wife";"הוסף אישה"
"add_wife_to_family";"הוסף אישה למשפחה"
"adding";"מוסיף"
"additions";"הוספות"
"addmedia";"כלי להוספת מדיה"
"address";"כתובת:"
"address_labels";"מדבקות כתובת"
"address_list";"רשימת כתובות"
"adds_completed";"המדיה הוספה בהצלחה לקובץ ה-GEDCOM."
"admin";"ניהול"
"admin_approved";"מנהלן האתר על #SERVER_NAME# אישר את המשתמש שלך. "
"admin_gedcom";"ניהול GEDCOM"
"admin_gedcoms";"הקש כאן כדי לנהל GEDCOM-ים."
"admin_geds";"ניהול מידע ו-GEDCOM-ים"
"admin_info";"אינפורמטיבי"
"admin_site";"ניהול האתר"
"admin_user_warnings";"לאחד או יותר משתמשים יש התראות"
"admin_verification_waiting";"על המנהלן לאשר קוד/י משתמש."
"administration";"ניהול"
"adopted";"מאומץ"
"advanced_conf";"מאפייני תצורה מתקדמים"
"aft";"אחרי"
"after";"אחרי"
"age";"גיל"
"ahnentafel_report";"דו"ח  Ahnentafel"
"aka";"ידוע גם בשם"
"alive";"חי "
"alive_in_year";"רשימת חי בשנה"
"all";"הכל"
"all_people";"כל האנשים"
"alpha_index";"אנדקס אלף בית"
"alphabet_lower";"אותיות קטנות"
"alphabet_upper";"אותיות עיליות"
"ancestors";"אב-אבות בקו ישיר ומשפחותיהם"
"ancestry_chart";"תרשים שושלת"
"and";"ו-"
"anniversary_calendar";"לוח יום השנה"
"anon_user";"1 משתמש אלמוני מחובר"
"anon_users";"#gm_lang[global_num1]# משתמשים אלמוניים מחוברים"
"ansi_encoding_detected";"הקובץ במבנה Genmod .ANSI עובד הכי טוב עם קבצים במבנה UTF-8."
"ansi_to_utf8";"הסב קובץ GEDCOM זה מ-ANSI ל-UTF-8?"
"append";"הוספת רשומה בסוף"
"apply_privacy";"הפעל הגדרות פרטיות?"
"apr";"אפריל"
"apx";"בערך"
"arabic_cal";"ערבי"
"article_text";"טכסט הכניסה:"
"as_child";"משפחה עם הורים"
"as_spouse";"משפחה עם בן/בת זוג"
"associate";"שותף"
"attendant";"משרת"
"attending";"אחראי"
"aug";"אוגוסט"
"aunt";"דודה"
"author";"מחבר:"
"autocomplete";"סיום אוטומטי"
"available_blocks";"העזורים הזמינים"
"back";"חזור"
"back_useradmin";"חזור לניהול משתמשים"
"bad_host_user_pass";"Genmod was unable to make a connection to your MySQL database host.  Check the host, username, and password to make sure they are correct."
"basic_or_all";"הראה רק לידות, פטירות וחתונות?"
"bdm";"לידות, פטירות חתונות"
"bef";"לפני"
"before";"לפני"
"before_or_after";"שים מונים לפני או אחרי השם?"
"bet";"בין"
"birth";"לידה:"
"birth_report";"דו"ח תאריכי ומקומות לידה"
"birthdate1";"תחילת תחום תאריכי לידה"
"birthdate2";"סיום תחום תאריכי לידה"
"birthplace";"מקום הלידה כולל"
"block_default_index";"~אזורי ברירת מחדל על דף #gm_lang[welcome]#~<br /><br />כאשר תסיר את כל הכניסות מרשימות gm_lang[main_section]# ו#gm_lang[right_section]#, או אם תלחץ על כפתור ה<b>#gm_lang[reset_default_blocks]#</b>, רשימת האזורים מוגדרת בצורה הבאה:<br /><br /><center><table border="1"><tr><td class="list_value"><b>#gm_lang[main_section]#</b></td><td class="list_value"><b>#gm_lang[right_section]#</b></td></tr><td>#gm_lang[gedcom_stats_block]#<br />#gm_lang[gedcom_news_block]#<br />#gm_lang[gedcom_favorites_block]#<br />#gm_lang[review_changes_block]#</td><td>#gm_lang[gedcom_block]#<br />#gm_lang[random_media_block]#<br />#gm_lang[todays_events_block]#<br />#gm_lang[logged_in_users_block]#</td></tr></table></center><br />"
"block_default_portal";"~אזורי ברירת מחדל על דף #gm_lang[mygedview]#~<br /><br />כאשר תסיר את כל הכניסות מרשימות #gm_lang[main_section]# ו#gm_lang[right_section]#, או אם תלחץ על כפתור ה<b>#gm_lang[reset_default_blocks]#</b>, רשימת האזורים מוגדרת בצורה הבאה:<br /><br /><center><table border="1"><tr><td class="list_value"><b>#gm_lang[main_section]#</b></td><td class="list_value"><b>#gm_lang[right_section]#</b></td></tr><td>#gm_lang[todays_events_block]#<br />#gm_lang[user_messages_block]#<br />#gm_lang[user_favorites_block]#<br />&nbsp;</td><td>#gm_lang[welcome_block]#<br />#gm_lang[random_media_block]#<br />#gm_lang[upcoming_events_block]#<br />#gm_lang[logged_in_users_block]#</td></tr></table></center><br />"
"block_desc";"תאורי אזורים"
"block_not_configure";"לא ניתן להגדיר את האזור הזה."
"block_summaries";"~#gm_lang[block_desc]#~<br /><br />כאן תמצא תאור קצר של כל אזור שניתן לשים על דף ה#gm_lang[welcome]# או #gm_lang[mygedview]#.<br /><table border='1' align='center'><tr><td class='list_value'><b>#gm_lang[name]#</b></td><td class='list_value'><b>#gm_lang[description]#</b></td></tr>#gm_lang[block_summary_table]#</table><br /><br />"
"block_summary_table";"&nbsp;"
"block_top10";"עשרת השמות  השכיחים "
"block_top10_descr";"האזור מציג טבלה של 10 שמות המשפחה השכיחים במאגר הנתונים. ניתן לשנות את המספר של שמות המשפחה. ניתן לקבוע הגדרות בתצורת ה-GEDCOM כך ששמות מסויימים לא יופיעו ברשימה."
"block_top10_title";"עשרת השמות  השכיחים"
"bom_check";"בדיקת (Byte Order Mark (BOM"
"bom_check_desc";"בדיקה זו תנתח את כל קבצי השפה לגבי ה-(BOM (Byte Order Mark. אם ה-BOM ימצא, הוא ימחק מהקובץ המושפע. הקודים המיוחדים הללו עלולים לגרום לפעולה שגוייה בחלקים של Genmod."
"bom_found";"BOM נמצא ב-"
"bom_not_found";"אף BOM לא התגלה."
"box_width";"רוחב התיבה"
"broadcast_all";"שדר לכל המשתמשים"
"brother";"אח"
"brother-in-law";"גיס"
"build_error";"קובץ ה-GEDCOM עודכן."
"build_title";"בונה קובצי אינדקס"
"building_index";"בונה רשימת אינדקס"
"building_indi";"אינדקס שמות ומשפחות בבנייה"
"bytes_read";"בתים שנקראו:"
"cal";"מחושב"
"calc_marr_names";"מחשב שמות נישואין"
"call_number";"מספר קריאה:"
"can_admin";"המשתמש יכול לנהל"
"can_edit";"רמת גישה"
"cancel";"בטל"
"cancel_preview";"בחזרה לגירסה הרגילה"
"cancel_upload";"ביטול ההעלאה"
"cart_is_empty";"עגלת הגזרים שלך ריקה."
"challenged";"אותגר"
"change";"שנה"
"change_family_instr";"השתמש בדף זה כדי לשנות או להסיר בני משפחה.<br /><br />עבור כל בן משפחה, ניתן להשתמש בקישורית שנה כדי לשנות אדם אחר בתפקיד זה בתוך המשפחה. ניתן גם כן להשתמש בקישור הסר כדי להסיר את האדם מהמשפחה.<br /><br />אחרי שתסיים לשנות בני משפחה, לחץ על כפתור שמור כדי לשמור את השינויים.<br />"
"change_family_members";"שנה בני משפחה"
"change_id";"שנה קוד זיהוי אישי ל:"
"change_lang";"החלף שפה"
"change_theme";"שנה עיצוב"
"changed_mac";"התגלו סיומות שורה של מקינטוש. סיומות השורה שונו כך שהן כוללות חזרה להתחלה CR (Ctrl M) ובנוסף שורה חדשה LF (Ctrl J). שינוי זה משנה את הפורמט הפנימי ממקינטוש ל-DOS"
"changed_message";"שנה תוכן"
"changed_places";"התגלה רישום מיקום במבנה שגוי. מבנה רשומות המקום נוקה למבנה התואם פירוט של GEDCOM 5.5. דוגמא מקובץ GEDCOM הקלט שלך: "
"changelog";"שינויי מהדורה #VERSION#"
"changes_exist";"ה-GEDCOM הזה שונה."
"changes_occurred";"השינויים הבאים בוצעו לאדם זה:"
"changes_present";"שינויים לא מאושרים קיימים עבור ה-GEDCOM הנוכחי. אם תמשיך בייבוא זה, השינויים שממתינים לאישור יעדכנו את מאגר הנתונים מידית. עליך לעיין בשינויים הממתינים לפני שתמשיך בייבוא."
"chart_booklet";"ספרון"
"chart_list";"רשימה"
"chart_style";"סגנון תרשים"
"charts";"תרשימים"
"chat";"שיחה"
"check";"בדוק"
"check_delete";"?זו GEDCOM האם הנך בטוח שברצונך למחוק עובדת"
"child";"ילד/ה"
"child-family";"הורים ואחים ואחיות"
"children";"ילדים"
"children_timeline";"הראה ילדים על תרשים קו הזמן"
"choice";"בחירה"
"choose_gedcom";"בחר GEDCOM"
"choose_priv";"בחר רמת פרטיות:"
"choose_relatives";"בחר קרובים"
"choose_report";"בחר דו"ח להרצה"
"cir";"בערך"
"circumciser";"מוהל"
"citation";"ציטוט:"
"civil_registrar";"רשם אזרחי"
"cleanup";"ניקיון"
"cleanup_places";"נקה מקומות"
"cleanup_users";"נקוי משתמשים"
"click";"קליק עם עכבר"
"click_here";"לחץ כאן כדי להמשיך"
"click_here_to_continue";"לחץ כאן כדי להמשיך."
"click_here_to_go_to_pedigree_tree";"הקשה כאן מביאה לאילן יוחסין"
"click_to_add_media";"לחץ כאן כדי להוסיף את המדיה הרשומה למעלה ל-GEDCOM #GEDCOM#"
"clicking_ok";".#user[fullname]# תפתח חלון נוסף שממנו תוכל להתקשר עם OK הקשה על"
"clip_cart";"עגלת גזירי העץ"
"clip_explaination";"עגלת הגזירות של עץ המשפחה מאפשרת "גזירה" מהעץ ואריזה בקובץ אחד להורדה במבנה GEDCOM.<br /><br />"
"clippings_cart";"עגלת גזירי העץ"
"close_window";"סגור חלון"
"close_window_without_refresh";"סגור חלון ללא טעינה מחדש"
"comment";"הערות מנהלן על משתמש"
"comment_exp";"התראה למנהלן בתאריך"
"comments";"הערות"
"common_surnames";"שמות משפחה שכיחים"
"common_upload_errors";"משמעות השגיאה הזו היא שכפי הניראה העלאת הקובץ עברה את הגבול המוגדר ע"י השרת שלך. ברירת המחדל של PHP היא 2MB. תוכל להתקשר עם קבוצת התמיכה של השרת שלך כדי שהם יגדילו את הגבול בקובץ php.ini, או תוכל להעלות את הקובץ ע"י שימוש ב-FTP. השתמש בדף <a href="uploadgedcom.php?action=add_form"><b>הוסף GEDCOM</b></a> כדי להעלות קובץ GEDCOM ע"י שימוש ב-FTP."
"compare";"השווה"
"compare_lang_utility";"תוכנת השוואה של קובץ שפה"
"compare_lang_utility_desc";"כלי עזר זה משווה בין שני קבצי שפות ומספק רשימה של התוספות והחסרים ביניהם.<br /><br />קרא את הקובץ <a href="languages/LANG_CHANGELOG.txt" target="_blank">LANG_CHANGELOG.txt</a> לגבי השינויים בגירסה האנגלית. קבצי האנגלית ישמשו יחוס לשפות האחרות."
"comparing";"קבצי שפה שמושווים"
"confidential";"סודי"
"config_block";"עצב"
"config_file_read";"קריאת קובץ תצורה"
"config_french";"צרפתי"
"config_hebrew";"עברי"
"config_lang_utility";"עיצוב השפות הנתמכות"
"config_still_writable";"ניתן עדיין לכתוב על קובץ <i>config.php</i> שלך. אם סיימת לעצב את האתר שלך, רצוי שתשנה את ההרשאות של קובץ זה בחזרה לקריאה בלבד מטעמי ביטחון"
"configuration";"תצורה"
"configure";"עצב Genmod"
"configure_head";"Genmod-תצורת ה"
"configured_languages";"השפות שבשימוש"
"confirm";"אשר סיסמא"
"confirm_delete_file";"האם אתה בטוח שתרצה למחוק את הקובץ הזה?"
"confirm_delete_person";"?GEDCOM-האם באמת להסיר את האדם מקובץ ה"
"confirm_delete_repo";"האם באמת למחוק את המאגר ממאגר הנתונים?"
"confirm_delete_source";"?GEDCOM-האם באמת למחוק את המקור מקובץ ה"
"confirm_faq_delete";"האם הנך בטוח שברצונך למחוק כניסת ה-FAQ הזה"
"confirm_fav_remove";"?האם באמת למחוק אדם זה מרשימת המועדפים שלך"
"confirm_gedcom_delete";"GEDCOM האם ברצונך באמת לבטל"
"confirm_journal_delete";"האם באמת למחוק את כניסת היומן הזו?"
"confirm_message_delete";".האם באמת למחוק הודעה זו? לא ניתן להחזיר אותה לאחר המחיקה"
"confirm_news_delete";"האם באמת למחוק את כניסת החדשות הזו?"
"confirm_password";".יש לאשר את הסיסמא"
"confirm_remove";"האם אתה בטוח שתרצה להסיר אדם זה מהמשפחה?"
"confirm_user_delete";"אשר שברצונך למחוק משתמש"
"connections";"קשרים נמצאו למקום"
